Date,CHINA A ONSHORE VALUE WEIGHTED
2009-09-24,785.8353107571246
2009-09-25,780.0889945298301
2009-09-28,758.1058698058725
2009-09-29,756.7768353351508
2009-09-30,764.3808384668073
2009-10-01,764.3808384668073
2009-10-02,764.3808384668073
2009-10-05,764.3808384668073
2009-10-06,764.3808384668073
2009-10-07,764.3808384668073
2009-10-08,764.3808384668073
2009-10-09,803.5925936048117
2009-10-12,801.236052753044
2009-10-13,813.827597003102
2009-10-14,821.3959007886057
2009-10-15,824.6499581026275
2009-10-16,824.6738122109789
2009-10-19,846.4364723952735
2009-10-20,858.4943143277992
2009-10-21,856.353930630856
2009-10-22,850.5106946200256
2009-10-23,867.1909515127237
2009-10-26,868.1811225029325
2009-10-27,842.4379578481207
2009-10-28,845.4243457064019
2009-10-29,825.0089727081927
2009-10-30,833.8718237767728
2009-11-02,861.8516129189212
2009-11-03,873.1060969746335
2009-11-04,878.6162688081827
2009-11-05,882.7652361181412
2009-11-06,887.6694744619294
2009-11-09,890.9465648966649
2009-11-10,893.2196263957239
2009-11-11,891.345702827425
2009-11-12,892.9809420018903
2009-11-13,898.4002859607862
2009-11-16,925.4738638155653
2009-11-17,927.0537837910426
2009-11-18,927.8192854347611
2009-11-19,932.8232665668153
2009-11-20,930.7278693444509
2009-11-23,938.8541398012037
2009-11-24,908.7863485327584
2009-11-25,931.8215467762609
2009-11-26,893.6693325802947
2009-11-27,866.8354791299951
2009-11-30,898.5588299951088
2009-12-01,913.1532478059751
2009-12-02,922.5249696139882
2009-12-03,921.2564497120152
2009-12-04,934.1102872678715
2009-12-07,941.4263437234868
2009-12-08,931.1456225114393
2009-12-09,913.5812163541602
2009-12-10,919.4154656229941
2009-12-11,918.2525258727763
2009-12-14,927.9323760250377
2009-12-15,920.3092430940193
2009-12-16,914.3430494047363
2009-12-17,893.536199196004
2009-12-18,871.0462035691489
2009-12-21,872.5391696506815
2009-12-22,850.466882223215
2009-12-23,858.1333529723155
2009-12-24,882.2619387573988
2009-12-25,879.6519158425539
2009-12-28,893.4906920634025
2009-12-29,898.5985083829763
2009-12-30,914.0168404150601
2009-12-31,918.453836171758
2010-01-01,918.453836171758
2010-01-04,909.074867069717
2010-01-05,915.6433751182116
2010-01-06,909.9192431816011
2010-01-07,891.2007774335683
2010-01-08,895.698825253782
2010-01-11,897.4693038377515
2010-01-12,912.090142434697
2010-01-13,885.4862345591147
2010-01-14,898.2286514335979
2010-01-15,901.4639312674653
2010-01-18,907.7854660201809
2010-01-19,909.1621442931901
2010-01-20,878.3018019168147
2010-01-21,882.909760769408
2010-01-22,873.0243420565334
2010-01-25,859.9766275775128
2010-01-26,837.7942037839399
2010-01-27,827.8916641895945
2010-01-28,830.6691744960303
2010-01-29,830.242466009457
2010-02-01,817.4158840869512
2010-02-02,815.2505538817586
2010-02-03,835.252254970215
2010-02-04,833.3965552239773
2010-02-05,816.7923781687842
2010-02-08,815.3968878257353
2010-02-09,819.8765814233078
2010-02-10,830.2108833221791
2010-02-11,832.0610206674453
2010-02-12,840.3481323154235
2010-02-15,840.3481323154235
2010-02-16,840.3481323154235
2010-02-17,840.3481323154235
2010-02-18,840.3481323154235
2010-02-19,840.3481323154235
2010-02-22,836.6519321267014
2010-02-23,830.1805034234487
2010-02-24,842.8817272862422
2010-02-25,854.8647101955698
2010-02-26,852.3739581335675
2010-03-01,862.5555846523893
2010-03-02,859.9874296770806
2010-03-03,866.5812852724284
2010-03-04,843.6239002394776
2010-03-05,846.160027108005
2010-03-08,853.5168807021402
2010-03-09,858.5497689714673
2010-03-10,851.7941374875069
2010-03-11,851.1098511868645
2010-03-12,839.3149737117
2010-03-15,827.2146159828698
2010-03-16,832.9477196170961
2010-03-17,851.111777527047
2010-03-18,849.7272803257956
2010-03-19,856.1671295893882
2010-03-22,858.4573293793425
2010-03-23,850.7388183633074
2010-03-24,850.813753410134
2010-03-25,839.2906067361085
2010-03-26,851.0454982196096
2010-03-29,870.8170251065584
2010-03-30,872.2443755167116
2010-03-31,867.3980033162032
2010-04-01,878.7459399616969
2010-04-02,882.1665183500335
2010-04-05,882.1665183500335
2010-04-06,881.1028013149692
2010-04-07,876.4686571339097
2010-04-08,867.2177090858124
2010-04-09,875.6082844131877
2010-04-12,869.0151515215649
2010-04-13,878.2039111517104
2010-04-14,880.4242220830264
2010-04-15,876.9761713916291
2010-04-16,868.0445089682268
2010-04-19,821.6787489412758
2010-04-20,820.1439393612173
2010-04-21,835.7620985713816
2010-04-22,825.6281838324046
2010-04-23,821.9008289080226
2010-04-26,818.4422953001244
2010-04-27,802.4477612495433
2010-04-28,799.8137707466503
2010-04-29,790.5729559696289
2010-04-30,792.5849070877331
2010-05-03,792.5849070877331
2010-05-04,779.5295269848244
2010-05-05,784.892812250925
2010-05-06,750.0980183001207
2010-05-07,734.5750228268739
2010-05-10,739.0514913612377
2010-05-11,723.7275989553207
2010-05-12,728.4470102952979
2010-05-13,744.6701996442729
2010-05-14,740.1262689216893
2010-05-17,699.6485476014628
2010-05-18,714.4612363692755
2010-05-19,711.5926158173098
2010-05-20,702.7053333270277
2010-05-21,713.4603606115686
2010-05-24,739.7228336478423
2010-05-25,724.2295066341534
2010-05-26,725.3274488338278
2010-05-27,735.9810451695172
2010-05-28,733.4167649371026
2010-05-31,712.9031454406828
2010-06-01,703.8286110618974
2010-06-02,708.5759876413036
2010-06-03,703.1175462900168
2010-06-04,705.5330688830252
2010-06-07,692.7687921534988
2010-06-08,693.839433469857
2010-06-09,715.7031626674562
2010-06-10,707.7234815357007
2010-06-11,709.8371784725007
2010-06-14,709.8371784725007
2010-06-15,709.8371784725007
2010-06-16,709.8371784725007
2010-06-17,706.9730070333381
2010-06-18,695.2498809810518
