Date,ACWI ex JAPAN IMI MINIMUM VOL (USD)
2004-10-20,1330.4659829883883
2004-10-21,1334.9503045694698
2004-10-22,1332.6888726920592
2004-10-25,1334.1909472790778
2004-10-26,1344.4952231234004
2004-10-27,1352.26939971445
2004-10-28,1352.2136885664538
2004-10-29,1354.521924699945
2004-11-01,1356.1000134736967
2004-11-02,1354.004897994636
2004-11-03,1373.8627380171056
2004-11-04,1387.363790162332
2004-11-05,1390.4314855876003
2004-11-08,1390.6014013515285
2004-11-09,1390.0254869510466
2004-11-10,1392.6554981418067
2004-11-11,1399.3379528145474
2004-11-12,1411.1676597112412
2004-11-15,1410.9142294517908
2004-11-16,1408.4950648006375
2004-11-17,1413.9321969144185
2004-11-18,1411.3168514377144
2004-11-19,1408.4138233191163
2004-11-22,1412.185287748696
2004-11-23,1418.9080364410897
2004-11-24,1426.8535718669873
2004-11-25,1432.3384177080934
2004-11-26,1434.068712343167
2004-11-29,1435.0603076901166
2004-11-30,1431.8682183364062
2004-12-01,1443.504845218883
2004-12-02,1442.4248863504433
2004-12-03,1446.8290711186032
2004-12-06,1447.908998551293
2004-12-07,1439.6412866860946
2004-12-08,1435.6491036788505
2004-12-09,1438.6889418326523
2004-12-10,1438.1189555167389
2004-12-13,1448.7238518157762
2004-12-14,1451.8401324012602
2004-12-15,1461.3209835918096
2004-12-16,1455.2976570816095
2004-12-17,1453.1223292842376
2004-12-20,1461.767986573946
2004-12-21,1465.2380311902587
2004-12-22,1468.5574213219932
2004-12-23,1472.1849703737805
2004-12-24,1475.484525327344
2004-12-27,1475.7718763947992
2004-12-28,1481.125898453653
2004-12-29,1481.8715018051075
2004-12-30,1486.9361911776064
2004-12-31,1486.9877428211616
2005-01-03,1473.8876697437295
2005-01-04,1458.8510634351426
2005-01-05,1445.7479540923066
2005-01-06,1446.0302682099311
2005-01-07,1445.083416217386
2005-01-10,1450.8709497217922
2005-01-11,1449.5668973924599
2005-01-12,1456.2438457717265
2005-01-13,1451.736060507161
2005-01-14,1452.4404948272263
2005-01-17,1453.8399497601613
2005-01-18,1458.7549190235763
2005-01-19,1459.1315203324507
2005-01-20,1452.3557167645738
2005-01-21,1453.7973715349326
2005-01-24,1452.0041558019998
2005-01-25,1448.8762849712361
2005-01-26,1458.8382433846189
2005-01-27,1460.3525164959938
2005-01-28,1459.6656127852748
2005-01-31,1468.6120120874325
2005-02-01,1476.4982451856692
2005-02-02,1483.622935285734
2005-02-03,1481.384787631894
2005-02-04,1492.2115991504343
2005-02-07,1488.96327274198
2005-02-08,1487.7918847205574
2005-02-09,1485.4112398465063
2005-02-10,1495.6438966627684
2005-02-11,1503.4867904579944
2005-02-14,1509.8548377223894
2005-02-15,1513.2237657376656
2005-02-16,1515.1795510468962
2005-02-17,1513.9657584084582
2005-02-18,1515.2066768982459
2005-02-21,1510.4603125941494
2005-02-22,1502.1743807772273
2005-02-23,1501.1160273413398
2005-02-24,1506.8761900955224
2005-02-25,1519.6385421818281
2005-02-28,1521.7884980502631
2005-03-01,1522.1625082945643
2005-03-02,1518.814924960971
2005-03-03,1521.1414223704126
2005-03-04,1539.1257364956
2005-03-07,1539.0607867675692
2005-03-08,1541.1299535836747
2005-03-09,1526.827114558457
2005-03-10,1523.7961391822857
2005-03-11,1520.9386346968722
2005-03-14,1523.3492607160924
2005-03-15,1519.1638607175921
2005-03-16,1516.3290622177058
2005-03-17,1518.6322816607737
2005-03-18,1515.9098188875982
2005-03-21,1508.1009909133218
2005-03-22,1500.5653086890625
2005-03-23,1484.581656117945
2005-03-24,1484.6630044571007
2005-03-25,1485.0478011256853
2005-03-28,1481.6315948294784
2005-03-29,1478.2230293800974
2005-03-30,1488.9652169829592
2005-03-31,1493.7151785225146
2005-04-01,1494.7081414798047
2005-04-04,1489.4436320323246
2005-04-05,1495.9973112476846
2005-04-06,1500.2755462515893
2005-04-07,1509.3630597035653
2005-04-08,1502.580729693924
2005-04-11,1506.8635919172375
2005-04-12,1507.2116662434037
2005-04-13,1502.9623006578424
2005-04-14,1491.7005089984968
2005-04-15,1479.4471383776768
2005-04-18,1472.4351685477402
2005-04-19,1483.0379275408923
2005-04-20,1475.6404747770969
2005-04-21,1488.6757309212735
2005-04-22,1489.1728075452456
2005-04-25,1495.013446247507
2005-04-26,1488.280950915286
2005-04-27,1485.6019213061852
2005-04-28,1478.6188988020153
2005-04-29,1489.9227495029434
2005-05-02,1491.7366446885162
2005-05-03,1490.2400393003718
2005-05-04,1501.469673356646
2005-05-05,1505.0228200836652
2005-05-06,1501.4223195395073
2005-05-09,1504.9501667371687
2005-05-10,1500.706328798494
2005-05-11,1501.9687203407698
2005-05-12,1491.713582124985
2005-05-13,1481.4536366252635
2005-05-16,1483.3589320731398
2005-05-17,1487.6321077056346
2005-05-18,1496.919125764429
2005-05-19,1504.90950704306
2005-05-20,1502.4182288898382
2005-05-23,1508.6363040359608
2005-05-24,1509.4735464426965
2005-05-25,1506.4579185564746
2005-05-26,1509.317127679459
2005-05-27,1514.2232635708397
2005-05-30,1516.1058637596007
2005-05-31,1509.267309010553
2005-06-01,1517.0630890014972
2005-06-02,1518.580023912369
2005-06-03,1517.0448738720174
2005-06-06,1520.714361889488
2005-06-07,1527.3561795350888
2005-06-08,1528.08165861419
2005-06-09,1523.8883708656563
2005-06-10,1523.2751862536888
2005-06-13,1524.190796825271
2005-06-14,1528.581360402153
2005-06-15,1529.9615460802054
2005-06-16,1534.3820392856521
2005-06-17,1544.8423713247655
2005-06-20,1542.4848852487462
2005-06-21,1540.9661958766815
2005-06-22,1542.3687554327234
2005-06-23,1534.708816571891
2005-06-24,1527.7661718402253
2005-06-27,1527.261478349246
2005-06-28,1534.6992712477015
2005-06-29,1532.5824983722068
2005-06-30,1530.7743339423403
2005-07-01,1529.762731350408
2005-07-04,1527.291392434832
2005-07-05,1529.401649935042
2005-07-06,1526.1723899726196
2005-07-07,1519.0239330499564
2005-07-08,1531.5986212901912
2005-07-11,1548.173042205925
2005-07-12,1553.8777888600791
2005-07-13,1546.876212067987
2005-07-14,1545.890836508912
2005-07-15,1542.7532466766709
2005-07-18,1540.3639251124575
2005-07-19,1541.959760616735
2005-07-20,1548.8427428922685
2005-07-21,1550.982962475587
2005-07-22,1558.9560535835049
2005-07-25,1557.4876215268087
2005-07-26,1558.4842911224432
2005-07-27,1563.8530860162853
2005-07-28,1573.8036895249486
2005-07-29,1572.5557808091737
2005-08-01,1576.5987781813253
2005-08-02,1586.8815185993917
2005-08-03,1591.6550802185448
2005-08-04,1586.2433441908931
2005-08-05,1573.7645118538233
2005-08-08,1571.056039884874
2005-08-09,1573.967716133814
2005-08-10,1580.7166657614118
2005-08-11,1588.8546422876989
2005-08-12,1586.1968101548546
2005-08-15,1585.0411166874512
2005-08-16,1577.9608328457577
2005-08-17,1572.854125911753
2005-08-18,1565.7696296489744
2005-08-19,1567.848541124523
2005-08-22,1577.2929054182073
2005-08-23,1573.7195525034326
2005-08-24,1570.0731692326322
2005-08-25,1572.008056336865
2005-08-26,1567.396186535688
2005-08-29,1567.095913795166
2005-08-30,1562.9893747916428
2005-08-31,1579.5594302876718
2005-09-01,1596.066149973526
2005-09-02,1599.0817845326515
2005-09-05,1599.972795370887
