Date,PAKISTAN SMALL CAP
2015-04-03,2683.1448832162373
2015-04-06,2696.3164704118644
2015-04-07,2668.7794107353197
2015-04-08,2691.144685450909
2015-04-09,2687.3862803433476
2015-04-10,2726.6763904021755
2015-04-13,2705.455663850631
2015-04-14,2704.297650607353
2015-04-15,2704.1801033939264
2015-04-16,2735.3094751329227
2015-04-17,2778.62361651767
2015-04-20,2783.3484665237693
2015-04-21,2751.2546976562585
2015-04-22,2798.5210790387077
2015-04-23,2817.3182335668657
2015-04-24,2842.9217179912694
2015-04-27,2825.390946688919
2015-04-28,2805.9696457792875
2015-04-29,2803.2635162872043
2015-04-30,2838.0287625054752
2015-05-01,2838.0287625054752
2015-05-04,2829.6799318879334
2015-05-05,2813.058561557782
2015-05-06,2822.9046606401703
2015-05-07,2814.5745666009443
2015-05-08,2806.726306620178
2015-05-11,2711.961535096049
2015-05-12,2749.523719471496
2015-05-13,2742.0342430614637
2015-05-14,2765.46298461192
2015-05-15,2760.532070787524
2015-05-18,2735.5082060641885
2015-05-19,2723.7549302153
2015-05-20,2718.3362015114303
2015-05-21,2722.7214292698914
2015-05-22,2720.5182090000503
2015-05-25,2732.4142452347905
2015-05-26,2711.9576703670677
2015-05-27,2741.055085333631
2015-05-28,2738.6239065846594
2015-05-29,2759.4892258389696
2015-06-01,2792.7805037741796
2015-06-02,2802.0032333504487
2015-06-03,2812.58857647888
2015-06-04,2826.1243530276633
2015-06-05,2825.2985455798116
2015-06-08,2854.6093052577407
2015-06-09,2862.1438550378684
2015-06-10,2869.2164635430336
2015-06-11,2879.1010318030185
2015-06-12,2895.3251967037313
2015-06-15,2918.2999109758935
2015-06-16,2902.382106915239
2015-06-17,2896.6158785336065
2015-06-18,2910.995245144883
2015-06-19,2890.1541907903825
2015-06-22,2874.4665086693785
2015-06-23,2879.184849199988
2015-06-24,2900.975999079892
2015-06-25,2881.639400980241
2015-06-26,2871.322934776495
2015-06-29,2886.3707363525364
2015-06-30,2909.7555416832256
2015-07-01,2944.0680521552
2015-07-02,2975.1224789406315
2015-07-03,3008.1755308782786
2015-07-06,3011.739578764437
2015-07-07,3033.2826185274143
2015-07-08,3020.8488835877884
2015-07-09,3000.74377928652
2015-07-10,2994.643199545196
2015-07-13,3010.257894270551
2015-07-14,3032.7200474484307
2015-07-15,3042.742912597157
2015-07-16,3047.1690413222627
2015-07-17,3047.169041322263
2015-07-20,3047.1690413222636
2015-07-21,3047.169041322264
2015-07-22,3060.2506592047516
2015-07-23,3052.4522713805595
2015-07-24,3043.4907992828826
2015-07-27,2988.707740838049
2015-07-28,2996.2207066657625
2015-07-29,3024.4118152080628
2015-07-30,3023.15740118997
2015-07-31,3022.8216141032212
2015-08-03,3044.4104152099885
2015-08-04,3058.8378718517724
