Date,UNITED KINGDOM SRI
2015-01-14,1215.790462015534
2015-01-15,1231.2106287513664
2015-01-16,1232.0816179087303
2015-01-19,1245.6927558509274
2015-01-20,1255.5427954881754
2015-01-21,1272.449761800606
2015-01-22,1283.6852716306082
2015-01-23,1288.6527607869293
2015-01-26,1289.8574877678163
2015-01-27,1296.498723753256
2015-01-28,1296.822155025089
2015-01-29,1288.3783406736643
2015-01-30,1270.9472104620872
2015-02-02,1274.5018222223853
2015-02-03,1293.2606157574903
2015-02-04,1299.6357211194345
2015-02-05,1309.245207507271
2015-02-06,1305.1246932656531
2015-02-09,1293.1620938628828
2015-02-10,1303.2220036057658
2015-02-11,1306.4327656922126
2015-02-12,1317.8250182982836
2015-02-13,1322.2338743165997
2015-02-16,1316.102528789449
2015-02-17,1316.8689348849957
2015-02-18,1323.0313021753984
2015-02-19,1329.5215571769545
2015-02-20,1330.7418769816104
2015-02-23,1338.5480254610802
2015-02-24,1340.7579915434153
2015-02-25,1338.2301643713831
2015-02-26,1337.5371711010716
2015-02-27,1342.8306032332987
2015-03-02,1334.130253137872
2015-03-03,1326.8213723555496
2015-03-04,1325.9882415509226
2015-03-05,1332.6951014717945
2015-03-06,1310.4554263878351
2015-03-09,1309.4955133538292
2015-03-10,1275.638092751967
2015-03-11,1269.7094416521354
2015-03-12,1270.912958064677
2015-03-13,1259.3018211046435
2015-03-16,1277.0012545755435
2015-03-17,1274.2656638112094
2015-03-18,1292.3233668292005
2015-03-19,1305.4968748436336
2015-03-20,1330.0317184170744
2015-03-23,1336.0582615706555
2015-03-24,1327.6328432689256
2015-03-25,1326.3101606406706
2015-03-26,1303.3651192083082
2015-03-27,1301.6574272600276
2015-03-30,1298.2609653737486
2015-03-31,1281.933043516028
2015-04-01,1282.6524767308688
2015-04-02,1290.5933494229107
2015-04-03,1290.5933494229107
2015-04-06,1303.43052785975
2015-04-07,1317.2589319180922
2015-04-08,1338.6186606135525
2015-04-09,1338.4635580603897
2015-04-10,1344.1480074110652
2015-04-13,1339.2750527591393
2015-04-14,1350.4261076266764
2015-04-15,1347.5603291699877
2015-04-16,1352.5877530584107
2015-04-17,1345.5145395324514
2015-04-20,1348.0966163950457
2015-04-21,1351.5383675887326
2015-04-22,1355.8026865416189
2015-04-23,1360.7817556250563
2015-04-24,1372.5691025871624
2015-04-27,1384.147013775038
2015-04-28,1378.2886306693695
2015-04-29,1379.3913480132378
2015-04-30,1376.4832612114108
2015-05-01,1357.357120350114
2015-05-04,1351.946650869209
2015-05-05,1345.5934355216004
2015-05-06,1351.600499428059
2015-05-07,1345.5749634865717
2015-05-08,1399.2471257462664
2015-05-11,1410.0133461821815
2015-05-12,1400.1782948373175
2015-05-13,1412.1740482038297
2015-05-14,1422.364405960083
2015-05-15,1427.4852321248802
2015-05-18,1417.3095055175907
2015-05-19,1408.3484617779002
2015-05-20,1418.1963057470077
2015-05-21,1434.0727923278405
2015-05-22,1424.978047012139
2015-05-25,1424.978047012139
2015-05-26,1398.638939881795
2015-05-27,1409.6169310633607
2015-05-28,1406.40093564615
2015-05-29,1393.9067392863763
2015-06-01,1381.4439430044033
2015-06-02,1386.8586801928898
2015-06-03,1391.5169951564671
2015-06-04,1381.2010909615983
2015-06-05,1353.226161696922
2015-06-08,1353.37519919023
2015-06-09,1351.4409074730415
2015-06-10,1391.9060982180292
2015-06-11,1394.9545019330758
2015-06-12,1387.7303053501414
2015-06-15,1370.7716170867252
2015-06-16,1377.4253322705504
2015-06-17,1376.77498180297
2015-06-18,1398.0334638775407
2015-06-19,1399.2018352026948
2015-06-22,1420.192858965755
2015-06-23,1416.6918636064433
2015-06-24,1412.8298941976889
2015-06-25,1409.8268865673583
2015-06-26,1401.0507160840546
2015-06-29,1373.4861644547343
2015-06-30,1355.011374630517
2015-07-01,1367.4565458316683
2015-07-02,1367.1346649583134
2015-07-03,1356.3680730810343
2015-07-06,1345.6421388543522
2015-07-07,1309.1998604440798
2015-07-08,1314.8603119189738
2015-07-09,1340.13170514409
2015-07-10,1375.376726310499
2015-07-13,1389.2446788098932
2015-07-14,1394.2709634859189
2015-07-15,1399.271518641473
2015-07-16,1408.6110333640454
2015-07-17,1411.2691914473432
2015-07-20,1408.0375483252499
2015-07-21,1397.4267689061169
2015-07-22,1385.8476799258247
2015-07-23,1372.889734249594
2015-07-24,1363.5057872070458
2015-07-27,1353.7589232653354
2015-07-28,1362.2393136181336
2015-07-29,1383.1815687220956
2015-07-30,1384.2939917091594
2015-07-31,1391.0508964211213
2015-08-03,1393.1989026350784
2015-08-04,1393.752557179123
2015-08-05,1405.2807604880156
2015-08-06,1398.1445900212354
2015-08-07,1386.466013118936
2015-08-10,1396.1736067767354
2015-08-11,1391.261190303406
2015-08-12,1374.7156307377072
2015-08-13,1380.6194803773253
2015-08-14,1380.477726467791
2015-08-17,1379.9331958808787
2015-08-18,1380.7379568350807
2015-08-19,1357.7050252694985
2015-08-20,1347.386474519802
2015-08-21,1310.5648683548436
2015-08-24,1257.7799717500711
2015-08-25,1294.7789339807523
2015-08-26,1258.2740801684324
2015-08-27,1281.9215057456686
2015-08-28,1289.906569150392
2015-08-31,1292.1329360427935
2015-09-01,1249.9040104001795
2015-09-02,1254.1237515698751
2015-09-03,1270.2490790226782
2015-09-04,1237.4551539744295
2015-09-07,1252.7413510331255
2015-09-08,1276.0889594890862
2015-09-09,1293.9655638430452
2015-09-10,1286.072059875195
2015-09-11,1271.8736214744476
2015-09-14,1262.9621888446086
2015-09-15,1266.9231514297824
2015-09-16,1291.181775287612
2015-09-17,1284.7979820788562
2015-09-18,1275.3012498608691
2015-09-21,1266.0231973522743
2015-09-22,1222.702691649165
2015-09-23,1231.5477486219836
2015-09-24,1222.0056055347611
2015-09-25,1246.398456832947
2015-09-28,1219.064236863193
2015-09-29,1200.130196002415
2015-09-30,1233.5184599741515
2015-10-01,1232.894048117149
2015-10-02,1249.7533176429597
2015-10-05,1283.7058843591074
2015-10-06,1294.0075829509503
2015-10-07,1298.9498712489249
2015-10-08,1303.912370720968
2015-10-09,1310.734633447851
2015-10-12,1307.0265194515564
2015-10-13,1287.7122063396455
2015-10-14,1287.2634521097739
2015-10-15,1309.810553767555
2015-10-16,1318.6529676658345
2015-10-19,1318.353886573582
2015-10-20,1320.4247406216757
2015-10-21,1315.8694321249616
2015-10-22,1320.3054654039158
2015-10-23,1329.0136102801844
2015-10-26,1325.571475063986
2015-10-27,1310.6146813975392
2015-10-28,1326.5472068377258
2015-10-29,1319.374537535884
2015-10-30,1327.2200874246003
2015-11-02,1326.4491098634603
2015-11-03,1323.8902565978144
2015-11-04,1327.6116999100796
2015-11-05,1305.7722997539936
2015-11-06,1284.122327046273
2015-11-09,1276.4310434629597
2015-11-10,1273.229608790368
2015-11-11,1288.4845274423271
2015-11-12,1272.4950098059453
2015-11-13,1257.8966349382479
2015-11-16,1263.41156238779
2015-11-17,1293.4598016977477
2015-11-18,1290.2403432846181
2015-11-19,1312.7637249671711
2015-11-20,1311.4890542766025
2015-11-23,1293.792141702507
2015-11-24,1276.8941393847779
2015-11-25,1296.4487570212686
2015-11-26,1311.0914883456064
2015-11-27,1304.2227834294654
2015-11-30,1301.7529191664323
2015-12-01,1305.818353363299
2015-12-02,1297.361142770828
2015-12-03,1277.1156820899596
2015-12-04,1277.657720316708
2015-12-07,1279.9066114954346
2015-12-08,1257.1102717749973
2015-12-09,1269.4423522910915
2015-12-10,1255.7916852187352
2015-12-11,1232.207507390392
2015-12-14,1208.785294565529
2015-12-15,1235.02627146771
2015-12-16,1240.6849949909524
2015-12-17,1242.9769190793713
2015-12-18,1226.998479235461
2015-12-21,1222.417506475279
2015-12-22,1226.5807043746763
2015-12-23,1260.37043881992
2015-12-24,1268.41778008943
2015-12-25,1268.4177800894302
2015-12-28,1265.02186220157
2015-12-29,1270.3183090878213
2015-12-30,1264.986223159114
2015-12-31,1251.5299070091207
2016-01-01,1251.5299070091207
2016-01-04,1214.683982974894
2016-01-05,1221.467616952717
2016-01-06,1207.1106765934808
2016-01-07,1183.447695940311
2016-01-08,1180.1841368820494
2016-01-11,1172.3972621569717
2016-01-12,1172.9945685965859
2016-01-13,1184.1620021879392
2016-01-14,1167.8306783351848
2016-01-15,1142.1461238476784
2016-01-18,1131.8496719346238
2016-01-19,1142.9680949292112
2016-01-20,1105.5291122789406
2016-01-21,1123.8700534549218
2016-01-22,1165.956669963228
2016-01-25,1151.5672286974932
2016-01-26,1157.6988737840147
2016-01-27,1169.689294735625
2016-01-28,1164.7261360776208
2016-01-29,1183.2915186825421
2016-02-01,1197.0131371446898
2016-02-02,1170.0955070139196
2016-02-03,1167.023511689912
2016-02-04,1172.9087117406104
2016-02-05,1153.1985845790475
2016-02-08,1107.834232828773
2016-02-09,1110.135617058147
2016-02-10,1120.8888945697727
2016-02-11,1089.6052612267047
2016-02-12,1120.005855481272
2016-02-15,1146.081850875427
2016-02-16,1135.2102352327593
2016-02-17,1167.8729709846234
2016-02-18,1166.9179452540495
2016-02-19,1152.511757275416
2016-02-22,1154.0233703823205
2016-02-23,1133.5190773925513
2016-02-24,1103.2274027399053
2016-02-25,1135.3640902511306
2016-02-26,1140.6931506443764
2016-02-29,1150.5882613167528
2016-03-01,1171.1590039725709
2016-03-02,1177.0074210294877
2016-03-03,1183.1733299325579
2016-03-04,1194.8957181307724
2016-03-07,1186.9649671565223
2016-03-08,1183.881727196346
2016-03-09,1187.2555062720307
