Date,EASEA INDEX (EAFE ex JAPAN)
2008-11-06,100.69529822025575
2008-11-07,102.10332784093816
2008-11-10,103.03983715547753
2008-11-11,98.73291624154596
2008-11-12,95.79228171806712
2008-11-13,94.6089476738173
2008-11-14,95.53689687218753
2008-11-17,93.10535512479163
2008-11-18,93.45535250043979
2008-11-19,90.05075511920576
2008-11-20,86.47930367460296
2008-11-21,84.86119543064947
2008-11-24,91.28126589299387
2008-11-25,92.14061174643561
2008-11-26,92.26235467693546
2008-11-27,94.42987998366465
2008-11-28,96.02800802091845
2008-12-01,90.76688842839314
2008-12-02,91.53888867549519
2008-12-03,92.06310427961861
2008-12-04,91.66096324159896
2008-12-05,88.35606578843043
2008-12-08,94.22299092674076
2008-12-09,95.31312763252345
2008-12-10,95.4762461866372
2008-12-11,94.75253027742987
2008-12-12,91.88873914179507
2008-12-15,91.73797125709824
2008-12-16,92.24496621510649
2008-12-17,91.5316762711785
2008-12-18,91.4797362937871
2008-12-19,91.32725902964081
2008-12-22,89.83174315548308
2008-12-23,89.55191536258235
2008-12-24,89.34523457131334
2008-12-25,89.34523457131334
2008-12-26,89.1113936581762
2008-12-29,89.85080747706137
2008-12-30,91.30809145530132
2008-12-31,92.31837605321023
2009-01-01,92.31837605321023
2009-01-02,95.02574690521786
2009-01-05,97.15342902602342
2009-01-06,99.23321035225635
2009-01-07,97.94530195291136
2009-01-08,96.94107394943983
2009-01-09,96.67431915070495
2009-01-12,95.06335714477926
2009-01-13,93.74038256704877
2009-01-14,90.12400947602949
2009-01-15,89.0302871540538
2009-01-16,89.87076860614944
2009-01-19,88.72281499662141
2009-01-20,86.8824960663366
2009-01-21,86.17776722763777
2009-01-22,85.54956426424259
2009-01-23,85.22896892706179
2009-01-26,87.35318916172822
2009-01-27,87.66986602198259
2009-01-28,90.32737281445222
2009-01-29,89.09034618132742
2009-01-30,89.28712322696741
2009-02-02,87.06209881700491
2009-02-03,88.47805491956181
2009-02-04,90.55856038940044
2009-02-05,90.44984576545366
2009-02-06,92.46650291587514
2009-02-09,92.81918932798925
2009-02-10,90.40383380302806
2009-02-11,90.03177282772103
2009-02-12,89.10842298898991
2009-02-13,89.59485498117074
2009-02-16,88.35555416169132
2009-02-17,86.30783260527525
2009-02-18,86.0662921963699
2009-02-19,86.12821871221631
2009-02-20,83.31127526368176
2009-02-23,82.59154722394288
2009-02-24,81.47479086682546
2009-02-25,81.35834559864412
2009-02-26,82.95869957768026
2009-02-27,81.52659032601503
2009-03-02,77.60063036299476
2009-03-03,76.3582443433981
2009-03-04,78.97284527278741
2009-03-05,76.4861372160122
2009-03-06,75.41406011462647
2009-03-09,74.67361250768305
2009-03-10,78.21341882255926
2009-03-11,78.57633399438215
2009-03-12,78.9536563515127
2009-03-13,79.86254433714076
2009-03-16,81.8171545760525
2009-03-17,81.52522743604075
2009-03-18,80.89163791404899
2009-03-19,81.31693068664045
2009-03-20,81.64766890051438
2009-03-23,84.25744619326838
2009-03-24,84.67960870788163
2009-03-25,84.95981255083561
2009-03-26,85.27100507642362
2009-03-27,84.66348221474325
2009-03-30,81.53058734761667
2009-03-31,84.05404772268619
2009-04-01,85.21430961908929
2009-04-02,89.44071292426217
2009-04-03,88.66250906570893
2009-04-06,88.33378473360997
2009-04-07,87.69084864565896
2009-04-08,87.64452671563494
2009-04-09,89.61310091333037
2009-04-10,89.61547936702763
2009-04-13,89.71343463903204
2009-04-14,91.24516536199425
2009-04-15,91.05291634363775
2009-04-16,92.46522825160643
2009-04-17,93.92156664462364
2009-04-20,91.003260567541
2009-04-21,90.84757612625503
2009-04-22,91.6795420778889
2009-04-23,91.71320530700984
2009-04-24,93.47360578639694
2009-04-27,93.76770738137219
2009-04-28,92.33131821475426
2009-04-29,94.0779589421621
2009-04-30,95.86945239353835
2009-05-01,95.82844172959118
2009-05-04,97.83830818995429
2009-05-05,98.50773972013192
2009-05-06,99.97048074243658
2009-05-07,99.65657216618906
2009-05-08,100.97184530173209
2009-05-11,99.52709426461892
2009-05-12,99.32890545946324
2009-05-13,97.17723019836818
2009-05-14,97.04979185373071
2009-05-15,97.72308407310483
2009-05-18,100.05109172614586
2009-05-19,101.67439462802245
2009-05-20,102.04021107573776
2009-05-21,100.07912883290244
2009-05-22,99.72608313795216
2009-05-25,99.81581859157953
2009-05-26,100.64007824338401
2009-05-27,101.60336780058353
2009-05-28,100.43538294155739
2009-05-29,100.79623866604472
2009-06-01,103.77325645701089
2009-06-02,103.82837921148418
2009-06-03,102.31129436060756
2009-06-04,101.77829264228504
2009-06-05,102.67399056129202
2009-06-08,101.88776928247015
2009-06-09,102.17270046620229
2009-06-10,103.64292735949977
2009-06-11,104.53302708099797
2009-06-12,104.34990276577805
2009-06-15,101.88596943496113
2009-06-16,101.53864125471206
2009-06-17,99.56295953548428
2009-06-18,99.99217101590435
2009-06-19,101.2890679412598
2009-06-22,98.82616663133658
2009-06-23,97.8226043096708
2009-06-24,100.10194870980517
2009-06-25,99.63991614446486
2009-06-26,99.69144412111903
2009-06-29,101.11989470774783
2009-06-30,100.41082673366047
2009-07-01,101.65555489017832
2009-07-02,99.33267181142335
2009-07-03,99.24682175645745
2009-07-06,98.09965750172204
2009-07-07,97.42292110455524
2009-07-08,96.44707457774646
2009-07-09,96.93895204206065
2009-07-10,96.1127850479711
2009-07-13,97.34712922073464
2009-07-14,99.03184380876138
2009-07-15,101.6733133996311
2009-07-16,102.1782381402206
2009-07-17,102.62944663886549
2009-07-20,103.94314805596655
2009-07-21,104.73780042511103
2009-07-22,105.03016637824717
2009-07-23,106.87493905714997
2009-07-24,106.9280501647054
2009-07-27,107.60812679514929
2009-07-28,107.09943800976377
2009-07-29,107.70501547252647
2009-07-30,110.02582471646421
2009-07-31,109.94171996779572
2009-08-03,111.38682943330971
2009-08-04,111.17434958972879
2009-08-05,110.54229737707175
2009-08-06,111.16576822811273
2009-08-07,112.30969194198454
2009-08-10,111.91481892379774
2009-08-11,110.66939540349762
2009-08-12,111.57850020553039
2009-08-13,112.6708950128519
2009-08-14,111.9561101970728
2009-08-17,109.74461988448779
2009-08-18,111.03524295138767
2009-08-19,110.61269357599306
2009-08-20,112.07929694322594
2009-08-21,114.04862242176337
2009-08-24,115.3515790802851
2009-08-25,115.66949781024611
2009-08-26,115.22247063430115
2009-08-27,114.71370211652362
2009-08-28,115.76486738865472
2009-08-31,115.01078642894716
2009-09-01,113.34450691475288
2009-09-02,112.71679314885098
2009-09-03,112.77023891701283
2009-09-04,114.31848020443313
2009-09-07,115.84675052116614
2009-09-08,116.32296593728866
2009-09-09,117.15738263857477
2009-09-10,117.38385865539776
2009-09-11,117.99398576256061
2009-09-14,117.36007832286681
2009-09-15,117.55181764700703
2009-09-16,119.41676669210348
2009-09-17,120.15820197465396
2009-09-18,119.50863206948485
2009-09-21,118.65741877450125
2009-09-22,119.26590204323215
2009-09-23,119.64222575290525
2009-09-24,117.56599241706365
2009-09-25,117.16600983781262
2009-09-28,118.89730400656983
2009-09-29,119.4434454902824
2009-09-30,119.08079254400963
2009-10-01,117.30673749988831
2009-10-02,114.85218506894965
2009-10-05,115.63705596785734
2009-10-06,117.94485100161064
2009-10-07,117.96567463887774
2009-10-08,119.64452706143297
2009-10-09,119.3243901422192
2009-10-12,119.93444326526073
2009-10-13,119.03540800510778
2009-10-14,121.38199090217361
2009-10-15,121.63223305253257
2009-10-16,120.90193215316812
2009-10-19,122.4849070261803
2009-10-20,122.22242244876553
2009-10-21,122.63448590999036
2009-10-22,121.22690414862224
2009-10-23,120.86068618081953
2009-10-26,119.57091068112966
2009-10-27,119.62071979876328
2009-10-28,117.23709347238692
2009-10-29,118.71710272597171
2009-10-30,116.89947919086832
2009-11-02,116.87932681042106
2009-11-03,115.75363844724723
2009-11-04,117.48874676619556
2009-11-05,117.91063350072008
2009-11-06,118.51937454951133
2009-11-09,120.8084686175448
2009-11-10,120.82490569252992
2009-11-11,121.35658526142728
2009-11-12,121.5768667990526
2009-11-13,122.01580692530905
2009-11-16,123.68531051372477
2009-11-17,123.21284979411996
2009-11-18,122.88904356683331
2009-11-19,121.1498677518717
2009-11-20,120.14007829561815
2009-11-23,122.36749660013092
2009-11-24,121.45953163890557
2009-11-25,122.07804865058081
2009-11-26,118.43394042966905
2009-11-27,119.07203247724884
2009-11-30,118.12079280635892
2009-12-01,120.95869885851627
2009-12-02,121.69048810893952
2009-12-03,121.54258826453027
2009-12-04,122.54294526101982
2009-12-07,121.99777948009782
2009-12-08,120.39286304523698
2009-12-09,119.22746500267303
2009-12-10,120.33812893802128
2009-12-11,120.99474345891427
2009-12-14,121.87250639029439
2009-12-15,122.02142714120897
2009-12-16,123.14292349427777
2009-12-17,121.82941648291272
2009-12-18,121.43108673852352
2009-12-21,122.69208293903527
2009-12-22,123.62077949490211
2009-12-23,124.0475267519536
2009-12-24,124.20292608684699
2009-12-25,124.20292608684699
2009-12-28,124.7806065091248
2009-12-29,125.44730436774131
2009-12-30,125.10303402099323
2009-12-31,125.60555609979842
2010-01-01,125.60555609979842
2010-01-04,127.26245453294594
2010-01-05,127.50539591571312
2010-01-06,127.692986103332
