Date,FM ASIA INDEX IMI
2019-03-04,1418.0754511498694
2019-03-05,1416.7991252153981
2019-03-06,1417.585252768376
2019-03-07,1427.7928663987316
2019-03-08,1416.4226845288883
2019-03-11,1417.4426191163154
2019-03-12,1420.5064846095952
2019-03-13,1416.5173542558632
2019-03-14,1419.327874992696
2019-03-15,1407.255925592313
2019-03-18,1409.618765030694
2019-03-19,1405.5553546544631
2019-03-20,1398.2426955775627
2019-03-21,1372.810685252608
2019-03-22,1389.9112984889593
2019-03-25,1364.5730664194418
2019-03-26,1369.8941745307607
2019-03-27,1377.4440155439258
2019-03-28,1386.702801894086
2019-03-29,1385.7920798750527
2019-04-01,1399.4696796759326
2019-04-02,1404.1081466906878
2019-04-03,1391.7689591120363
2019-04-04,1396.2658763727227
2019-04-05,1395.0870843157836
2019-04-08,1389.2959434037891
2019-04-09,1373.9304434329442
2019-04-10,1367.5100494581648
2019-04-11,1374.3011584079413
2019-04-12,1366.409815448366
2019-04-15,1366.603728712552
2019-04-16,1358.337642351338
2019-04-17,1349.6578998110053
2019-04-18,1351.2903365342477
2019-04-19,1354.2457795754012
2019-04-22,1350.8539238612427
2019-04-23,1349.5370861464196
2019-04-24,1360.0454362769324
2019-04-25,1363.9148368697347
2019-04-26,1367.2539934272424
2019-04-29,1362.9898123075209
2019-04-30,1359.0767632266334
2019-05-01,1355.2284945150527
2019-05-02,1367.9230072037099
2019-05-03,1364.7681543593517
2019-05-06,1350.0690643749251
2019-05-07,1347.1191161690256
2019-05-08,1337.3970819863334
2019-05-09,1328.9952199657632
2019-05-10,1333.1625840655558
2019-05-13,1338.6808691729398
2019-05-14,1342.2795269556498
2019-05-15,1351.7536379647133
2019-05-16,1361.8485590991056
2019-05-17,1361.5256721264582
2019-05-20,1369.9245422873566
2019-05-21,1364.2414324981883
2019-05-22,1364.2576932529403
2019-05-23,1362.1901160508216
2019-05-24,1340.9925829574934
2019-05-27,1351.1139910022957
2019-05-28,1351.9966797440804
2019-05-29,1360.755004634556
2019-05-30,1358.5987511983556
2019-05-31,1349.8894604898348
2019-06-03,1332.288094273277
2019-06-04,1331.6401404946216
2019-06-05,1329.6392377691793
2019-06-06,1322.687995927975
2019-06-07,1326.6811727127392
2019-06-10,1338.1998784862642
2019-06-11,1339.8719185681507
2019-06-12,1330.148120113212
2019-06-13,1330.199222145887
2019-06-14,1336.5328534429866
2019-06-17,1320.9719043731927
2019-06-18,1324.2704360198297
2019-06-19,1331.9595556600034
2019-06-20,1326.836160502064
2019-06-21,1323.5177460631726
2019-06-24,1319.1505985062067
2019-06-25,1319.1321097007692
2019-06-26,1322.157320754108
2019-06-27,1310.8051444392215
2019-06-28,1318.9640770759331
2019-07-01,1339.111909384942
2019-07-02,1335.7105763101397
2019-07-03,1335.5159453434455
2019-07-04,1348.967100740988
2019-07-05,1359.6798983439153
2019-07-08,1344.8755328574798
2019-07-09,1346.3645878087164
2019-07-10,1343.9471323770235
2019-07-11,1345.6805203614067
2019-07-12,1341.868448418849
2019-07-15,1326.4156119803022
2019-07-16,1342.414894694622
2019-07-17,1343.268840342711
2019-07-18,1336.686944243712
2019-07-19,1343.5702153237808
2019-07-22,1334.0476866417855
2019-07-23,1359.8307678866377
2019-07-24,1365.3325544990848
2019-07-25,1374.082815179718
2019-07-26,1376.16041045818
2019-07-29,1379.0908928427511
2019-07-30,1364.1954512854152
2019-07-31,1373.1879875458005
2019-08-01,1391.3047073473203
2019-08-02,1375.9718508450965
2019-08-05,1340.3854733964724
2019-08-06,1333.1933469029907
2019-08-07,1332.7614519482868
2019-08-08,1348.29887903584
2019-08-09,1347.5614432827228
2019-08-12,1346.7112088740569
2019-08-13,1337.932394407959
2019-08-14,1343.5468615014336
2019-08-15,1358.84851748299
2019-08-16,1362.427787662195
2019-08-19,1367.0552618718473
2019-08-20,1369.968162424498
2019-08-21,1376.4565414724384
2019-08-22,1384.3752400681938
2019-08-23,1375.611248866934
2019-08-26,1359.8379686436285
2019-08-27,1355.7252640977094
2019-08-28,1357.1751738365658
2019-08-29,1359.8700776882401
2019-08-30,1371.9962616484563
2019-09-02,1373.0291158222615
2019-09-03,1365.045742237314
2019-09-04,1353.964336041223
2019-09-05,1351.0059452800954
2019-09-06,1346.7899209177224
2019-09-09,1349.1834412168826
2019-09-10,1348.8573766186298
2019-09-11,1348.7175442446687
2019-09-12,1347.3631598967663
2019-09-13,1347.3490831167774
2019-09-16,1363.9650319950783
2019-09-17,1362.9664120502714
2019-09-18,1360.2431227488705
2019-09-19,1358.6932303086433
2019-09-20,1353.939088777488
2019-09-23,1365.0318726846215
2019-09-24,1367.0401218806458
2019-09-25,1367.3796291817143
2019-09-26,1373.9910920317398
2019-09-27,1379.7526772164485
2019-09-30,1382.8670319045605
2019-10-01,1379.0247358393726
2019-10-02,1366.3967422194175
2019-10-03,1363.0153541441487
2019-10-04,1360.2911477112345
2019-10-07,1352.0367303833132
2019-10-08,1360.3143724506801
2019-10-09,1354.668560524773
2019-10-10,1347.4589103479066
2019-10-11,1349.6966161116127
2019-10-14,1344.6315702717477
2019-10-15,1346.9873459893809
2019-10-16,1344.0148502072655
2019-10-17,1332.8204687238767
2019-10-18,1330.9345286481093
2019-10-21,1328.2846440711887
