Date,SOUTH AFRICA MINIMUM VOLATILITY (ZAR)
2012-08-03,4414.803726152451
2012-08-06,4400.616846899712
2012-08-07,4369.5412220086855
2012-08-08,4375.23818526408
2012-08-09,4432.909092150376
2012-08-10,4452.8918919651505
2012-08-13,4371.830144261551
2012-08-14,4403.623807292799
2012-08-15,4377.999980223902
2012-08-16,4356.105857474852
2012-08-17,4273.896178336368
2012-08-20,4263.446297797723
2012-08-21,4313.9120307105
2012-08-22,4259.906262650101
2012-08-23,4264.597076478329
2012-08-24,4232.159972716855
2012-08-27,4256.048846271581
2012-08-28,4205.429635586209
2012-08-29,4222.833941572434
2012-08-30,4158.868284155819
2012-08-31,4171.795368208498
2012-09-03,4216.844218934315
2012-09-04,4205.445778144625
2012-09-05,4152.417973796641
2012-09-06,4260.809849534219
2012-09-07,4231.066313051303
2012-09-10,4204.809580549277
2012-09-11,4208.559563454754
2012-09-12,4078.764974345497
2012-09-13,4096.990670629424
2012-09-14,4106.7880511666335
2012-09-17,4112.484309670393
2012-09-18,4151.366810494883
2012-09-19,4142.017604829256
2012-09-20,4141.556832161723
2012-09-21,4194.352930275737
2012-09-24,4204.8570365845535
2012-09-25,4235.382139020391
2012-09-26,4185.773412594682
2012-09-27,4221.629165803147
2012-09-28,4198.184161756911
2012-10-01,4161.367877879343
2012-10-02,4135.458597857464
2012-10-03,4106.883915455128
2012-10-04,4040.146021797276
2012-10-05,3930.0228504310426
2012-10-08,3802.1165617241522
2012-10-09,3862.791540991091
2012-10-10,3924.460297146122
2012-10-11,3945.201060928951
2012-10-12,3994.196245036126
2012-10-15,3927.1996126032354
2012-10-16,3986.064972232547
2012-10-17,4046.6919215293055
2012-10-18,4024.6860693721655
2012-10-19,4009.2596605556037
2012-10-22,4047.226835627612
2012-10-23,3974.3574751577094
2012-10-24,3995.8800737351985
2012-10-25,4028.3975134772963
2012-10-26,4053.8302745659653
2012-10-29,4058.679545759274
2012-10-30,4070.672095346954
2012-10-31,4044.0662170707037
2012-11-01,4078.9714865614364
2012-11-02,4099.035803026057
2012-11-05,4153.807351253085
2012-11-06,4181.811176933037
2012-11-07,4196.580342636396
2012-11-08,4166.370483596443
2012-11-09,4166.328936333013
2012-11-12,4165.516385670721
2012-11-13,4171.127651315827
2012-11-14,4068.89661753888
2012-11-15,4018.5268549311136
2012-11-16,4053.3908135107854
2012-11-19,4090.0729682131714
2012-11-20,4059.392109315163
2012-11-21,4004.9936890857284
2012-11-22,4013.692061617781
2012-11-23,4017.4226796859243
2012-11-26,4027.373083902807
2012-11-27,4052.6530692421175
2012-11-28,4024.948788558336
2012-11-29,4085.323959245134
2012-11-30,4026.733835183794
2012-12-03,4018.036350594931
2012-12-04,4044.835848489068
2012-12-05,4085.8663119355006
2012-12-06,4189.485206540772
2012-12-07,4209.613181253928
2012-12-10,4227.184763508968
2012-12-11,4234.133965607297
2012-12-12,4239.030266994043
2012-12-13,4236.420797705846
2012-12-14,4244.53817924903
2012-12-17,4263.68175543138
2012-12-18,4297.417344087457
2012-12-19,4331.559739449431
2012-12-20,4346.506663295906
2012-12-21,4327.826393241117
2012-12-24,4317.661759505264
2012-12-25,4317.661759505264
2012-12-26,4321.893811130042
2012-12-27,4401.615975302732
2012-12-28,4411.480557275617
2012-12-31,4411.502514094446
2013-01-01,4411.502514094446
2013-01-02,4436.009671878894
2013-01-03,4480.800683582892
2013-01-04,4489.689553471009
2013-01-07,4482.046595592158
2013-01-08,4468.423444726282
2013-01-09,4483.084106106211
2013-01-10,4372.505907491492
2013-01-11,4259.523614905262
2013-01-14,4254.717651638607
2013-01-15,4155.435129565704
2013-01-16,4168.406213174279
2013-01-17,4177.810288771092
2013-01-18,4169.37122433712
2013-01-21,4173.4545754355495
2013-01-22,4174.3616706774
2013-01-23,4092.69156480196
2013-01-24,4086.897721825306
2013-01-25,4109.707770761847
2013-01-28,4041.426608953189
2013-01-29,4066.382901509196
2013-01-30,3977.5783109001695
2013-01-31,4038.833818733797
2013-02-01,4033.0886083445166
2013-02-04,4043.959966569114
2013-02-05,4117.899304541992
2013-02-06,4059.462001527493
2013-02-07,4147.018888551872
2013-02-08,4168.512547575574
2013-02-11,4156.686391689784
2013-02-12,4098.134173762519
2013-02-13,4138.276932316868
2013-02-14,4173.723687485584
2013-02-15,4157.8913631507
2013-02-18,4133.857594133646
2013-02-19,4138.534870823935
2013-02-20,4124.4100981725105
2013-02-21,4134.144652679926
2013-02-22,4149.236014504628
2013-02-25,4185.715915495238
2013-02-26,4211.359435810958
2013-02-27,4158.820067050078
2013-02-28,4160.470090848287
2013-03-01,4189.657039169079
2013-03-04,4137.811289983291
2013-03-05,4216.818922683994
2013-03-06,4218.571720346407
2013-03-07,4167.304747194575
2013-03-08,4259.1212832498295
2013-03-11,4261.16476249308
2013-03-12,4210.631402150121
2013-03-13,4163.467932731387
2013-03-14,4178.553827307367
2013-03-15,4120.024913457299
2013-03-18,4155.742512387037
2013-03-19,4129.609215144709
2013-03-20,4111.205838202985
2013-03-21,4099.499744628737
2013-03-22,4068.7809964919115
2013-03-25,4141.402291166107
2013-03-26,4216.918109112899
2013-03-27,4164.872900587727
2013-03-28,4204.677732968217
2013-03-29,4204.677732968217
2013-04-01,4198.778125479825
2013-04-02,4210.044536626682
2013-04-03,4137.431108239436
2013-04-04,4122.011107284495
2013-04-05,4041.4402880460843
2013-04-08,4113.020930574005
2013-04-09,4138.445286830385
2013-04-10,4199.377375968019
2013-04-11,4202.986415499101
2013-04-12,4150.0042029452015
2013-04-15,3994.3058798769644
2013-04-16,4013.2143755263774
