Date,AC PACIFIC HIGH DIVIDEND YIELD
2001-09-20,984.4017879748848
2001-09-21,955.8354349146927
2001-09-24,960.7072112734021
2001-09-25,965.9419338532379
2001-09-26,961.6355221062763
2001-09-27,964.2849015911167
2001-09-28,987.4604469601355
2001-10-01,995.0091793243108
2001-10-02,999.6708453861645
2001-10-03,1000.1017419228021
2001-10-04,1013.538867661874
2001-10-05,1024.813622173826
2001-10-08,1012.6045329554535
2001-10-09,1021.3199537271495
2001-10-10,1014.5305853141131
2001-10-11,1027.290141936554
2001-10-12,1023.6942313411297
2001-10-15,1026.7432469449438
2001-10-16,1034.394881395757
2001-10-17,1043.6523750608053
2001-10-18,1022.611655008738
2001-10-19,1015.6143304757195
2001-10-22,1016.2128204783263
2001-10-23,1027.3126213879832
2001-10-24,1033.841299922753
2001-10-25,1037.9208094066287
2001-10-26,1039.6598483478988
2001-10-29,1031.3168795941942
2001-10-30,1027.7717019176876
2001-10-31,1026.2855492070526
2001-11-01,1028.796809784068
2001-11-02,1025.22310160843
2001-11-05,1031.2091028117122
2001-11-06,1038.0047913373633
2001-11-07,1028.9191299878007
2001-11-08,1041.0226122244756
2001-11-09,1049.3520643885668
2001-11-12,1060.7945137574895
2001-11-13,1056.8128685826946
2001-11-14,1069.2506713668445
2001-11-15,1081.1693728795187
2001-11-16,1074.0489234758286
2001-11-19,1077.5336340847216
2001-11-20,1082.630008497781
2001-11-21,1082.542337771856
2001-11-22,1079.6515899869376
2001-11-23,1086.5857301483838
2001-11-26,1099.8788764231683
2001-11-27,1099.8515761255956
2001-11-28,1081.0631086019996
2001-11-29,1081.4225414184982
2001-11-30,1096.4519549877446
2001-12-03,1089.2630103261959
2001-12-04,1091.840169222645
2001-12-05,1110.9201459241056
2001-12-06,1112.4832257725623
2001-12-07,1113.5816364136708
2001-12-10,1104.4289525696645
2001-12-11,1102.6396830366316
2001-12-12,1114.567436587549
2001-12-13,1101.166199294957
2001-12-14,1095.4257789900344
2001-12-17,1087.8435934375218
2001-12-18,1086.0377512466334
2001-12-19,1085.284253546718
2001-12-20,1090.004774401723
2001-12-21,1079.473753126738
2001-12-24,1084.4373680326769
2001-12-25,1088.5237074115043
2001-12-26,1085.4803687476124
2001-12-27,1093.6487375557497
2001-12-28,1104.8468566013632
2001-12-31,1109.4896127706945
2002-01-01,1109.4896127706945
2002-01-02,1115.1931251458514
2002-01-03,1117.8709986012607
2002-01-04,1132.397605996346
2002-01-07,1147.1054378247604
2002-01-08,1139.0585948288085
2002-01-09,1134.7724458867774
2002-01-10,1128.7778393454482
2002-01-11,1121.035744878246
2002-01-14,1122.40490685276
2002-01-15,1112.8384593225135
2002-01-16,1114.5653243045213
2002-01-17,1112.929660115919
2002-01-18,1115.003252842619
2002-01-21,1128.2861528142867
2002-01-22,1120.6555298244666
2002-01-23,1122.4454814537278
2002-01-24,1125.226256403832
2002-01-25,1133.5828162040398
2002-01-28,1138.119110080712
2002-01-29,1138.943626334231
2002-01-30,1122.3217961039804
2002-01-31,1128.9093175814703
2002-02-01,1121.6202226112555
2002-02-04,1125.1828239216102
2002-02-05,1117.6330802761595
2002-02-06,1116.0059901996763
2002-02-07,1112.4910632679737
2002-02-08,1121.3402212085398
2002-02-11,1132.8797733884544
2002-02-12,1134.8325055016016
2002-02-13,1138.282148974661
2002-02-14,1156.2721655736145
2002-02-15,1155.7031487434135
2002-02-18,1156.7411318604543
2002-02-19,1142.2122275293802
2002-02-20,1137.3447637093873
2002-02-21,1141.717529877343
2002-02-22,1137.8863762623203
2002-02-25,1128.6567473029295
2002-02-26,1127.858685751594
2002-02-27,1139.9708856015536
2002-02-28,1139.4928503392418
2002-03-01,1145.6076209652713
2002-03-04,1169.5187982783934
2002-03-05,1176.0427019797621
2002-03-06,1177.0261416469239
2002-03-07,1199.3008460385358
2002-03-08,1198.0943451171506
2002-03-11,1204.5760067782148
2002-03-12,1200.8590067081716
2002-03-13,1193.3959920491131
2002-03-14,1198.506716595231
2002-03-15,1195.385484928194
2002-03-18,1196.2266366755694
2002-03-19,1199.9943434938668
2002-03-20,1203.0717563740134
2002-03-21,1194.199068537901
2002-03-22,1191.098218608185
2002-03-25,1188.58117341736
2002-03-26,1181.1722955173434
2002-03-27,1192.7361145752259
2002-03-28,1201.5148552085268
2002-03-29,1195.6103315646078
2002-04-01,1188.8736860306935
2002-04-02,1186.7804675233442
2002-04-03,1188.3382803347367
2002-04-04,1190.3837294286332
2002-04-05,1193.8189130781889
2002-04-08,1186.1911921686703
2002-04-09,1180.3431472176103
2002-04-10,1182.530143334554
2002-04-11,1183.6320874720602
2002-04-12,1182.9495864793469
2002-04-15,1188.5983585138874
2002-04-16,1193.9170788164952
2002-04-17,1213.9243430806648
2002-04-18,1221.2405566516866
2002-04-19,1225.4685699013987
2002-04-22,1231.7833579176422
2002-04-23,1232.8653748730903
2002-04-24,1229.4577671626748
2002-04-25,1221.3194332795874
2002-04-26,1220.1802926068044
2002-04-29,1208.0394031107407
2002-04-30,1209.3504639075056
2002-05-01,1214.2698323281218
2002-05-02,1220.409671857563
2002-05-03,1228.1244960272568
2002-05-06,1216.1045927756463
2002-05-07,1216.7219010309968
2002-05-08,1222.9236447261985
2002-05-09,1222.5610850335886
2002-05-10,1222.9230324239381
2002-05-13,1223.3690160990625
2002-05-14,1221.7370499253257
2002-05-15,1240.2059820286881
2002-05-16,1245.75788582507
