Date,EM EASTERN EUROPE ex RUSSIA VALUE
2010-01-11,996.0100255527118
2010-01-12,981.0993211117534
2010-01-13,981.4844435539196
2010-01-14,981.5682619140616
2010-01-15,963.0432294996673
2010-01-18,978.2351001544718
2010-01-19,977.1128594477145
2010-01-20,956.493264772245
2010-01-21,938.583732755297
2010-01-22,919.2555053573034
2010-01-25,927.6371354113976
2010-01-26,907.5057505181289
2010-01-27,898.2962004436112
2010-01-28,898.4739235118249
2010-01-29,908.3674756340367
2010-02-01,913.5548427485575
2010-02-02,920.3358008969191
2010-02-03,913.5208221872135
2010-02-04,854.1076554892721
2010-02-05,821.3274387937448
2010-02-08,823.480314228121
2010-02-09,834.7754319807119
2010-02-10,838.4129519859594
2010-02-11,829.2177350036271
2010-02-12,840.9682118628781
2010-02-15,845.336919023656
2010-02-16,858.4100466847557
2010-02-17,870.4023504393077
2010-02-18,859.5289420466339
2010-02-19,853.8434266892934
2010-02-22,870.3588153891545
2010-02-23,856.0603050954473
2010-02-24,852.5028883644661
2010-02-25,839.2892111671788
2010-02-26,874.6507602241405
2010-03-01,873.2886009055111
2010-03-02,894.4032078819492
2010-03-03,907.6895295211395
2010-03-04,902.0273460834193
2010-03-05,922.0583415663041
2010-03-08,932.4622043196136
2010-03-09,926.7589209768547
2010-03-10,944.3710043270679
2010-03-11,940.6277914267314
2010-03-12,954.015084402717
2010-03-15,941.8776423638423
2010-03-16,973.6728560375698
2010-03-17,981.4340383006071
2010-03-18,967.270882693854
2010-03-19,950.2020526996621
2010-03-22,952.5634798522931
2010-03-23,959.1293273384622
2010-03-24,949.3073515361724
2010-03-25,968.7051792949253
2010-03-26,964.4949643092373
2010-03-29,968.2713652304536
2010-03-30,969.32155216637
2010-03-31,974.6260866550356
2010-04-01,998.6382653103002
2010-04-02,999.8733016047576
2010-04-05,997.8686075214979
2010-04-06,997.1196737677652
2010-04-07,990.7396455362957
2010-04-08,966.9877054236406
2010-04-09,989.2511858420974
2010-04-12,1011.9212131920137
2010-04-13,1003.3833633038954
2010-04-14,1016.5934479755342
2010-04-15,1010.2217420515848
2010-04-16,994.2344804152195
2010-04-19,965.4868559864453
2010-04-20,975.4720351103164
2010-04-21,975.8286053716475
2010-04-22,952.1126845822523
2010-04-23,970.0296407742456
2010-04-26,986.2551300956441
2010-04-27,970.1212732374673
2010-04-28,938.9830221170303
2010-04-29,959.5043522408665
2010-04-30,961.7844616064947
2010-05-03,949.9444074788402
2010-05-04,891.1371875381634
2010-05-05,843.6721408002438
2010-05-06,817.2945034625111
2010-05-07,786.4701398630378
2010-05-10,875.9906240135525
2010-05-11,856.066741149576
2010-05-12,873.7020839067253
2010-05-13,867.6872102534624
2010-05-14,823.5527811920883
2010-05-17,821.8463552926414
2010-05-18,831.0325790132581
2010-05-19,785.2816022379618
2010-05-20,759.2036061729191
2010-05-21,781.6249572793732
2010-05-24,778.8901355512766
2010-05-25,737.1517223178623
2010-05-26,763.9318907364644
2010-05-27,784.095125047807
2010-05-28,793.2812590765989
2010-05-31,796.1646454872509
2010-06-01,780.7656552833502
2010-06-02,782.5669596872771
2010-06-03,783.0364985318938
2010-06-04,741.5381661860583
2010-06-07,732.414643915103
2010-06-08,732.2637310518979
2010-06-09,744.4516984665344
2010-06-10,760.8980147213664
2010-06-11,761.3003988010554
2010-06-14,786.7448505209436
2010-06-15,792.2947979396654
2010-06-16,787.59776959246
2010-06-17,786.6285146194059
2010-06-18,802.2347713036609
2010-06-21,812.6124552067063
2010-06-22,796.1355829530311
2010-06-23,781.7198806314742
2010-06-24,776.0886493775931
2010-06-25,773.0079756735424
2010-06-28,772.800731670487
2010-06-29,749.8471923146784
2010-06-30,758.2124404072644
2010-07-01,766.2644351609779
2010-07-02,790.8663762793501
2010-07-05,789.3330417518678
2010-07-06,811.0907805608414
2010-07-07,811.004034650285
2010-07-08,828.0452504715277
2010-07-09,826.6396621170338
2010-07-12,832.9230054932532
2010-07-13,844.1378655525656
2010-07-14,848.6753146143465
2010-07-15,858.524155602326
2010-07-16,849.5293930991306
2010-07-19,838.4570598321578
2010-07-20,832.4242511283775
2010-07-21,850.0129362333548
2010-07-22,867.5842625107804
2010-07-23,858.3238848920312
2010-07-26,880.6636488605832
2010-07-27,891.3319907820115
2010-07-28,891.7165071090778
2010-07-29,905.9451583304306
2010-07-30,897.3087496609563
2010-08-02,935.3953766238898
2010-08-03,933.8040751041582
2010-08-04,934.070801399381
2010-08-05,934.9972739380098
2010-08-06,945.493646071387
2010-08-09,940.1169889049722
2010-08-10,916.842520403155
2010-08-11,885.010632269297
2010-08-12,884.8495797311512
2010-08-13,875.7352644664204
2010-08-16,894.5988558665108
2010-08-17,904.8055975774803
2010-08-18,901.146564644383
2010-08-19,896.1561737560703
2010-08-20,874.9670595964076
2010-08-23,875.1135723099733
2010-08-24,859.2779104932833
2010-08-25,852.8885193676058
2010-08-26,866.1584592536444
2010-08-27,874.2587084075783
2010-08-30,868.736909681165
2010-08-31,875.8688671542001
2010-09-01,896.4298775859062
2010-09-02,896.2630830147706
2010-09-03,907.3058193275385
2010-09-06,915.0311855233302
2010-09-07,893.8827473500672
2010-09-08,908.476278973818
2010-09-09,911.8895558400301
2010-09-10,908.867097947549
2010-09-13,930.963511514527
2010-09-14,943.5693654932649
2010-09-15,948.8181076438908
2010-09-16,944.1831170094381
2010-09-17,935.3215611606073
2010-09-20,945.9579570783907
2010-09-21,952.2318413199907
2010-09-22,969.8328720400932
2010-09-23,952.1211994380124
2010-09-24,970.6761389964535
2010-09-27,970.7829172797236
2010-09-28,967.4303696615272
2010-09-29,972.1396207975429
2010-09-30,990.6996556940725
2010-10-01,1002.1490026562824
2010-10-04,995.8528108910174
2010-10-05,1018.7811132876631
2010-10-06,1027.4919208755086
2010-10-07,1012.0288669285055
2010-10-08,1000.3402628272231
2010-10-11,1011.1000461925614
2010-10-12,1005.6258143292472
2010-10-13,1035.5659843121043
2010-10-14,1040.7392357711674
2010-10-15,1023.8713351524867
2010-10-18,1017.6854611490895
2010-10-19,989.4365033201718
2010-10-20,1004.4196759561243
2010-10-21,1012.6693347769377
2010-10-22,999.9724320722423
2010-10-25,1014.2614767499035
2010-10-26,1005.391508230563
2010-10-27,996.7979080951981
2010-10-28,1007.3223066702536
2010-10-29,1013.7921135597031
2010-11-01,1014.314045887591
2010-11-02,1034.5684214645228
2010-11-03,1033.019238726812
2010-11-04,1070.518088477987
2010-11-05,1056.3708081715383
2010-11-08,1040.6429056228922
2010-11-09,1072.8421785442245
2010-11-10,1030.8026946513705
2010-11-11,1015.096918115869
2010-11-12,1025.1439414684792
2010-11-15,1008.699448706458
2010-11-16,989.0002934314823
2010-11-17,989.7838618072417
2010-11-18,1003.127403224787
2010-11-19,1003.3881130807009
2010-11-22,993.3882531004414
2010-11-23,973.7674955890894
