Date,CHINA A QUALITY
2017-04-10,2816.8638768303613
2017-04-11,2791.872774727004
2017-04-12,2805.233415149639
2017-04-13,2839.905268264924
2017-04-14,2814.3371457512344
2017-04-17,2816.9102580461426
2017-04-18,2848.5709080817937
2017-04-19,2843.7227486037573
2017-04-20,2883.1737873694337
2017-04-21,2894.397983788221
2017-04-24,2803.1489541450433
2017-04-25,2833.3156966861675
2017-04-26,2852.8717634608483
2017-04-27,2857.3795510323926
2017-04-28,2803.8713883597907
2017-05-01,2796.680328238511
2017-05-02,2789.535883753819
2017-05-03,2796.833616286746
2017-05-04,2783.556547709711
2017-05-05,2762.0086630614696
2017-05-08,2742.6615981913405
2017-05-09,2748.7915473427747
2017-05-10,2760.3875681483955
2017-05-11,2780.7547754675275
2017-05-12,2771.0420005790234
2017-05-15,2786.4183066642413
2017-05-16,2824.5000184304126
2017-05-17,2774.0269524595515
2017-05-18,2773.5022285947057
2017-05-19,2772.4951119600623
2017-05-22,2784.6346320579714
2017-05-23,2817.6321446100187
2017-05-24,2821.85398046604
2017-05-25,2817.428614257784
2017-05-26,2825.585003679145
2017-05-29,2827.3546283571236
2017-05-30,2827.2281530885775
2017-05-31,2829.5126935862527
2017-06-01,2864.1315152609495
2017-06-02,2840.505339291986
2017-06-05,2838.7097165297087
2017-06-06,2881.3455826899967
2017-06-07,2938.737289252576
2017-06-08,3005.8953262180266
2017-06-09,3038.102389896954
2017-06-12,3045.803698449326
2017-06-13,3072.155843113383
2017-06-14,3004.1761610154267
2017-06-15,3016.3336238741467
2017-06-16,2982.56072493631
2017-06-19,3012.5094359794925
2017-06-20,3011.408080923501
2017-06-21,3089.260845305868
2017-06-22,3068.473704065684
2017-06-23,3097.352510673171
2017-06-26,3153.7090516348876
2017-06-27,3149.4762840962703
2017-06-28,3087.651121793557
2017-06-29,3103.930652022354
2017-06-30,3117.401616024942
2017-07-03,3075.8708804999496
2017-07-04,3035.085242545201
2017-07-05,3080.901835797136
2017-07-06,3049.898039092063
2017-07-07,3024.973130891925
2017-07-10,3013.0399650858967
2017-07-11,3038.150535579378
2017-07-12,3017.0778302385934
2017-07-13,3015.9826350749067
2017-07-14,3021.157629094653
2017-07-17,2982.4541601753926
2017-07-18,2957.524579215391
2017-07-19,3013.426699479421
2017-07-20,3010.3908658657524
2017-07-21,3008.8117470389197
2017-07-24,3041.9158031668835
2017-07-25,3015.411763335734
2017-07-26,2976.097972341956
2017-07-27,2973.7900746190194
2017-07-28,2989.7789437207966
2017-07-31,2987.2586866637193
2017-08-01,2990.196376682641
2017-08-02,2961.3627366232413
2017-08-03,2915.4321445152855
2017-08-04,2919.8563901199905
2017-08-07,2953.898803587539
2017-08-08,2963.204245514173
2017-08-09,3029.539716329221
2017-08-10,3044.475732165984
2017-08-11,2990.413406719133
2017-08-14,3038.7563088424386
2017-08-15,3068.9201202887234
