Date,USA VALUE
2011-10-17,98.87570142544953
2011-10-18,101.86787163654823
2011-10-19,100.14437361423664
2011-10-20,101.59849715917636
2011-10-21,101.93760321863245
2011-10-24,103.10905334741582
2011-10-25,100.89698631348544
2011-10-26,102.98119475500813
2011-10-27,104.1376647173937
2011-10-28,103.68406929720376
2011-10-31,102.51100186863205
2011-11-01,101.41245440034402
2011-11-02,102.1679197618734
2011-11-03,104.41295096061414
2011-11-04,103.50493407921121
2011-11-07,104.34704778761309
2011-11-08,105.23696011960037
2011-11-09,102.99264112962571
2011-11-10,104.09309877660074
2011-11-11,104.90675635445001
2011-11-14,104.47936334261789
2011-11-15,105.62920985292176
2011-11-16,103.74988233351685
2011-11-17,102.42876778762685
2011-11-18,102.49913250430167
2011-11-21,100.95568592029719
2011-11-22,100.02103534680826
2011-11-23,98.8116743224035
2011-11-24,99.02676447480354
2011-11-25,99.32788085940419
2011-11-28,101.32018545910891
2011-11-29,101.92010414794998
2011-11-30,105.6562635520104
2011-12-01,105.12260769782974
2011-12-02,105.57413640559997
2011-12-05,106.46565966955824
2011-12-06,107.50581936580201
2011-12-07,107.9820447565679
2011-12-08,105.96812389387486
2011-12-09,107.37265390372455
2011-12-12,106.78011885756439
2011-12-13,107.16669949759017
2011-12-14,107.42095018819965
2011-12-15,107.6235082639185
2011-12-16,107.55419790670516
2011-12-19,106.33561880585518
2011-12-20,108.71512604396857
2011-12-21,110.08574432841516
2011-12-22,111.20402585680684
2011-12-23,112.4155677988268
2011-12-26,112.4155677988268
2011-12-27,112.0473227715612
2011-12-28,111.67413365709474
2011-12-29,113.25423986965365
2011-12-30,112.14957732168773
2012-01-02,112.14957732168773
2012-01-03,113.30328132319256
2012-01-04,114.52232414225843
2012-01-05,115.96581741013959
2012-01-06,116.28855975760445
2012-01-09,116.54815698994018
2012-01-10,117.25124570596604
2012-01-11,118.28730799095744
2012-01-12,117.48734210814308
2012-01-13,118.07326885454053
2012-01-16,118.01736515652297
2012-01-17,117.54649299053654
2012-01-18,118.08862381033003
2012-01-19,117.79363786329878
2012-01-20,117.94074645469883
2012-01-23,116.73536370428404
2012-01-24,116.99753423641761
2012-01-25,117.52624868080741
2012-01-26,115.16219649120792
2012-01-27,115.04082700503808
2012-01-30,114.71977343632054
2012-01-31,114.72968628958445
2012-02-01,114.9980593789481
2012-02-02,115.24990431332641
2012-02-03,117.41734691737065
2012-02-06,117.77079865172853
2012-02-07,116.58954729384635
2012-02-08,116.82544523202893
2012-02-09,116.32797022222798
2012-02-10,116.41300469404901
2012-02-13,116.92252747269573
2012-02-14,117.37987421806373
2012-02-15,117.44424236698107
2012-02-16,119.15474694134798
2012-02-17,118.56603890746614
2012-02-20,117.63659984465039
2012-02-21,117.71589996652413
2012-02-22,117.2847697841005
2012-02-23,117.11204377134804
2012-02-24,115.88014773363874
2012-02-27,116.72835157211986
2012-02-28,116.79120950988458
2012-02-29,116.62955031712389
2012-03-01,117.75900575449901
2012-03-02,118.50910464419142
2012-03-05,117.98516511865537
2012-03-06,117.06258099325434
2012-03-07,117.87778756567545
2012-03-08,117.47996422705798
2012-03-09,119.22467256268233
2012-03-12,119.21891578055352
2012-03-13,121.87841149022866
2012-03-14,122.24503770963423
2012-03-15,122.71137445618872
2012-03-16,121.92135129487885
2012-03-19,121.53139389989879
2012-03-20,121.40085428634316
2012-03-21,121.33274080506813
2012-03-22,120.25659224437022
2012-03-23,120.1546334632715
2012-03-26,121.14416502603162
2012-03-27,120.68848667717232
2012-03-28,120.41141406376157
2012-03-29,120.32010492820875
2012-03-30,120.58363726528427
2012-04-02,121.43375903590257
2012-04-03,120.3394096192878
2012-04-04,121.2357771978495
2012-04-05,121.33724042077966
2012-04-06,121.33724042077966
2012-04-09,119.79202253923417
2012-04-10,117.60013397317248
2012-04-11,118.2090540438366
2012-04-12,119.34346473467302
2012-04-13,118.58277991913567
2012-04-16,119.36469167732493
2012-04-17,120.20372505812806
2012-04-18,119.77602750670313
2012-04-19,119.19288974337924
2012-04-20,118.87625012039864
2012-04-23,118.76833748586247
2012-04-24,119.01301338404588
2012-04-25,120.16245647160953
2012-04-26,120.56873909206134
2012-04-27,120.2437649373666
2012-04-30,120.10779871600297
2012-05-01,121.18501389423025
2012-05-02,121.2299598158977
2012-05-03,120.34006893687977
2012-05-04,119.06523615608522
2012-05-07,119.75681184010973
2012-05-08,119.8005302642644
2012-05-09,119.46313823822291
2012-05-10,119.93580194637178
2012-05-11,119.49934865931205
2012-05-14,119.12997696290338
2012-05-15,118.89389385657208
2012-05-16,118.725456139263
2012-05-17,117.60020136110518
2012-05-18,116.66282226085809
2012-05-21,117.35312602134537
2012-05-22,117.62267166515169
2012-05-23,119.09268969873025
2012-05-24,119.60843539343284
2012-05-25,120.09265713952189
2012-05-28,119.84362148107337
2012-05-29,121.05192931863634
2012-05-30,120.6179649706511
