Date,THAILAND ESG LEADERS
2020-05-25,2015.6225196686773
2020-05-26,2029.0721481877108
2020-05-27,2051.2635659899374
2020-05-28,2023.0238238746845
2020-05-29,2032.1871022159596
2020-06-01,2048.677431274871
2020-06-02,2086.9103957507764
2020-06-03,2080.121124442349
2020-06-04,2119.280712682059
2020-06-05,2178.464894448048
2020-06-08,2175.772676588863
2020-06-09,2129.188798203303
2020-06-10,2156.610186616649
2020-06-11,2125.230955126697
2020-06-12,2122.280205549255
2020-06-15,2041.5803521698172
2020-06-16,2091.6990766351273
2020-06-17,2098.9341403538274
2020-06-18,2103.5533633977952
2020-06-19,2100.9658143456672
2020-06-22,2061.1151275003435
2020-06-23,2054.412102278692
2020-06-24,2041.7165291256263
2020-06-25,2037.1732143682002
2020-06-26,2051.3374195227884
2020-06-29,2046.1343874245194
2020-06-30,2060.084131042406
2020-07-01,2066.491065884876
2020-07-02,2112.8566907058284
2020-07-03,2094.856258750634
2020-07-06,2080.9738448424127
2020-07-07,2070.483934397323
2020-07-08,2044.0808226705217
2020-07-09,2059.928575932667
2020-07-10,2018.7314362414659
2020-07-13,1995.6722617711632
2020-07-14,1978.7165929941007
2020-07-15,1992.8865935060319
2020-07-16,1968.9217848768849
2020-07-17,1986.6425935912548
2020-07-20,1975.4759368589275
2020-07-21,1995.861252389864
2020-07-22,1953.218162067072
2020-07-23,1953.1218717276697
2020-07-24,1917.998881811957
2020-07-27,1893.0824030246736
2020-07-28,1900.991431267689
2020-07-29,1901.1586826896864
2020-07-30,1863.4725658944142
2020-07-31,1891.7937752996004
2020-08-03,1881.924305787955
2020-08-04,1901.8990113611685
2020-08-05,1896.6372576667607
2020-08-06,1898.1304339869218
2020-08-07,1889.2946617446003
2020-08-10,1890.9300693177065
2020-08-11,1925.2075609224134
2020-08-12,1918.8470124132882
2020-08-13,1940.3039132901463
2020-08-14,1900.7032032077066
2020-08-17,1884.1433793676829
2020-08-18,1896.5738307794181
2020-08-19,1856.396177425907
2020-08-20,1833.4904294922615
2020-08-21,1837.240002025263
2020-08-24,1861.4666249897741
2020-08-25,1860.9533313005447
2020-08-26,1870.9357483935269
2020-08-27,1878.9920203142171
2020-08-28,1864.3173741422986
2020-08-31,1839.137153239518
2020-09-01,1833.6364995881906
2020-09-02,1858.0552122993054
2020-09-03,1843.1111258397955
2020-09-04,1849.3602841388922
2020-09-07,1844.8254303579733
2020-09-08,1826.4317794095366
2020-09-09,1820.9557388353862
2020-09-10,1811.0002655611477
2020-09-11,1804.7677622940837
2020-09-14,1787.1089439051111
2020-09-15,1815.0470574545072
2020-09-16,1834.9548618139222
2020-09-17,1811.859679581931
2020-09-18,1811.5081788683547
2020-09-21,1797.7792549870273
2020-09-22,1779.1611056406214
2020-09-23,1764.5478575808804
2020-09-24,1730.5165588965583
2020-09-25,1730.478417575021
2020-09-28,1749.3085624889368
2020-09-29,1732.8866466047778
2020-09-30,1700.6166018655153
2020-10-01,1719.3347101318654
2020-10-02,1705.7385595619157
2020-10-05,1715.371187255344
2020-10-06,1735.7925931791262
2020-10-07,1759.8015959864674
2020-10-08,1785.9433648849572
2020-10-09,1773.024003787814
2020-10-12,1764.0044421543712
2020-10-13,1774.2934667020193
2020-10-14,1754.481387435091
2020-10-15,1735.699267436807
2020-10-16,1721.7349831461133
2020-10-19,1680.4712177163012
2020-10-20,1668.9990887768613
2020-10-21,1673.4093559892283
2020-10-22,1669.5409119844678
2020-10-23,1668.4124148955516
2020-10-26,1660.0213340085945
2020-10-27,1662.7597160915334
2020-10-28,1675.5377390986407
2020-10-29,1677.5998058456178
2020-10-30,1669.3481799573067
2020-11-02,1678.8322589585946
2020-11-03,1699.4497786639881
2020-11-04,1694.9063614510371
2020-11-05,1767.8976879548354
2020-11-06,1772.7434863959531
2020-11-09,1828.3922252882069
2020-11-10,1968.2491214121005
2020-11-11,1996.5722615534116
2020-11-12,1966.1539123382304
2020-11-13,1980.6191463954751
2020-11-16,1980.507617163165
2020-11-17,1979.2900974762847
2020-11-18,1994.2998064096253
2020-11-19,1998.080663885266
2020-11-20,2036.7024939365515
2020-11-23,2087.1313928402196
2020-11-24,2041.6184032458616
2020-11-25,2058.335538137848
2020-11-26,2076.7800364121185
2020-11-27,2061.8120452472867
2020-11-30,2010.5403923647627
2020-12-01,2024.4216546673229
2020-12-02,2007.8522423035538
