Date,FINLAND SMALL VALUE
2019-04-02,1239.4207621019368
2019-04-03,1256.8671349592992
2019-04-04,1252.6450625953796
2019-04-05,1255.8947057006505
2019-04-08,1258.194867373039
2019-04-09,1257.1505516546642
2019-04-10,1257.9574719295351
2019-04-11,1265.7555157066963
2019-04-12,1275.6574294604807
2019-04-15,1279.4970044887364
2019-04-16,1278.751728970987
2019-04-17,1268.0650243613447
2019-04-18,1265.0679200965897
2019-04-19,1265.0679200965897
2019-04-22,1266.36184824006
2019-04-23,1258.9791866024539
2019-04-24,1249.205609027829
2019-04-25,1241.1935475797068
2019-04-26,1245.778908584155
2019-04-29,1237.2128820620196
2019-04-30,1228.007296533277
2019-05-01,1231.678059844945
2019-05-02,1214.6893219446474
2019-05-03,1210.502723909328
2019-05-06,1188.8887323429956
2019-05-07,1176.0261486032264
2019-05-08,1177.781807899029
2019-05-09,1163.267190257134
2019-05-10,1172.549854119666
2019-05-13,1144.5606188747283
2019-05-14,1151.391218622776
2019-05-15,1152.2272041882547
2019-05-16,1157.976171076264
2019-05-17,1160.4638360139688
2019-05-20,1143.1311238795809
2019-05-21,1155.1553089157592
2019-05-22,1149.429739095276
2019-05-23,1122.729520088862
2019-05-24,1136.950296542389
2019-05-27,1142.2666511157088
2019-05-28,1134.1469719984734
2019-05-29,1114.078362303753
2019-05-30,1112.47860876578
2019-05-31,1119.4662720333354
2019-06-03,1122.46749314735
2019-06-04,1138.2170627495584
2019-06-05,1139.4613605783952
2019-06-06,1143.1222356826465
2019-06-07,1165.1952951520325
2019-06-10,1192.152237173725
2019-06-11,1218.3992192439189
2019-06-12,1214.2170750276762
2019-06-13,1215.6873837144092
2019-06-14,1196.69179334707
2019-06-17,1193.1213448978285
2019-06-18,1213.2367366921985
2019-06-19,1212.0078250747697
2019-06-20,1222.0238107738596
2019-06-21,1225.2165928496572
2019-06-24,1223.5717554068428
2019-06-25,1221.3514144630892
2019-06-26,1230.7609157793602
2019-06-27,1235.4856689527837
2019-06-28,1248.1503471877372
2019-07-01,1260.0071039207232
2019-07-02,1251.7950140240257
2019-07-03,1252.7091766535586
2019-07-04,1261.9269691258678
2019-07-05,1251.1873240905768
2019-07-08,1243.374329056903
2019-07-09,1227.6517671660492
2019-07-10,1227.2559718789898
2019-07-11,1219.6235774172735
2019-07-12,1216.9156423375787
2019-07-15,1222.823651250569
2019-07-16,1225.6378363753392
2019-07-17,1209.741344699471
2019-07-18,1182.9641608626398
2019-07-19,1199.817280681996
2019-07-22,1203.0861536859084
2019-07-23,1205.399299901521
2019-07-24,1211.7113466716175
2019-07-25,1215.487317893881
2019-07-26,1212.6945436066287
2019-07-29,1212.1381696892092
2019-07-30,1198.3704319728397
2019-07-31,1202.813454726728
2019-08-01,1186.0210480786573
2019-08-02,1177.9343700657428
2019-08-05,1175.5125404771209
2019-08-06,1177.4611768335744
2019-08-07,1177.1230237732689
2019-08-08,1199.1200514372501
2019-08-09,1200.3963621514981
2019-08-12,1188.1287114204013
2019-08-13,1190.7555096487743
2019-08-14,1171.8923148622398
2019-08-15,1161.220336016027
2019-08-16,1180.7456148998208
2019-08-19,1196.7718458170532
2019-08-20,1188.2041776275496
2019-08-21,1200.5218240456318
2019-08-22,1207.0217006762875
2019-08-23,1198.3327119016742
2019-08-26,1195.1524791877273
2019-08-27,1191.7317150648494
2019-08-28,1183.7226693798239
2019-08-29,1203.9513380930807
2019-08-30,1200.7575490347065
2019-09-02,1197.8144856625286
2019-09-03,1191.1748139823546
2019-09-04,1217.5149253474576
2019-09-05,1233.774143529667
2019-09-06,1243.7356752399153
2019-09-09,1250.0550431877514
2019-09-10,1246.085813676936
2019-09-11,1241.987170999263
2019-09-12,1254.1784252745792
2019-09-13,1261.2824369008622
2019-09-16,1250.45756022182
2019-09-17,1252.7603928230515
2019-09-18,1249.2047743804824
2019-09-19,1256.6047742646397
2019-09-20,1244.3792357200157
2019-09-23,1231.366621153662
2019-09-24,1231.7173482835337
2019-09-25,1221.9057304969056
2019-09-26,1230.0659476013739
2019-09-27,1242.196558831449
2019-09-30,1238.5651889629753
2019-10-01,1237.9860150905577
2019-10-02,1221.839687662987
2019-10-03,1209.7513731158458
2019-10-04,1212.0809540724206
2019-10-07,1224.131990348296
2019-10-08,1218.5463603444296
2019-10-09,1229.2947349596673
2019-10-10,1241.5014275806022
2019-10-11,1264.0271431775357
2019-10-14,1255.6498860371544
2019-10-15,1267.6086345021774
2019-10-16,1274.8213487981195
2019-10-17,1287.662656005518
2019-10-18,1283.4436410115875
2019-10-21,1295.6153957748504
2019-10-22,1287.7543944098497
2019-10-23,1285.6870552176636
2019-10-24,1305.560412896761
2019-10-25,1312.4504756015992
2019-10-28,1323.4229902161599
2019-10-29,1336.3794060824807
2019-10-30,1339.2302914776535
2019-10-31,1335.693667301972
2019-11-01,1351.9437825558157
2019-11-04,1361.8889828289273
2019-11-05,1371.2056044783915
2019-11-06,1371.4920247152338
2019-11-07,1387.002749591451
2019-11-08,1387.6356145389882
2019-11-11,1394.8591833367698
2019-11-12,1393.8873467889491
2019-11-13,1379.86083021996
2019-11-14,1375.33652975608
2019-11-15,1392.0694009663878
2019-11-18,1387.970773200636
2019-11-19,1379.5314666727481
2019-11-20,1378.8847844469728
2019-11-21,1373.8022670541118
2019-11-22,1368.5581749836704
2019-11-25,1368.837232295707
2019-11-26,1374.321073839144
2019-11-27,1361.0192826200741
2019-11-28,1359.7272376138314
2019-11-29,1354.1651560851217
2019-12-02,1361.1755207850997
2019-12-03,1351.7685575769708
2019-12-04,1367.1018981209195
2019-12-05,1369.547454204549
2019-12-06,1364.1766798743354
2019-12-09,1384.1968717784557
2019-12-10,1388.8881729579139
2019-12-11,1379.4263061333545
2019-12-12,1368.9463192975281
2019-12-13,1387.1093436864735
2019-12-16,1389.3043090019012
2019-12-17,1392.5629417583048
2019-12-18,1377.9463332015548
2019-12-19,1383.791413192591
2019-12-20,1377.0042674001925
2019-12-23,1382.2299229303578
2019-12-24,1382.5415869490566
2019-12-25,1382.5415869490569
2019-12-26,1383.6012446126335
2019-12-27,1396.2881369360844
2019-12-30,1388.6007395440658
2019-12-31,1391.2655242899214
2020-01-01,1391.2655242899214
2020-01-02,1408.914428837421
2020-01-03,1393.8380875170149
2020-01-06,1396.8966663924443
2020-01-07,1382.9091560943862
2020-01-08,1386.3114223548
2020-01-09,1397.1692075509359
2020-01-10,1406.742175133279
2020-01-13,1412.7574074464846
2020-01-14,1421.8915145604772
2020-01-15,1433.3714793796312
2020-01-16,1445.5088276800539
2020-01-17,1439.463650056497
2020-01-20,1449.5751913420602
2020-01-21,1450.6581121503634
2020-01-22,1421.3905072120833
2020-01-23,1414.3606760276803
2020-01-24,1416.5281879805893
2020-01-27,1379.6618343366192
2020-01-28,1395.3395045677685
2020-01-29,1393.7503707313167
2020-01-30,1394.1211686870204
2020-01-31,1401.898021541267
2020-02-03,1401.322574241185
2020-02-04,1428.456131402787
2020-02-05,1458.4418678063385
2020-02-06,1484.5438051546341
2020-02-07,1476.2304693487413
2020-02-10,1490.4681418281284
2020-02-11,1497.5851749537555
2020-02-12,1497.605514307491
2020-02-13,1485.4512063159543
2020-02-14,1482.578852516888
2020-02-17,1469.6602304179564
2020-02-18,1438.829648434261
2020-02-19,1440.9345953723155
2020-02-20,1432.8803677752646
2020-02-21,1432.1793072526007
2020-02-24,1376.9377203732254
2020-02-25,1350.0408069752518
2020-02-26,1359.0530417676778
2020-02-27,1331.3506502041594
2020-02-28,1298.6790477571244
2020-03-02,1325.8782981680752
2020-03-03,1354.4948875686164
2020-03-04,1343.4804684667213
2020-03-05,1327.4704625732647
2020-03-06,1295.8792351728916
2020-03-09,1239.8662947813134
2020-03-10,1219.5750654475676
2020-03-11,1186.2128136768026
2020-03-12,1056.4343081858544
2020-03-13,1045.6260604483728
2020-03-16,995.5774476372411
2020-03-17,1004.5035261693649
2020-03-18,968.394180485183
2020-03-19,896.1684014565133
2020-03-20,888.1205657380561
2020-03-23,847.7595191044833
2020-03-24,912.248347569437
2020-03-25,949.6841185019272
2020-03-26,980.9795080109045
2020-03-27,946.4827416744245
2020-03-30,938.3949610309232
2020-03-31,979.2985121158191
2020-04-01,955.797293758118
2020-04-02,955.9338120570416
2020-04-03,959.1804763037977
2020-04-06,980.9653047399354
2020-04-07,1032.5143601854807
2020-04-08,1027.9556782675847
2020-04-09,1069.0103403296848
2020-04-10,1069.0103403296848
2020-04-13,1065.2966325148534
2020-04-14,1070.3786932010096
2020-04-15,1023.4529944616819
2020-04-16,1014.8759819507751
2020-04-17,1045.698559206067
2020-04-20,1050.2942714120395
2020-04-21,1022.3232736800098
2020-04-22,1033.006756971008
2020-04-23,1042.6357306642644
2020-04-24,1036.9521963283455
2020-04-27,1072.482365931229
2020-04-28,1109.9315947366265
2020-04-29,1154.0523096745633
2020-04-30,1149.252185309484
2020-05-01,1155.0755666921802
2020-05-04,1111.2852441398304
2020-05-05,1098.7228860201
2020-05-06,1107.6462926846275
2020-05-07,1118.690520299863
2020-05-08,1136.4143585537304
2020-05-11,1127.6070114502065
2020-05-12,1136.1304648662026
2020-05-13,1101.3029101752297
2020-05-14,1068.60194472978
2020-05-15,1079.3158360100267
2020-05-18,1118.0424450665612
2020-05-19,1138.2099108273362
2020-05-20,1148.0363614647529
2020-05-21,1142.7100158259352
2020-05-22,1135.4726437476395
2020-05-25,1147.8374559277256
2020-05-26,1170.4653526926372
2020-05-27,1196.6317054364224
2020-05-28,1231.936959620169
2020-05-29,1224.7496254773691
2020-06-01,1233.6753635306968
2020-06-02,1256.628046462955
2020-06-03,1271.499957932935
2020-06-04,1297.379115011602
2020-06-05,1316.1552908128829
2020-06-08,1317.0656729497628
2020-06-09,1301.286588195694
2020-06-10,1280.5578726756708
2020-06-11,1222.6474403742388
2020-06-12,1217.1635831242943
2020-06-15,1212.4732792451107
2020-06-16,1243.0881702208437
2020-06-17,1233.8357066039744
2020-06-18,1213.0782473000372
2020-06-19,1209.1858441713057
2020-06-22,1211.0607568758953
2020-06-23,1251.0246492539884
2020-06-24,1225.5696908059083
2020-06-25,1218.4492308755387
2020-06-26,1222.487417589557
2020-06-29,1233.1585843951145
2020-06-30,1223.2411707651554
2020-07-01,1232.332413365156
2020-07-02,1240.9051274924548
2020-07-03,1230.962570832357
2020-07-06,1260.267727640586
2020-07-07,1252.9131895365133
2020-07-08,1244.2994920282447
2020-07-09,1229.8928107485547
2020-07-10,1243.3662060249092
2020-07-13,1292.9935800622125
2020-07-14,1293.5094091060967
2020-07-15,1309.8013162738032
2020-07-16,1322.331333120587
2020-07-17,1327.562487669274
2020-07-20,1326.097298879713
2020-07-21,1346.1600225092957
2020-07-22,1365.4695546502298
2020-07-23,1378.6552605221048
2020-07-24,1396.2094938164503
2020-07-27,1417.4937471729445
2020-07-28,1409.044840248973
2020-07-29,1418.4951106752999
2020-07-30,1412.1363860213667
2020-07-31,1411.772431517717
2020-08-03,1426.0007564800553
2020-08-04,1437.8739733217585
2020-08-05,1469.2951073462918
2020-08-06,1457.584560865761
2020-08-07,1446.5172846356047
2020-08-10,1450.530698307433
2020-08-11,1451.071487765951
2020-08-12,1466.0491266809677
2020-08-13,1466.9053571657107
2020-08-14,1460.392237628394
2020-08-17,1468.8901817070182
2020-08-18,1479.8874974012072
2020-08-19,1480.612060666643
2020-08-20,1456.5197139974543
2020-08-21,1452.30096085715
2020-08-24,1482.1137350484682
2020-08-25,1480.7382218609614
2020-08-26,1502.7364404860123
2020-08-27,1493.4147518057373
2020-08-28,1500.1733054747115
2020-08-31,1499.791117532579
2020-09-01,1501.3881895909972
2020-09-02,1492.2265080390662
2020-09-03,1476.4944777996016
2020-09-04,1464.9618714450685
2020-09-07,1491.3691090132672
2020-09-08,1483.190302370519
2020-09-09,1517.5293518650842
2020-09-10,1521.7761412441464
2020-09-11,1518.787437615074
2020-09-14,1521.6701388265483
2020-09-15,1537.0097673645128
2020-09-16,1554.7162559725562
2020-09-17,1563.022299976374
2020-09-18,1574.9936175541968
2020-09-21,1513.1545651269257
2020-09-22,1524.4575472222778
2020-09-23,1506.3435397821831
2020-09-24,1488.7695110379013
2020-09-25,1483.7367765548124
2020-09-28,1525.1469698663186
2020-09-29,1547.8433174007469
2020-09-30,1558.6559700914245
2020-10-01,1611.3830786965052
2020-10-02,1605.9787963888589
2020-10-05,1623.3173972162735
2020-10-06,1615.3796175093291
2020-10-07,1603.100455416812
2020-10-08,1611.2912122869711
2020-10-09,1630.045102996062
2020-10-12,1657.68115455889
2020-10-13,1621.7722639302422
2020-10-14,1642.1981174632047
2020-10-15,1622.4830858862988
2020-10-16,1639.6374857120434
2020-10-19,1651.131685491994
2020-10-20,1664.3873253796346
2020-10-21,1668.2497345284562
2020-10-22,1636.2029749133299
2020-10-23,1648.4223684596875
2020-10-26,1613.9093554259066
2020-10-27,1603.3494834644216
2020-10-28,1549.9118724580587
2020-10-29,1535.9938222214093
2020-10-30,1561.3415205437975
2020-11-02,1548.7225921743911
2020-11-03,1584.9220455826892
2020-11-04,1593.9072519843405
2020-11-05,1624.3190496219768
2020-11-06,1634.5906289752825
2020-11-09,1636.6720471793824
2020-11-10,1631.500221799285
2020-11-11,1624.4199569207028
2020-11-12,1630.6058225604002
2020-11-13,1625.945996670553
2020-11-16,1657.964895694506
2020-11-17,1658.929433917509
2020-11-18,1672.64833195404
2020-11-19,1656.1408620973627
2020-11-20,1666.2235261650637
2020-11-23,1675.051940707924
2020-11-24,1706.8203214773703
