Date,AC FAR EAST ex JAPAN VALUE WEIGHTED
2001-06-19,1536.0363867058354
2001-06-20,1530.7261526799095
2001-06-21,1530.3125466968784
2001-06-22,1524.8488400074766
2001-06-25,1511.6395621288714
2001-06-26,1499.4709610032999
2001-06-27,1504.7890480078984
2001-06-28,1510.9372359784127
2001-06-29,1542.9822141140896
2001-07-02,1536.7814236207585
2001-07-03,1537.6758014680536
2001-07-04,1539.6992960928483
2001-07-05,1550.5380333139485
2001-07-06,1524.5903403656698
2001-07-09,1489.104710133621
2001-07-10,1477.872544856427
2001-07-11,1448.9495232593695
2001-07-12,1478.0175925530891
2001-07-13,1458.44901745231
2001-07-16,1444.1233393950833
2001-07-17,1445.5115691188093
2001-07-18,1400.714061752059
2001-07-19,1403.9561663098377
2001-07-20,1399.6761195760785
2001-07-23,1394.4982091294191
2001-07-24,1375.6992180596264
2001-07-25,1375.4483920679081
2001-07-26,1386.5191284815337
2001-07-27,1405.7509251771328
2001-07-30,1399.088618510865
2001-07-31,1418.0993290113256
2001-08-01,1431.2345674000126
2001-08-02,1435.7105019705173
2001-08-03,1426.3980435328397
2001-08-06,1426.3686929122853
2001-08-07,1423.8961314773603
2001-08-08,1425.1885139754925
2001-08-09,1376.5305290709655
2001-08-10,1381.92708356307
2001-08-13,1380.5361434884496
2001-08-14,1408.9426547962046
2001-08-15,1392.0686173151028
2001-08-16,1397.5267162089651
2001-08-17,1390.8865343537348
2001-08-20,1376.7498873518798
2001-08-21,1377.1464948116698
2001-08-22,1366.0068683061625
2001-08-23,1377.8470459510588
2001-08-24,1372.4842839825901
2001-08-27,1399.0225053592685
2001-08-28,1390.4486828933605
2001-08-29,1390.378742517546
2001-08-30,1387.4900812795822
2001-08-31,1373.7153022287673
2001-09-03,1370.0904873578615
2001-09-04,1410.240314088176
2001-09-05,1401.2074205914607
2001-09-06,1382.6624902615392
2001-09-07,1348.7766182539872
2001-09-10,1345.052874442062
2001-09-11,1321.9398605726658
2001-09-12,1238.0944554247158
2001-09-13,1234.5984404357494
2001-09-14,1185.0774789337445
2001-09-17,1140.3879780649845
2001-09-18,1140.456666005718
2001-09-19,1146.9423043950487
