Date,AC ASIA PACIFIC ex JAPAN VALUE WEIGHTED
2014-09-17,1245.1529471458114
2014-09-18,1238.9655784048387
2014-09-19,1245.4761343589894
2014-09-22,1232.237672980395
2014-09-23,1224.91819917749
2014-09-24,1233.438244289695
2014-09-25,1230.4175493075911
2014-09-26,1227.1589018860982
2014-09-29,1211.7741198335705
2014-09-30,1211.5561948572476
2014-10-01,1209.5048934107654
2014-10-02,1199.3964685219773
2014-10-03,1215.8533083115783
2014-10-06,1212.2658595021046
2014-10-07,1211.713698510832
2014-10-08,1193.0402026967138
2014-10-09,1203.8792684898776
2014-10-10,1192.375146486745
2014-10-13,1182.0302590311783
2014-10-14,1185.92667451931
2014-10-15,1179.2749201908175
2014-10-16,1168.3871806245022
2014-10-17,1168.351003246091
2014-10-20,1181.9233254146072
2014-10-21,1185.2000339236204
2014-10-22,1204.1626255568372
2014-10-23,1202.698254383945
2014-10-24,1200.6657987129784
2014-10-27,1199.1848729316275
2014-10-28,1204.6052292383026
2014-10-29,1221.4355690499315
2014-10-30,1231.0716399305018
2014-10-31,1248.7129611433418
2014-11-03,1244.6329158082651
2014-11-04,1233.3074891759718
2014-11-05,1230.2787687739267
2014-11-06,1234.70415392042
2014-11-07,1235.7846210640466
2014-11-10,1246.2654917562202
2014-11-11,1245.9112423700778
2014-11-12,1240.487063750392
2014-11-13,1241.8066434493892
2014-11-14,1238.7632477062261
2014-11-17,1233.325447008532
2014-11-18,1223.112704521439
2014-11-19,1214.2022199074067
2014-11-20,1208.6179986645304
2014-11-21,1227.6439815574488
2014-11-24,1242.7325203780438
2014-11-25,1232.0183342715493
2014-11-26,1237.4437952189176
2014-11-27,1247.056206625004
2014-11-28,1243.0000255277437
2014-12-01,1216.2947069193738
2014-12-02,1232.8349827821442
2014-12-03,1238.5017402843707
2014-12-04,1240.7668651202175
2014-12-05,1254.120581513684
2014-12-08,1255.4293633911768
2014-12-09,1227.1975360242732
2014-12-10,1223.737814360292
2014-12-11,1214.5809218789193
2014-12-12,1203.809951151927
2014-12-15,1199.0316529872284
2014-12-16,1181.4106475833366
2014-12-17,1187.9983402985617
2014-12-18,1206.2293051859835
2014-12-19,1224.398212537599
2014-12-22,1245.5343329119953
2014-12-23,1242.8895967664678
2014-12-24,1243.3573799815922
2014-12-25,1242.5152879137638
2014-12-26,1247.7393193043536
2014-12-29,1260.4125131585758
2014-12-30,1253.9602576905866
2014-12-31,1264.8716785867446
2015-01-01,1264.9689473009976
2015-01-02,1277.0226272086693
2015-01-05,1278.4453263695325
2015-01-06,1261.395917361987
2015-01-07,1274.3984381822765
2015-01-08,1291.5194935285788
2015-01-09,1300.3076083356561
2015-01-12,1300.5828625516374
2015-01-13,1307.6460677488938
2015-01-14,1301.0496647579355
2015-01-15,1328.7007860735084
2015-01-16,1329.7318374551833
2015-01-19,1308.8704683322335
2015-01-20,1321.443540218078
2015-01-21,1337.3827993148702
2015-01-22,1360.9264677251276
2015-01-23,1392.9021165442357
2015-01-26,1389.790797271645
2015-01-27,1375.1806765172762
2015-01-28,1380.5688301866721
2015-01-29,1363.3615876502777
2015-01-30,1365.144487231733
2015-02-02,1358.9650571389884
2015-02-03,1352.0901264100312
2015-02-04,1371.876526256787
2015-02-05,1369.244438059069
2015-02-06,1379.8017790258757
2015-02-09,1372.4736666599165
2015-02-10,1372.8566968092005
2015-02-11,1368.154653349842
2015-02-12,1357.5915785488498
2015-02-13,1376.8322638019183
2015-02-16,1375.262949337799
2015-02-17,1377.983640721605
2015-02-18,1387.0708501399063
2015-02-19,1383.390259933001
2015-02-20,1386.0084410540674
2015-02-23,1384.6576476304422
2015-02-24,1389.433430501375
2015-02-25,1400.5919067944503
2015-02-26,1420.311239078517
2015-02-27,1415.1453053186938
2015-03-02,1421.691689362659
2015-03-03,1421.1254484473309
2015-03-04,1426.9369250880281
2015-03-05,1422.210694867209
2015-03-06,1447.5633440124911
2015-03-09,1433.3503937148498
2015-03-10,1437.0585719752667
2015-03-11,1446.6886438029655
2015-03-12,1452.1104679885614
2015-03-13,1461.1010766778252
2015-03-16,1452.9752548136787
2015-03-17,1460.478842684613
2015-03-18,1463.333454880932
2015-03-19,1482.7568665289725
2015-03-20,1460.542112667643
2015-03-23,1450.1436106090703
2015-03-24,1454.8821549299564
2015-03-25,1443.1671004391062
2015-03-26,1438.5644236676237
2015-03-27,1439.599168949221
2015-03-30,1452.3002345748546
2015-03-31,1470.7448741028388
2015-04-01,1469.3364254891248
2015-04-02,1464.8704315307139
2015-04-03,1467.2707140812336
2015-04-06,1456.1658311702874
2015-04-07,1482.1204465589997
2015-04-08,1521.3725050097603
2015-04-09,1549.0399385556877
2015-04-10,1569.2084919385698
2015-04-13,1592.9431086196016
2015-04-14,1573.3691082664163
2015-04-15,1584.876034109018
2015-04-16,1593.8183806169898
2015-04-17,1575.9900936523054
2015-04-20,1562.4728359876945
2015-04-21,1578.3749495489428
2015-04-22,1586.9104916322242
2015-04-23,1579.4877076272635
2015-04-24,1580.648886162636
2015-04-27,1591.7200404861378
2015-04-28,1579.1921865806235
2015-04-29,1544.2125524077326
2015-04-30,1519.4431465050798
2015-05-01,1516.570128650048
2015-05-04,1530.481056683087
2015-05-05,1518.1278721040294
2015-05-06,1481.7715841985962
2015-05-07,1468.5823389187788
2015-05-08,1481.8527097095057
2015-05-11,1493.3187534729539
2015-05-12,1473.9057846765686
2015-05-13,1468.6593309226596
2015-05-14,1465.3745888586664
2015-05-15,1465.8094818378245
2015-05-18,1467.4911891409033
2015-05-19,1502.0052703831973
2015-05-20,1501.6934788026244
2015-05-21,1494.3384174589132
2015-05-22,1522.1290930877465
2015-05-25,1523.6711732454098
2015-05-26,1542.7911407897755
2015-05-27,1529.1273693195308
2015-05-28,1504.5306563497234
2015-05-29,1497.4586293328334
2015-06-01,1502.246110779827
2015-06-02,1458.9437960101657
2015-06-03,1442.826845195592
2015-06-04,1428.7524747235648
2015-06-05,1443.0645676773534
2015-06-08,1422.7688208108677
2015-06-09,1405.6677225303388
2015-06-10,1403.3675239271042
2015-06-11,1417.3679312603242
2015-06-12,1417.0451198785513
2015-06-15,1406.9073580872364
2015-06-16,1396.8572981345367
2015-06-17,1405.015865241592
2015-06-18,1388.5178958498852
2015-06-19,1398.886269989293
2015-06-22,1405.6162439376008
2015-06-23,1446.234910055652
2015-06-24,1445.5818748937043
2015-06-25,1437.913219935368
2015-06-26,1425.0724760945304
2015-06-29,1395.5396306458683
2015-06-30,1414.636568261233
2015-07-01,1424.9542304425513
2015-07-02,1423.700486730884
2015-07-03,1410.8232647005361
2015-07-06,1384.3304672785764
2015-07-07,1393.976167349827
2015-07-08,1331.8593373559734
2015-07-09,1349.73058171623
2015-07-10,1347.849062917887
