Date,EM LATIN AMERICA EQUAL WEIGHTED
2002-02-05,1087.3203808070505
2002-02-06,1099.2003829609307
2002-02-07,1089.3059649024412
2002-02-08,1083.1390448686473
2002-02-11,1057.6930721968738
2002-02-12,1062.4906737103163
2002-02-13,1080.4407141873644
2002-02-14,1087.958482123449
2002-02-15,1082.3376481903772
2002-02-18,1085.7562758616536
2002-02-19,1075.7032528736097
2002-02-20,1073.2602056744338
2002-02-21,1079.698428103447
2002-02-22,1076.288622263401
2002-02-25,1087.450126230881
2002-02-26,1086.443415975202
2002-02-27,1097.85706309456
2002-02-28,1100.645569746745
2002-03-01,1118.8164378909155
2002-03-04,1131.6594697891749
2002-03-05,1124.1122411240078
2002-03-06,1129.0414190485205
2002-03-07,1125.8416098105965
2002-03-08,1142.61411757031
2002-03-11,1130.0176199102982
2002-03-12,1143.9674383247616
2002-03-13,1150.506910937987
2002-03-14,1140.5963412670994
2002-03-15,1144.9982997371412
2002-03-18,1147.7645681080076
2002-03-19,1148.299391676266
2002-03-20,1144.718936034217
2002-03-21,1137.4421841709018
2002-03-22,1125.4706408971215
2002-03-25,1102.4728410468908
2002-03-26,1112.3433457553385
2002-03-27,1119.901257515743
2002-03-28,1120.6064002726562
2002-03-29,1120.6064002726562
2002-04-01,1122.43094586534
2002-04-02,1124.2157862078534
2002-04-03,1121.1138158659742
2002-04-04,1121.285409230656
2002-04-05,1130.4691276514322
2002-04-08,1124.265791165975
2002-04-09,1129.0313110437041
2002-04-10,1145.776806460674
2002-04-11,1140.2395789809893
2002-04-12,1144.2820491940518
2002-04-15,1131.8762503326318
2002-04-16,1139.161468588594
2002-04-17,1149.1448492184095
2002-04-18,1141.1393938583171
2002-04-19,1142.3735958892926
2002-04-22,1129.933268021308
2002-04-23,1124.642184038446
2002-04-24,1128.2697674034687
2002-04-25,1121.0163619606226
2002-04-26,1122.3986570062775
2002-04-29,1119.4292108810262
2002-04-30,1131.3481684260378
2002-05-01,1125.3805884579247
2002-05-02,1120.7600850085678
2002-05-03,1109.9830068485326
2002-05-06,1113.6496313731589
2002-05-07,1106.6923926180689
2002-05-08,1114.682068805752
2002-05-09,1092.9958817478766
2002-05-10,1089.4270735739976
2002-05-13,1086.574063359783
2002-05-14,1089.4278863135555
2002-05-15,1093.6703111647325
2002-05-16,1107.2430347239138
2002-05-17,1101.7804761724788
2002-05-20,1090.782114267331
2002-05-21,1084.8116036501856
