Date,WORLD ex UK SMALL GROWTH
2020-07-23,2830.7408606647655
2020-07-24,2797.05738521076
2020-07-27,2805.835950401879
2020-07-28,2789.8424197433005
2020-07-29,2813.3788830537264
2020-07-30,2803.2217579820194
2020-07-31,2780.1862696962326
2020-08-03,2847.350383025665
2020-08-04,2864.5233289131684
2020-08-05,2874.76818268456
2020-08-06,2879.1522176586313
2020-08-07,2884.933192301043
2020-08-10,2880.1995896732856
2020-08-11,2867.460804589774
2020-08-12,2875.7318935086955
2020-08-13,2890.982223805401
2020-08-14,2880.984484274044
2020-08-17,2893.407713747189
2020-08-18,2881.1465926477413
2020-08-19,2886.723618858663
2020-08-20,2888.3553910028522
2020-08-21,2895.997693396725
2020-08-24,2902.74514717089
2020-08-25,2905.3432761682852
2020-08-26,2917.8142860407397
2020-08-27,2916.9446659335854
2020-08-28,2908.1276419038463
2020-08-31,2893.2592095301084
2020-09-01,2912.9589937626397
2020-09-02,2967.4540012391767
2020-09-03,2876.3033191442482
2020-09-04,2840.470600130035
2020-09-07,2842.8743889201346
2020-09-08,2814.6199320374917
2020-09-09,2847.893512015552
2020-09-10,2819.0350360062635
2020-09-11,2819.8703340651264
2020-09-14,2866.796440923254
2020-09-15,2884.242482573819
2020-09-16,2907.6778062067465
2020-09-17,2896.6403762242667
2020-09-18,2885.297234829267
2020-09-21,2859.434381870484
2020-09-22,2892.1516789251345
2020-09-23,2854.5591539346387
2020-09-24,2841.9260586434957
2020-09-25,2883.221145005576
2020-09-28,2930.580581915214
2020-09-29,2920.703721751733
2020-09-30,2924.6454390171693
2020-10-01,2957.6086323715913
2020-10-02,2948.5893450707863
2020-10-05,2992.9332853782557
2020-10-06,2989.550288808904
2020-10-07,3035.318136782372
2020-10-08,3065.9596125517705
2020-10-09,3084.5409350114423
2020-10-12,3102.0813501287885
2020-10-13,3113.0381670242255
2020-10-14,3101.8003910972825
2020-10-15,3104.73270159485
2020-10-16,3094.726604134813
2020-10-19,3062.952229734805
2020-10-20,3044.728864546354
2020-10-21,3012.06876704265
2020-10-22,3031.489779285766
2020-10-23,3035.3911404999117
2020-10-26,2988.0625320337276
2020-10-27,2979.3107866252326
2020-10-28,2928.4819118621967
2020-10-29,2960.540862314667
2020-10-30,2928.330163040489
2020-11-02,2959.4811088835077
2020-11-03,3000.6262098651096
2020-11-04,3066.566208686681
2020-11-05,3115.7731574399727
2020-11-06,3102.643632050797
2020-11-09,3120.2706863922863
2020-11-10,3108.8406696432385
2020-11-11,3155.441980429596
2020-11-12,3125.1063609109337
2020-11-13,3146.7096418275983
2020-11-16,3181.859874174325
2020-11-17,3175.208668855268
2020-11-18,3156.091097544225
2020-11-19,3186.376586868845
2020-11-20,3200.7147182690924
2020-11-23,3228.4356945934005
2020-11-24,3229.9661149156336
2020-11-25,3224.3802842514197
2020-11-26,3234.806425007571
2020-11-27,3263.0770368238786
2020-11-30,3233.6797177852377
2020-12-01,3239.839772183437
2020-12-02,3218.8369460894473
2020-12-03,3221.023181966667
2020-12-04,3266.578286366327
2020-12-07,3265.4031139348504
2020-12-08,3296.7303109561612
2020-12-09,3288.76787944659
2020-12-10,3296.1406800526684
2020-12-11,3295.8187211588943
2020-12-14,3301.7570963356943
2020-12-15,3340.941830792972
2020-12-16,3335.6042797394225
2020-12-17,3368.6657374713022
2020-12-18,3375.0380569231684
2020-12-21,3379.7527578324584
2020-12-22,3409.7284495960407
2020-12-23,3429.6102680833787
2020-12-24,3431.0148076494493
2020-12-25,3432.3710186687417
2020-12-28,3408.6404294775425
2020-12-29,3385.6777325338767
2020-12-30,3396.7896442615183
2020-12-31,3402.6842944329483
2021-01-01,3402.6842944329464
2021-01-04,3370.005246256932
2021-01-05,3406.9455142523057
2021-01-06,3458.5165419473997
2021-01-07,3525.176852681197
2021-01-08,3542.781291904761
2021-01-11,3556.4865185178182
2021-01-12,3594.0156623213097
2021-01-13,3585.3332832239344
2021-01-14,3638.3945856644145
2021-01-15,3597.4852660887
2021-01-18,3608.432066248939
2021-01-19,3637.8108915234293
2021-01-20,3672.6563050829095
2021-01-21,3657.0183263702825
2021-01-22,3661.222330335749
2021-01-25,3659.088504065986
2021-01-26,3632.746576370855
2021-01-27,3578.5673218543643
2021-01-28,3579.875050418438
2021-01-29,3524.813488326629
2021-02-01,3610.185284085439
2021-02-02,3676.2592521315937
2021-02-03,3700.978579377053
2021-02-04,3746.0150058857184
2021-02-05,3779.668060283353
2021-02-08,3840.6279621824597
2021-02-09,3838.2285988226463
2021-02-10,3816.70693843332
2021-02-11,3828.6494131569225
2021-02-12,3842.7247182026176
2021-02-15,3848.883988652447
2021-02-16,3829.661234484565
2021-02-17,3812.857572370923
2021-02-18,3743.567928723732
2021-02-19,3785.5275409877004
2021-02-22,3741.593191533582
2021-02-23,3702.937045035586
2021-02-24,3753.460365454142
2021-02-25,3634.0624181451058
2021-02-26,3636.2679738705656
2021-03-01,3759.382694677311
2021-03-02,3703.3391910752925
2021-03-03,3646.7406343974512
2021-03-04,3556.8338179373272
2021-03-05,3618.0730044963107
2021-03-08,3613.198007372644
2021-03-09,3684.4373933513875
2021-03-10,3708.3862398236943
2021-03-11,3775.956403626745
2021-03-12,3791.2303289886586
2021-03-15,3835.4650929362347
2021-03-16,3816.4676201242173
2021-03-17,3825.745932444581
2021-03-18,3743.763847989787
2021-03-19,3772.14355455041
2021-03-22,3762.8803256169617
2021-03-23,3689.1515487732845
2021-03-24,3629.7136555661227
2021-03-25,3685.510465467492
2021-03-26,3736.008446220526
2021-03-29,3682.2091400646723
2021-03-30,3723.1180818792395
2021-03-31,3750.4116414216837
2021-04-01,3809.2760897485336
2021-04-02,3812.3363633833533
2021-04-05,3818.8322248162644
2021-04-06,3819.44677235377
2021-04-07,3771.4770076464
2021-04-08,3804.1317675695373
2021-04-09,3812.331011171465
2021-04-12,3792.3867182485787
2021-04-13,3804.493846186515
2021-04-14,3809.145180817006
2021-04-15,3832.9109015175845
2021-04-16,3846.382997398278
2021-04-19,3799.476555546
2021-04-20,3731.057157427649
2021-04-21,3781.4867338023355
2021-04-22,3795.5686611116485
2021-04-23,3826.4516652811385
2021-04-26,3860.9732956661624
2021-04-27,3858.6289823792517
2021-04-28,3855.4631060302527
2021-04-29,3829.6003601205343
2021-04-30,3805.892387993033
2021-05-03,3797.1668335566937
2021-05-04,3751.1450175155246
2021-05-05,3761.0825937980085
2021-05-06,3727.4473668185915
2021-05-07,3760.000065175676
2021-05-10,3692.224317178441
2021-05-11,3658.0568059677994
2021-05-12,3580.2376505934726
2021-05-13,3589.2167400750263
2021-05-14,3653.143958911222
2021-05-17,3647.480691303046
2021-05-18,3632.713494857865
2021-05-19,3602.4213445744267
2021-05-20,3639.9293607364366
2021-05-21,3651.4960982969965
2021-05-24,3665.213283823667
2021-05-25,3657.8341075279022
2021-05-26,3696.4708337800785
2021-05-27,3714.372790523179
2021-05-28,3726.2980821529727
2021-05-31,3715.0048847522075
2021-06-01,3727.8217552153224
2021-06-02,3738.515881171504
2021-06-03,3727.255596034325
2021-06-04,3745.0251151419225
2021-06-07,3772.8303226343915
2021-06-08,3804.625642419359
2021-06-09,3786.4458894945783
2021-06-10,3789.6921626095873
2021-06-11,3834.7746842831766
2021-06-14,3830.8662921177124
2021-06-15,3809.9590574928416
2021-06-16,3801.755577655175
2021-06-17,3826.0230816276317
2021-06-18,3805.605316285788
2021-06-21,3824.7670834393048
2021-06-22,3855.5057809805835
2021-06-23,3852.56575418549
2021-06-24,3890.752996356265
2021-06-25,3906.085964722666
2021-06-28,3908.9616402740276
2021-06-29,3910.6332945449067
2021-06-30,3915.8283744952982
2021-07-01,3923.7389646562037
2021-07-02,3927.2491896423903
2021-07-05,3924.948449198267
2021-07-06,3910.581560474154
2021-07-07,3901.0333233750434
2021-07-08,3850.0010195750992
2021-07-09,3894.3280771429486
2021-07-12,3904.8581786637296
2021-07-13,3879.2896645272053
2021-07-14,3836.4573690570105
2021-07-15,3799.8591243603037
2021-07-16,3776.4379381577633
2021-07-19,3731.825626908398
2021-07-20,3810.7195423678613
2021-07-21,3863.9849356899445
2021-07-22,3856.616945161621
2021-07-23,3883.424483172121
2021-07-26,3877.562276447511
2021-07-27,3843.995908496977
2021-07-28,3888.0647488391296
2021-07-29,3895.345852256575
2021-07-30,3886.270576514559
2021-08-02,3888.4587329143546
2021-08-03,3896.8008298572095
2021-08-04,3886.003832918144
2021-08-05,3922.735508142886
2021-08-06,3932.538332529845
2021-08-09,3928.321535169353
2021-08-10,3940.9547568297726
2021-08-11,3944.9174858003653
2021-08-12,3947.141935899644
2021-08-13,3917.071216180217
2021-08-16,3884.341799668563
2021-08-17,3858.2753902484183
2021-08-18,3854.7045032789324
2021-08-19,3818.2325076028274
2021-08-20,3855.2481007514893
2021-08-23,3910.072816579729
2021-08-24,3948.669704252844
2021-08-25,3966.383265633738
2021-08-26,3942.1411100179184
2021-08-27,3998.5217220793884
2021-08-30,4007.8292536086465
2021-08-31,4008.3248880325077
2021-09-01,4020.7113935487905
2021-09-02,4055.1029041622123
2021-09-03,4053.1521210586866
2021-09-06,4066.1190625487206
2021-09-07,4047.772733677647
2021-09-08,4019.786878974605
2021-09-09,4023.5433066166916
2021-09-10,4008.076616817603
2021-09-13,4015.4973740031833
2021-09-14,3994.182812417892
2021-09-15,4008.9731562186025
2021-09-16,4026.887605765013
2021-09-17,4035.4286050614255
2021-09-20,3963.2540721312653
2021-09-21,3970.5409980708687
2021-09-22,4005.058759091023
2021-09-23,4053.0683174701844
2021-09-24,4045.895465219175
2021-09-27,4051.4814167946106
2021-09-28,3957.207473069063
2021-09-29,3947.6428113028624
2021-09-30,3939.516732714466
2021-10-01,3957.7803283238773
2021-10-04,3895.9658970017776
2021-10-05,3915.011739998115
2021-10-06,3907.8937299200406
2021-10-07,3957.8655121581987
2021-10-08,3930.176287752317
2021-10-11,3915.677857513044
