Date,WORLD ex UK VALUE WEIGHTED
2000-07-31,729.8673759
2000-08-01,735.2571875
2000-08-02,736.3428939
2000-08-03,735.4424068
2000-08-04,740.1437795
2000-08-07,747.2629346
2000-08-08,746.2860557
2000-08-09,746.8753004
2000-08-10,747.6648504
2000-08-11,751.983048
2000-08-14,755.3584555
2000-08-15,755.8664233
2000-08-16,755.9781482
2000-08-17,755.6473028
2000-08-18,753.9382325
2000-08-21,752.6589741
2000-08-22,754.8104983
2000-08-23,755.1939823
2000-08-24,756.7180935
2000-08-25,759.1095882
2000-08-28,760.6354126
2000-08-29,757.2771482
2000-08-30,752.514435
2000-08-31,752.4578788
2000-09-01,759.3843633
2000-09-04,760.7325029
2000-09-05,756.4824215
2000-09-06,752.8047222
2000-09-07,752.4852889
2000-09-08,750.9315248
2000-09-11,749.4693697
2000-09-12,745.5285809
2000-09-13,745.2067792
2000-09-14,742.735193
2000-09-15,739.3538607
2000-09-18,729.8095377
2000-09-19,730.2955604
2000-09-20,725.7462642
2000-09-21,723.5314313
2000-09-22,727.8311635
2000-09-25,728.3865977
2000-09-26,726.8752026
2000-09-27,725.6140868
2000-09-28,734.0773862
2000-09-29,733.5308588
2000-10-02,738.2987975
2000-10-03,739.1627066
2000-10-04,738.5239263
2000-10-05,739.0966403
2000-10-06,732.1983984
2000-10-09,726.8390318
2000-10-10,724.7847846
2000-10-11,715.7182408
2000-10-12,703.1982161
2000-10-13,707.9460665
2000-10-16,706.4679708
2000-10-17,699.0822474
2000-10-18,693.6873712
2000-10-19,702.7287955
2000-10-20,705.4593873
2000-10-23,705.8932091
2000-10-24,713.0975032
2000-10-25,706.1484073
2000-10-26,705.0183807
2000-10-27,714.2338681
2000-10-30,724.8213565
2000-10-31,732.9365533
2000-11-01,738.1775998
2000-11-02,740.3415032
2000-11-03,741.6195091
2000-11-06,746.3935566
2000-11-07,744.8315576
2000-11-08,741.605221
2000-11-09,737.6830313
2000-11-10,729.718823
2000-11-13,722.5307215
2000-11-14,728.7555169
2000-11-15,729.8791136
2000-11-16,723.8530158
2000-11-17,720.6237901
2000-11-20,711.137184
2000-11-21,710.3086864
2000-11-22,701.6583553
2000-11-23,702.7504222
2000-11-24,706.1553222
2000-11-27,713.2028934
2000-11-28,713.7909369
