Date,EAFE ex JAPAN VALUE WEIGHTED
1998-07-28,2119.945806700381
1998-07-29,2108.169424815524
1998-07-30,2125.429341403238
1998-07-31,2104.5076822427964
1998-08-03,2067.25579961858
1998-08-04,2064.9179777662234
1998-08-05,2037.899913861477
1998-08-06,2009.9479466057285
1998-08-07,2026.1110436989413
1998-08-10,1990.037575978023
1998-08-11,1930.1661001682367
1998-08-12,1953.8294777607894
1998-08-13,1927.9869683315376
1998-08-14,1944.8673434720265
1998-08-17,1941.4745774685548
1998-08-18,1988.711354975564
1998-08-19,2008.2019619776502
1998-08-20,1993.3277109447527
1998-08-21,1920.9991154822487
1998-08-24,1932.3051711292965
1998-08-25,1964.454426903909
1998-08-26,1917.4993397282674
1998-08-27,1855.3400938936627
1998-08-28,1849.3281035083303
1998-08-31,1836.4369469268702
1998-09-01,1823.3029717558368
1998-09-02,1863.114290296069
1998-09-03,1844.6540441058344
1998-09-04,1853.9923963501565
1998-09-07,1915.4005055738676
1998-09-08,1929.1726064508605
1998-09-09,1909.5230232325366
1998-09-10,1862.5563645661477
1998-09-11,1851.2616070886806
1998-09-14,1891.617524627508
1998-09-15,1895.0896698050647
1998-09-16,1909.5545400483775
1998-09-17,1857.4783055189898
1998-09-18,1824.8776649078554
1998-09-21,1774.7634051669295
1998-09-22,1809.0545250323853
1998-09-23,1844.1219891594587
1998-09-24,1847.0829496450685
1998-09-25,1829.065657092604
1998-09-28,1848.2541946201786
1998-09-29,1846.81511914742
1998-09-30,1805.4330464478564
1998-10-01,1754.8027977690024
1998-10-02,1721.699076892669
1998-10-05,1695.7437992877879
1998-10-06,1749.9744266244916
1998-10-07,1765.4013383640558
1998-10-08,1730.6812517030476
1998-10-09,1758.7239229820507
1998-10-12,1824.287544301362
1998-10-13,1839.4096134779313
1998-10-14,1857.6012008014925
1998-10-15,1882.67331301902
1998-10-16,1931.8980265432208
1998-10-19,1917.2831707920705
1998-10-20,1957.0279684823386
1998-10-21,1934.3827591795948
1998-10-22,1930.5404826514978
1998-10-23,1931.5418614530763
1998-10-26,1937.2051498491994
