Date,ACWI IMI MINIMUM VOLATILITY (USD)
2013-11-18,1722.4678384480646
2013-11-19,1716.899766564877
2013-11-20,1719.5822576119222
2013-11-21,1719.6195839817922
2013-11-22,1713.442859551188
2013-11-25,1716.327272138493
2013-11-26,1705.6787150840394
2013-11-27,1701.3449663442416
2013-11-28,1700.301576172995
2013-11-29,1699.6561823418465
2013-12-02,1702.6892190051026
2013-12-03,1695.910650081079
2013-12-04,1690.3452087778523
2013-12-05,1673.596337631463
2013-12-06,1682.4279164178179
2013-12-09,1680.873036728352
2013-12-10,1669.6944138101428
2013-12-11,1656.5347445173127
2013-12-12,1650.237141198272
2013-12-13,1651.8944510060119
2013-12-16,1651.6528231261898
2013-12-17,1653.536759517643
2013-12-18,1665.5217542850658
2013-12-19,1673.269225240644
2013-12-20,1676.2890848060192
2013-12-23,1677.4680994291134
2013-12-24,1683.9188424290828
2013-12-25,1683.635917645016
2013-12-26,1685.1246950051045
2013-12-27,1679.5198974238006
2013-12-30,1682.2489804635659
2013-12-31,1688.3474139054806
2014-01-01,1688.3525226249674
2014-01-02,1691.2515217954972
2014-01-03,1696.0568188747168
2014-01-06,1685.1227539843367
2014-01-07,1691.2383795185463
2014-01-08,1692.443750346612
2014-01-09,1693.2336223139548
2014-01-10,1690.7771453593443
2014-01-13,1687.3712240546406
2014-01-14,1683.9425248166185
2014-01-15,1696.48155438462
2014-01-16,1699.0851951679717
2014-01-17,1703.347452367438
2014-01-20,1701.5557613050312
2014-01-21,1706.848435968681
2014-01-22,1706.505467100097
2014-01-23,1683.9174850097522
2014-01-24,1666.0290523027547
2014-01-27,1653.5029267031023
2014-01-28,1657.4175448695785
2014-01-29,1658.3666806767744
2014-01-30,1670.3073027156486
2014-01-31,1678.7618659012371
2014-02-03,1652.6526749849597
2014-02-04,1644.228978653212
2014-02-05,1643.6152458094537
2014-02-06,1644.492294614676
2014-02-07,1657.8861629254652
2014-02-10,1661.512063580176
2014-02-11,1670.9141222883654
2014-02-12,1684.5505238658645
2014-02-13,1681.894315032341
2014-02-14,1686.244306919796
2014-02-17,1686.9094034660982
2014-02-18,1688.6042196873452
2014-02-19,1685.1365267859474
2014-02-20,1690.104176916487
2014-02-21,1691.5000406585375
2014-02-24,1696.8784070844752
2014-02-25,1698.899774676547
2014-02-26,1706.0100575955535
2014-02-27,1708.0080665543496
2014-02-28,1698.0388042898771
2014-03-03,1691.5196803540287
2014-03-04,1710.2484452866158
2014-03-05,1708.9937324913426
2014-03-06,1700.9638616989487
2014-03-07,1699.4703255360782
2014-03-10,1692.342813013361
2014-03-11,1696.2884352962722
2014-03-12,1686.8841237836136
2014-03-13,1679.5229972183988
2014-03-14,1673.1939670356483
2014-03-17,1678.6095505829057
2014-03-18,1688.2629801023045
2014-03-19,1679.0133980628136
2014-03-20,1686.2308723189678
2014-03-21,1685.1965112462856
2014-03-24,1685.4385142133842
2014-03-25,1692.1965825675954
2014-03-26,1691.984279553623
2014-03-27,1703.78909795171
2014-03-28,1708.883246362888
2014-03-31,1719.359903535413
2014-04-01,1719.1536918423667
2014-04-02,1722.8283089279512
2014-04-03,1728.3559204617218
2014-04-04,1726.09501806357
2014-04-07,1713.122406137781
2014-04-08,1712.0594613354333
2014-04-09,1715.643931344819
2014-04-10,1699.5789439239836
2014-04-11,1686.0337804751825
2014-04-14,1698.5138187529058
2014-04-15,1700.6048179336703
2014-04-16,1714.1817686922852
2014-04-17,1713.5606392584075
2014-04-18,1714.814170722677
2014-04-21,1717.4755130917558
2014-04-22,1721.0349074990713
2014-04-23,1715.8773040775711
2014-04-24,1716.3192822428243
2014-04-25,1711.8471374777318
2014-04-28,1715.6254816594633
2014-04-29,1724.641252130568
2014-04-30,1725.7890317996782
2014-05-01,1728.527369716054
2014-05-02,1728.181839197663
2014-05-05,1726.0092692189376
2014-05-06,1716.6699246667642
2014-05-07,1719.2567679495337
2014-05-08,1727.7044946757994
2014-05-09,1743.382817902398
2014-05-12,1749.0213427702108
2014-05-13,1757.8865678753539
2014-05-14,1758.806830802236
2014-05-15,1751.5630647796836
2014-05-16,1755.4291442138463
2014-05-19,1755.1035046261013
2014-05-20,1751.0883905316373
2014-05-21,1760.1380292917595
2014-05-22,1768.071851214712
2014-05-23,1773.3559688692146
2014-05-26,1773.238261988034
2014-05-27,1779.515982743411
2014-05-28,1781.807415717728
2014-05-29,1783.8242125608585
2014-05-30,1781.3805930096655
2014-06-02,1788.0091049119799
2014-06-03,1787.840342953475
2014-06-04,1791.830245484504
2014-06-05,1796.1258228209272
2014-06-06,1795.035447374383
2014-06-09,1801.9701795810379
2014-06-10,1807.644268266994
2014-06-11,1806.078466063108
2014-06-12,1801.9289461181766
2014-06-13,1806.6661284075558
2014-06-16,1801.3611920322135
2014-06-17,1806.401286548691
2014-06-18,1811.858709353335
2014-06-19,1813.6113630414086
2014-06-20,1820.4818909160988
2014-06-23,1813.5381853278059
2014-06-24,1810.182664931348
2014-06-25,1806.6605025826454
2014-06-26,1815.4215659305182
2014-06-27,1812.6226062385342
2014-06-30,1812.4917284733283
2014-07-01,1819.9514046681722
2014-07-02,1823.7821341650222
2014-07-03,1831.6921699929555
2014-07-04,1835.3221654884196
2014-07-07,1830.4636054139928
2014-07-08,1826.7481232827176
2014-07-09,1826.1949178095335
2014-07-10,1827.517890261696
2014-07-11,1827.461085727609
2014-07-14,1830.1263936372281
2014-07-15,1836.347836678016
2014-07-16,1844.3534933209962
2014-07-17,1838.7376392345577
2014-07-18,1846.8048433962902
2014-07-21,1841.4798042262453
2014-07-22,1853.146519857477
2014-07-23,1856.662000740598
2014-07-24,1857.4416477526381
2014-07-25,1857.1531631014216
2014-07-28,1858.989816124505
2014-07-29,1858.2753963303876
2014-07-30,1857.442093930351
2014-07-31,1835.7985984953625
2014-08-01,1828.03810519117
2014-08-04,1831.6979839917508
2014-08-05,1829.5807411829146
2014-08-06,1831.8764459103272
2014-08-07,1832.2773719690588
2014-08-08,1829.415177461668
2014-08-11,1844.8540803262642
2014-08-12,1850.5843658392293
2014-08-13,1855.0230826102702
2014-08-14,1865.344975419002
2014-08-15,1866.4272191750715
2014-08-18,1879.3633591687512
2014-08-19,1892.6927498400867
2014-08-20,1898.246981274586
2014-08-21,1898.7874686533985
2014-08-22,1903.611353573056
2014-08-25,1913.8609982229552
2014-08-26,1912.7804761898738
2014-08-27,1917.4164819384691
2014-08-28,1920.1912353943922
2014-08-29,1924.0573506757348
2014-09-01,1930.198336720251
2014-09-02,1929.6055864040939
2014-09-03,1934.6492300214788
2014-09-04,1955.8997185588246
2014-09-05,1959.1813394948979
2014-09-08,1955.7270900866083
2014-09-09,1950.394683595872
2014-09-10,1948.5889347393968
2014-09-11,1945.7928710642
2014-09-12,1935.3252759640638
2014-09-15,1931.433143351654
2014-09-16,1934.8026761189635
2014-09-17,1934.5037726807282
2014-09-18,1942.1790844037814
2014-09-19,1953.0329272811464
2014-09-22,1944.11447029105
2014-09-23,1929.332792176446
2014-09-24,1945.0329426703179
