Date,WORLD ex AUSTRALIA WITH USA GROSS
2012-07-16,1646.1585858404997
2012-07-17,1650.7682959391823
2012-07-18,1664.49433660599
2012-07-19,1675.0255077504678
2012-07-20,1652.4979795052081
2012-07-23,1627.2802985602011
2012-07-24,1614.4229090025008
2012-07-25,1613.1065614851034
2012-07-26,1648.4296158150669
2012-07-27,1678.1394999519027
2012-07-30,1682.7501614552916
2012-07-31,1677.54808946331
2012-08-01,1674.4645380876393
2012-08-02,1656.39655918938
2012-08-03,1691.192157974067
2012-08-06,1701.7740671246606
2012-08-07,1713.5583297604935
2012-08-08,1713.79448281233
2012-08-09,1716.528833149084
2012-08-10,1717.9905776932458
2012-08-13,1715.4913406855528
2012-08-14,1717.4671730445689
2012-08-15,1717.4359992430398
2012-08-16,1731.9044145512394
2012-08-17,1735.4655111230336
2012-08-20,1734.685906621827
2012-08-21,1739.244684168145
2012-08-22,1732.0267956547802
2012-08-23,1728.1070853222366
2012-08-24,1730.1534735000353
2012-08-27,1731.4333869145341
2012-08-28,1728.0447370648922
2012-08-29,1727.1387366749682
2012-08-30,1712.5335582787525
2012-08-31,1722.3847598392006
2012-09-03,1725.032048708132
2012-09-04,1716.9811715196672
2012-09-05,1716.0344192919192
2012-09-06,1749.189900621675
2012-09-07,1768.7886314170305
2012-09-10,1760.8280871630259
2012-09-11,1768.0971805199206
2012-09-12,1774.7622953101068
2012-09-13,1793.0790971693516
2012-09-14,1816.9341319045486
2012-09-17,1809.7561335314776
2012-09-18,1803.0773267770296
2012-09-19,1808.7567949539234
2012-09-20,1799.8356326919495
2012-09-21,1804.2532123108547
2012-09-24,1796.3607449859392
2012-09-25,1790.1994595972035
2012-09-26,1767.9208844828836
2012-09-27,1782.254616433491
2012-09-28,1770.2547304764971
2012-10-01,1780.683270927726
2012-10-02,1781.6310430221965
2012-10-03,1781.5293912247682
2012-10-04,1795.3086771299975
2012-10-05,1802.8623743126846
2012-10-08,1791.6658958224587
2012-10-09,1773.2690767027352
2012-10-10,1761.687939784233
2012-10-11,1766.9713175180373
2012-10-12,1763.2567172087654
2012-10-15,1772.7729198284878
2012-10-16,1795.7713837936064
2012-10-17,1809.1445094897028
2012-10-18,1808.4194523750855
2012-10-19,1784.4139348407807
2012-10-22,1783.107386747501
2012-10-23,1754.2781219427925
2012-10-24,1752.7888874803507
2012-10-25,1758.171974611255
2012-10-26,1755.198810775841
2012-10-29,1750.7902875687928
2012-10-30,1757.7047115201678
2012-10-31,1756.478617847012
2012-11-01,1773.5773263748174
2012-11-02,1763.4129865659208
2012-11-05,1759.8719004219345
2012-11-06,1770.5872974106776
2012-11-07,1739.9980050177587
2012-11-08,1723.116800983791
2012-11-09,1722.8275997301673
2012-11-12,1720.3695006747557
