Date,MALAYSIA SMALL VALUE
2021-12-16,1946.5107697612177
2021-12-17,1960.792401097882
2021-12-20,1934.6460244606865
2021-12-21,1947.4553042388632
2021-12-22,1937.6926075998724
2021-12-23,1958.852022518748
2021-12-24,1965.0025114033874
2021-12-27,1981.3577699061987
2021-12-28,2000.7253307866856
2021-12-29,1992.8369346820011
2021-12-30,2005.0003181372747
2021-12-31,2006.0968825251548
2022-01-03,2019.066593883659
2022-01-04,2019.7435759485627
2022-01-05,2023.8899947951436
2022-01-06,2006.171975714786
2022-01-07,2000.2917207269163
2022-01-10,2017.4403010410572
2022-01-11,2020.8635058822306
2022-01-12,2014.3380492747292
2022-01-13,2005.4081803159693
2022-01-14,1998.8856110300496
2022-01-17,1990.4303503710426
2022-01-18,2000.9589425443878
2022-01-19,1965.2810973174878
2022-01-20,1969.842976906055
2022-01-21,1957.362935986168
2022-01-24,1957.1632283782512
2022-01-25,1951.2072840004528
2022-01-26,1958.7381408216083
2022-01-27,1974.6514145371225
2022-01-28,1976.3285730686405
2022-01-31,1973.0144318031055
2022-02-01,1966.17404040473
2022-02-02,1957.9065888118275
2022-02-03,1949.8391280886885
2022-02-04,1949.9827654314531
2022-02-07,1955.5322218319131
2022-02-08,1950.9414928262202
2022-02-09,1955.4156790310212
2022-02-10,1955.2855225936214
2022-02-11,1959.4773917914313
2022-02-14,1977.0213389980045
2022-02-15,1982.6979394537009
2022-02-16,1984.8112259540574
2022-02-17,1991.583821986168
2022-02-18,1997.14652831944
2022-02-21,2011.3253205494273
2022-02-22,1986.3816338807048
2022-02-23,1991.9443631944282
2022-02-24,2003.5030060738254
2022-02-25,2000.3159462584786
2022-02-28,2003.1909342349081
2022-03-01,2030.3060701747545
2022-03-02,2026.3636502885226
2022-03-03,2036.8325161164844
2022-03-04,2047.2643459784422
2022-03-07,2013.622169474661
2022-03-08,1977.5868289367145
2022-03-09,1971.5374598236147
2022-03-10,2004.396953645615
2022-03-11,2003.454819994325
2022-03-14,1988.7483916828126
2022-03-15,1971.2166701700087
2022-03-16,2003.3085568591234
2022-03-17,2011.3522360742854
2022-03-18,2014.7164852841256
2022-03-21,2020.8011033346365
2022-03-22,2025.6984555686972
2022-03-23,2024.4648033687704
2022-03-24,2042.7518129488242
2022-03-25,2069.468599652633
2022-03-28,2068.2811141133134
2022-03-29,2042.3599681614203
2022-03-30,2041.9421095086789
2022-03-31,2068.4569891707033
2022-04-01,2083.4147638420286
2022-04-04,2098.9782416783883
2022-04-05,2123.144973044656
2022-04-06,2144.1200844128857
2022-04-07,2134.6703064256203
2022-04-08,2165.4452786901784
2022-04-11,2144.5893514916393
2022-04-12,2147.8846224119557
2022-04-13,2157.6222371024314
2022-04-14,2179.3520944112115
2022-04-15,2176.974445087356
2022-04-18,2154.9863396796954
2022-04-19,2156.3848382082033
2022-04-20,2137.855865904578
2022-04-21,2134.9787380610805
2022-04-22,2136.857906417358
2022-04-25,2106.1117056410467
2022-04-26,2129.4654188983795
2022-04-27,2138.637917110424
2022-04-28,2164.685583568314
2022-04-29,2169.287480633846
2022-05-02,2174.647054396993
2022-05-03,2171.551765141791
2022-05-04,2169.493129539439
2022-05-05,2154.9681500394545
2022-05-06,2112.9508082767175
2022-05-09,2099.321075355896
2022-05-10,2105.166895009089
2022-05-11,2102.5490249320446
2022-05-12,2100.215008407904
2022-05-13,2103.810928779805
2022-05-16,2101.889917262753
2022-05-17,2101.0655476830734
2022-05-18,2105.430405503113
2022-05-19,2090.669537355078
2022-05-20,2108.5430404494327
2022-05-23,2100.2227714503842
2022-05-24,2059.295029949896
2022-05-25,2058.7073415708737
2022-05-26,2044.082033194472
2022-05-27,2053.1210438316793
2022-05-30,2041.2866256054674
2022-05-31,2065.786196132776
2022-06-01,2069.840156583536
2022-06-02,2052.384285545615
2022-06-03,2054.259310717285
2022-06-06,2054.5467403116218
2022-06-07,2052.830045537813
2022-06-08,2051.9990593588277
2022-06-09,2060.3771231292426
2022-06-10,2060.3281171527965
2022-06-13,2022.262941512249
2022-06-14,2024.0064147361084
2022-06-15,2014.9714836099947
2022-06-16,2002.9618357040774
2022-06-17,1997.0208683391347
2022-06-20,1956.0676551330564
2022-06-21,1966.5488193111883
2022-06-22,1936.6210446992388
2022-06-23,1945.7926896109395
2022-06-24,1964.6286790649274
2022-06-27,1947.3776668789797
2022-06-28,1976.4083633562739
2022-06-29,1987.777465922335
2022-06-30,1991.0464931801512
2022-07-01,1980.2872515766574
2022-07-04,1959.5772497861924
2022-07-05,2004.9475904959563
2022-07-06,2002.4341870723067
2022-07-07,2004.7724456733888
2022-07-08,2004.4989900124197
2022-07-11,2022.3900902356668
2022-07-12,2022.3082394018513
2022-07-13,2006.8773291394116
2022-07-14,2017.614405885321
2022-07-15,1987.0674060674123
2022-07-18,1975.2842157565567
2022-07-19,1967.3065997399099
2022-07-20,1979.2647777644365
2022-07-21,2007.4613222568692
2022-07-22,2013.7630832780246
2022-07-25,2013.6195557543053
2022-07-26,2032.787319241921
2022-07-27,2043.1747547028745
2022-07-28,2061.7292409073716
2022-07-29,2058.79487694996
2022-08-01,2047.4980862683324
2022-08-02,2042.2269354912962
2022-08-03,2058.9991226553666
2022-08-04,2054.3124455916063
2022-08-05,2063.8647593636183
2022-08-08,2058.8202019148885
2022-08-09,2053.2186434906966
2022-08-10,2005.600732271088
2022-08-11,2037.246622012748
2022-08-12,2051.1036314206376
2022-08-15,2043.2340121060265
2022-08-16,2056.6599713591163
2022-08-17,2058.828454829902
2022-08-18,2059.3848448380804
2022-08-19,2087.214597825797
2022-08-22,2079.9968286733742
2022-08-23,2070.4728164189055
2022-08-24,2075.259195540409
2022-08-25,2104.179295109448
2022-08-26,2101.1680404007493
2022-08-29,2093.271866911746
2022-08-30,2102.0856743081476
2022-08-31,2088.0794349188936
2022-09-01,2101.6309129959045
2022-09-02,2080.1254284708593
2022-09-05,2104.407924866467
2022-09-06,2113.0399273373637
2022-09-07,2102.060770659812
