Date,INDONESIA SMALL GROWTH
1999-02-02,318.3156457043206
1999-02-03,333.3535817931286
1999-02-04,325.6319057233192
1999-02-05,322.960243887509
1999-02-08,318.4075549378496
1999-02-09,317.34848363045927
1999-02-10,330.6121435625261
1999-02-11,332.1064357770636
1999-02-12,331.2503026586628
1999-02-15,334.47236474957253
1999-02-16,330.5466140876139
1999-02-17,331.09693535698517
1999-02-18,321.6540483669272
1999-02-19,328.6826300128207
1999-02-22,318.7566950062213
1999-02-23,320.7088922301738
1999-02-24,324.192198507414
1999-02-25,325.9097949342832
1999-02-26,322.2849958420923
1999-03-01,323.00556552759633
1999-03-02,316.2351085968775
1999-03-03,317.4406821633617
1999-03-04,313.9114163922084
1999-03-05,310.6978655673146
1999-03-08,306.96252487778963
1999-03-09,303.6166940249094
1999-03-10,296.9244619967481
1999-03-11,285.9806456158211
1999-03-12,293.7051203136138
1999-03-15,306.3954255233614
1999-03-16,309.33643526642857
1999-03-17,310.1648780714912
1999-03-18,310.1648780714912
1999-03-19,317.7862177933674
1999-03-22,318.4989826423741
1999-03-23,319.6777180304103
1999-03-24,317.41193091064537
1999-03-25,327.8471476567186
1999-03-26,319.43702612736575
1999-03-29,323.652142584048
1999-03-30,327.5849128414333
1999-03-31,329.4730103217874
1999-04-01,326.9273020898419
1999-04-02,328.83358373468064
1999-04-05,327.18564174307613
1999-04-06,325.68313740228814
1999-04-07,327.60901356722013
1999-04-08,326.3190551106382
1999-04-09,338.0290447764592
1999-04-12,337.54396527839566
1999-04-13,343.4797154894435
1999-04-14,350.3218698648957
1999-04-15,358.3933316292292
1999-04-16,363.87286957980496
1999-04-19,375.62037324628676
1999-04-20,361.7823305229745
1999-04-21,358.4205824538059
1999-04-22,364.6955644501963
1999-04-23,365.69124983230273
1999-04-26,361.01749488893773
1999-04-27,360.83106884752755
1999-04-28,361.2026561480012
1999-04-29,386.0038875188706
1999-04-30,395.47212338301443
1999-05-03,423.73221160024326
1999-05-04,435.04639138618626
1999-05-05,456.4689771243362
1999-05-06,460.9038503017171
1999-05-07,455.20881847232306
1999-05-10,476.3223839892549
1999-05-11,475.2449864582855
1999-05-12,472.2814609633695
1999-05-13,473.7976133260127
1999-05-14,484.54963393991784
1999-05-17,466.2030390519161
1999-05-18,460.9145027073697
1999-05-19,453.8412379386253
1999-05-20,457.15525585412104
1999-05-21,463.08753733729367
1999-05-24,484.20235692184116
1999-05-25,485.70353242419253
1999-05-26,478.91286341349365
1999-05-27,482.88531182985895
1999-05-28,479.55629283770025
1999-05-31,473.7642486309597
1999-06-01,458.20142408223455
1999-06-02,449.7349540219845
1999-06-03,461.7508528659629
1999-06-04,486.7998848584504
1999-06-07,504.37615407319777
1999-06-08,561.8163899240805
1999-06-09,548.5883194671362
1999-06-10,542.4363180499583
1999-06-11,548.2482854494527
1999-06-14,569.7954319676758
1999-06-15,584.8033047920977
1999-06-16,580.7352734907345
1999-06-17,584.2578013782094
1999-06-18,595.7847646137025
1999-06-21,620.5070022762479
1999-06-22,645.9271117049022
1999-06-23,635.4778431993733
1999-06-24,620.9064497018156
1999-06-25,611.6889197733628
1999-06-28,626.119586434836
1999-06-29,626.0798159922299
1999-06-30,604.8282752204252
1999-07-01,601.3097725626312
1999-07-02,597.9828427623772
1999-07-05,598.3766229974179
1999-07-06,632.94542353812
1999-07-07,611.5721731953522
1999-07-08,612.4632735013786
