Date,EMU SMALL VALUE
2021-03-18,1392.9539426638676
2021-03-19,1383.4266361927046
2021-03-22,1382.7961822107723
2021-03-23,1370.653009399719
2021-03-24,1371.1112471442477
2021-03-25,1361.7739492082003
2021-03-26,1380.8053466640806
2021-03-29,1378.6951633342796
2021-03-30,1389.2574185223136
2021-03-31,1383.155663782804
2021-04-01,1398.2535027930464
2021-04-02,1398.2535027930464
2021-04-05,1402.4099380903194
2021-04-06,1416.0936741949458
2021-04-07,1423.7421215235286
2021-04-08,1424.6706986135653
2021-04-09,1418.106775803764
2021-04-12,1417.016587166559
2021-04-13,1421.7550539640697
2021-04-14,1428.7854306866413
2021-04-15,1427.5963459876887
2021-04-16,1442.1375418319242
2021-04-19,1447.8576753515104
2021-04-20,1426.9722390031504
2021-04-21,1425.6311206177916
2021-04-22,1439.602152149773
2021-04-23,1444.3805375600798
2021-04-26,1467.7371108706
2021-04-27,1463.8914131326926
2021-04-28,1472.9037184670544
2021-04-29,1475.5425543797464
2021-04-30,1460.1155364533795
2021-05-03,1474.390519579412
2021-05-04,1451.935602885024
2021-05-05,1469.403773819096
2021-05-06,1481.1752740606967
2021-05-07,1501.422064102004
2021-05-10,1518.832801626734
2021-05-11,1493.505610244369
2021-05-12,1481.475946877177
2021-05-13,1477.188571509538
2021-05-14,1501.0608762448337
2021-05-17,1505.0973986946913
2021-05-18,1518.150633593072
2021-05-19,1500.427688511933
2021-05-20,1506.3816046523127
2021-05-21,1508.8590629170146
2021-05-24,1517.1798114046087
2021-05-25,1520.923407977089
2021-05-26,1516.5100747594377
2021-05-27,1527.058758063364
2021-05-28,1530.538100201946
2021-05-31,1535.338477341965
2021-06-01,1552.1054330772563
2021-06-02,1547.732930803188
2021-06-03,1538.84887389641
2021-06-04,1545.7186294908086
2021-06-07,1553.7948397225
2021-06-08,1553.2895748617402
2021-06-09,1549.4736988467441
2021-06-10,1543.9287166346608
2021-06-11,1544.413308235004
2021-06-14,1551.7785995156505
2021-06-15,1541.9459675377404
2021-06-16,1533.6014092654225
2021-06-17,1497.758307194287
2021-06-18,1466.3231587773687
2021-06-21,1479.338945382679
2021-06-22,1479.2727938731962
2021-06-23,1476.661080833629
2021-06-24,1482.5710682998742
2021-06-25,1491.9559820221357
2021-06-28,1471.628394814573
2021-06-29,1474.62142363796
2021-06-30,1462.280250825751
2021-07-01,1478.6254731003498
