Date,ACWI IMI VALUE
2005-05-31,647.3111044396105
2005-06-01,651.7924653325039
2005-06-02,652.4676305276816
2005-06-03,650.9621086589846
2005-06-06,651.740814102017
2005-06-07,653.5792376592813
2005-06-08,654.3500647362896
2005-06-09,652.7900678831378
2005-06-10,653.6254989955079
2005-06-13,653.2948192132919
2005-06-14,655.3634270408072
2005-06-15,657.9253396579855
2005-06-16,661.1655949277789
2005-06-17,667.00122285003
2005-06-20,664.5800710223939
2005-06-21,664.4635300202823
2005-06-22,665.7975936494577
2005-06-23,661.9075361642429
2005-06-24,658.1485169364424
2005-06-27,656.8807579001226
2005-06-28,660.3050618351217
2005-06-29,660.5593784388079
2005-06-30,658.113505732762
2005-07-01,658.5979647098253
2005-07-04,658.2293596404178
2005-07-05,660.3841749370533
2005-07-06,659.0478373600486
2005-07-07,656.1850861429551
2005-07-08,662.1968370429757
2005-07-11,668.9955915349697
2005-07-12,672.216125274112
2005-07-13,671.3162011880986
2005-07-14,673.0441214400633
2005-07-15,671.7592714019878
2005-07-18,669.6961003782945
2005-07-19,670.7369087308828
2005-07-20,672.7591880325285
2005-07-21,674.1197662171312
2005-07-22,676.9685449167673
2005-07-25,675.2720818370537
2005-07-26,674.6540904913658
2005-07-27,677.4344514437192
2005-07-28,681.3837578050989
2005-07-29,680.0617705795346
2005-08-01,682.00214195743
2005-08-02,686.9054553738906
2005-08-03,688.5247303178179
2005-08-04,684.4340215263799
2005-08-05,677.8595077348585
2005-08-08,678.5957590283139
2005-08-09,681.9605561277859
2005-08-10,687.4304019077144
2005-08-11,692.1461829840241
2005-08-12,690.212858668807
2005-08-15,690.0934609317483
2005-08-16,685.4456683540191
2005-08-17,683.7949264567399
2005-08-18,679.0028954637996
2005-08-19,680.4012786166949
2005-08-22,685.3521888881093
2005-08-23,682.5033888687992
2005-08-24,680.1390632428925
2005-08-25,680.4895800203145
2005-08-26,677.7607772889573
2005-08-29,677.4184358829433
2005-08-30,675.9181356595631
2005-08-31,684.0250609061673
2005-09-01,691.2516537654919
2005-09-02,692.0157603209341
2005-09-05,693.7349232739712
2005-09-06,698.3884739201716
2005-09-07,699.2797089119011
2005-09-08,696.812867403161
2005-09-09,702.6214065383801
2005-09-12,701.042388569006
2005-09-13,696.6124428138057
2005-09-14,697.9799845958369
2005-09-15,697.6229110911994
2005-09-16,702.0314854149364
2005-09-19,699.8522404955745
2005-09-20,699.7581486261834
2005-09-21,695.7850816134397
2005-09-22,693.6885626923051
2005-09-23,692.6473785263058
2005-09-26,697.2781465745871
2005-09-27,695.76750863208
2005-09-28,699.3719050525988
2005-09-29,704.6860503662792
2005-09-30,704.9448289185135
2005-10-03,703.2167408349574
2005-10-04,699.9179897514416
2005-10-05,690.305346804445
2005-10-06,685.7338517018279
2005-10-07,686.3522317268473
2005-10-10,682.6706480266738
2005-10-11,683.251180003228
2005-10-12,679.2572319613885
2005-10-13,673.1201930367055
2005-10-14,678.4719885700611
2005-10-17,678.7837549106074
2005-10-18,671.2624594530593
2005-10-19,672.0378984851354
2005-10-20,666.8021468567081
2005-10-21,667.5449423895188
2005-10-24,675.4286626630474
2005-10-25,678.062530415638
2005-10-26,677.6330762816035
2005-10-27,673.5945884666129
2005-10-28,677.7875263983752
2005-10-31,684.3814396666031
2005-11-01,685.4173270615904
2005-11-02,691.6465842459642
2005-11-03,694.7552081829114
2005-11-04,690.8657081029224
2005-11-07,692.1036021631593
2005-11-08,690.900418751207
2005-11-09,691.3553571557298
2005-11-10,693.8220681385184
2005-11-11,697.5137791545297
2005-11-14,695.6342908759249
2005-11-15,691.5260341277102
2005-11-16,691.6945426226488
2005-11-17,699.1461659978522
2005-11-18,702.9560669541586
2005-11-21,706.9819093153812
2005-11-22,708.1098385589033
2005-11-23,713.4710787216438
2005-11-24,713.2256803966374
2005-11-25,713.4080602600349
2005-11-28,711.0445474801458
2005-11-29,711.088589240733
2005-11-30,707.7242692543291
2005-12-01,714.5069815742021
2005-12-02,716.9894358006771
2005-12-05,717.8672187098509
2005-12-06,719.6112812153845
2005-12-07,717.0953267333753
2005-12-08,717.0972722528307
2005-12-09,718.7016877107062
2005-12-12,723.0729494719448
2005-12-13,726.0426824713187
2005-12-14,730.3585730567801
2005-12-15,726.66111973166
2005-12-16,728.5533980498959
2005-12-19,726.7482516937349
2005-12-20,726.0634771999039
2005-12-21,728.2492998441777
2005-12-22,731.2599039637025
2005-12-23,732.1049218361708
2005-12-26,732.3409618153428
2005-12-27,728.1463076356541
2005-12-28,730.1438185504448
2005-12-29,729.7337647457554
2005-12-30,725.4439612373168
2006-01-02,726.2625938593283
2006-01-03,739.0184228990742
2006-01-04,746.4109254525861
2006-01-05,747.1551453252944
2006-01-06,754.2942737385843
2006-01-09,755.5238939161062
2006-01-10,753.1123241588784
2006-01-11,757.6348612632778
2006-01-12,755.6006695107399
2006-01-13,754.9565202049051
2006-01-16,755.3005484142504
2006-01-17,748.3689743740588
2006-01-18,742.4235347446206
2006-01-19,749.1873783763175
2006-01-20,742.0742002557747
2006-01-23,745.0573412342594
2006-01-24,746.6601211183697
2006-01-25,748.936914831242
2006-01-26,755.3490244786326
2006-01-27,760.5568276401505
2006-01-30,760.456654349242
2006-01-31,761.7732437381344
2006-02-01,762.8259549841544
2006-02-02,757.0905265541486
2006-02-03,751.5937776826729
2006-02-06,754.6317485756949
2006-02-07,750.282882220131
2006-02-08,749.3845707235115
2006-02-09,752.9633927712373
2006-02-10,752.1416032035004
2006-02-13,749.8316449437898
2006-02-14,754.0964377288662
2006-02-15,755.5645144109806
2006-02-16,759.9103970821129
2006-02-17,761.1622084485597
2006-02-20,761.7610245002943
2006-02-21,761.6742528828329
2006-02-22,765.6683781480907
2006-02-23,767.7727056224885
2006-02-24,769.1790507703538
2006-02-27,771.9381946731237
2006-02-28,766.5338059536465
2006-03-01,770.2113062613616
2006-03-02,769.0192734027452
2006-03-03,767.4360647420087
2006-03-06,765.8799296961325
2006-03-07,759.2389169266723
2006-03-08,757.4573341895357
2006-03-09,759.2242724555133
2006-03-10,762.1745168537599
2006-03-13,767.7141177449673
2006-03-14,774.9383311779809
2006-03-15,778.8929302665488
2006-03-16,782.6237894962592
2006-03-17,784.8329360962412
2006-03-20,785.3395369993322
2006-03-21,780.7129621611181
2006-03-22,784.070045645202
2006-03-23,780.4038886561433
2006-03-24,783.0061067669142
2006-03-27,782.5506200770565
2006-03-28,779.0321610157116
2006-03-29,781.0821500751287
2006-03-30,786.5266791595843
2006-03-31,782.5849627894524
2006-04-03,787.4083193767309
2006-04-04,792.2092236692671
2006-04-05,795.6765673060728
2006-04-06,796.7433347370355
2006-04-07,789.4779546908183
2006-04-10,789.835757081852
2006-04-11,784.0582009366644
2006-04-12,782.4644932087563
2006-04-13,782.8166320919955
2006-04-14,783.2065530347328
2006-04-17,786.7120546336063
2006-04-18,796.2434100026475
2006-04-19,802.2191628493886
2006-04-20,803.0718846141309
2006-04-21,807.478972235799
2006-04-24,804.4785103326601
2006-04-25,803.9333905910107
2006-04-26,807.4436543970589
2006-04-27,810.595672127011
2006-04-28,811.9739185128755
2006-05-01,813.0566189567159
2006-05-02,819.9539870621063
2006-05-03,816.586020593907
2006-05-04,820.205805977403
2006-05-05,829.8122173002408
2006-05-08,831.7250312777596
2006-05-09,833.8643370687034
2006-05-10,832.560126226593
2006-05-11,825.9414579398008
2006-05-12,814.6672446642203
2006-05-15,808.1926593448646
2006-05-16,807.071102069953
2006-05-17,793.0906458694606
2006-05-18,785.7008624269581
2006-05-19,784.2684623948725
2006-05-22,775.3425843504579
2006-05-23,779.1742788121985
2006-05-24,774.105921517239
2006-05-25,781.7902308706288
2006-05-26,789.9067673852003
2006-05-29,791.1583952592749
2006-05-30,782.3088668131493
2006-05-31,784.6587525901019
2006-06-01,790.2407790607559
2006-06-02,797.676532593411
2006-06-05,788.2026220447311
2006-06-06,777.0147277863927
2006-06-07,772.8778494544364
2006-06-08,759.7019356475181
2006-06-09,764.6973310739694
2006-06-12,757.2450404328282
2006-06-13,740.4791978149151
2006-06-14,743.807852175377
2006-06-15,758.2097217223172
2006-06-16,759.7699242787646
2006-06-19,755.0670293230335
2006-06-20,755.1898923074486
2006-06-21,759.6670939901646
2006-06-22,760.2425597308679
2006-06-23,757.9082256957875
2006-06-26,760.627055653392
2006-06-27,758.0008510366267
2006-06-28,758.1705363779367
2006-06-29,772.4933617549788
2006-06-30,785.2196553008504
2006-07-03,790.5877815393235
2006-07-04,792.5659528763457
2006-07-05,783.5456063668562
2006-07-06,788.0157735856179
2006-07-07,788.6486717807337
2006-07-10,790.3146165331021
2006-07-11,788.9498736581429
2006-07-12,782.4638701168222
2006-07-13,772.7858410966824
2006-07-14,764.308747588925
2006-07-17,758.9509429231808
2006-07-18,757.050212107702
2006-07-19,771.334758147151
2006-07-20,774.6031243589003
2006-07-21,770.5039331916914
2006-07-24,779.3448419420358
2006-07-25,784.0220301430418
2006-07-26,785.2229203762902
2006-07-27,791.9156196151636
2006-07-28,799.797524272632
2006-07-31,798.550797198772
2006-08-01,794.2785448437689
2006-08-02,800.9608366166946
