Date,USA IMI HIGH DIVIDEND YIELD
2000-10-19,1337.8764129880635
2000-10-20,1346.8980597298744
2000-10-23,1359.6009756220121
2000-10-24,1372.1063650576493
2000-10-25,1386.588442685025
2000-10-26,1382.6565395858881
2000-10-27,1383.691149643585
2000-10-30,1421.9491083538862
2000-10-31,1426.388623826938
2000-11-01,1402.4158023085342
2000-11-02,1392.6984584998447
2000-11-03,1379.7044694792748
2000-11-06,1393.6927143016492
2000-11-07,1388.3753644577469
2000-11-08,1404.3355254133178
2000-11-09,1402.8467609903007
2000-11-10,1389.224903709393
2000-11-13,1386.055719973849
2000-11-14,1393.6023370416979
2000-11-15,1388.5891550782635
2000-11-16,1392.520509277079
2000-11-17,1382.1386071316776
2000-11-20,1383.3961763651469
2000-11-21,1401.896909774099
2000-11-22,1395.1657141281926
2000-11-23,1397.0709992145803
2000-11-24,1401.6618918670733
2000-11-27,1392.3886884284796
2000-11-28,1390.9596531818847
2000-11-29,1396.8684682706287
2000-11-30,1369.5677245962554
2000-12-01,1361.9869573591877
2000-12-04,1352.7709576185075
2000-12-05,1371.8949161147957
2000-12-06,1357.5918180252497
2000-12-07,1355.786163775295
2000-12-08,1364.6883990001588
2000-12-11,1376.341356300934
2000-12-12,1381.4774532424683
2000-12-13,1394.5412719905264
2000-12-14,1361.2369973764557
2000-12-15,1330.183204413261
2000-12-18,1359.3832667864128
2000-12-19,1358.97386457548
2000-12-20,1318.2913607242142
2000-12-21,1316.0398983554846
2000-12-22,1312.6779748872266
2000-12-25,1312.6779748872266
2000-12-26,1328.0278457112765
2000-12-27,1341.9123438783429
2000-12-28,1357.710432641745
2000-12-29,1333.3802180703956
2001-01-01,1333.3802180703956
2001-01-02,1312.0209320808954
2001-01-03,1315.2067988020008
2001-01-04,1300.047224681733
2001-01-05,1276.2753752583099
2001-01-08,1280.7952510112723
2001-01-09,1294.388283978898
2001-01-10,1298.999252290385
2001-01-11,1281.6758543035914
2001-01-12,1278.062578319259
2001-01-15,1287.2889974843642
2001-01-16,1303.0475215805225
2001-01-17,1308.1626219556215
2001-01-18,1286.6621087803999
2001-01-19,1285.4543083566452
2001-01-22,1293.7701850645992
2001-01-23,1293.7457594574034
2001-01-24,1315.6680806601885
2001-01-25,1331.2634490280682
