Date,WORLD ex CANADA IMI
2006-06-29,1277.520672791379
2006-06-30,1298.5209697935882
2006-07-03,1306.8624904031165
2006-07-04,1308.8566006601875
2006-07-05,1292.6179164875139
2006-07-06,1298.4718139901233
2006-07-07,1296.838283942786
2006-07-10,1297.6283740509475
2006-07-11,1295.8739340596876
2006-07-12,1283.6041936320921
2006-07-13,1267.5036797492664
2006-07-14,1252.0071784146692
2006-07-17,1243.5713347288804
2006-07-18,1238.2592872433595
2006-07-19,1262.3375186419407
2006-07-20,1264.9824459676124
2006-07-21,1256.149181318217
2006-07-24,1271.927926174876
2006-07-25,1279.7601070479625
2006-07-26,1279.1966043086913
2006-07-27,1288.253475398345
2006-07-28,1302.8795981321452
2006-07-31,1302.800850590878
2006-08-01,1293.9358634457374
2006-08-02,1305.748160507145
2006-08-03,1303.1486210212327
2006-08-04,1311.5376334570053
2006-08-07,1299.5510238794948
2006-08-08,1298.5490194787274
2006-08-09,1301.1385074255793
2006-08-10,1297.4932769169475
2006-08-11,1293.4272921817178
2006-08-14,1298.6450889488722
2006-08-15,1314.3504249221455
2006-08-16,1327.9684375721638
2006-08-17,1330.768586990424
2006-08-18,1331.407956949847
2006-08-21,1329.7661375237185
2006-08-22,1329.3565280070884
2006-08-23,1323.0191406572187
2006-08-24,1323.1995470868478
2006-08-25,1319.992173904106
2006-08-28,1325.3479848801815
2006-08-29,1329.5453009364894
2006-08-30,1335.012909599542
2006-08-31,1335.5710784667674
2006-09-01,1341.337587207003
2006-09-04,1349.3260483435804
2006-09-05,1347.8136951540048
2006-09-06,1332.7252607525402
2006-09-07,1320.3755038143042
2006-09-08,1322.323221444158
2006-09-11,1316.2178875394795
2006-09-12,1328.114859494891
2006-09-13,1332.6341496386901
2006-09-14,1335.9440940641502
2006-09-15,1334.6801791503433
2006-09-18,1336.465563750324
2006-09-19,1334.1816952627746
2006-09-20,1339.5879947860628
2006-09-21,1339.780579405632
2006-09-22,1333.7618685695302
2006-09-25,1336.7934914553757
2006-09-26,1344.2696203205655
2006-09-27,1353.0644907007363
2006-09-28,1354.5986196963402
2006-09-29,1352.3106204486216
2006-10-02,1354.0031510731646
2006-10-03,1352.6522728348648
2006-10-04,1361.023765785079
2006-10-05,1370.9319978905196
2006-10-06,1364.1499325643083
2006-10-09,1366.0585689841955
2006-10-10,1368.2388758759203
2006-10-11,1365.9901150083135
2006-10-12,1376.1900285376964
2006-10-13,1379.3693052270112
