Date,ACWI HIGH DIVIDEND YIELD
2008-04-30,1620.5155981840471
2008-05-01,1638.6578533719705
2008-05-02,1665.0375534250095
2008-05-05,1654.1637131073044
2008-05-06,1645.7980687892514
2008-05-07,1647.914246099376
2008-05-08,1642.3190279634955
2008-05-09,1628.7522012097006
2008-05-12,1637.578357707352
2008-05-13,1635.0922471238573
2008-05-14,1643.1748194762285
2008-05-15,1650.6951417895657
2008-05-16,1653.8903708469743
2008-05-19,1666.8897000115505
2008-05-20,1635.4369962763076
2008-05-21,1612.8745109464257
2008-05-22,1620.4339583463898
2008-05-23,1594.539572934244
2008-05-26,1591.3162298045136
2008-05-27,1590.2701985853341
2008-05-28,1601.7657180292556
2008-05-29,1616.26655910002
2008-05-30,1616.3021034447079
2008-06-02,1596.8687844102892
2008-06-03,1599.4198312566987
2008-06-04,1587.3018863705777
2008-06-05,1591.45155038553
2008-06-06,1549.4073410492022
2008-06-09,1538.4102401522484
2008-06-10,1537.3056683434802
2008-06-11,1513.3291433177565
2008-06-12,1520.4969834370663
2008-06-13,1533.6477195015705
2008-06-16,1526.0071363246889
2008-06-17,1522.7916518063764
2008-06-18,1502.3981963368199
2008-06-19,1495.3636243852507
2008-06-20,1463.5310509086514
2008-06-23,1467.520671804563
2008-06-24,1458.2730712043146
2008-06-25,1476.763667761511
2008-06-26,1434.6145766750503
2008-06-27,1424.2807618997942
2008-06-30,1430.1845819633572
2008-07-01,1411.4498629893353
2008-07-02,1399.175261772998
2008-07-03,1414.5410237924104
2008-07-04,1404.496111201172
2008-07-07,1410.1929529175927
2008-07-08,1409.1908829316499
2008-07-09,1413.3950450105292
2008-07-10,1395.8798806197858
2008-07-11,1364.450407408199
2008-07-14,1359.4434349013077
2008-07-15,1327.3646975955598
2008-07-16,1358.5755526247945
2008-07-17,1395.5418549914032
2008-07-18,1412.7815782988575
2008-07-21,1419.0784202325601
2008-07-22,1425.0094047647674
2008-07-23,1462.0232880934811
2008-07-24,1439.929980033041
2008-07-25,1428.005519012194
2008-07-28,1401.3943933950177
2008-07-29,1419.904873529877
2008-07-30,1445.3022339919078
2008-07-31,1437.4323142612354
2008-08-01,1428.3943160829242
2008-08-04,1416.9299836686491
2008-08-05,1457.73249197975
2008-08-06,1470.6264417942768
2008-08-07,1457.735799415339
2008-08-08,1489.0908338081665
2008-08-11,1512.047176763876
2008-08-12,1503.2862289722173
2008-08-13,1472.794719602858
2008-08-14,1480.306917342299
2008-08-15,1495.063997635186
2008-08-18,1485.8138883715994
2008-08-19,1449.887158348762
2008-08-20,1456.7970426022787
2008-08-21,1440.238034616505
2008-08-22,1466.8899480406426
2008-08-25,1455.5426826960902
2008-08-26,1459.091464592028
2008-08-27,1463.6858007451137
2008-08-28,1488.7582722040108
2008-08-29,1486.8998162734365
2008-09-01,1487.0558667315415
2008-09-02,1504.859492440984
2008-09-03,1498.419213977604
