Date,ACWI EX USA HIGH DIVIDEND YIELD
2013-01-29,2645.378769480587
2013-01-30,2629.2020154345296
2013-01-31,2619.7162427485446
2013-02-01,2608.976380437075
2013-02-04,2595.2062079209772
2013-02-05,2600.112813323494
2013-02-06,2594.968018749094
2013-02-07,2598.514405896724
2013-02-08,2620.920286223885
2013-02-11,2611.3864897653007
2013-02-12,2614.6099162202686
2013-02-13,2626.5437954224385
2013-02-14,2631.196460180595
2013-02-15,2619.5723270074664
2013-02-18,2626.7359665612103
2013-02-19,2644.8606449767053
2013-02-20,2640.6230600442
2013-02-21,2613.8977378326285
2013-02-22,2645.6244261532247
2013-02-25,2644.7524141455347
2013-02-26,2624.958601505901
2013-02-27,2638.989431057119
2013-02-28,2670.0409470614873
2013-03-01,2671.1144140997812
2013-03-04,2659.087077136121
2013-03-05,2694.483044970314
2013-03-06,2704.6829412437664
2013-03-07,2692.725645848212
2013-03-08,2720.8615097054344
2013-03-11,2724.8322709592367
2013-03-12,2722.665493280743
2013-03-13,2713.887152441029
2013-03-14,2734.213656966525
2013-03-15,2728.7875806134775
2013-03-18,2718.8539429384887
2013-03-19,2719.135498785772
2013-03-20,2724.3813523750828
2013-03-21,2719.828612547225
2013-03-22,2713.7402522519938
2013-03-25,2724.5612983664664
2013-03-26,2728.6371124235366
2013-03-27,2730.9747040996967
2013-03-28,2726.4756375279458
2013-03-29,2725.9333441752797
2013-04-01,2720.6179115643963
2013-04-02,2745.2601205700335
2013-04-03,2726.7039469483966
2013-04-04,2704.1865712030976
2013-04-05,2661.6331199021897
2013-04-08,2666.612870353929
2013-04-09,2684.5982638058485
2013-04-10,2716.9993576766815
2013-04-11,2730.081875794345
2013-04-12,2719.8483100503195
2013-04-15,2702.140818863697
2013-04-16,2681.0454820986843
2013-04-17,2667.1209003382814
2013-04-18,2659.461014633527
2013-04-19,2669.150167659094
2013-04-22,2682.2703111514597
2013-04-23,2721.9236514027907
2013-04-24,2752.0864486202586
2013-04-25,2774.4057521309724
2013-04-26,2769.0352402423805
2013-04-29,2781.4000156997668
2013-04-30,2788.5253311938463
2013-05-01,2780.3010432443466
2013-05-02,2792.4459525619973
2013-05-03,2805.4718760269507
2013-05-06,2809.8067908868147
2013-05-07,2812.886762764241
2013-05-08,2827.682364547871
2013-05-09,2830.389209010935
2013-05-10,2836.861259615337
2013-05-13,2831.513311464765
2013-05-14,2834.01796959831
2013-05-15,2854.1496588342243
2013-05-16,2842.695536814526
2013-05-17,2852.4685688721706
2013-05-20,2864.4148549343313
2013-05-21,2865.773131262229
2013-05-22,2861.3830464526914
2013-05-23,2803.5101409426334
2013-05-24,2791.0821313082342
2013-05-27,2791.906717408036
2013-05-28,2822.5455922759074
2013-05-29,2770.9658896945184
2013-05-30,2761.13133627819
2013-05-31,2743.045472658432
2013-06-03,2720.9239686475953
2013-06-04,2724.585301115626
2013-06-05,2680.338681052065
2013-06-06,2645.497034395809
2013-06-07,2667.284069730919
2013-06-10,2667.920355632356
2013-06-11,2637.486784757231
2013-06-12,2627.0313972313365
2013-06-13,2627.2906788920072
2013-06-14,2627.288576534169
2013-06-17,2650.384904432373
2013-06-18,2640.944005636388
2013-06-19,2631.148820747918
2013-06-20,2561.416564844235
2013-06-21,2544.978174534486
2013-06-24,2517.179619157562
2013-06-25,2545.2539001223595
2013-06-26,2593.3109735071603
2013-06-27,2613.5471417314075
2013-06-28,2619.434787545641
2013-07-01,2628.514826605255
2013-07-02,2621.0000463431656
2013-07-03,2601.7961035265307
2013-07-04,2652.410396625455
2013-07-05,2636.7003394962226
2013-07-08,2653.5480807116337
2013-07-09,2677.3233181545465
2013-07-10,2680.938382070686
2013-07-11,2690.9264484467158
2013-07-12,2691.390971079005
2013-07-15,2701.7747271669564
2013-07-16,2685.219620748927
2013-07-17,2703.697283302203
2013-07-18,2719.6572871921617
2013-07-19,2713.6234665441325
2013-07-22,2716.7583895857083
2013-07-23,2717.9254302765935
2013-07-24,2721.8520713873086
2013-07-25,2711.1155434981247
2013-07-26,2702.6189883913153
2013-07-29,2702.020942340278
2013-07-30,2695.39666648922
2013-07-31,2684.504568679642
2013-08-01,2698.119600292466
2013-08-02,2701.7513411011087
2013-08-05,2701.929936308342
2013-08-06,2683.7981646313197
2013-08-07,2671.311175508201
2013-08-08,2679.677098957447
2013-08-09,2695.857763664804
2013-08-12,2708.0741810766563
2013-08-13,2730.5824472676222
2013-08-14,2734.092749297427
2013-08-15,2712.5061883827375
2013-08-16,2708.6200445453705
2013-08-19,2694.806934283129
2013-08-20,2672.4661821855693
2013-08-21,2659.92116580969
2013-08-22,2676.2410987501826
2013-08-23,2684.9420400187328
2013-08-26,2690.4734507620674
2013-08-27,2660.2508519733283
2013-08-28,2658.6335293424495
2013-08-29,2686.881667985301
2013-08-30,2675.9340466086114
2013-09-02,2715.6336499457607
2013-09-03,2711.5002490412962
2013-09-04,2717.895516551202
2013-09-05,2743.173030936006
2013-09-06,2755.1747998493024
2013-09-09,2754.7814668785636
2013-09-10,2773.710316603949
2013-09-11,2781.228010819748
2013-09-12,2780.2389025563575
2013-09-13,2785.0374302282244
2013-09-16,2797.9701224697246
2013-09-17,2791.989141279729
2013-09-18,2794.4646443749116
2013-09-19,2800.2811251740604
2013-09-20,2793.740792591433
2013-09-23,2791.5185226878266
2013-09-24,2792.472617912403
2013-09-25,2794.4305928035974
2013-09-26,2797.506496629751
2013-09-27,2788.517239859485
2013-09-30,2771.0031750007943
2013-10-01,2782.2460062374203
2013-10-02,2763.362019031051
2013-10-03,2760.142837505815
2013-10-04,2764.4468557810183
2013-10-07,2758.9290377873717
2013-10-08,2747.1698996235127
2013-10-09,2739.1795107430075
2013-10-10,2770.0322454770935
2013-10-11,2779.7925833394693
2013-10-14,2786.266207243681
2013-10-15,2811.721554468514
2013-10-16,2822.1973665789824
2013-10-17,2815.0814453724292
2013-10-18,2825.7040273533703
2013-10-21,2835.1994454203864
2013-10-22,2836.4197213283796
2013-10-23,2816.9638007956546
2013-10-24,2819.3045329784395
2013-10-25,2821.8402035327194
2013-10-28,2828.695066026058
2013-10-29,2844.767124733248
2013-10-30,2853.3903586177485
2013-10-31,2869.9559985540636
2013-11-01,2875.1438362465415
2013-11-04,2880.3278727157094
2013-11-05,2878.745455449242
2013-11-06,2882.5432836673876
2013-11-07,2883.3023204929236
2013-11-08,2876.245620235685
2013-11-11,2875.2034745544684
2013-11-12,2862.6294189804676
2013-11-13,2850.4622821860653
2013-11-14,2865.9365815171004
2013-11-15,2884.8625673883685
2013-11-18,2902.743850639518
2013-11-19,2887.6736272783915
2013-11-20,2897.003851662979
2013-11-21,2885.582590991186
2013-11-22,2882.906474024777
2013-11-25,2886.386801567052
2013-11-26,2861.7035685533483
2013-11-27,2863.8054893221565
2013-11-28,2865.926933597159
2013-11-29,2868.8261998901335
2013-12-02,2866.3115228887127
2013-12-03,2831.969941556229
2013-12-04,2815.179576931555
2013-12-05,2786.659357039311
2013-12-06,2803.9938906599145
2013-12-09,2805.6600576470573
2013-12-10,2787.5797839439747
2013-12-11,2764.601488827759
2013-12-12,2745.093861267145
2013-12-13,2744.40011261814
2013-12-16,2763.721498529128
2013-12-17,2755.46403517926
2013-12-18,2767.9402933203132
2013-12-19,2806.043017771042
2013-12-20,2818.6969521302044
2013-12-23,2834.7629441419217
2013-12-24,2847.828767890166
2013-12-25,2847.6381753760343
2013-12-26,2844.809384395104
2013-12-27,2852.862450401431
2013-12-30,2846.4806980145454
2013-12-31,2860.175220631227
2014-01-01,2860.18139735411
2014-01-02,2848.4200901382287
2014-01-03,2850.7578488286213
2014-01-06,2833.0572525448742
2014-01-07,2844.413620907244
2014-01-08,2842.342253866955
2014-01-09,2829.3951068992315
2014-01-10,2832.814228739991
2014-01-13,2833.831412793459
2014-01-14,2828.6737715517875
2014-01-15,2855.6039783150754
2014-01-16,2855.0800095764
2014-01-17,2870.1509898894888
2014-01-20,2867.961215384988
2014-01-21,2875.327605455685
2014-01-22,2880.0218230626083
2014-01-23,2837.706323240135
2014-01-24,2787.5620905121427
2014-01-27,2760.821503161969
2014-01-28,2762.553992087799
2014-01-29,2754.228715687903
2014-01-30,2769.2789692870424
2014-01-31,2766.854796518624
2014-02-03,2739.835316423717
2014-02-04,2719.8874603274726
2014-02-05,2719.5948151130165
2014-02-06,2749.366379943826
2014-02-07,2767.255850462839
2014-02-10,2763.6231336789606
2014-02-11,2796.487072355673
2014-02-12,2831.5956060299154
2014-02-13,2823.8203289998123
2014-02-14,2840.713201140867
2014-02-17,2850.763146259212
2014-02-18,2848.6817818870654
2014-02-19,2851.9117201866343
2014-02-20,2852.2001689049716
2014-02-21,2862.4495742558393
2014-02-24,2876.4029401292505
2014-02-25,2871.5451698742154
2014-02-26,2872.068373449336
2014-02-27,2872.9960668840868
2014-02-28,2863.9850143867466
2014-03-03,2820.52798562848
2014-03-04,2860.7547960936654
2014-03-05,2863.901532991072
2014-03-06,2858.058558102041
2014-03-07,2830.438608637675
2014-03-10,2813.81416534835
2014-03-11,2816.952182544926
2014-03-12,2788.9067293170565
2014-03-13,2769.8715722828433
2014-03-14,2754.809421718367
2014-03-17,2775.4794853148005
2014-03-18,2792.283746483229
2014-03-19,2787.7853672065385
2014-03-20,2784.2325510488968
2014-03-21,2798.820713409424
2014-03-24,2791.5069289892435
2014-03-25,2819.523229992554
2014-03-26,2841.176020380194
2014-03-27,2854.6981412495834
2014-03-28,2872.3046733445167
2014-03-31,2879.643549740217
2014-04-01,2883.163720544155
2014-04-02,2885.3709361509327
2014-04-03,2889.1070680398548
2014-04-04,2908.4405184563648
2014-04-07,2885.4710399467053
2014-04-08,2891.2845925794845
2014-04-09,2901.498190721661
2014-04-10,2895.6486402543114
2014-04-11,2865.5858638330865
2014-04-14,2880.618063700419
2014-04-15,2860.071766266263
2014-04-16,2883.269518507079
2014-04-17,2897.266115345468
2014-04-18,2898.7487275798926
2014-04-21,2901.009077520454
2014-04-22,2927.9873967062726
2014-04-23,2911.376216389534
2014-04-24,2919.0944737753025
2014-04-25,2902.3241331190925
2014-04-28,2917.6152621983388
2014-04-29,2955.0704355548014
2014-04-30,2950.5439892176273
2014-05-01,2950.4009125566627
2014-05-02,2952.967341345186
2014-05-05,2946.9180712564566
2014-05-06,2945.069252364345
2014-05-07,2952.2597909955534
2014-05-08,2980.157810563944
2014-05-09,2983.0933524285747
2014-05-12,2998.7514721548496
2014-05-13,3012.9331955333055
2014-05-14,3023.0671787003266
2014-05-15,3017.2794930974183
2014-05-16,3026.121309122685
2014-05-19,3022.299594874841
2014-05-20,3012.9278092253426
2014-05-21,3033.5900500071198
2014-05-22,3043.480057556053
2014-05-23,3050.8235399167415
2014-05-26,3056.7882963737593
2014-05-27,3055.8152631081653
2014-05-28,3056.1373129867534
2014-05-29,3061.8632753366437
2014-05-30,3049.8633687609777
2014-06-02,3058.7747636142067
2014-06-03,3052.6554353808074
2014-06-04,3044.185387486039
2014-06-05,3052.1920970654623
2014-06-06,3067.408014820887
2014-06-09,3082.6183276544584
2014-06-10,3099.3510073726425
2014-06-11,3094.5977484333353
2014-06-12,3098.331518289115
2014-06-13,3104.731021830531
2014-06-16,3094.9780635534617
2014-06-17,3097.2018904325128
2014-06-18,3098.936011198381
2014-06-19,3113.129332629614
2014-06-20,3117.347190610046
2014-06-23,3107.3989282779207
2014-06-24,3106.3860106497673
2014-06-25,3078.9735596590513
2014-06-26,3093.5830568547995
2014-06-27,3091.4122389901563
2014-06-30,3086.312536965916
2014-07-01,3100.2642903312217
2014-07-02,3114.985153201046
2014-07-03,3131.963613476677
2014-07-04,3136.429021312064
2014-07-07,3122.0643276922074
2014-07-08,3100.0652774001874
2014-07-09,3092.8483299816503
2014-07-10,3078.5547177003887
2014-07-11,3082.794398734236
2014-07-14,3098.7815724839757
2014-07-15,3100.455462472218
2014-07-16,3128.205979463642
2014-07-17,3109.9379456140086
2014-07-18,3110.3896394207095
2014-07-21,3100.126379105801
2014-07-22,3138.7754576358766
2014-07-23,3145.8494743822894
2014-07-24,3153.7171549524965
2014-07-25,3143.8042524101056
2014-07-28,3141.663673137122
2014-07-29,3148.018715405998
2014-07-30,3134.2115979912846
2014-07-31,3113.619436288145
2014-08-01,3078.5967354898216
2014-08-04,3082.796544810504
2014-08-05,3089.8764067430993
2014-08-06,3071.52281111636
2014-08-07,3054.124142265622
2014-08-08,3025.5940237123036
2014-08-11,3062.182210156731
2014-08-12,3065.7543771008063
2014-08-13,3078.5888047170506
2014-08-14,3090.7279248418254
2014-08-15,3085.0059105741416
2014-08-18,3114.4929573373247
2014-08-19,3137.464520951921
2014-08-20,3142.89371861428
2014-08-21,3154.2162712523536
2014-08-22,3154.127671815808
2014-08-25,3177.5114528962445
2014-08-26,3190.6518051786456
2014-08-27,3198.77200453111
2014-08-28,3188.8485052830206
2014-08-29,3196.0268219418367
2014-09-01,3207.396040447153
2014-09-02,3202.3703295432133
2014-09-03,3233.1285705562186
2014-09-04,3267.3427110949924
2014-09-05,3258.527953479578
2014-09-08,3245.860366024549
2014-09-09,3235.759033787088
2014-09-10,3227.3338388229736
2014-09-11,3214.6206034771512
2014-09-12,3204.8236369761294
2014-09-15,3195.7562633212137
2014-09-16,3191.660310259038
2014-09-17,3202.7997808494433
2014-09-18,3220.100835974235
2014-09-19,3232.671966772575
2014-09-22,3211.955208975228
2014-09-23,3178.100574233992
2014-09-24,3199.1445783527893
2014-09-25,3173.4295448618786
2014-09-26,3175.612490781856
2014-09-29,3157.6316234140527
2014-09-30,3167.013131314682
2014-10-01,3152.269593175869
2014-10-02,3096.8749887540303
2014-10-03,3127.6536730450584
2014-10-06,3134.919699687547
2014-10-07,3105.96989434954
2014-10-08,3081.1995040027505
2014-10-09,3077.8854535155897
2014-10-10,3031.4058943839414
2014-10-13,3030.4917048075804
2014-10-14,3018.114753067184
2014-10-15,2945.930323850413
2014-10-16,2932.8436042587523
2014-10-17,2991.488043633275
2014-10-20,2983.9888496106573
2014-10-21,3030.166041881001
2014-10-22,3051.319890711856
2014-10-23,3065.3509335488584
2014-10-24,3061.945603379716
2014-10-27,3045.229582972002
2014-10-28,3068.2324216892202
2014-10-29,3083.7550355324834
2014-10-30,3106.7982609023497
2014-10-31,3154.0823632869947
2014-11-03,3132.472305652147
2014-11-04,3099.5789913787808
2014-11-05,3135.9460457268856
2014-11-06,3137.655629232315
2014-11-07,3140.633940218611
2014-11-10,3161.122866964391
2014-11-11,3170.231721151199
2014-11-12,3155.1986487605213
2014-11-13,3152.026953212208
2014-11-14,3149.055665072849
2014-11-17,3153.4071365504997
2014-11-18,3159.5680050755655
2014-11-19,3153.10207525653
2014-11-20,3152.7911897265253
2014-11-21,3209.3987951010417
2014-11-24,3206.707420025085
2014-11-25,3196.5172589040862
2014-11-26,3198.0394448471925
2014-11-27,3188.7368384837882
2014-11-28,3167.2714636669493
2014-12-01,3128.3394696801406
2014-12-02,3161.3152278942
2014-12-03,3182.518256071066
2014-12-04,3134.13890591036
2014-12-05,3166.533789345112
2014-12-08,3138.75534942288
2014-12-09,3067.532185870239
2014-12-10,3045.665969785967
2014-12-11,3038.0816549753654
2014-12-12,2969.1455958456654
2014-12-15,2916.9213552345905
2014-12-16,2932.025298273842
2014-12-17,2973.813244542076
2014-12-18,3049.378666371051
2014-12-19,3080.450377217803
2014-12-22,3108.103747643283
2014-12-23,3122.1126120226836
2014-12-24,3121.4661350443753
2014-12-25,3121.0348863433023
2014-12-26,3126.7976075680376
2014-12-29,3143.341520818074
