Date,SINGAPORE IMI MINIMUM VOLATILITY (USD)
2004-10-14,1541.0045247319933
2004-10-15,1550.7569748889669
2004-10-18,1544.4302049005862
2004-10-19,1562.3679810556882
2004-10-20,1551.2499350710214
2004-10-21,1564.3312041166498
2004-10-22,1563.9416448288557
2004-10-25,1558.3064354984028
2004-10-26,1561.8717512958026
2004-10-27,1563.9190795151583
2004-10-28,1587.4171065625642
2004-10-29,1579.751703575067
2004-11-01,1578.4461470708613
2004-11-02,1589.8231046177461
2004-11-03,1604.3697355914016
2004-11-04,1611.7252559250107
2004-11-05,1619.9951827608688
2004-11-08,1617.6660181473223
2004-11-09,1618.0808131430995
2004-11-10,1618.7786336764752
2004-11-11,1620.7974071873577
2004-11-12,1633.612348537121
2004-11-15,1633.369937769752
2004-11-16,1621.7317278608637
2004-11-17,1632.7264754456007
2004-11-18,1615.1727123342087
2004-11-19,1623.9546343122622
2004-11-22,1617.782119883351
2004-11-23,1631.261658651498
2004-11-24,1633.95672844396
2004-11-25,1639.064708696988
2004-11-26,1632.4904828569381
2004-11-29,1645.286056352976
2004-11-30,1639.1775787586823
2004-12-01,1650.3486527919472
2004-12-02,1666.2651942868654
2004-12-03,1665.7353968210662
2004-12-06,1650.207571725165
2004-12-07,1638.9847859552349
2004-12-08,1630.8966556056214
2004-12-09,1614.5378155205003
2004-12-10,1617.756799420462
2004-12-13,1627.7806305929778
2004-12-14,1637.082912635501
2004-12-15,1663.6449621959473
2004-12-16,1657.1098412560164
2004-12-17,1665.1487754017428
2004-12-20,1671.185224915431
2004-12-21,1677.2474594961463
2004-12-22,1671.465723796386
2004-12-23,1678.0396537473273
2004-12-24,1678.3506777838295
2004-12-27,1674.4620043415207
2004-12-28,1683.0079519002682
2004-12-29,1680.8051003197306
2004-12-30,1687.950375061804
2004-12-31,1697.7648030434618
2005-01-03,1697.3240691695853
2005-01-04,1690.80850191454
2005-01-05,1699.9687905413364
2005-01-06,1708.513642575581
2005-01-07,1709.3285372296752
2005-01-10,1715.6971397295267
2005-01-11,1725.596956591967
2005-01-12,1724.6479913297976
2005-01-13,1736.618918534074
2005-01-14,1728.2256061835571
2005-01-17,1742.4766296616554
2005-01-18,1740.48026961478
2005-01-19,1751.4539473589089
2005-01-20,1743.8943201647742
2005-01-21,1744.5243382533984
2005-01-24,1746.2938205440728
