Date,INDONESIA GROWTH
2018-08-15,1173.8001743570003
2018-08-16,1169.027235664489
2018-08-17,1169.027235664489
2018-08-20,1191.8047158737918
2018-08-21,1201.4917504955047
2018-08-22,1201.4917504955047
2018-08-23,1215.6626329460255
2018-08-24,1214.7512470965833
2018-08-27,1224.2473398570949
2018-08-28,1232.1021175222502
2018-08-29,1234.1690488946736
2018-08-30,1224.6991307100375
2018-08-31,1217.0038501316094
2018-09-03,1199.7962660025137
2018-09-04,1177.2983575713788
2018-09-05,1132.2610670235924
2018-09-06,1165.6419945318362
2018-09-07,1186.7097383273049
2018-09-10,1178.7753920495425
2018-09-11,1178.7753920495425
2018-09-12,1157.388303429262
2018-09-13,1171.7985955045544
2018-09-14,1190.9048906216633
2018-09-17,1159.7668617495922
2018-09-18,1159.8712502660842
2018-09-19,1168.205442220449
2018-09-20,1185.8613896518418
2018-09-21,1197.9556092880787
2018-09-24,1186.0235334021263
2018-09-25,1173.0564942499482
2018-09-26,1171.738095265838
2018-09-27,1179.483569866168
2018-09-28,1191.7787768855121
2018-10-01,1184.5567225038267
2018-10-02,1159.6862172496724
2018-10-03,1156.5036062067356
2018-10-04,1121.1516805721787
2018-10-05,1109.393804514844
2018-10-08,1112.7969495045566
2018-10-09,1124.4520290958656
2018-10-10,1126.2232284904096
2018-10-11,1095.791925285356
2018-10-12,1117.625492416182
2018-10-15,1116.538944748777
2018-10-16,1142.5835433938448
2018-10-17,1155.6202811095313
2018-10-18,1138.3624586761584
2018-10-19,1137.2243382461943
2018-10-22,1132.019102384985
2018-10-23,1120.5482110241187
2018-10-24,1093.2162119573782
2018-10-25,1110.7761093139236
2018-10-26,1122.5164197186448
2018-10-29,1111.0544384308907
2018-10-30,1128.1568045840852
2018-10-31,1143.8623267626035
2018-11-01,1157.1787213732305
2018-11-02,1187.4734426629298
2018-11-05,1183.4861664798648
2018-11-06,1201.2209357700642
2018-11-07,1217.3057556491415
2018-11-08,1229.6750810558801
2018-11-09,1197.4836690525212
2018-11-12,1158.032543406083
2018-11-13,1178.8303477458364
2018-11-14,1179.9709545513304
2018-11-15,1213.5647040428764
2018-11-16,1240.4027582424835
2018-11-19,1241.382056201973
2018-11-20,1241.382056201973
2018-11-21,1220.7287639625288
2018-11-22,1232.0062152207904
2018-11-23,1241.544991814471
2018-11-26,1253.4246064042375
2018-11-27,1245.9386699268637
2018-11-28,1228.8999796121818
2018-11-29,1273.1734425043644
2018-11-30,1261.001089736064
2018-12-03,1274.5111774203403
2018-12-04,1297.7557318324884
2018-12-05,1291.9077649385717
2018-12-06,1275.6986634334949
2018-12-07,1274.8262201106577
2018-12-10,1265.784790685888
2018-12-11,1241.3317205831543
2018-12-12,1250.7579036218465
2018-12-13,1280.8414176203835
2018-12-14,1270.2703316541129
2018-12-17,1256.4544853522018
2018-12-18,1258.4191693091036
2018-12-19,1292.0282137513746
2018-12-20,1272.4322732544924
2018-12-21,1268.2609935682274
2018-12-24,1268.2609935682274
2018-12-25,1268.2609935682274
2018-12-26,1263.644824187126
2018-12-27,1274.5520608337943
2018-12-28,1271.7339539023892
2018-12-31,1287.652737748177
2019-01-01,1287.652737748177
2019-01-02,1280.2174565450823
2019-01-03,1287.6641313818168
2019-01-04,1314.2368868453093
2019-01-07,1338.3689866663856
2019-01-08,1328.6488530756583
2019-01-09,1328.6739815554636
2019-01-10,1354.5716862021104
2019-01-11,1364.6621127156832
2019-01-14,1343.8656081175793
2019-01-15,1372.788831482211
2019-01-16,1371.7689673484315
2019-01-17,1374.640692271366
2019-01-18,1381.308003890203
2019-01-21,1385.2063553357664
2019-01-22,1388.4399566446525
2019-01-23,1374.1235778630842
2019-01-24,1370.5051432855687
2019-01-25,1382.7027466934849
2019-01-28,1373.5473099878332
2019-01-29,1370.7698104941705
2019-01-30,1367.7056784253684
2019-01-31,1395.9203785987313
2019-02-01,1402.5141531454196
2019-02-04,1377.487851411805
2019-02-05,1377.487851411805
2019-02-06,1398.5364237715469
2019-02-07,1390.7728425824819
2019-02-08,1383.655521698648
2019-02-11,1373.7120207936553
2019-02-12,1352.9713025613178
2019-02-13,1348.3982547765104
2019-02-14,1334.2934385292508
2019-02-15,1326.8723053842368
2019-02-18,1361.1789170272386
2019-02-19,1350.5772901462683
2019-02-20,1365.9027600343636
2019-02-21,1365.7196526101861
2019-02-22,1356.4902065384524
2019-02-25,1363.4399917940632
2019-02-26,1378.8432376462044
2019-02-27,1376.5064036806598
2019-02-28,1351.1018375047354
2019-03-01,1356.7198437581878
2019-03-04,1352.878555829181
2019-03-05,1344.0604565747453
2019-03-06,1337.9044043135593
2019-03-07,1337.9044043135593
2019-03-08,1304.5986186789605
2019-03-11,1312.1229118841877
2019-03-12,1311.8927637751967
2019-03-13,1310.8370113285973
2019-03-14,1316.3845560292054
2019-03-15,1330.923447442076
2019-03-18,1345.9847790142135
2019-03-19,1340.8042263832053
2019-03-20,1347.1360585014738
2019-03-21,1355.5343846182664
2019-03-22,1351.7886754970807
2019-03-25,1328.7598490778335
2019-03-26,1342.2653667910454
2019-03-27,1330.730203581618
2019-03-28,1335.942173353809
2019-03-29,1334.294843714334
2019-04-01,1325.592481961646
2019-04-02,1332.6391635091309
2019-04-03,1332.639163509131
2019-04-04,1342.2927160765446
2019-04-05,1343.8718039233204
2019-04-08,1335.6375525391961
2019-04-09,1348.6277844972944
2019-04-10,1341.5858838547383
2019-04-11,1318.1876206220757
2019-04-12,1318.7077102590329
2019-04-15,1323.9587039921332
2019-04-16,1331.424523902182
2019-04-17,1331.4245239021818
2019-04-18,1342.3954001044985
2019-04-19,1342.3954001044985
2019-04-22,1325.1888728568608
2019-04-23,1337.8367278440503
2019-04-24,1334.46672162958
2019-04-25,1309.6341088357885
2019-04-26,1317.9381986193198
2019-04-29,1319.6705512670171
2019-04-30,1322.4821042789522
2019-05-01,1322.4821042789522
2019-05-02,1312.930711005391
2019-05-03,1301.6584529835666
2019-05-06,1293.3972250186514
2019-05-07,1303.7951159695665
2019-05-08,1304.8102008143157
2019-05-09,1273.3508224373174
2019-05-10,1276.7396663417094
2019-05-13,1257.5055512250062
2019-05-14,1240.1694868926695
2019-05-15,1216.556913278274
2019-05-16,1188.9011718905078
2019-05-17,1165.5774806712222
2019-05-20,1200.2478257867106
2019-05-21,1207.6528028724338
2019-05-22,1196.926180308333
2019-05-23,1237.7365363410488
2019-05-24,1252.3631058461435
2019-05-27,1269.9051874552758
2019-05-28,1257.6554622463022
2019-05-29,1273.4091426775026
2019-05-30,1273.4091426775026
2019-05-31,1316.6772912242277
2019-06-03,1316.6772912242275
2019-06-04,1316.6772912242272
2019-06-05,1316.677291224227
2019-06-06,1316.6772912242268
2019-06-07,1316.6772912242266
2019-06-10,1342.924903341709
2019-06-11,1345.9835175744627
2019-06-12,1341.5348716349956
2019-06-13,1328.3541069722742
2019-06-14,1322.9103880094185
2019-06-17,1311.287024902474
2019-06-18,1331.3116023244384
2019-06-19,1348.9049761310778
2019-06-20,1351.807633435999
2019-06-21,1350.5207662776422
2019-06-24,1344.5751817959633
2019-06-25,1352.99580569633
2019-06-26,1346.629379057521
2019-06-27,1363.5379471386168
2019-06-28,1365.2917972773548
2019-07-01,1375.6239495839307
2019-07-02,1381.5448716736923
2019-07-03,1381.830213102648
2019-07-04,1378.3240306686555
2019-07-05,1391.2631056111093
2019-07-08,1379.468930021665
2019-07-09,1388.5954843151221
2019-07-10,1396.729771776951
2019-07-11,1404.773621885608
2019-07-12,1402.550265986299
2019-07-15,1426.4753816457792
2019-07-16,1423.9610672786928
2019-07-17,1423.3419804225605
2019-07-18,1424.1361884634512
2019-07-19,1442.9119205791144
2019-07-22,1445.36078364762
2019-07-23,1434.8072723025946
2019-07-24,1427.3279056107122
2019-07-25,1430.0777605143635
2019-07-26,1411.796901060443
2019-07-29,1406.6015532131464
2019-07-30,1418.185946047586
2019-07-31,1423.454520949133
2019-08-01,1414.0407946826574
2019-08-02,1397.1889781359644
2019-08-05,1345.6504020022842
2019-08-06,1316.7965387418851
2019-08-07,1350.9008508938305
2019-08-08,1363.0482035964837
2019-08-09,1373.72987562236
2019-08-12,1361.379159642531
2019-08-13,1342.3091244915472
2019-08-14,1359.0851552543545
2019-08-15,1350.45139436179
2019-08-16,1351.228690744539
2019-08-19,1355.4876507690935
2019-08-20,1344.1568253215028
2019-08-21,1335.80394207975
2019-08-22,1340.927671912963
2019-08-23,1345.311830359367
2019-08-26,1337.029436172599
2019-08-27,1362.053724069528
2019-08-28,1366.3520515198195
2019-08-29,1370.530089418159
2019-08-30,1390.537886234021
