Date,TAIWAN GROWTH
2016-07-06,205.84649949605745
2016-07-07,209.26988298017343
2016-07-08,209.26988298017343
2016-07-11,215.76803696415598
2016-07-12,218.05798111155812
2016-07-13,217.02527554011306
2016-07-14,217.8709655650264
2016-07-15,220.90089786002457
2016-07-18,221.9214945512507
2016-07-19,222.89482129693943
2016-07-20,221.88121037610122
2016-07-21,223.28326490234232
2016-07-22,221.71838355070437
2016-07-25,221.2722017690834
2016-07-26,223.2139432064614
2016-07-27,225.32666704903687
2016-07-28,227.06413616320663
2016-07-29,223.34278566652034
2016-08-01,229.7790901214816
2016-08-02,228.92937261177553
2016-08-03,225.3791383477156
2016-08-04,227.15917117511574
2016-08-05,231.0955302418352
2016-08-08,232.69215978813418
2016-08-09,233.52586658256396
2016-08-10,236.8574569217106
2016-08-11,233.70203693767073
2016-08-12,234.69023868867816
2016-08-15,235.38067377380003
2016-08-16,233.7137632493084
2016-08-17,233.16689407124477
2016-08-18,232.39791803566655
2016-08-19,228.27202693023165
2016-08-22,225.76635160911385
2016-08-23,227.88403638338096
2016-08-24,227.13691098481954
2016-08-25,230.7031656102842
2016-08-26,231.09625626344697
2016-08-29,229.20955058911696
2016-08-30,228.3916852829918
2016-08-31,228.28898808883218
2016-09-01,226.34170209243527
2016-09-02,227.1829185365872
2016-09-05,231.34538179564063
2016-09-06,234.437783720703
2016-09-07,240.24475088117413
2016-09-08,239.25120349352463
2016-09-09,234.00620551489655
2016-09-12,225.11986388571418
2016-09-13,226.1031662970679
2016-09-14,224.491228988292
2016-09-15,224.491228988292
2016-09-16,224.491228988292
2016-09-19,236.12782072406938
2016-09-20,236.72118577374906
2016-09-21,237.82886119158172
2016-09-22,239.12402971019503
2016-09-23,241.81042804578607
2016-09-26,236.93585612510466
2016-09-27,236.93585612510464
2016-09-28,236.9358561251046
2016-09-29,240.4488084204973
2016-09-30,236.9920885694463
2016-10-03,240.5825475065305
2016-10-04,241.9525440307383
2016-10-05,240.68165117905556
2016-10-06,241.30095858255206
2016-10-07,240.79783731833362
2016-10-10,240.79783731833356
2016-10-11,238.7912144922663
2016-10-12,240.60528910044044
2016-10-13,238.3834260371586
2016-10-14,238.00711662189994
2016-10-17,236.60010468124602
2016-10-18,238.560757381655
2016-10-19,242.6757223923019
2016-10-20,243.3785954371855
2016-10-21,240.99736043821105
2016-10-24,242.53788344553948
2016-10-25,244.98406115236173
2016-10-26,244.0720190535822
2016-10-27,240.1318162205712
2016-10-28,241.50387828892173
2016-10-31,241.09917121166637
2016-11-01,241.23511091315373
2016-11-02,237.32112321556372
2016-11-03,236.20203949122794
2016-11-04,236.0291046226188
2016-11-07,239.89061703818209
2016-11-08,240.46533910222547
2016-11-09,232.48557849043763
2016-11-10,236.55624333003917
2016-11-11,228.8776924664707
2016-11-14,226.11529818039605
2016-11-15,226.2381947683732
2016-11-16,227.4777544216605
2016-11-17,228.22215071193983
2016-11-18,227.1005832926486
2016-11-21,227.4455194674678
2016-11-22,231.022814358545
2016-11-23,233.21835604504193
2016-11-24,230.7349562973915
2016-11-25,230.20587803120497
2016-11-28,233.43796301693735
2016-11-29,231.79127096964888
2016-11-30,232.85152661528917
2016-12-01,232.67205882467246
2016-12-02,227.7405479835621
2016-12-05,227.40841998115704
2016-12-06,230.98053045993805
2016-12-07,231.2100601628704
2016-12-08,237.0882841418958
2016-12-09,236.96609823650655
2016-12-12,235.5592574548033
2016-12-13,236.75255443627196
2016-12-14,238.12426725193203
2016-12-15,236.05116796559506
2016-12-16,233.736254659978
2016-12-19,230.66311285082406
2016-12-20,230.25466287912081
2016-12-21,228.23728318581823
2016-12-22,226.55539758934202
2016-12-23,224.45731284681088
2016-12-26,225.39517897629577
2016-12-27,225.06125213234756
2016-12-28,227.6081238140482
2016-12-29,225.83417817887207
2016-12-30,228.69560370960872
2017-01-02,228.69560370960872
2017-01-03,229.97004767621232
2017-01-04,229.5818614844445
2017-01-05,233.98268052752215
2017-01-06,234.27303764449968
2017-01-09,232.72504440157383
2017-01-10,234.35871272558995
2017-01-11,233.70480112581666
2017-01-12,238.26605655185728
2017-01-13,236.84720254767518
2017-01-16,233.99901427895404
2017-01-17,236.73445526215107
2017-01-18,237.0277577380619
2017-01-19,235.47493204477695
2017-01-20,236.65334846415286
2017-01-23,241.29458760477857
2017-01-24,242.49981184675306
2017-01-25,242.65848298646853
2017-01-26,242.53849298818196
2017-01-27,242.53849298818193
2017-01-30,242.5384929881819
2017-01-31,242.53849298818187
2017-02-01,242.53849298818184
2017-02-02,243.47423485125952
2017-02-03,244.1329364265152
2017-02-06,245.71076492179319
2017-02-07,244.5701602557773
2017-02-08,242.77318204190726
2017-02-09,244.74902845743927
2017-02-10,247.1306106235554
2017-02-13,248.72680449363207
2017-02-14,249.92655240707947
2017-02-15,252.78652755990154
2017-02-16,251.62882765613998
2017-02-17,251.71419643513624
2017-02-20,251.7894193952318
2017-02-21,251.99922620282877
2017-02-22,251.6826182599498
2017-02-23,251.90238915148618
2017-02-24,251.54060819526967
2017-02-27,251.54060819526967
2017-02-28,251.54060819526967
2017-03-01,248.2418232556498
2017-03-02,248.2338486032549
2017-03-03,244.2498490430062
2017-03-06,244.50698094296988
2017-03-07,247.07348473144341
2017-03-08,248.38877353659188
2017-03-09,244.4742515360594
2017-03-10,242.60201412726377
2017-03-13,246.9399573194841
2017-03-14,247.06064738951997
2017-03-15,248.00054790896985
2017-03-16,253.39424270661465
2017-03-17,256.33734532822905
2017-03-20,256.2370188218325
2017-03-21,260.80991005422675
2017-03-22,257.98708881342975
2017-03-23,258.13877283222934
2017-03-24,257.268364720174
2017-03-27,259.3366746398621
2017-03-28,261.15061058879905
2017-03-29,257.903420001033
2017-03-30,256.99426136191306
2017-03-31,254.6672816195184
2017-04-03,254.66728161951838
2017-04-04,254.66728161951835
2017-04-05,259.2624372097815
2017-04-06,255.52467494581657
2017-04-07,254.23746267342415
2017-04-10,253.55818589410052
2017-04-11,253.48042390987865
2017-04-12,254.0445171627364
2017-04-13,255.99248263689213
2017-04-14,254.54744616692759
2017-04-17,253.24462125285697
2017-04-18,253.1325645529908
2017-04-19,250.51551585867026
2017-04-20,250.87923752766807
2017-04-21,254.97133016592807
2017-04-24,255.61949940129938
2017-04-25,260.13551560721544
2017-04-26,260.10605772593664
2017-04-27,260.82532225056366
2017-04-28,261.58862399865086
2017-05-01,261.5886239986508
2017-05-02,264.9449833494285
2017-05-03,266.45152387033204
2017-05-04,265.2150141127823
2017-05-05,263.6920843197229
2017-05-08,267.34276153000616
2017-05-09,267.0354249796269
2017-05-10,269.160570963489
2017-05-11,271.72907667977404
2017-05-12,270.397301295444
2017-05-15,270.98851189766805
2017-05-16,270.7810007219706
