Date,EM GCC COUNTRIES IMI VALUE
2016-09-08,931.5004362415641
2016-09-09,936.7284503675234
2016-09-12,936.0637053492883
2016-09-13,934.1933524644652
2016-09-14,933.7791456695043
2016-09-15,928.4408977177087
2016-09-16,935.230060142119
2016-09-19,916.785896755031
2016-09-20,921.2174230890595
2016-09-21,923.6835582234514
2016-09-22,933.829778287484
2016-09-23,935.5935493066321
2016-09-26,933.0884816540088
2016-09-27,934.0279105641928
2016-09-28,928.9343147115076
2016-09-29,930.8196457200263
2016-09-30,930.1156087927599
2016-10-03,912.4167790559833
2016-10-04,922.7300353878866
2016-10-05,915.2500635224234
2016-10-06,916.9778954714454
2016-10-07,916.309393491656
2016-10-10,919.8137134754978
2016-10-11,931.7031011023621
2016-10-12,931.2793705255174
2016-10-13,926.3875829292554
2016-10-14,928.5936024473734
2016-10-17,919.4444374679765
2016-10-18,929.9218488929828
2016-10-19,931.7285464341384
2016-10-20,935.3732414256795
2016-10-21,940.0391490234108
2016-10-24,944.1449410934758
2016-10-25,941.8001149881983
2016-10-26,929.8688629241027
2016-10-27,938.449819433052
2016-10-28,937.5614964503285
2016-10-31,930.7588928988458
2016-11-01,923.3005792835467
2016-11-02,906.6380783987084
2016-11-03,902.9687680826625
2016-11-04,900.6743870475257
2016-11-07,903.9592071021796
2016-11-08,911.286212597353
2016-11-09,920.1145113433405
2016-11-10,920.010376019708
2016-11-11,922.0697001619277
2016-11-14,910.9422746989718
2016-11-15,909.4138249945485
2016-11-16,927.3845120051029
2016-11-17,934.7079471725608
2016-11-18,943.5030146219597
2016-11-21,938.4325091053548
2016-11-22,937.9550882999611
2016-11-23,948.7357602225329
2016-11-24,944.6915741713157
2016-11-25,940.9875630810378
2016-11-28,937.4768289752091
2016-11-29,934.7590691389454
2016-11-30,943.8460851696191
2016-12-01,949.0187064000186
2016-12-02,944.6243470942896
2016-12-05,945.6632454414657
2016-12-06,956.850724597069
2016-12-07,966.6412363389255
2016-12-08,998.2525300267158
2016-12-09,1005.2963027699657
2016-12-12,1017.5427347974867
2016-12-13,1014.2721735637198
2016-12-14,1005.23377639184
2016-12-15,1015.883337123758
2016-12-16,1016.5010821093327
2016-12-19,1016.75182340966
2016-12-20,1026.6223509163212
2016-12-21,1017.9641815821037
2016-12-22,1016.4391411064371
2016-12-23,1015.9533436226353
2016-12-26,1017.8388233892429
2016-12-27,1017.2368705151015
2016-12-28,1020.3971834750553
2016-12-29,1022.4625388303293
2016-12-30,1016.8261570236875
2017-01-02,1014.0737001164051
2017-01-03,1050.3198885067325
2017-01-04,1047.1826974508995
2017-01-05,1039.0819206437145
2017-01-06,1041.3555548343363
2017-01-09,1055.7979220371938
2017-01-10,1052.901299083475
2017-01-11,1065.3673716672272
2017-01-12,1048.0793466175353
2017-01-13,1050.8690342198083
2017-01-16,1049.2749109619785
2017-01-17,1051.9318906817698
2017-01-18,1057.0283479409925
2017-01-19,1066.45751146604
2017-01-20,1059.83866852556
2017-01-23,1053.622312579437
2017-01-24,1062.1888189393628
2017-01-25,1055.619302517316
2017-01-26,1065.5218592601066
2017-01-27,1061.8903215710652
2017-01-30,1043.786819410341
2017-01-31,1020.1320821944419
2017-02-01,1019.234989623837
2017-02-02,1006.3608979333118
2017-02-03,1007.9796560579535
2017-02-06,1029.7466293562907
2017-02-07,1038.5995520844413
2017-02-08,1047.2860716215234
2017-02-09,1047.4479150873797
2017-02-10,1051.411183580698
2017-02-13,1050.3933744117696
2017-02-14,1055.2967570773521
2017-02-15,1059.9196412228027
2017-02-16,1057.6778665278118
2017-02-17,1061.8219415996941
2017-02-20,1057.002822638024
2017-02-21,1062.4234609504392
2017-02-22,1069.6291683513873
2017-02-23,1059.1972119339637
2017-02-24,1061.5742733319018
2017-02-27,1054.910188693813
2017-02-28,1041.5097899099903
2017-03-01,1054.0028979357828
2017-03-02,1061.8047727414623
2017-03-03,1058.1204972331295
2017-03-06,1049.3682642669467
2017-03-07,1037.841872108646
2017-03-08,1034.6075558980074
2017-03-09,1033.6995887606297
2017-03-10,1026.3899867879954
2017-03-13,1016.7122510370721
2017-03-14,1016.5320947270006
2017-03-15,1012.9409722574397
2017-03-16,1019.5909208029979
2017-03-17,1019.1231884273586
2017-03-20,1020.4766666882324
2017-03-21,1026.8238968861713
2017-03-22,1019.9078498307522
2017-03-23,1024.616557517909
2017-03-24,1022.8697595492364
2017-03-27,1009.406013142672
2017-03-28,1014.0500064074646
2017-03-29,1018.9210728414282
2017-03-30,1020.9469819388829
2017-03-31,1024.6975138459322
2017-04-03,1034.8127722841034
2017-04-04,1046.9891517726428
2017-04-05,1060.278405271445
2017-04-06,1056.1637325755962
2017-04-07,1060.3427745162915
2017-04-10,1058.3708506263101
2017-04-11,1051.151531534151
2017-04-12,1059.588250325632
2017-04-13,1049.8760971987313
2017-04-14,1049.8760971987313
2017-04-17,1044.546975069271
2017-04-18,1040.855459396809
