Date,EM EASTERN EUROPE ex RUSSIA SMALL CAP
2016-04-06,501.5960575391616
2016-04-07,501.1227245394474
2016-04-08,508.1618588028559
2016-04-11,507.41203768428716
2016-04-12,505.4366377061955
2016-04-13,512.5702173702591
2016-04-14,515.0812276877206
2016-04-15,514.9067594722549
2016-04-18,514.4084663056937
2016-04-19,518.9520260539357
2016-04-20,522.279370828235
2016-04-21,517.9681239383307
2016-04-22,509.07824725392175
2016-04-25,504.17103979887713
2016-04-26,503.75731463284785
2016-04-27,502.170157920491
2016-04-28,503.17931166501216
2016-04-29,506.45979288326447
2016-05-02,505.97552888551553
2016-05-03,505.14780525143
2016-05-04,498.2938839712421
2016-05-05,492.70550210350933
2016-05-06,491.2901957310754
2016-05-09,488.96653419087903
2016-05-10,485.7350360902808
2016-05-11,485.6253892334739
2016-05-12,484.77022425374037
2016-05-13,482.606546535064
2016-05-16,490.62631196930704
2016-05-17,488.2489743677506
2016-05-18,480.99520193935024
2016-05-19,471.94029309204495
2016-05-20,475.64583152058765
2016-05-23,476.73751415717146
2016-05-24,478.76985266864
2016-05-25,482.5247653567533
2016-05-26,483.8780143746065
2016-05-27,487.3144112124226
2016-05-30,486.1779791368633
2016-05-31,482.177098717028
2016-06-01,473.22943815773425
2016-06-02,474.96133866097716
2016-06-03,476.6750510866022
2016-06-06,481.1030761951189
2016-06-07,489.45407787007366
2016-06-08,490.7231882817393
2016-06-09,484.46529940005183
2016-06-10,479.1825137903432
2016-06-13,471.9631705060026
2016-06-14,461.8842959035052
2016-06-15,465.9185038219583
2016-06-16,455.00854787007654
2016-06-17,465.90102191904117
2016-06-20,473.23560405659435
2016-06-21,471.23723142479685
2016-06-22,475.3411585659714
2016-06-23,484.4279711795064
2016-06-24,459.3903721495182
2016-06-27,454.33813664552736
2016-06-28,462.2529684907713
2016-06-29,466.0989975172734
2016-06-30,466.8858612483441
2016-07-01,468.4587441491114
2016-07-04,464.44795837999663
2016-07-05,462.9416109976868
2016-07-06,460.95847731653686
2016-07-07,470.1145977065529
2016-07-08,472.41717527319395
2016-07-11,476.63579008290316
2016-07-12,482.79701347788114
2016-07-13,485.3683770194549
2016-07-14,487.8262602230526
2016-07-15,490.0291022521826
2016-07-18,496.34802773669344
2016-07-19,495.40697159477406
2016-07-20,501.32518377513134
2016-07-21,505.8020436716315
2016-07-22,503.93948739592196
2016-07-25,507.2536313876494
2016-07-26,507.91719060181725
2016-07-27,508.0923458783924
2016-07-28,512.7080143766606
2016-07-29,510.41750337593595
2016-08-01,512.9009239417871
2016-08-02,516.9651955459698
2016-08-03,517.8362957064714
2016-08-04,519.8329327634133
2016-08-05,523.366691110152
2016-08-08,523.5541981243191
2016-08-09,534.7823824379238
2016-08-10,538.0758764110197
2016-08-11,544.7418997846926
2016-08-12,549.9284113713126
2016-08-15,549.4069209890981
2016-08-16,548.0811537892558
2016-08-17,545.5507072480912
2016-08-18,544.7921588110853
2016-08-19,543.3527293571622
2016-08-22,547.462667705477
2016-08-23,554.9312757973004
2016-08-24,553.2798688269364
2016-08-25,555.3924079147355
2016-08-26,558.9487614997231
2016-08-29,549.2056280631899
2016-08-30,555.1731693305705
2016-08-31,561.1855049183476
2016-09-01,548.8655679694748
2016-09-02,558.3373680018406
2016-09-05,573.7471771821224
2016-09-06,581.8039365869467
2016-09-07,581.6892659180769
2016-09-08,584.3210541454467
2016-09-09,576.4836226336541
2016-09-12,566.3056102944847
2016-09-13,571.1338803813591
2016-09-14,577.6716873770932
2016-09-15,581.3125263282802
2016-09-16,591.3410506701081
2016-09-19,594.3189507257246
2016-09-20,594.2744008241809
2016-09-21,597.4810000811971
2016-09-22,604.0954503084977
2016-09-23,599.0169291638745
2016-09-26,593.9447753792556
2016-09-27,593.6399173306713
2016-09-28,592.3294853612417
2016-09-29,590.0375167672549
2016-09-30,587.2187346509962
2016-10-03,588.3204185840398
2016-10-04,592.5987868416671
2016-10-05,591.787991992216
2016-10-06,592.4319142088166
2016-10-07,588.3815463853853
2016-10-10,588.7138047838773
2016-10-11,592.5244938510814
2016-10-12,589.7182234581952
2016-10-13,588.9960793046707
2016-10-14,595.0685391633638
2016-10-17,595.7155787141118
2016-10-18,604.2481261193409
2016-10-19,605.1032761315903
2016-10-20,604.2021560390646
2016-10-21,599.8382798825996
2016-10-24,602.8730942204584
2016-10-25,598.8465877430453
2016-10-26,596.9895213186885
2016-10-27,601.0885232023239
2016-10-28,600.5264939289493
2016-10-31,606.5516637276287
2016-11-01,608.4854565345871
2016-11-02,589.3551781371801
2016-11-03,585.764874469217
2016-11-04,582.2323424225552
2016-11-07,586.9039844047744
2016-11-08,590.4316605514987
2016-11-09,588.2729901408343
2016-11-10,593.2922731077654
2016-11-11,586.2696377729976
2016-11-14,587.0915408913315
2016-11-15,589.5274175798896
2016-11-16,587.3923579054957
2016-11-17,584.7517393220428
2016-11-18,586.6246183094883
2016-11-21,589.0137255700832
2016-11-22,597.6682980381394
2016-11-23,602.4041848433754
2016-11-24,609.28911567602
2016-11-25,612.7853886496571
2016-11-28,611.6814066175895
2016-11-29,602.6593082852022
2016-11-30,604.2742825202893
2016-12-01,600.6674821414501
2016-12-02,603.4661896235785
2016-12-05,608.1201509509023
2016-12-06,611.5897984004062
2016-12-07,614.6645281828353
2016-12-08,622.3771857335012
2016-12-09,618.3744779601692
2016-12-12,615.9047991871068
2016-12-13,621.3358898746864
2016-12-14,625.325897068491
2016-12-15,624.9486863066908
2016-12-16,627.8607003147026
2016-12-19,627.1774002859431
2016-12-20,635.312562747806
2016-12-21,633.6427612619167
2016-12-22,633.7344265378724
2016-12-23,637.392879377308
2016-12-26,637.3928793773082
2016-12-27,638.078989720827
2016-12-28,640.2745303429447
2016-12-29,637.9572283527839
2016-12-30,636.1251770553415
2017-01-02,639.824003710106
2017-01-03,644.1918304142425
2017-01-04,646.9875053834671
2017-01-05,649.4138451869181
2017-01-06,650.9498913974428
2017-01-09,650.2225890980557
2017-01-10,656.0161960005946
2017-01-11,662.631192176617
2017-01-12,663.4342771767144
2017-01-13,657.4794169504228
2017-01-16,662.2854503881168
2017-01-17,662.2390526693899
2017-01-18,663.5043993055863
2017-01-19,664.3247364443453
2017-01-20,669.5751299417578
2017-01-23,673.4858319519034
2017-01-24,680.4877136446896
2017-01-25,691.8816387320527
2017-01-26,700.0957807061337
2017-01-27,700.9474363962933
2017-01-30,695.9045732467869
2017-01-31,696.7323425734485
2017-02-01,701.5721501123838
2017-02-02,701.7853389700873
2017-02-03,700.7540543596889
2017-02-06,700.2002921179135
2017-02-07,703.0638209048373
2017-02-08,702.7113985024858
2017-02-09,717.2225236404358
2017-02-10,728.5219891582014
2017-02-13,736.2982145414927
2017-02-14,737.3328779539944
2017-02-15,734.6273313528042
2017-02-16,737.4965657429165
2017-02-17,731.8695207808015
2017-02-20,735.606576278574
2017-02-21,744.0782567768908
2017-02-22,744.7270749847996
2017-02-23,742.4691107575593
2017-02-24,732.514819387132
2017-02-27,735.144609077371
2017-02-28,735.3407348380356
2017-03-01,749.126001858522
2017-03-02,751.1967196281028
2017-03-03,749.9012844165813
2017-03-06,740.8734170892673
2017-03-07,742.3840992593246
2017-03-08,735.7912091452021
2017-03-09,732.1664445236688
2017-03-10,734.018461371405
2017-03-13,738.7920667025273
2017-03-14,745.9297898853072
2017-03-15,744.2813325746857
2017-03-16,750.4423126781643
2017-03-17,763.1260467290265
2017-03-20,767.125319508251
2017-03-21,758.777621025228
2017-03-22,747.7565979579805
2017-03-23,754.128438910069
2017-03-24,754.51647802257
2017-03-27,750.315889118694
2017-03-28,758.3351986651221
2017-03-29,756.2974737781072
2017-03-30,756.6862411641798
2017-03-31,750.9638233247018
2017-04-03,748.7752148131727
2017-04-04,744.5442986764006
2017-04-05,756.1465325304207
2017-04-06,756.7900009095738
2017-04-07,754.322403155626
2017-04-10,753.0933356859626
2017-04-11,741.222992990928
2017-04-12,739.683509899361
2017-04-13,742.8428669146675
2017-04-14,742.8428669146675
2017-04-17,741.3656572962302
2017-04-18,748.8709516151611
2017-04-19,752.6524278206127
2017-04-20,749.9251001365238
2017-04-21,749.7889610110143
2017-04-24,764.7707689445515
2017-04-25,770.3460247716501
2017-04-26,772.1877404247017
2017-04-27,772.138857731504
2017-04-28,773.9675104063957
2017-05-01,776.5837301423633
2017-05-02,786.4182349820508
2017-05-03,786.8482708441682
2017-05-04,783.0339050997704
2017-05-05,784.1781750258975
2017-05-08,786.0120785771596
2017-05-09,779.9985082063592
2017-05-10,789.0246901407602
2017-05-11,795.5898435757584
2017-05-12,789.9128212644962
2017-05-15,792.2805980800088
2017-05-16,782.8638830212004
2017-05-17,771.067767318175
2017-05-18,759.2789862820493
2017-05-19,773.4078365468364
2017-05-22,778.5649170812161
2017-05-23,774.7613631508057
2017-05-24,780.199907706168
2017-05-25,792.1135399426121
2017-05-26,787.0156496892693
2017-05-29,783.8933363031314
2017-05-30,784.9950521755632
2017-05-31,770.5393564916848
2017-06-01,794.4754340479203
2017-06-02,800.639923060947
2017-06-05,792.0220454550401
2017-06-06,792.1237074363336
2017-06-07,791.1822180010107
2017-06-08,793.2196781994313
2017-06-09,793.7537953910801
2017-06-12,783.0060434203393
2017-06-13,790.063050497714
2017-06-14,787.4805221644641
2017-06-15,779.77015939073
2017-06-16,787.1561704594644
2017-06-19,792.6181605600657
2017-06-20,788.1899648362322
2017-06-21,789.7319079074044
2017-06-22,791.2877812255115
2017-06-23,795.3757146055137
2017-06-26,808.4104713966041
2017-06-27,806.1356514128834
2017-06-28,798.4917028765013
2017-06-29,797.3797719212105
2017-06-30,798.8078980685773
2017-07-03,793.8515489605871
2017-07-04,785.5665766077626
2017-07-05,787.5085029842146
2017-07-06,788.4673576600568
2017-07-07,785.263806833976
2017-07-10,793.0091977246921
2017-07-11,789.2339688123043
2017-07-12,800.1320332975416
2017-07-13,806.6760749500189
2017-07-14,811.56240810078
2017-07-17,813.9909688199537
2017-07-18,815.2901856880625
2017-07-19,812.2289709849546
2017-07-20,816.1344877116239
2017-07-21,811.4533919418076
2017-07-24,816.4825848927819
2017-07-25,813.1761905033392
2017-07-26,815.1334187924351
2017-07-27,812.906936091912
2017-07-28,813.5320544204171
2017-07-31,815.593520917411
2017-08-01,820.6808947229176
2017-08-02,822.3205634452947
2017-08-03,817.5607689244864
2017-08-04,817.4224973702279
2017-08-07,818.9272870586783
2017-08-08,818.2496811338266
2017-08-09,808.3759051878468
2017-08-10,798.2693976950357
2017-08-11,798.4385602397919
2017-08-14,803.0961375461765
2017-08-15,800.6592634272158
2017-08-16,817.4050970244626
2017-08-17,812.2122580271612
2017-08-18,811.6790057258874
2017-08-21,817.1422602868453
2017-08-22,817.02771467815
2017-08-23,812.6179390912611
2017-08-24,823.3327580389973
2017-08-25,823.5924255892281
2017-08-28,825.9249080024696
2017-08-29,807.1416433779277
2017-08-30,815.2291040759428
2017-08-31,821.2515390335666
2017-09-01,826.9490574134122
2017-09-04,830.4910717724473
2017-09-05,828.7905396153528
2017-09-06,815.5608012032736
2017-09-07,817.5525294124459
2017-09-08,826.0758885365709
2017-09-11,830.8156240242325
2017-09-12,836.3769297616711
2017-09-13,836.7413045042283
2017-09-14,831.085455604385
2017-09-15,826.9032162747959
2017-09-18,828.2362565524693
2017-09-19,834.1829218604763
2017-09-20,841.0116481814489
2017-09-21,835.1272165037517
2017-09-22,833.176816808518
2017-09-25,827.5810519625933
2017-09-26,821.4402321495074
2017-09-27,816.5111833891365
2017-09-28,820.0371599276385
2017-09-29,829.6114003202904
2017-10-02,821.0562116289965
2017-10-03,818.9595780782499
2017-10-04,814.3602216876056
2017-10-05,817.8206270284456
2017-10-06,814.535390068304
2017-10-09,815.3052184679642
2017-10-10,817.8934166918225
2017-10-11,834.8397736468484
2017-10-12,835.230183421258
2017-10-13,835.1018712681708
2017-10-16,839.8498585685404
2017-10-17,830.5030644954
2017-10-18,822.9214243541576
2017-10-19,817.3750182147388
2017-10-20,817.4517669905382
2017-10-23,813.606226160003
2017-10-24,801.9869028321292
2017-10-25,812.7463991875488
2017-10-26,809.3802354924578
2017-10-27,813.3976223874189
2017-10-30,816.6679454323452
2017-10-31,823.2148249527332
2017-11-01,823.8329073108708
2017-11-02,823.4723467859452
2017-11-03,818.920452748298
2017-11-06,821.798396856906
2017-11-07,830.3498702268412
2017-11-08,828.2064287999441
2017-11-09,825.7437114821763
2017-11-10,820.3263530064612
2017-11-13,793.6273170880568
2017-11-14,779.3780528829013
2017-11-15,772.2461186983226
2017-11-16,775.8739040421976
2017-11-17,785.0093705687244
2017-11-20,797.257894178893
2017-11-21,805.8325789809537
2017-11-22,799.4796325050831
2017-11-23,797.3716498644651
2017-11-24,797.0788345006837
2017-11-27,803.7483321081919
2017-11-28,799.5802064741138
2017-11-29,785.0637731908457
2017-11-30,788.9760450599053
2017-12-01,781.3963674562723
2017-12-04,781.0344144661298
2017-12-05,789.1998513829967
