Date,EFM AFRICA SMALL CAP
2021-08-25,1315.7102799998536
2021-08-26,1313.48216036338
2021-08-27,1329.2635432345899
2021-08-30,1352.7511613872873
2021-08-31,1382.5882491210052
2021-09-01,1378.1924090400832
2021-09-02,1367.2784822900717
2021-09-03,1368.3437651508032
2021-09-06,1360.0044966356452
2021-09-07,1353.9479478322023
2021-09-08,1356.8178058936467
2021-09-09,1364.277833986574
2021-09-10,1354.8856614719357
2021-09-13,1363.4936037686473
2021-09-14,1355.4641889674165
2021-09-15,1343.161842075466
2021-09-16,1338.651396494805
2021-09-17,1344.4232377181413
2021-09-20,1317.468087962924
2021-09-21,1325.705310575631
2021-09-22,1364.8841191205067
2021-09-23,1374.387571537242
2021-09-24,1352.6205203088582
2021-09-27,1355.7632571331876
2021-09-28,1337.831954552257
2021-09-29,1349.9014483494568
2021-09-30,1368.3188698263739
2021-10-01,1373.9127675993673
2021-10-04,1356.168476579895
2021-10-05,1371.3718306022251
2021-10-06,1375.797438761787
2021-10-07,1387.6705403527892
2021-10-08,1376.7164318419316
2021-10-11,1380.2517367772273
2021-10-12,1389.6866154648749
2021-10-13,1398.0231945648009
2021-10-14,1383.6918241075275
2021-10-15,1408.7524705420756
2021-10-18,1411.1684315904865
2021-10-19,1419.008921647766
2021-10-20,1422.0093451928387
2021-10-21,1403.0893870722007
2021-10-22,1387.2813494822747
2021-10-25,1396.3729458178484
2021-10-26,1402.194816345854
2021-10-27,1385.0677516342673
2021-10-28,1375.8013273260108
2021-10-29,1381.130868231201
2021-11-01,1365.000660443742
2021-11-02,1363.0613786272534
2021-11-03,1379.3957055794763
2021-11-04,1404.8958246023694
2021-11-05,1406.317354974269
2021-11-08,1420.6317466018952
2021-11-09,1411.0406697667281
2021-11-10,1390.3837300697878
2021-11-11,1412.8748969460635
2021-11-12,1402.7162430099997
2021-11-15,1404.6316923976149
2021-11-16,1395.1088470514724
2021-11-17,1398.4246368119366
2021-11-18,1379.6273153328848
2021-11-19,1366.9354798870736
2021-11-22,1374.9185743610756
2021-11-23,1365.029986510596
2021-11-24,1360.1059007894114
2021-11-25,1377.9990085771215
2021-11-26,1295.511573940517
2021-11-29,1336.945153460391
2021-11-30,1360.1604171068002
2021-12-01,1373.3381194953918
2021-12-02,1379.0293611063387
2021-12-03,1369.1190301762547
2021-12-06,1378.6571142242165
2021-12-07,1389.3924567585632
2021-12-08,1394.7320936653957
2021-12-09,1386.6598615679234
2021-12-10,1362.4749388973862
2021-12-13,1353.6646487903813
2021-12-14,1356.7680693365662
2021-12-15,1363.5523832904867
2021-12-16,1371.6313263215256
2021-12-17,1407.425574997314
2021-12-20,1393.5808956977542
2021-12-21,1402.2784150525085
2021-12-22,1405.4387209535496
2021-12-23,1426.1800091086454
2021-12-24,1428.6664104242282
2021-12-27,1430.6906507131964
2021-12-28,1428.0274090870116
2021-12-29,1421.1958278006684
2021-12-30,1425.01160964874
2021-12-31,1420.6622695795559
2022-01-03,1441.8830346758884
2022-01-04,1433.118553712098
2022-01-05,1453.640779076588
2022-01-06,1471.6231820869264
2022-01-07,1464.0724929999767
2022-01-10,1461.8784721363747
2022-01-11,1461.39950435613
2022-01-12,1479.7402949655036
2022-01-13,1481.9530840062077
2022-01-14,1484.2948579878469
2022-01-17,1486.8368907924555
2022-01-18,1475.64679108615
2022-01-19,1488.7811461328304
2022-01-20,1496.579513501354
2022-01-21,1491.6920852624419
2022-01-24,1451.8743384222566
2022-01-25,1450.384418273345
2022-01-26,1463.0542959932184
2022-01-27,1468.7392590206978
2022-01-28,1452.13490386788
2022-01-31,1470.2179848600294
2022-02-01,1489.5283451981152
2022-02-02,1478.9819444557295
2022-02-03,1475.9408095746687
2022-02-04,1446.561334069039
2022-02-07,1446.6996350682623
2022-02-08,1471.0998340778663
2022-02-09,1489.2986176428667
2022-02-10,1505.3082856868305
2022-02-11,1513.6549172845293
2022-02-14,1509.4600360262448
2022-02-15,1511.9981136012677
2022-02-16,1525.7608171280174
2022-02-17,1534.8486127489712
2022-02-18,1515.9522791342026
2022-02-21,1508.5720636318788
2022-02-22,1503.0893355217997
2022-02-23,1498.8209518368585
2022-02-24,1454.7494983298218
2022-02-25,1472.2880448513386
2022-02-28,1454.7574912821203
2022-03-01,1490.5364123789905
2022-03-02,1483.907014447712
2022-03-03,1510.9717257684156
2022-03-04,1472.209175049733
2022-03-07,1448.0002190074208
2022-03-08,1427.103384978068
2022-03-09,1453.2179049528395
2022-03-10,1476.256182337711
2022-03-11,1490.8336367325917
2022-03-14,1478.3006228677698
2022-03-15,1463.0927478735962
2022-03-16,1507.624478845155
2022-03-17,1509.4622326320266
2022-03-18,1513.477088891477
2022-03-21,1515.3624855637747
2022-03-22,1541.6744101410043
2022-03-23,1544.177833550426
2022-03-24,1566.9261015761942
2022-03-25,1575.5174106802883
2022-03-28,1569.477569716221
2022-03-29,1587.9921582549891
2022-03-30,1591.5924861374854
2022-03-31,1593.857908175476
2022-04-01,1605.1632393311857
2022-04-04,1615.087800809192
2022-04-05,1624.7484828291185
2022-04-06,1630.0352004768774
2022-04-07,1618.2493713377244
2022-04-08,1643.5607067887165
2022-04-11,1639.2694712591713
2022-04-12,1645.7990196864323
2022-04-13,1632.4501826784772
2022-04-14,1622.3848832643196
2022-04-15,1622.8717891600509
2022-04-18,1614.9073763563347
2022-04-19,1609.3767591226513
2022-04-20,1593.6401369168113
2022-04-21,1563.754161682968
2022-04-22,1545.4785389602432
2022-04-25,1527.1940829677014
2022-04-26,1543.9401622644084
2022-04-27,1552.5123389843181
2022-04-28,1554.9839881658772
2022-04-29,1569.6633836486765
2022-05-02,1556.1765480278627
2022-05-03,1561.034620844272
2022-05-04,1534.1042282189817
2022-05-05,1521.421711233697
2022-05-06,1493.374100467019
2022-05-09,1462.365262305949
2022-05-10,1472.8177796290565
2022-05-11,1489.6307204723505
2022-05-12,1499.8527968232152
2022-05-13,1512.4177407065117
2022-05-16,1517.5174147135472
2022-05-17,1517.8327326878893
2022-05-18,1507.662833227124
2022-05-19,1493.6490324186655
2022-05-20,1496.035082408602
2022-05-23,1499.2997207949495
2022-05-24,1469.5797513933112
2022-05-25,1453.4609993186184
2022-05-26,1467.7419962279957
2022-05-27,1509.9165393375597
2022-05-30,1516.2471177615284
2022-05-31,1524.7260492352962
2022-06-01,1526.4161216139116
2022-06-02,1516.7661119490265
2022-06-03,1515.2515192455705
2022-06-06,1523.69697283542
2022-06-07,1519.881383222878
2022-06-08,1515.589195607032
2022-06-09,1511.6920323979125
2022-06-10,1484.397085637243
2022-06-13,1447.55543843735
2022-06-14,1440.8190704249218
2022-06-15,1466.6457459742078
2022-06-16,1452.552507262631
2022-06-17,1443.6453131355727
2022-06-20,1431.7801317672065
2022-06-21,1454.7138055210382
2022-06-22,1435.2034907657908
2022-06-23,1437.24097982055
2022-06-24,1461.076350985676
2022-06-27,1452.736192663484
2022-06-28,1444.5911480511766
2022-06-29,1426.691729535939
2022-06-30,1399.7751256875904
2022-07-01,1386.60647474693
2022-07-04,1410.0130764143505
2022-07-05,1392.0056719913027
2022-07-06,1387.5891860369993
2022-07-07,1414.1412177152126
2022-07-08,1421.687385371604
2022-07-11,1413.5088401350868
2022-07-12,1420.2319787627073
2022-07-13,1400.5248084917457
2022-07-14,1383.5311475199253
2022-07-15,1404.3882969772387
2022-07-18,1407.729591731482
2022-07-19,1410.5190087509268
2022-07-20,1414.2373431082485
2022-07-21,1419.008178684421
2022-07-22,1433.623556018716
2022-07-25,1438.4067101333967
2022-07-26,1461.7164594050353
2022-07-27,1475.2145366255274
2022-07-28,1487.6062733971473
2022-07-29,1481.1992804483798
2022-08-01,1487.1096407420018
2022-08-02,1469.3558638291718
2022-08-03,1467.8063736675026
2022-08-04,1467.725484239088
2022-08-05,1473.0379801035085
2022-08-08,1494.5876320337509
2022-08-09,1490.0888966106215
2022-08-10,1516.6941898845278
2022-08-11,1531.8652991846384
2022-08-12,1555.6488275575607
2022-08-15,1546.3555562100812
2022-08-16,1557.0104239154612
2022-08-17,1542.481773860592
2022-08-18,1543.7033660171837
2022-08-19,1520.8673825852638
2022-08-22,1528.0755421332904
2022-08-23,1529.7527965126255
2022-08-24,1524.2884327078382
2022-08-25,1534.7269195489675
2022-08-26,1527.2707241170506
2022-08-29,1524.6402643391723
2022-08-30,1497.9309723695533
2022-08-31,1476.3710630446842
2022-09-01,1467.0581971022398
2022-09-02,1470.455000206394
2022-09-05,1496.5860672896165
2022-09-06,1498.8577194284683
2022-09-07,1473.6946848097707
2022-09-08,1476.1800526821771
2022-09-09,1482.476286110977
2022-09-12,1493.100971219231
2022-09-13,1466.7335787702436
2022-09-14,1463.4373446238108
2022-09-15,1458.0789614818004
2022-09-16,1436.7559663310035
2022-09-19,1426.3415887678357
2022-09-20,1430.0649200147504
2022-09-21,1439.730015746173
2022-09-22,1457.3253115628363
2022-09-23,1431.9024919075016
2022-09-26,1432.6398268309592
2022-09-27,1455.1093544726375
2022-09-28,1453.8448307433334
2022-09-29,1412.1661022617473
2022-09-30,1414.450435317989
2022-10-03,1426.4400290756344
2022-10-04,1440.549351532617
2022-10-05,1429.147678119781
2022-10-06,1433.1249092837763
2022-10-07,1425.354114765196
2022-10-10,1432.5451092487879
2022-10-11,1423.5814056243612
2022-10-12,1413.2381332338953
2022-10-13,1424.2239422612472
2022-10-14,1424.3538667004125
2022-10-17,1450.3929116055754
2022-10-18,1442.4088479646787
2022-10-19,1426.4306521494343
2022-10-20,1429.3131203245537
2022-10-21,1427.0068377619327
2022-10-24,1408.5993659665696
2022-10-25,1426.777455265478
2022-10-26,1434.9684905944457
2022-10-27,1448.741485547178
2022-10-28,1447.0107819838295
2022-10-31,1430.1009469139483
2022-11-01,1436.369912708008
2022-11-02,1440.1287833832873
2022-11-03,1425.386648148469
2022-11-04,1454.7441348499697
2022-11-07,1470.4855263129098
2022-11-08,1451.9820080149345
2022-11-09,1452.9330671552873
2022-11-10,1465.3426174445062
2022-11-11,1453.845979218151
2022-11-14,1451.5024131919342
2022-11-15,1437.4038993054914
2022-11-16,1433.6389461727388
