Date,BAHRAIN IMI
2005-08-08,866.3676811269388
2005-08-09,872.475131695663
2005-08-10,865.6040265881715
2005-08-11,860.3175206495466
2005-08-12,860.8711132628744
2005-08-15,843.0067980854403
2005-08-16,846.6972153655445
2005-08-17,843.669924017938
2005-08-18,857.3467708954889
2005-08-19,859.5354109002453
2005-08-22,852.216520128103
2005-08-23,853.2465539860394
2005-08-24,849.3607036422612
2005-08-25,846.9415617919559
2005-08-26,843.9882724794589
2005-08-29,863.6816410265029
2005-08-30,876.928504530315
2005-08-31,889.00789154829
2005-09-01,880.8811392977361
2005-09-02,875.1946382191853
2005-09-05,877.0483379896524
2005-09-06,879.3323160790819
2005-09-07,884.3185338136059
2005-09-08,893.7510414904116
2005-09-09,892.6004588244544
2005-09-12,907.592018885275
2005-09-13,908.1524515870245
2005-09-14,914.2612597726078
2005-09-15,913.2151875923872
2005-09-16,913.289940196455
2005-09-19,911.6002916474786
2005-09-20,900.6638500198429
2005-09-21,894.2254439910721
2005-09-22,888.4433653030075
2005-09-23,894.0748109443762
2005-09-26,907.1378599039979
2005-09-27,891.8131637332989
2005-09-28,907.0971800620796
2005-09-29,915.7027056113054
2005-09-30,912.2849125741463
2005-10-03,942.1412443950005
2005-10-04,943.4631948531278
2005-10-05,942.4890750193167
2005-10-06,933.0544726810436
2005-10-07,934.2637528657505
2005-10-10,935.6424149797181
2005-10-11,944.2407806791521
2005-10-12,942.9474521502365
2005-10-13,956.17820780083
2005-10-14,945.2468356960736
2005-10-17,965.4470525448462
2005-10-18,978.4403911486208
2005-10-19,976.0504996860678
2005-10-20,983.0195090186352
2005-10-21,980.1560673960929
2005-10-24,997.5351661400362
2005-10-25,994.5845556070907
2005-10-26,986.6036016635908
2005-10-27,975.5835931182556
2005-10-28,979.2116466441697
2005-10-31,976.5443952509437
2005-11-01,973.7106051366403
2005-11-02,962.3442216601518
2005-11-03,967.1940196951737
2005-11-04,982.8149271105104
2005-11-07,984.8346796965089
2005-11-08,998.4690817497492
2005-11-09,1005.9277978647797
2005-11-10,1012.4869164726149
2005-11-11,1016.2608263971649
2005-11-14,1032.247404919338
2005-11-15,1085.083759873346
2005-11-16,1141.836928034132
2005-11-17,1094.192660719266
2005-11-18,1096.0620369815465
2005-11-21,1043.441486886284
2005-11-22,1047.2311903606128
2005-11-23,1039.6234499707864
2005-11-24,1027.8431604145756
2005-11-25,1032.661517441876
2005-11-28,1024.9063677853042
2005-11-29,1019.1087942823186
2005-11-30,1003.1789551574419
2005-12-01,996.4743800758479
2005-12-02,998.3399093040708
2005-12-05,996.1199713228885
2005-12-06,996.1029175230623
2005-12-07,996.3246916418125
2005-12-08,990.4641031610483
2005-12-09,989.7945030575046
2005-12-12,975.1343952607841
2005-12-13,982.2759447075778
2005-12-14,967.5249751217166
2005-12-15,968.5388949258347
2005-12-16,963.9404427988285
2005-12-19,959.5721097645206
2005-12-20,972.0912136930867
2005-12-21,976.5135275403559
2005-12-22,975.1350306268579
2005-12-23,974.8885458063766
2005-12-26,956.7294420940278
2005-12-27,947.7960411571239
2005-12-28,946.7868845405379
2005-12-29,965.1355604957847
2005-12-30,969.1039445985401
2006-01-02,966.3152690661811
2006-01-03,943.3684639608779
2006-01-04,937.9518401861603
2006-01-05,958.0737482259129
2006-01-06,953.8144157100278
2006-01-09,958.5687854211455
2006-01-10,959.0453099426688
2006-01-11,956.7464866184273
2006-01-12,961.5149203267052
2006-01-13,958.5687854211455
2006-01-16,959.8324226724927
2006-01-17,971.6388308721426
2006-01-18,967.4814902498375
2006-01-19,975.9079396069321
2006-01-20,977.6428511913166
2006-01-23,961.3703440685019
2006-01-24,1005.7723573353823
2006-01-25,995.1693110963432
2006-01-26,1008.5125180946228
2006-01-27,1017.8609841503758
2006-01-30,1039.987545276293
2006-01-31,1034.891666255957
2006-02-01,1034.287290920654
2006-02-02,1033.2172024885488
2006-02-03,1040.7077151018984
2006-02-06,1035.0419193624073
2006-02-07,1036.349204072165
2006-02-08,1036.5226443807833
2006-02-09,1036.4359169704685
2006-02-10,1039.9163717141043
2006-02-13,1036.3573868604274
2006-02-14,1025.788860178858
2006-02-15,1009.9922241957402
2006-02-16,1019.0872020166003
2006-02-17,1015.8657890756033
2006-02-20,1013.4498753709206
2006-02-21,1019.8658823677947
2006-02-22,1032.6912977479121
2006-02-23,1022.1776837118588
2006-02-24,1026.7423226499488
2006-02-27,1038.418220759742
2006-02-28,1022.1443422275212
2006-03-01,1014.0971130735445
2006-03-02,1007.3359267498497
2006-03-03,1004.9877266125649
2006-03-06,975.3197647725871
2006-03-07,978.5468767629305
2006-03-08,974.5715308634217
2006-03-09,972.9834952895246
2006-03-10,976.2432956114217
2006-03-13,933.8356097195847
2006-03-14,893.9635717390829
2006-03-15,868.7131769217906
2006-03-16,871.0090529659669
2006-03-17,869.6896629771308
2006-03-20,888.1908640326993
2006-03-21,881.7269874844086
2006-03-22,881.9726897698125
2006-03-23,896.4186637830153
2006-03-24,894.1801354679122
2006-03-27,878.4805288840032
2006-03-28,863.4089239096331
2006-03-29,888.2473685210281
2006-03-30,892.816306814207
2006-03-31,895.7673998417299
2006-04-03,908.8233180250105
2006-04-04,908.4794714669541
2006-04-05,910.4134265453043
2006-04-06,938.9340082904318
2006-04-07,947.9119215409871
2006-04-10,950.4765319498133
2006-04-11,947.9655137092263
2006-04-12,945.8116297397511
2006-04-13,954.1212368577061
2006-04-14,954.1212368577061
2006-04-17,929.5502670078187
