Date,USA ESG SELECT
2018-07-17,283.90157828535393
2018-07-18,283.9556038725578
2018-07-19,283.51664364164725
2018-07-20,282.70563156783186
2018-07-23,282.9985807194619
2018-07-24,283.5966527816623
2018-07-25,286.63113744485184
2018-07-26,287.1778120401628
2018-07-27,284.5714942737567
2018-07-30,282.5947284288417
2018-07-31,285.04303351129715
2018-08-01,284.41784711796197
2018-08-02,286.72067346461586
2018-08-03,288.2451175697337
2018-08-06,289.10343712732555
2018-08-07,290.05984016270475
2018-08-08,289.10260371519405
2018-08-09,288.40359886159456
2018-08-10,286.04529543385587
2018-08-13,284.6347855201978
2018-08-14,286.1257862521798
2018-08-15,283.97729674232056
2018-08-16,286.3382419838867
2018-08-17,287.65923584494396
2018-08-20,288.6231379850968
2018-08-21,288.90254187337433
2018-08-22,288.50332057113485
2018-08-23,287.8863005140313
2018-08-24,289.8958780128425
2018-08-27,291.79016295137694
2018-08-28,291.8413416827284
2018-08-29,293.1053238306477
2018-08-30,291.2121184625529
2018-08-31,291.7802867750099
2018-09-03,291.7802867750099
2018-09-04,290.5636480027467
2018-09-05,290.20108765265144
2018-09-06,289.7354177046796
2018-09-07,288.78066999787853
2018-09-10,290.07810232064855
2018-09-11,290.639412036084
2018-09-12,290.781992180284
2018-09-13,292.82280028484524
2018-09-14,293.34942897999133
2018-09-17,291.7596519010924
2018-09-18,292.43309099216077
2018-09-19,293.0855638296211
2018-09-20,296.23955536223434
2018-09-21,296.33496023087577
2018-09-24,294.5961282691269
2018-09-25,294.09879948836726
2018-09-26,293.57084910790894
2018-09-27,293.8923783072759
2018-09-28,294.02821677972435
2018-10-01,295.40197634515886
2018-10-02,295.01490038055726
2018-10-03,295.19715515972865
2018-10-04,292.3765300739155
2018-10-05,290.874567585672
2018-10-08,290.20928100457974
2018-10-09,289.08157297793537
2018-10-10,278.9951605614594
2018-10-11,273.4703589093029
2018-10-12,277.20768993444074
2018-10-15,275.9774422221333
2018-10-16,281.358629507087
2018-10-17,280.26325842469504
2018-10-18,275.82865576146287
2018-10-19,275.5086629580995
2018-10-22,274.94895067319527
2018-10-23,273.0657733757996
2018-10-24,265.46770963042184
2018-10-25,270.6629635863528
2018-10-26,267.0739687676463
2018-10-29,265.9596554471776
2018-10-30,270.6771691395718
2018-10-31,272.45231808090756
2018-11-01,275.8667988098646
2018-11-02,273.9968378149737
2018-11-05,275.71768245678567
2018-11-06,277.2491481430207
2018-11-07,283.29477742810633
2018-11-08,283.1103851732632
2018-11-09,280.26219322287056
2018-11-12,275.1340300726965
2018-11-13,275.28908022354995
2018-11-14,273.38509375226863
2018-11-15,277.0035237243856
2018-11-16,277.7730558672471
2018-11-19,273.0987372088122
2018-11-20,268.8069036625896
2018-11-21,269.5629847025606
2018-11-22,269.5629847025606
2018-11-23,268.9559226762262
2018-11-26,273.088848818382
2018-11-27,273.60540044763644
2018-11-28,278.681940976399
2018-11-29,277.7531926135768
2018-11-30,280.7310817861285
2018-12-03,283.8384058005765
2018-12-04,275.07710904105164
2018-12-05,275.07710904105164
2018-12-06,274.33277307892155
2018-12-07,267.61596049729474
2018-12-10,268.18497127390503
2018-12-11,268.32700572741567
2018-12-12,269.62279883680173
2018-12-13,269.48109566975995
2018-12-14,264.8821630319007
2018-12-17,258.7021196045415
2018-12-18,258.8250922127677
2018-12-19,254.85608297377786
2018-12-20,250.94125071667997
2018-12-21,246.17222896918204
2018-12-24,238.90014035227122
2018-12-25,238.90014035227122
2018-12-26,250.4049821985401
2018-12-27,252.73246807179018
2018-12-28,252.20515321045494
2018-12-31,254.68096161070392
2019-01-01,254.68096161070392
2019-01-02,253.62570761522358
2019-01-03,247.04000257140962
2019-01-04,255.94242907857728
2019-01-07,258.05551850344074
2019-01-08,260.8768954131896
2019-01-09,262.05196179634544
2019-01-10,263.57329324671264
2019-01-11,263.4870106146921
2019-01-14,261.94754750050555
2019-01-15,264.5410894259445
2019-01-16,264.95145960893666
2019-01-17,267.3230577792064
2019-01-18,271.0936644137426
2019-01-21,271.0936644137426
2019-01-22,267.2895472570729
2019-01-23,267.91157687805554
2019-01-24,268.10388341938625
2019-01-25,270.9602028646377
2019-01-28,268.7536716303943
2019-01-29,268.57610052103905
2019-01-30,272.4127771188438
2019-01-31,274.7618778332362
2019-02-01,275.2692963916354
2019-02-04,277.76865787718924
2019-02-05,279.03447530877787
2019-02-06,278.76944062711146
2019-02-07,276.45238710383603
2019-02-08,276.7394422084091
2019-02-11,277.2947325443878
2019-02-12,281.0360730684408
2019-02-13,282.0439313112695
2019-02-14,281.28869373082426
2019-02-15,283.9060450575459
2019-02-18,283.9060450575459
2019-02-19,284.6218425745579
2019-02-20,285.23954907029
2019-02-21,284.72702062009904
2019-02-22,286.4533178650735
2019-02-25,286.8997860155107
2019-02-26,286.6206896572558
2019-02-27,287.3575118459989
2019-02-28,286.62177833773865
2019-03-01,288.43869687873655
2019-03-04,287.16451268952596
2019-03-05,286.4884875750671
2019-03-06,284.533568135862
2019-03-07,282.4164169375475
2019-03-08,282.0434728158047
2019-03-11,286.49543710619804
2019-03-12,287.3931655912224
2019-03-13,289.3458357896366
2019-03-14,289.7205393908473
2019-03-15,291.21665407672515
2019-03-18,292.4026815539378
2019-03-19,292.02215014472955
2019-03-20,291.09493307756316
2019-03-21,294.69649182450667
2019-03-22,288.8888724196775
2019-03-25,288.67920195186235
2019-03-26,290.9023739693884
2019-03-27,289.41335956301054
2019-03-28,290.9583246567093
2019-03-29,292.8287228005996
2019-04-01,296.3885697974418
2019-04-02,296.26779913610653
2019-04-03,297.51218381653814
2019-04-04,297.9453871155895
2019-04-05,299.2697622397254
2019-04-08,299.4056869388731
2019-04-09,297.51203658128253
2019-04-10,298.95128985766723
2019-04-11,299.15006936856355
2019-04-12,301.51452722591677
2019-04-15,300.8043532776592
2019-04-16,300.8518162782139
2019-04-17,299.42494999455033
2019-04-18,300.2797466723256
2019-04-19,300.2797466723256
2019-04-22,300.23538597971395
2019-04-23,302.6772245975148
2019-04-24,302.5107493803792
2019-04-25,300.81765027904737
2019-04-26,301.9987301033702
2019-04-29,301.9224373356588
2019-04-30,302.2888737263303
2019-05-01,299.7844233143375
2019-05-02,299.6319315433079
2019-05-03,302.6871943461718
2019-05-06,300.9775023299169
2019-05-07,295.7887097360988
2019-05-08,295.74913921570675
2019-05-09,294.92788298301565
2019-05-10,295.8697756391323
2019-05-13,288.2867079767521
2019-05-14,290.6564362553926
2019-05-15,291.7301881153653
2019-05-16,294.3765886042775
2019-05-17,292.3021521949783
2019-05-20,290.2919077388016
2019-05-21,292.877818693296
2019-05-22,292.5314668981856
2019-05-23,289.1617888770749
2019-05-24,288.9483300547274
2019-05-27,288.9483300547274
2019-05-28,286.3085251167143
2019-05-29,283.94917676563637
2019-05-30,284.24847356048025
2019-05-31,280.92946845002325
2019-06-03,280.85035424267556
2019-06-04,286.8919744605089
2019-06-05,289.5497583322699
2019-06-06,291.5498984107883
2019-06-07,294.783975880207
2019-06-10,296.1482878191621
2019-06-11,296.0091491217175
2019-06-12,295.694067091855
2019-06-13,297.0820306090589
2019-06-14,296.3109906149064
2019-06-17,295.7446266497838
2019-06-18,298.89346115506316
2019-06-19,300.15611528458203
2019-06-20,303.34227225083447
2019-06-21,302.901162464984
2019-06-24,302.4205875294844
2019-06-25,299.4610607394979
2019-06-26,298.95991527391817
2019-06-27,300.3077281422912
2019-06-28,302.56075699015554
2019-07-01,305.2559033768522
2019-07-02,305.455190622591
2019-07-03,308.53474117660767
2019-07-04,308.53474117660767
2019-07-05,307.6010140614122
2019-07-08,305.48830046518816
2019-07-09,305.0389134777693
2019-07-10,306.3084728621962
2019-07-11,307.1424454290219
2019-07-12,308.8245316613543
2019-07-15,308.88165477719815
2019-07-16,307.8126720088875
2019-07-17,305.67957837378606
2019-07-18,307.1574486581397
2019-07-19,305.4548469629415
2019-07-22,306.397444015118
2019-07-23,309.170906787453
2019-07-24,310.72302361806464
2019-07-25,309.2030159877163
2019-07-26,311.515461922352
2019-07-29,311.54981488303156
2019-07-30,311.26888392187414
2019-07-31,307.9275004202909
2019-08-01,305.09540718564335
2019-08-02,301.93683906100847
2019-08-05,292.68970075490955
2019-08-06,295.81834194953814
2019-08-07,296.09889071676616
2019-08-08,302.0367427393413
2019-08-09,299.739002802815
2019-08-12,296.20639813377977
2019-08-13,300.6722070596629
2019-08-14,291.76653521496996
2019-08-15,292.1400864011153
2019-08-16,296.7021026082423
2019-08-19,300.4795033573525
2019-08-20,297.77700382032805
2019-08-21,300.2049965103663
2019-08-22,300.0220042476733
2019-08-23,291.9227499260499
2019-08-26,295.35495432218306
2019-08-27,294.9860188038084
2019-08-28,296.75383516860853
2019-08-29,300.56922026086795
2019-08-30,300.917098424678
2019-09-02,300.917098424678
2019-09-03,298.44652764967356
2019-09-04,301.8580686545963
2019-09-05,306.03545123131715
2019-09-06,306.46505058877597
2019-09-09,306.64140120053145
2019-09-10,306.63029887841714
2019-09-11,309.32080181896555
2019-09-12,310.50744593073426
2019-09-13,310.36116041499236
2019-09-16,309.31362511904786
2019-09-17,309.54825932745047
2019-09-18,309.4906241199493
2019-09-19,309.4848094743122
2019-09-20,307.90760139213813
2019-09-23,308.07179840939153
2019-09-24,305.35066577772267
2019-09-25,307.9512401819752
2019-09-26,307.8850551076423
2019-09-27,306.8508101981578
2019-09-30,308.43899351748485
2019-10-01,304.12372233090076
2019-10-02,297.92538968140514
2019-10-03,300.4239855790038
2019-10-04,304.1831729089937
2019-10-07,302.5917474097489
2019-10-08,297.3991733845397
2019-10-09,300.4770962004312
2019-10-10,302.346130314343
