Date,AC ASIA PACIFIC ex JAPAN SMALL VALUE
2001-07-03,340.4339465082751
2001-07-04,340.05595789663033
2001-07-05,342.29147792550515
2001-07-06,336.7166164288962
2001-07-09,331.6237919370322
2001-07-10,329.8847715259794
2001-07-11,323.7590385404477
2001-07-12,329.49081417681685
2001-07-13,328.96032240374024
2001-07-16,327.3761600851155
2001-07-17,326.45972716424865
2001-07-18,318.97796674923126
2001-07-19,319.1781404438191
2001-07-20,317.6140690742675
2001-07-23,318.08123723531855
2001-07-24,315.2374551869755
2001-07-25,313.32966661859456
2001-07-26,316.9786921234724
2001-07-27,319.5478140788962
2001-07-30,319.3257899695368
2001-07-31,319.3947752802325
2001-08-01,321.60208395215955
2001-08-02,322.8521059236046
2001-08-03,321.87757195532726
2001-08-06,322.14129733568035
2001-08-07,323.32560479603393
2001-08-08,325.2992073678744
2001-08-09,318.9244671043461
2001-08-10,317.6839982417598
2001-08-13,318.6384042090228
2001-08-14,321.98209856112123
2001-08-15,319.0413515015144
2001-08-16,319.97884969411973
2001-08-17,319.8713614006617
2001-08-20,317.8418590086278
2001-08-21,320.2874694720404
2001-08-22,318.32471257208044
2001-08-23,320.25321403557615
2001-08-24,319.1431178461218
2001-08-27,321.9737213280184
2001-08-28,321.0535073393312
2001-08-29,320.5910685953253
2001-08-30,319.5115637114221
2001-08-31,316.7522495068823
2001-09-03,315.75192002751515
2001-09-04,321.7933566539511
2001-09-05,321.739990032603
2001-09-06,320.54023724278113
2001-09-07,313.8255767134526
2001-09-10,312.8948229060136
2001-09-11,309.78037610054264
2001-09-12,298.6044961577935
2001-09-13,294.94654464413617
2001-09-14,282.8684013651327
2001-09-17,268.57525516657034
2001-09-18,271.0698800071396
2001-09-19,273.6994697615459
2001-09-20,272.40362249966694
2001-09-21,269.5646933605299
2001-09-24,270.88606194966457
2001-09-25,268.8524426659989
2001-09-26,272.1204135663052
2001-09-27,273.7430420481762
2001-09-28,281.98239268422384
2001-10-01,279.65328069947157
2001-10-02,279.68721563023485
2001-10-03,279.1116448643515
2001-10-04,284.87968790023035
2001-10-05,284.7272263848621
2001-10-08,281.37615172900627
2001-10-09,285.45557175648605
2001-10-10,286.59902717068786
2001-10-11,292.4722205379809
2001-10-12,290.40490263786626
2001-10-15,291.1837355772981
2001-10-16,292.4441635394601
2001-10-17,295.9158970441636
2001-10-18,294.44022690431495
2001-10-19,295.5244194675547
2001-10-22,299.12401042291316
2001-10-23,302.340468322777
2001-10-24,301.5981529140595
2001-10-25,300.9331725924309
2001-10-26,302.32218442434737
2001-10-29,298.3955285089561
2001-10-30,295.92591133918353
2001-10-31,298.3150125497534
2001-11-01,297.91419500381744
2001-11-02,299.49162473506163
2001-11-05,303.12586243468513
2001-11-06,305.1426782549579
2001-11-07,303.53042888503063
2001-11-08,308.09231983770053
2001-11-09,308.1453930129121
2001-11-12,310.40933924415174
2001-11-13,314.2836066367204
2001-11-14,315.89946713366834
2001-11-15,319.0338058515672
2001-11-16,318.4239098381245
2001-11-19,324.3985007670205
2001-11-20,322.7604838590359
2001-11-21,325.6692070110802
2001-11-22,325.67486547145927
2001-11-23,329.7412737814008
2001-11-26,332.8060890592017
2001-11-27,331.2113557580264
2001-11-28,326.0019089305006
2001-11-29,326.3479333632534
2001-11-30,325.33623455221186
2001-12-03,328.8491211573992
2001-12-04,330.0187608493625
2001-12-05,335.4887233440226
2001-12-06,336.98620907212967
2001-12-07,340.0389195256968
2001-12-10,343.065771911648
2001-12-11,340.9560061568287
2001-12-12,341.72704230791095
2001-12-13,337.05093711822093
2001-12-14,335.3261188945496
2001-12-17,334.4706767538168
2001-12-18,332.11729371370853
2001-12-19,330.17863683248765
2001-12-20,331.0673538324234
2001-12-21,331.35401450302237
2001-12-24,336.4345672133923
2001-12-25,338.5046117023777
2001-12-26,338.76552369935354
2001-12-27,335.0958712963988
2001-12-28,340.1188405138573
2001-12-31,340.514238608186
2002-01-01,340.4218876382555
2002-01-02,338.58997656583443
2002-01-03,341.47828533329016
2002-01-04,347.4264638299581
2002-01-07,353.3963253470881
2002-01-08,352.5908435428525
2002-01-09,354.3461545481469
2002-01-10,354.6156909744835
2002-01-11,354.1425251122632
2002-01-14,350.6980104578592
2002-01-15,349.3315302411724
2002-01-16,351.4346937858552
2002-01-17,352.1123828702337
2002-01-18,351.9874887085299
2002-01-21,355.23536816113364
2002-01-22,354.9254825561516
2002-01-23,356.97501117855234
2002-01-24,360.0899843230902
2002-01-25,370.67694398290513
2002-01-28,375.7829855809006
2002-01-29,374.93426084312557
2002-01-30,371.37317385621003
2002-01-31,375.51485338878433
2002-02-01,375.0428480042429
2002-02-04,371.12600850752506
2002-02-05,369.49484688509415
2002-02-06,372.5698316869348
2002-02-07,370.02446218153557
2002-02-08,371.73949884576234
2002-02-11,371.25511913319315
2002-02-12,372.0011170770917
2002-02-13,373.9768139285307
2002-02-14,380.38838357299693
2002-02-15,381.1087493928929
2002-02-18,385.0197974653217
2002-02-19,382.2376142367557
2002-02-20,382.03756172241015
2002-02-21,382.7935846671185
2002-02-22,377.5996758499151
2002-02-25,377.44018221920953
2002-02-26,379.5243439449781
2002-02-27,385.08584534448335
2002-02-28,383.6897730109601
2002-03-01,385.7715190048337
2002-03-04,389.4366894315908
2002-03-05,390.47969732407967
2002-03-06,390.6288450894252
2002-03-07,391.0700432278546
2002-03-08,393.89981812445967
2002-03-11,397.66735928828246
2002-03-12,398.48074673744907
2002-03-13,399.7143625617527
2002-03-14,397.05396158925333
2002-03-15,397.3012028043055
2002-03-18,400.8578246540256
2002-03-19,401.10041978999925
2002-03-20,403.1312587289921
2002-03-21,405.1750273636656
2002-03-22,409.1517152159385
2002-03-25,410.52517428208904
2002-03-26,409.4389685604786
2002-03-27,414.38369687901303
2002-03-28,415.1464265898651
2002-03-29,413.59077991828593
2002-04-01,409.88738841359117
2002-04-02,410.5178043959752
2002-04-03,413.08913887758433
2002-04-04,413.86169969562076
2002-04-05,417.5415596900174
2002-04-08,421.5658725087994
2002-04-09,416.48965849832956
2002-04-10,413.5395965438698
2002-04-11,413.5282065763822
2002-04-12,416.6976465440543
2002-04-15,418.99216132818543
2002-04-16,421.1405444891166
2002-04-17,424.4071650098322
2002-04-18,424.1005154754712
2002-04-19,426.3249415216483
2002-04-22,427.3359830042149
2002-04-23,424.88384486795445
2002-04-24,424.2107188838379
2002-04-25,418.0533815011285
2002-04-26,417.7185461924246
2002-04-29,411.442344193258
2002-04-30,408.68599979735444
2002-05-01,407.1403473101639
2002-05-02,410.1850269480012
2002-05-03,408.75211898696267
2002-05-06,403.9722186340612
2002-05-07,404.9682678801799
2002-05-08,410.14972221802003
2002-05-09,410.41596728100416
2002-05-10,407.5975052488233
2002-05-13,407.2343770517513
2002-05-14,411.1642857588298
2002-05-15,412.29671050135374
2002-05-16,410.4623626133386
2002-05-17,408.1220714220107
2002-05-20,403.6344049356479
2002-05-21,398.7690057243927
2002-05-22,397.45547335020626
2002-05-23,398.9298563710874
2002-05-24,403.484978862108
2002-05-27,405.7482431181982
2002-05-28,400.9510645103235
2002-05-29,398.4679413992455
2002-05-30,397.35986101675314
2002-05-31,398.4799831476146
2002-06-03,396.77933091249434
2002-06-04,393.12770424313703
2002-06-05,397.0337104155294
2002-06-06,396.5036959749934
2002-06-07,393.24303264547916
2002-06-10,395.5997888807727
2002-06-11,396.13136855021264
2002-06-12,395.5307040035858
2002-06-13,398.02682996714714
2002-06-14,393.42883711893455
2002-06-17,393.5830550547146
2002-06-18,391.6471699292897
2002-06-19,382.4402325803165
2002-06-20,383.03473711753156
2002-06-21,382.44989416725656
2002-06-24,377.3885194435148
2002-06-25,373.52279780870026
2002-06-26,354.4603567623393
2002-06-27,357.65954279242646
2002-06-28,362.30530383359445
2002-07-01,359.6941813456545
2002-07-02,361.4214937532822
2002-07-03,364.62030012160346
2002-07-04,368.3058864013268
2002-07-05,374.41360783750076
2002-07-08,372.44199232117177
2002-07-09,374.2661795250959
2002-07-10,375.3460783069405
2002-07-11,367.28873964308843
2002-07-12,372.3437662467282
