Date,KOKUSAI MINIMUM VOLATILITY (JPY)
2000-02-16,1026.48063345
2000-02-17,1027.4724513
2000-02-18,1010.43704216
2000-02-21,1007.85238298
2000-02-22,1016.0156308
2000-02-23,1016.09375625
2000-02-24,1004.37494953
2000-02-25,994.24669454
2000-02-28,992.5046803
2000-02-29,999.99970098
2000-03-01,1009.92370913
2000-03-02,1014.92470965
2000-03-03,1019.75705992
2000-03-06,1014.58940911
2000-03-07,996.66704347
2000-03-08,993.43507212
2000-03-09,1007.26605944
2000-03-10,1001.46048655
2000-03-13,992.41855389
2000-03-14,988.54395947
2000-03-15,1006.90435182
2000-03-16,1045.86042374
2000-03-17,1039.80504282
2000-03-20,1039.48395439
2000-03-21,1053.35129794
2000-03-22,1053.37056557
2000-03-23,1065.8314048
2000-03-24,1073.16412528
2000-03-27,1069.04856536
2000-03-28,1061.74462861
2000-03-29,1060.93332675
2000-03-30,1052.64844875
2000-03-31,1055.60743783
2000-04-03,1063.3616584
2000-04-04,1069.29715423
2000-04-05,1063.02428697
2000-04-06,1066.80598255
2000-04-07,1067.83690059
2000-04-10,1064.98782625
2000-04-11,1068.15798775
2000-04-12,1063.59958385
2000-04-13,1057.38447225
2000-04-14,1021.5535243
2000-04-17,1022.13599219
2000-04-18,1033.38596255
2000-04-19,1032.44452312
2000-04-20,1038.32081232
2000-04-21,1038.32081232
2000-04-24,1042.60156052
2000-04-25,1058.68347961
2000-04-26,1056.92716191
2000-04-27,1043.04492106
2000-04-28,1036.86404991
2000-05-01,1039.69331004
2000-05-02,1039.13454098
2000-05-03,1019.19284919
2000-05-04,1019.18531941
2000-05-05,1026.25024352
2000-05-08,1030.20296131
2000-05-09,1026.74826879
2000-05-10,1026.80603671
2000-05-11,1035.17759164
2000-05-12,1041.10023428
2000-05-15,1052.02200324
2000-05-16,1054.82921917
2000-05-17,1037.50676464
2000-05-18,1038.85235799
2000-05-19,1031.71614306
2000-05-22,1032.82848747
2000-05-23,1029.16594961
2000-05-24,1033.01277789
2000-05-25,1031.62630834
2000-05-26,1033.49394763
2000-05-29,1036.56661842
2000-05-30,1049.19126761
2000-05-31,1046.22099546
2000-06-01,1055.71071291
2000-06-02,1069.37302652
2000-06-05,1061.96859915
2000-06-06,1069.87276185
2000-06-07,1069.97286264
2000-06-08,1064.12675267
2000-06-09,1058.93082806
2000-06-12,1061.37020575
2000-06-13,1070.90313046
2000-06-14,1074.64409837
2000-06-15,1073.48204546
2000-06-16,1076.09156867
2000-06-19,1075.14045506
2000-06-20,1070.22112749
2000-06-21,1067.26136943
2000-06-22,1058.38522666
2000-06-23,1056.82390142
2000-06-26,1057.68148145
2000-06-27,1057.73569183
2000-06-28,1061.37858716
2000-06-29,1056.53343434
2000-06-30,1061.01173089
2000-07-03,1072.46764832
2000-07-04,1071.15119306
2000-07-05,1069.62387776
2000-07-06,1070.42910623
2000-07-07,1080.33135223
2000-07-10,1081.43275221
2000-07-11,1086.72949277
2000-07-12,1087.6481876
2000-07-13,1078.44438637
2000-07-14,1075.50281051
2000-07-17,1076.10007022
2000-07-18,1072.10365604
