Date,EUROPE MINIMUM VOLATILITY (EUR)
1998-12-14,1112.71276623
1998-12-15,1117.20762959
1998-12-16,1123.43971857
1998-12-17,1134.75813644
1998-12-18,1138.39392841
1998-12-21,1151.12501976
1998-12-22,1146.76513133
1998-12-23,1159.67311281
1998-12-24,1156.05758521
1998-12-25,1156.05758521
1998-12-28,1166.13672331
1998-12-29,1174.89708838
1998-12-30,1168.43919321
1998-12-31,1169.4034942
1999-01-01,1169.40403104
1999-01-04,1201.92693712
1999-01-05,1210.05699824
1999-01-06,1222.03451904
1999-01-07,1199.55508669
1999-01-08,1188.10961678
1999-01-11,1174.26680591
1999-01-12,1161.18621847
1999-01-13,1141.14248763
1999-01-14,1142.66832154
1999-01-15,1148.39242265
1999-01-18,1164.47056945
1999-01-19,1156.9568468
1999-01-20,1158.33599142
1999-01-21,1150.04519916
1999-01-22,1128.27725513
1999-01-25,1129.75148172
1999-01-26,1132.05130972
1999-01-27,1131.36719829
1999-01-28,1133.59666879
1999-01-29,1127.71434256
1999-02-01,1131.18061434
1999-02-02,1132.37668126
1999-02-03,1120.34352104
1999-02-04,1115.42584176
1999-02-05,1114.12214264
1999-02-08,1107.29909759
1999-02-09,1097.93910531
1999-02-10,1092.04705223
1999-02-11,1102.60348396
1999-02-12,1108.44326595
1999-02-15,1104.96820552
1999-02-16,1106.01012672
1999-02-17,1104.38719077
1999-02-18,1102.0983648
1999-02-19,1095.66616511
1999-02-22,1101.56514187
1999-02-23,1106.78218702
1999-02-24,1108.69828361
1999-02-25,1108.61528199
1999-02-26,1099.00307073
1999-03-01,1085.64230379
1999-03-02,1088.27228007
1999-03-03,1081.0715825
1999-03-04,1072.55262956
1999-03-05,1090.50584882
1999-03-08,1089.11261107
1999-03-09,1089.50341361
1999-03-10,1092.90858645
1999-03-11,1097.41867215
1999-03-12,1112.42155854
1999-03-15,1103.32196765
1999-03-16,1102.49468001
1999-03-17,1107.69165309
1999-03-18,1101.59396353
1999-03-19,1106.14494984
1999-03-22,1101.22815558
1999-03-23,1085.38281956
1999-03-24,1081.81185623
1999-03-25,1090.28186877
1999-03-26,1074.35747444
1999-03-29,1086.83517272
1999-03-30,1088.5200942
1999-03-31,1096.8913245
1999-04-01,1095.37683808
1999-04-02,1093.36526567
1999-04-05,1087.93086396
1999-04-06,1097.31067752
1999-04-07,1107.1398697
1999-04-08,1112.59625447
1999-04-09,1109.08991369
1999-04-12,1111.67856568
1999-04-13,1116.85825975
1999-04-14,1118.30646281
1999-04-15,1108.64745911
1999-04-16,1100.70018376
1999-04-19,1110.31896783
1999-04-20,1092.2085722
1999-04-21,1095.9264027
1999-04-22,1099.4292184
1999-04-23,1101.1771643
1999-04-26,1101.82172125
1999-04-27,1120.49945285
1999-04-28,1117.6827421
1999-04-29,1107.95378006
1999-04-30,1111.18323039
1999-05-03,1117.42955628
1999-05-04,1124.66919644
1999-05-05,1120.99235895
1999-05-06,1129.38839132
1999-05-07,1129.19381049
1999-05-10,1131.51592667
1999-05-11,1128.88890828
1999-05-12,1117.79355974
1999-05-13,1122.08987328
1999-05-14,1113.33896339
1999-05-17,1091.57116625
1999-05-18,1099.5062354
1999-05-19,1110.67973541
1999-05-20,1119.57424548
1999-05-21,1110.8524541
1999-05-24,1106.66333579
1999-05-25,1098.94987984
1999-05-26,1086.75891213
1999-05-27,1077.00994752
1999-05-28,1078.59378826
1999-05-31,1078.53206153
1999-06-01,1082.2052366
1999-06-02,1078.40077318
1999-06-03,1084.52812174
1999-06-04,1084.95842485
1999-06-07,1090.80702456
1999-06-08,1100.46954182
1999-06-09,1103.66391369
1999-06-10,1096.13270217
1999-06-11,1102.17958806
1999-06-14,1093.61324484
1999-06-15,1092.83861521
1999-06-16,1087.16685964
1999-06-17,1087.1521714
1999-06-18,1097.79639201
1999-06-21,1101.42088036
1999-06-22,1097.609928
1999-06-23,1086.87355223
1999-06-24,1082.63133527
1999-06-25,1090.29583722
1999-06-28,1085.19301978
1999-06-29,1081.35151144
1999-06-30,1078.49766134
1999-07-01,1089.24475824
1999-07-02,1090.81889456
1999-07-05,1102.24460312
1999-07-06,1102.3873798
1999-07-07,1094.74892297
1999-07-08,1087.88737407
1999-07-09,1091.52256093
1999-07-12,1085.99010077
1999-07-13,1076.75876243
1999-07-14,1084.34542944
1999-07-15,1096.31863612
1999-07-16,1089.56087708
1999-07-19,1080.83226145
1999-07-20,1088.83816067
1999-07-21,1088.52188977
1999-07-22,1083.42715231
1999-07-23,1071.00969291
1999-07-26,1080.38412681
1999-07-27,1081.44585413
1999-07-28,1083.48083678
1999-07-29,1075.8484909
1999-07-30,1091.12845285
1999-08-02,1085.56521257
1999-08-03,1081.39871227
1999-08-04,1088.5454103
1999-08-05,1074.84769369
1999-08-06,1075.07275932
1999-08-09,1077.34401197
1999-08-10,1067.8980841
1999-08-11,1064.9316453
1999-08-12,1074.2152524
1999-08-13,1080.61696162
1999-08-16,1085.78303952
1999-08-17,1079.35530142
1999-08-18,1082.07279467
1999-08-19,1085.01229583
1999-08-20,1098.98774329
1999-08-23,1104.6485789
1999-08-24,1097.52004155
1999-08-25,1100.30817866
1999-08-26,1101.76806805
1999-08-27,1107.50116644
1999-08-30,1107.81788556
1999-08-31,1105.52142923
1999-09-01,1115.68922199
1999-09-02,1113.26535803
1999-09-03,1123.99528328
1999-09-06,1127.89925802
1999-09-07,1123.37976366
1999-09-08,1122.68580265
1999-09-09,1126.4720035
1999-09-10,1118.6214692
1999-09-13,1105.48386933
1999-09-14,1102.73781485
1999-09-15,1097.6189434
1999-09-16,1094.10505116
1999-09-17,1094.63722349
1999-09-20,1098.3905417
1999-09-21,1094.2215136
1999-09-22,1089.54508735
1999-09-23,1089.8119908
1999-09-24,1084.42997709
1999-09-27,1094.12021913
1999-09-28,1088.79723504
1999-09-29,1091.41178373
1999-09-30,1093.12531713
1999-10-01,1091.4968487
1999-10-04,1101.6174683
1999-10-05,1103.97587778
1999-10-06,1108.71624549
1999-10-07,1117.96475323
1999-10-08,1108.19350934
1999-10-11,1111.35015582
1999-10-12,1108.96473445
1999-10-13,1104.68492387
1999-10-14,1102.049877
1999-10-15,1095.51808032
1999-10-18,1084.16995363
1999-10-19,1095.6967745
1999-10-20,1096.12542508
1999-10-21,1092.92495009
1999-10-22,1095.8820687
1999-10-25,1087.95397051
1999-10-26,1086.2118199
1999-10-27,1077.34531971
1999-10-28,1085.94237386
1999-10-29,1097.75923618
1999-11-01,1099.20582612
1999-11-02,1098.96374482
1999-11-03,1102.73855612
1999-11-04,1104.51040825
1999-11-05,1100.81040816
1999-11-08,1094.83712119
1999-11-09,1098.97861156
1999-11-10,1103.20372199
1999-11-11,1107.49407987
1999-11-12,1101.93069221
1999-11-15,1104.44980638
1999-11-16,1109.10187562
1999-11-17,1112.85656709
1999-11-18,1109.00433275
1999-11-19,1101.40699388
1999-11-22,1095.54299999
1999-11-23,1097.61916894
1999-11-24,1087.51771657
1999-11-25,1105.60224892
1999-11-26,1096.67918951
1999-11-29,1090.35271756
1999-11-30,1080.93640729
1999-12-01,1085.80109057
1999-12-02,1085.39572879
1999-12-03,1095.80166952
1999-12-06,1109.7528423
1999-12-07,1110.54432761
1999-12-08,1103.68992496
1999-12-09,1102.40173042
1999-12-10,1102.56941826
1999-12-13,1102.21841276
1999-12-14,1096.83259452
1999-12-15,1089.46822194
1999-12-16,1104.56171283
1999-12-17,1102.43137631
1999-12-20,1105.00240687
1999-12-21,1106.18632815
1999-12-22,1113.13397204
1999-12-23,1138.70486232
1999-12-24,1145.93433241
1999-12-27,1144.64054554
1999-12-28,1141.54957782
1999-12-29,1139.79587766
1999-12-30,1149.41753539
1999-12-31,1149.41753539
2000-01-03,1158.23558152
2000-01-04,1136.95538916
2000-01-05,1123.53858381
2000-01-06,1127.60083757
2000-01-07,1141.98580293
2000-01-10,1153.14811388
2000-01-11,1153.11986856
2000-01-12,1147.8206697
2000-01-13,1148.23421957
2000-01-14,1148.27560776
2000-01-17,1144.96241252
2000-01-18,1126.8696354
2000-01-19,1123.42612272
2000-01-20,1119.94008168
2000-01-21,1113.13519908
2000-01-24,1113.14633209
2000-01-25,1102.09869035
2000-01-26,1104.19010987
2000-01-27,1096.97073738
2000-01-28,1081.56320787
2000-01-31,1062.11262527
2000-02-01,1062.62974818
2000-02-02,1068.3880692
2000-02-03,1093.09037294
2000-02-04,1080.53257483
2000-02-07,1066.11760113
2000-02-08,1093.02387026
2000-02-09,1092.2383809
2000-02-10,1084.75787039
2000-02-11,1085.20911745
2000-02-14,1079.77511483
2000-02-15,1071.76708591
2000-02-16,1085.93143388
2000-02-17,1095.45450672
2000-02-18,1087.46036496
2000-02-21,1080.66735609
2000-02-22,1096.54889855
2000-02-23,1108.24723454
2000-02-24,1096.45526383
2000-02-25,1089.41316494
2000-02-28,1069.14836211
2000-02-29,1076.23884577
2000-03-01,1097.18499745
2000-03-02,1104.38532138
2000-03-03,1101.71513641
2000-03-06,1107.80626763
2000-03-07,1098.2871042
2000-03-08,1092.0667321
2000-03-09,1110.06470478
2000-03-10,1105.47107048
2000-03-13,1086.51881186
2000-03-14,1083.67275309
2000-03-15,1080.62417767
2000-03-16,1111.63749159
2000-03-17,1105.26840087
2000-03-20,1113.50223321
2000-03-21,1124.22327663
2000-03-22,1120.93062832
2000-03-23,1127.1031337
2000-03-24,1148.72096017
2000-03-27,1143.22323119
2000-03-28,1142.9385976
2000-03-29,1124.97031712
2000-03-30,1111.87626529
2000-03-31,1120.64111178
2000-04-03,1111.02223246
2000-04-04,1119.62405539
2000-04-05,1105.85660715
2000-04-06,1110.83699761
2000-04-07,1116.48548833
2000-04-10,1115.96047616
2000-04-11,1109.75496747
2000-04-12,1105.91328525
2000-04-13,1107.83758176
2000-04-14,1086.70311038
2000-04-17,1072.58679502
2000-04-18,1074.98684694
2000-04-19,1072.26096884
2000-04-20,1080.21367768
2000-04-21,1080.21367768
2000-04-24,1080.550264
2000-04-25,1083.58767823
2000-04-26,1082.43027446
2000-04-27,1058.95631957
2000-04-28,1070.16420967
2000-05-01,1067.55628391
2000-05-02,1081.89917499
2000-05-03,1053.67580204
2000-05-04,1053.26884246
2000-05-05,1051.01744556
2000-05-08,1055.66484577
2000-05-09,1056.56816255
2000-05-10,1055.94508067
2000-05-11,1060.07158157
2000-05-12,1075.0009598
2000-05-15,1081.2300898
2000-05-16,1080.98236572
2000-05-17,1054.37030949
2000-05-18,1061.37284705
2000-05-19,1043.62616423
2000-05-22,1048.73470589
2000-05-23,1054.73672817
2000-05-24,1049.0999556
2000-05-25,1061.37155402
2000-05-26,1073.62324934
2000-05-29,1081.04120441
2000-05-30,1092.07277902
2000-05-31,1081.94223868
2000-06-01,1094.47313759
2000-06-02,1124.07141651
2000-06-05,1119.13164622
2000-06-06,1130.04273389
2000-06-07,1124.13351476
2000-06-08,1115.8171463
2000-06-09,1112.77837342
2000-06-12,1115.38618425
2000-06-13,1122.89200457
2000-06-14,1125.79311073
2000-06-15,1118.98275454
2000-06-16,1131.69819208
2000-06-19,1127.72851624
2000-06-20,1124.16481625
2000-06-21,1105.36845411
2000-06-22,1098.79205767
2000-06-23,1096.53258422
2000-06-26,1095.89463023
2000-06-27,1096.5541526
2000-06-28,1104.22783608
2000-06-29,1100.72498622
2000-06-30,1115.04333168
2000-07-03,1120.79862224
2000-07-04,1120.75347101
