Date,AC ASIA ex JAPAN IMI VALUE
2001-07-26,422.8278935646267
2001-07-27,427.17054838022153
2001-07-30,425.9703992980271
2001-07-31,428.48035928839937
2001-08-01,429.90315217171656
2001-08-02,431.09354078731576
2001-08-03,429.6893795005062
2001-08-06,429.1555168321485
2001-08-07,429.0197288056005
2001-08-08,429.73274463153837
2001-08-09,419.045904332851
2001-08-10,419.19357918251774
2001-08-13,419.9481203405155
2001-08-14,426.7156327699923
2001-08-15,421.94879002188463
2001-08-16,422.77362142949534
2001-08-17,420.03399219767687
2001-08-20,418.0222518888361
2001-08-21,420.3776134538876
2001-08-22,416.41731318555605
2001-08-23,419.6099702174325
2001-08-24,416.98504240401644
2001-08-27,422.2185220038084
2001-08-28,419.74790871857664
2001-08-29,420.38107732673467
2001-08-30,420.8557383569959
2001-08-31,419.29572486226647
2001-09-03,417.28403510161434
2001-09-04,427.41245636905927
2001-09-05,425.3959450470578
2001-09-06,419.9728630339368
2001-09-07,409.9638157288868
2001-09-10,410.0053077948201
2001-09-11,403.54821497035823
2001-09-12,385.1193054813901
2001-09-13,380.5583815104647
2001-09-14,364.7117497760941
2001-09-17,350.36171600756796
2001-09-18,350.82975283295355
2001-09-19,353.29367700626426
2001-09-20,349.19680995372147
2001-09-21,342.6260179308595
2001-09-24,347.26304157602556
2001-09-25,341.13127180531575
2001-09-26,344.9014553214423
2001-09-27,349.173815824795
2001-09-28,359.48877846251827
2001-10-01,356.39935972826083
2001-10-02,353.76868897629004
2001-10-03,352.8592064819128
2001-10-04,364.0686463927581
2001-10-05,362.53705063376293
2001-10-08,355.30400804409174
2001-10-09,363.772272522324
2001-10-10,365.19942336187665
2001-10-11,375.5849399532375
2001-10-12,370.1503095214263
2001-10-15,368.239399869307
2001-10-16,370.06509054273863
2001-10-17,373.7631770802173
2001-10-18,370.1196238706031
2001-10-19,372.59510132726234
2001-10-22,375.96638356202396
2001-10-23,381.6138358688366
2001-10-24,383.19018523873865
2001-10-25,381.1729771613841
2001-10-26,384.71679501175527
2001-10-29,375.6408023094236
2001-10-30,369.7381400947768
2001-10-31,373.43321432328815
2001-11-01,371.80471015669747
2001-11-02,374.0230356272561
2001-11-05,381.0670411486308
2001-11-06,380.78558515148404
2001-11-07,377.8924195649546
2001-11-08,386.4249761502228
2001-11-09,388.3558916575522
2001-11-12,391.40595465839385
2001-11-13,396.3413324608268
2001-11-14,401.5550101880052
2001-11-15,410.0292160458467
2001-11-16,408.39708663786206
2001-11-19,416.757420836216
2001-11-20,414.0849699139463
2001-11-21,421.38909787315583
2001-11-22,421.0505209066415
2001-11-23,428.14771837743126
2001-11-26,434.10506770820945
2001-11-27,429.88880740683055
2001-11-28,417.5167552266925
2001-11-29,418.5970530271415
2001-11-30,417.60957321317795
2001-12-03,425.15516018922824
2001-12-04,431.14199495550605
2001-12-05,443.28602062237695
2001-12-06,448.0089984853097
2001-12-07,455.3348786789848
2001-12-10,455.57312491238434
2001-12-11,451.1266403507915
2001-12-12,454.8631273981396
2001-12-13,447.48168368287423
2001-12-14,444.87628673401264
2001-12-17,442.709238253225
2001-12-18,439.19479754064645
2001-12-19,437.3339337400548
2001-12-20,441.71118074241247
2001-12-21,437.1042777916391
2001-12-24,443.08576461778597
2001-12-25,447.1268238837109
2001-12-26,447.4898780512134
2001-12-27,444.139185971995
2001-12-28,451.2672110781513
2001-12-31,451.9744640059031
2002-01-01,452.12950013691426
2002-01-02,449.448232873054
2002-01-03,453.24277067458416
2002-01-04,463.09496358766864
2002-01-07,472.364530220538
2002-01-08,469.255753801014
2002-01-09,471.3878906773841
2002-01-10,467.71838651784
2002-01-11,465.940281219511
2002-01-14,464.45511505546
