Date,ZHONG HUA IMI GROWTH
2020-02-07,2584.795300080123
2020-02-10,2587.9906182001005
2020-02-11,2622.234411279025
2020-02-12,2672.3497275112404
2020-02-13,2672.788230463079
2020-02-14,2671.575519715196
2020-02-17,2691.6235970526736
2020-02-18,2669.482477906296
2020-02-19,2695.523612538664
2020-02-20,2676.752319616079
2020-02-21,2623.1921490727973
2020-02-24,2561.2385391501507
2020-02-25,2577.0019045982917
2020-02-26,2570.69155150007
2020-02-27,2530.958500010028
2020-02-28,2491.4755960085304
2020-03-02,2499.793460087218
2020-03-03,2487.689408618537
2020-03-04,2520.995399440566
2020-03-05,2549.9062238864663
2020-03-06,2461.9916311546062
2020-03-09,2335.448965619499
2020-03-10,2404.1917503470877
2020-03-11,2378.0355406826943
2020-03-12,2292.3190690304014
2020-03-13,2328.7944756176566
2020-03-16,2159.0218734442074
2020-03-17,2237.123999612055
2020-03-18,2175.9424578954477
2020-03-19,2189.9576576541194
2020-03-20,2261.32983318815
2020-03-23,2169.351846426772
2020-03-24,2274.1812167689104
2020-03-25,2346.331297546853
2020-03-26,2329.7383577457094
2020-03-27,2293.804371923733
2020-03-30,2281.254497734193
2020-03-31,2334.1470697530926
2020-04-01,2300.5007168885695
2020-04-02,2337.4412119411627
2020-04-03,2335.040403340183
2020-04-06,2400.0670622895223
2020-04-07,2423.774171055944
2020-04-08,2404.3379022444306
2020-04-09,2415.58680392412
2020-04-10,2412.973634458097
2020-04-13,2432.547994556145
2020-04-14,2454.0296603710076
2020-04-15,2470.612587692284
2020-04-16,2515.0443157670243
2020-04-17,2519.2709537155993
2020-04-20,2530.5925773110753
2020-04-21,2479.476365765387
2020-04-22,2523.9033817812824
2020-04-23,2512.3393592075095
2020-04-24,2494.0867727222067
2020-04-27,2523.5574565431457
2020-04-28,2530.8399016675903
2020-04-29,2552.5136416005703
2020-04-30,2514.5080235951255
2020-05-01,2458.3445173820146
2020-05-04,2413.9037621545417
2020-05-05,2470.987333013399
2020-05-06,2510.754572620863
2020-05-07,2520.2708701287183
2020-05-08,2552.4986214111395
2020-05-11,2606.6856832854514
2020-05-12,2572.029422575441
2020-05-13,2583.5655516369234
2020-05-14,2586.0799433561806
2020-05-15,2590.788175917155
2020-05-18,2633.3599929821653
2020-05-19,2650.0535181713017
2020-05-20,2650.2264671434687
2020-05-21,2622.2569391711922
2020-05-22,2496.9900654644166
2020-05-25,2513.69239649863
2020-05-26,2544.7415802902674
2020-05-27,2519.1985671805373
2020-05-28,2467.572455156764
2020-05-29,2501.759862106932
2020-06-01,2563.313665391171
2020-06-02,2601.176308830348
2020-06-03,2640.6174480281707
2020-06-04,2619.7346114843
2020-06-05,2642.4066125988656
2020-06-08,2631.8074924468
2020-06-09,2635.6340862857937
2020-06-10,2677.3822282399037
2020-06-11,2615.3381534979553
2020-06-12,2661.0394338411447
2020-06-15,2625.842006295863
2020-06-16,2706.602845627204
2020-06-17,2736.154017870383
2020-06-18,2750.096294985217
2020-06-19,2770.9814909768606
2020-06-22,2770.719304697469
2020-06-23,2830.2495742046817
2020-06-24,2828.1480148614887
2020-06-25,2832.8858850859465
2020-06-26,2797.110017067408
2020-06-29,2774.3402085447065
2020-06-30,2805.018454491799
2020-07-01,2800.082527014188
2020-07-02,2904.8886317017145
2020-07-03,2928.67038128819
2020-07-06,2987.9168557847647
2020-07-07,2973.5588126649996
2020-07-08,3108.678934777202
2020-07-09,3189.3034044957135
2020-07-10,3137.335642980098
2020-07-13,3085.645665300658
2020-07-14,3019.750371469988
2020-07-15,3043.0976016171553
2020-07-16,2919.1210176430604
2020-07-17,2964.6869405459875
2020-07-20,2999.916814437282
2020-07-21,3097.095216380522
2020-07-22,2983.133861573491
2020-07-23,3019.3750533175144
2020-07-24,2921.902123340588
2020-07-27,2885.5987986014466
2020-07-28,2938.4755198807043
2020-07-29,2950.955723384458
2020-07-30,2934.5204540038367
2020-07-31,2930.1507749150737
2020-08-03,3002.1095288173437
