Date,NORTH AMERICA VALUE
2001-10-30,2849.2855363378358
2001-10-31,2843.3585585604083
2001-11-01,2896.7841574254035
2001-11-02,2900.9389083510723
2001-11-05,2935.209976219758
2001-11-06,2968.027800041703
2001-11-07,2960.392934676724
2001-11-08,2976.0339969050215
2001-11-09,2982.4214662458244
2001-11-12,2971.1752112647696
2001-11-13,3027.0669903578814
2001-11-14,3032.0581407491554
2001-11-15,3032.0037017210207
2001-11-16,3024.3230632877917
2001-11-19,3053.5460662278747
2001-11-20,3037.8248186472338
2001-11-21,3012.443470410474
2001-11-22,3013.399302290842
2001-11-23,3052.5803400068053
2001-11-26,3064.2784415447336
2001-11-27,3049.978897666886
2001-11-28,2993.6436139892157
2001-11-29,3016.0813440073075
2001-11-30,3011.5388966189553
2001-12-03,2975.8990475726923
2001-12-04,3033.027678294145
2001-12-05,3121.8483100999
2001-12-06,3119.7247197199204
2001-12-07,3088.048166581625
2001-12-10,3027.94182069609
2001-12-11,3027.1941840113986
2001-12-12,3029.9001396429226
2001-12-13,2965.352456240032
2001-12-14,2963.3839047384927
2001-12-17,2990.259178127471
2001-12-18,3011.402559284158
2001-12-19,3024.3096175490286
2001-12-20,2990.1585898983053
2001-12-21,2994.7481986436887
2001-12-24,2997.725102540882
2001-12-25,2997.725102540882
2001-12-26,3014.410053150042
2001-12-27,3047.7682076879532
2001-12-28,3068.3081292694824
2001-12-31,3036.8078795380666
2002-01-01,3036.8078795380666
2002-01-02,3064.5419827344404
2002-01-03,3115.5350602162985
2002-01-04,3152.0284786322713
2002-01-07,3140.6209050932002
2002-01-08,3118.4377426809583
2002-01-09,3103.6664823671745
2002-01-10,3095.4573240453037
2002-01-11,3056.699594176413
2002-01-14,3027.959429592814
2002-01-15,3052.8424083497916
2002-01-16,2992.0461044876643
2002-01-17,3020.8005824786233
2002-01-18,2992.180932203909
2002-01-21,2991.8492720580334
2002-01-22,2953.031666757251
2002-01-23,2990.3093808255003
2002-01-24,3015.0691436358175
2002-01-25,3022.2825121162996
2002-01-28,3026.3645264074576
2002-01-29,2931.6789133785974
2002-01-30,2958.1533419625594
2002-01-31,3003.321372950228
2002-02-01,2974.1691502996396
2002-02-04,2889.7376598951237
2002-02-05,2864.264743800135
2002-02-06,2841.1534379929203
2002-02-07,2837.9846344528473
2002-02-08,2892.2952444647676
2002-02-11,2944.6361931633282
2002-02-12,2921.170449398876
2002-02-13,2947.452710460064
2002-02-14,2942.4110296306258
2002-02-15,2901.559276446181
2002-02-18,2902.60749424357
2002-02-19,2841.524517485697
2002-02-20,2870.430278011274
2002-02-21,2824.854469639777
2002-02-22,2846.4990240171387
2002-02-25,2909.0521316718546
2002-02-26,2909.514407107199
2002-02-27,2910.8885408515544
2002-02-28,2902.197293773144
2002-03-01,2977.97902099929
2002-03-04,3068.090902237097
2002-03-05,3062.255796476824
2002-03-06,3114.1277337901893
2002-03-07,3103.1359677414007
2002-03-08,3125.660196582786
2002-03-11,3139.6426470110687
2002-03-12,3123.1783058549518
2002-03-13,3081.2375188569467
2002-03-14,3077.8552543916535
2002-03-15,3118.562517092802
2002-03-18,3122.9892739603742
2002-03-19,3132.164342219139
2002-03-20,3086.7107317096793
2002-03-21,3094.32369812679
2002-03-22,3074.9288856461976
2002-03-25,3027.612141263981
2002-03-26,3045.249778228239
2002-03-27,3068.554389827474
2002-03-28,3080.243464070875
2002-03-29,3080.243464070875
2002-04-01,3082.663406947144
2002-04-02,3058.578650555739
2002-04-03,3025.5081843397697
2002-04-04,3030.1347327041003
2002-04-05,3026.553189160529
2002-04-08,3035.1601524346165
2002-04-09,3011.882795989843
2002-04-10,3036.6055682449896
2002-04-11,2968.163971154289
2002-04-12,2981.4004416487387
2002-04-15,2965.7606101640145
2002-04-16,3049.686208149092
2002-04-17,3061.6250013688946
2002-04-18,3045.139155692582
2002-04-19,3050.083959042261
2002-04-22,2996.5624949178273
2002-04-23,2979.7549503486857
2002-04-24,2956.6916192890285
2002-04-25,2951.0831422981173
2002-04-26,2910.3723931660106
2002-04-29,2877.118183683434
2002-04-30,2918.842940135305
2002-05-01,2938.52777761362
2002-05-02,2935.5300193199305
2002-05-03,2908.7696480845984
2002-05-06,2846.865561005287
2002-05-07,2847.120188223981
