Date,AUSTRALIA SMALL CAP QUALITY
2012-02-08,3948.072559785707
2012-02-09,3958.88736120715
2012-02-10,3905.144543173998
2012-02-13,3946.0593064651844
2012-02-14,3874.0282766926675
2012-02-15,3869.3859667702955
2012-02-16,3830.0486903239535
2012-02-17,3860.0429375026356
2012-02-20,3949.811813623012
2012-02-21,3966.5958534360275
2012-02-22,3955.3620940699902
2012-02-23,3991.9985951453905
2012-02-24,4030.3653760273096
2012-02-27,4021.0593290765482
2012-02-28,4035.8393767187636
2012-02-29,4091.979497972882
2012-03-01,4054.0425642913256
2012-03-02,4052.0773007175894
2012-03-05,4008.747159901969
2012-03-06,3903.632561273641
2012-03-07,3832.1053897229776
2012-03-08,3881.5508651225555
2012-03-09,3930.6526182556554
2012-03-12,3877.845743486644
2012-03-13,3940.467783817332
2012-03-14,3946.5353358567586
2012-03-15,3963.266256296241
2012-03-16,3984.908594657254
2012-03-19,4022.315041229625
2012-03-20,3939.33582793702
2012-03-21,3890.384371184478
2012-03-22,3861.2307049161177
2012-03-23,3887.062918101881
2012-03-26,3922.119829400421
2012-03-27,3948.130580168563
2012-03-28,3941.9091482613057
2012-03-29,3895.0609748190936
2012-03-30,3934.9746077479526
2012-04-02,3976.4337301635783
2012-04-03,3978.603601197733
2012-04-04,3911.1554431874483
2012-04-05,3895.7317777935705
2012-04-06,3895.7317777935714
2012-04-09,3896.8654113677862
2012-04-10,3850.20840284766
2012-04-11,3804.745584110674
2012-04-12,3897.2891055709065
2012-04-13,3931.820643785817
2012-04-16,3900.5720521701846
2012-04-17,3895.987426360035
2012-04-18,3968.758019970459
2012-04-19,3977.4024471488624
2012-04-20,3990.414586092355
2012-04-23,3930.8046800932407
2012-04-24,3915.6913953740277
2012-04-25,3925.189506748825
2012-04-26,3937.3469241407674
2012-04-27,3971.8388000971963
2012-04-30,3990.7962226708173
2012-05-01,3969.2255154277245
2012-05-02,3947.7093654570854
2012-05-03,3887.0050942893085
2012-05-04,3809.754446186669
2012-05-07,3687.6271654295706
2012-05-08,3687.9264315484775
2012-05-09,3591.801241207404
2012-05-10,3657.1021376829144
2012-05-11,3633.1583341933406
2012-05-14,3604.020415566648
2012-05-15,3552.737279077945
2012-05-16,3448.3796662422064
2012-05-17,3469.079334341091
2012-05-18,3362.2543421190517
2012-05-21,3370.6903740434022
2012-05-22,3439.2087306699473
2012-05-23,3326.374220608637
2012-05-24,3338.796096229949
2012-05-25,3332.1059437111226
2012-05-28,3392.393544449867
2012-05-29,3440.68821899657
2012-05-30,3376.7294302143177
2012-05-31,3397.755209149932
2012-06-01,3329.8554995179015
2012-06-04,3253.1083563789402
2012-06-05,3338.800170207235
2012-06-06,3410.4248379118612
2012-06-07,3470.889928622372
2012-06-08,3402.992338812475
2012-06-11,3421.944754248119
2012-06-12,3434.3868012833327
2012-06-13,3452.650005290412
2012-06-14,3435.749550005044
2012-06-15,3496.239712523052
2012-06-18,3558.164897731947
2012-06-19,3557.4820850587234
2012-06-20,3561.6794767417277
2012-06-21,3507.5688879905197
2012-06-22,3432.360387743473
2012-06-25,3403.442476157054
2012-06-26,3397.0875202688735
2012-06-27,3438.1004985674563
2012-06-28,3436.394896180091
2012-06-29,3580.5839180885537
2012-07-02,3602.635241233667
2012-07-03,3595.104126139468
2012-07-04,3653.0906722413674
2012-07-05,3665.8900315591923
2012-07-06,3633.1806411923235
2012-07-09,3583.4085026585585
2012-07-10,3552.834312768229
2012-07-11,3537.287051567578
2012-07-12,3471.0236032971816
2012-07-13,3512.675481729183
2012-07-16,3551.704131194939
2012-07-17,3579.7114994855583
2012-07-18,3578.1659147763958
2012-07-19,3659.1944426314135
2012-07-20,3656.586569049368
2012-07-23,3525.7080234268983
2012-07-24,3510.9140604018157
2012-07-25,3485.446624460404
2012-07-26,3569.7631497719267
2012-07-27,3633.7060637204163
2012-07-30,3681.9982534909186
2012-07-31,3698.7742590805306
2012-08-01,3673.4589731738342
2012-08-02,3653.285607127458
2012-08-03,3630.7219454122396
2012-08-06,3699.4733573143167
2012-08-07,3698.336973615413
2012-08-08,3749.44656273308
2012-08-09,3754.5444314678875
2012-08-10,3737.082528285723
2012-08-13,3720.931356197213
2012-08-14,3729.053033023068
2012-08-15,3746.0750244466553
2012-08-16,3775.2166809062655
2012-08-17,3784.5245246300656
2012-08-20,3823.850192601613
2012-08-21,3863.529989591612
2012-08-22,3820.3296181028804
2012-08-23,3847.3150340920547
2012-08-24,3813.326975456342
2012-08-27,3817.7194585973148
2012-08-28,3800.7101534387393
2012-08-29,3785.9770500506256
2012-08-30,3695.77249797795
2012-08-31,3668.465106515714
2012-09-03,3647.8961536516167
2012-09-04,3640.2894490711747
2012-09-05,3573.5504219483355
2012-09-06,3681.182013730944
2012-09-07,3770.7621695529747
2012-09-10,3792.5822327987357
2012-09-11,3800.69669276894
2012-09-12,3827.870383659119
2012-09-13,3800.815716063718
2012-09-14,3931.6840254151807
2012-09-17,3894.232986845534
2012-09-18,3836.733876573687
2012-09-19,3863.9870237410273
2012-09-20,3814.587144819074
2012-09-21,3849.74333637057
2012-09-24,3813.4079199006346
2012-09-25,3816.5151550036785
2012-09-26,3764.5209153167993
2012-09-27,3810.196149803946
2012-09-28,3813.210452748053
2012-10-01,3805.96698953253
2012-10-02,3831.8715266602767
