Date,FM (FRONTIER MARKETS) SMALL CAP
2017-11-16,1472.7376509776395
2017-11-17,1468.496625293896
2017-11-20,1470.5478070418742
2017-11-21,1475.4025577455734
2017-11-22,1474.9397676196181
2017-11-23,1473.038729107182
2017-11-24,1466.4455177875304
2017-11-27,1465.284143627955
2017-11-28,1467.4969161380336
2017-11-29,1479.0468426313887
2017-11-30,1472.270286473761
2017-12-01,1478.3266161577367
2017-12-04,1479.193115923947
2017-12-05,1472.490649619534
2017-12-06,1476.8382300429507
2017-12-07,1479.3907827289554
2017-12-08,1484.693344320303
2017-12-11,1470.9012278126431
2017-12-12,1487.2840956345353
2017-12-13,1488.8616415032973
2017-12-14,1489.3973536709661
2017-12-15,1492.8638360717473
2017-12-18,1485.7934138373148
2017-12-19,1487.7835035985956
2017-12-20,1482.7068888037568
2017-12-21,1484.1086024594927
2017-12-22,1488.3076136659756
2017-12-25,1486.4594059509539
2017-12-26,1482.9011990371603
2017-12-27,1483.2254926723547
2017-12-28,1489.1394364938762
2017-12-29,1483.9512842895688
2018-01-01,1485.3009824606734
2018-01-02,1480.7670515195412
2018-01-03,1497.2735209037187
2018-01-04,1495.7990751871914
2018-01-05,1498.0001504242541
2018-01-08,1505.5114460035863
2018-01-09,1510.6041019539366
2018-01-10,1510.0405911399387
2018-01-11,1506.267863902732
2018-01-12,1498.1645959285252
2018-01-15,1483.744620838778
2018-01-16,1498.6549829835983
2018-01-17,1494.7900083810766
2018-01-18,1500.1608794998199
2018-01-19,1501.588599858609
2018-01-22,1504.239761894325
2018-01-23,1495.8560958333462
2018-01-24,1486.4250884385845
2018-01-25,1483.8923333855494
2018-01-26,1500.462574630313
2018-01-29,1503.8031523535067
2018-01-30,1492.5030845138647
2018-01-31,1479.28980365498
2018-02-01,1471.147138825385
2018-02-02,1471.6594871620425
2018-02-05,1447.6642753966516
2018-02-06,1444.8297935919913
2018-02-07,1454.838271724024
2018-02-08,1451.0622905283221
2018-02-09,1445.6109218636457
2018-02-12,1456.8919488309396
2018-02-13,1443.719950111327
2018-02-14,1447.092284313274
2018-02-15,1443.0057835931882
2018-02-16,1447.2844258216471
2018-02-19,1443.8131541584894
2018-02-20,1444.3037406290841
2018-02-21,1454.0126421783648
2018-02-22,1457.3769543987705
2018-02-23,1463.3177670768519
2018-02-26,1458.7179007557718
2018-02-27,1461.0239133429925
2018-02-28,1462.127432518245
2018-03-01,1469.2820452724266
2018-03-02,1454.7023229297256
2018-03-05,1446.8357459612832
2018-03-06,1444.4438524866707
2018-03-07,1441.5390931958461
2018-03-08,1452.5128942958177
2018-03-09,1454.645275050228
2018-03-12,1444.8003540682735
2018-03-13,1436.5400323089411
2018-03-14,1443.1718559240214
2018-03-15,1448.8942938603357
2018-03-16,1455.1007776835374
2018-03-19,1441.997173983711
2018-03-20,1444.3453163595361
2018-03-21,1440.4304287577547
2018-03-22,1437.5941218183207
2018-03-23,1429.5683603606813
2018-03-26,1422.5356631093728
2018-03-27,1417.3929981863894
2018-03-28,1419.8486495527309
2018-03-29,1433.3202686110646
2018-03-30,1435.596287810546
2018-04-02,1447.9648559871766
2018-04-03,1450.1746921819647
2018-04-04,1447.8792696895616
2018-04-05,1459.6280605595673
2018-04-06,1458.3212114527644
2018-04-09,1452.5562962424292
2018-04-10,1445.4514794669235
2018-04-11,1438.6437905317512
2018-04-12,1446.292765572236
2018-04-13,1442.8178017368616
2018-04-16,1436.5162416792286
2018-04-17,1440.496768819732
2018-04-18,1440.6287194094239
2018-04-19,1437.337307026057
2018-04-20,1447.1334865327412
2018-04-23,1443.015947935062
2018-04-24,1441.6735347781807
2018-04-25,1443.0892911936228
2018-04-26,1435.5060397499137
2018-04-27,1441.518348800386
2018-04-30,1436.7375179926419
2018-05-01,1447.569596593106
2018-05-02,1441.9544918067575
2018-05-03,1429.0714836016846
2018-05-04,1432.3014824395207
2018-05-07,1433.7157830347408
2018-05-08,1425.295994562025
2018-05-09,1424.5057507740592
2018-05-10,1424.7514901233153
2018-05-11,1412.9858384169572
2018-05-14,1404.5228619429893
2018-05-15,1415.6202777870528
2018-05-16,1417.445532966033
2018-05-17,1411.8385368130791
2018-05-18,1414.2662509039442
2018-05-21,1413.8226458464947
2018-05-22,1406.7106107505585
2018-05-23,1407.62807923475
2018-05-24,1406.2384841520263
2018-05-25,1408.3595889590963
2018-05-28,1401.8191074953713
2018-05-29,1404.7416241107574
2018-05-30,1397.8838885590412
2018-05-31,1390.5181184525836
2018-06-01,1391.1244621868257
2018-06-04,1385.017840553335
2018-06-05,1404.2685416382856
2018-06-06,1405.7925481718796
2018-06-07,1397.9027474824359
2018-06-08,1405.6731951954584
2018-06-11,1399.8144893733647
2018-06-12,1401.5926234497658
2018-06-13,1401.4969657908841
2018-06-14,1409.0117933311735
2018-06-15,1412.9561339924237
2018-06-18,1403.4981871747666
2018-06-19,1404.147193612178
2018-06-20,1405.8607141265286
2018-06-21,1401.871230731653
2018-06-22,1401.5216962446648
2018-06-25,1395.7694218520594
2018-06-26,1394.096380698939
2018-06-27,1396.2128091843963
2018-06-28,1391.5375321875028
2018-06-29,1381.2985315629344
2018-07-02,1378.1974978644735
2018-07-03,1364.4663434479917
2018-07-04,1370.713185076264
2018-07-05,1363.2605287514998
2018-07-06,1362.7924092285648
2018-07-09,1360.2711793489414
2018-07-10,1367.9573165843292
2018-07-11,1365.9088840297272
2018-07-12,1367.2487419592578
2018-07-13,1369.2795473223737
2018-07-16,1366.6441546635656
2018-07-17,1365.677513948531
2018-07-18,1371.2292296066348
2018-07-19,1371.080660756722
2018-07-20,1364.4863997555015
2018-07-23,1366.0427375863571
2018-07-24,1363.8533950234353
2018-07-25,1365.04817734326
2018-07-26,1369.1242677849534
2018-07-27,1374.3719770711368
2018-07-30,1367.9407786965705
2018-07-31,1369.542153174261
2018-08-01,1372.131818548207
2018-08-02,1379.1667089994296
2018-08-03,1381.820828986912
2018-08-06,1382.251885175948
2018-08-07,1378.0860403539339
2018-08-08,1378.456107278289
2018-08-09,1378.6997286811309
2018-08-10,1390.621135016656
2018-08-13,1388.6112742056318
2018-08-14,1392.6527491603117
2018-08-15,1393.33670190961
2018-08-16,1387.9060304110785
2018-08-17,1387.842400872718
2018-08-20,1395.1629489733848
2018-08-21,1389.1511017212054
2018-08-22,1380.6826464996454
2018-08-23,1379.777096374335
2018-08-24,1375.3804287178054
2018-08-27,1372.6136176547627
2018-08-28,1372.025225928825
2018-08-29,1369.1384543506913
2018-08-30,1366.3502491548093
2018-08-31,1375.0730768512685
2018-09-03,1367.781772704114
2018-09-04,1367.3802988600746
2018-09-05,1357.9020642606156
2018-09-06,1354.6601715504291
2018-09-07,1358.280843359196
2018-09-10,1353.0354678248818
