Date,FM ASIA INDEX SMALL CAP
2014-08-04,646.1117662455625
2014-08-05,649.3262914840313
2014-08-06,648.3638416981738
2014-08-07,648.4720968984266
2014-08-08,644.9260178895631
2014-08-11,643.1194432282505
2014-08-12,643.0292196617535
2014-08-13,643.3299403491584
2014-08-14,645.4888496285018
2014-08-15,647.5350131411087
2014-08-18,646.9451257821895
2014-08-19,649.4028352472894
2014-08-20,649.7341629759491
2014-08-21,651.7823862697209
2014-08-22,656.1072180177432
2014-08-25,660.5921537223827
2014-08-26,666.93115308774
2014-08-27,661.3250976038943
2014-08-28,660.4710599468718
2014-08-29,665.1266322192532
2014-09-01,663.0798729151059
2014-09-02,670.7471565592685
2014-09-03,675.4863740676739
2014-09-04,685.7205469724535
2014-09-05,687.1665341057175
2014-09-08,688.070012172454
2014-09-09,689.9085454292604
2014-09-10,692.003031301183
2014-09-11,693.3229794308531
2014-09-12,695.8754864667951
2014-09-15,698.3782664475699
2014-09-16,704.3609740810917
2014-09-17,707.1584307118359
2014-09-18,713.5118201275836
2014-09-19,718.7975350318612
2014-09-22,727.8227593259335
2014-09-23,733.6721798013778
2014-09-24,735.8712183267415
2014-09-25,740.2963353673368
2014-09-26,742.9825304153252
2014-09-29,740.4166264973134
2014-09-30,748.6970625314941
2014-10-01,761.1955372245583
2014-10-02,770.7071754596611
2014-10-03,782.2959412756062
2014-10-06,779.6569847261585
2014-10-07,776.2999964741475
2014-10-08,771.7700099081812
2014-10-09,769.8560193778142
2014-10-10,774.5173364039505
2014-10-13,778.6884014284676
2014-10-14,774.4489396132931
2014-10-15,769.7886087387485
2014-10-16,762.2651483454238
2014-10-17,761.4086169378008
2014-10-20,746.9626987419687
2014-10-21,756.6651512387274
2014-10-22,756.1084109940555
2014-10-23,754.1400154556304
2014-10-24,754.4971671392966
2014-10-27,750.4940675038822
2014-10-28,747.3203853237591
2014-10-29,745.7494524952842
2014-10-30,759.5047376374298
2014-10-31,770.8673399596644
2014-11-03,765.542194606418
2014-11-04,759.7448801333057
2014-11-05,763.0022185854571
2014-11-06,771.1590850205033
2014-11-07,775.2091749720586
2014-11-10,766.0187624148973
2014-11-11,768.2172305647468
2014-11-12,776.8540706532829
2014-11-13,775.5201187361696
2014-11-14,774.0253995732681
2014-11-17,772.0586432362944
2014-11-18,766.8022042746708
2014-11-19,769.5254032782093
2014-11-20,762.7178458905697
2014-11-21,768.8572120671729
2014-11-24,755.6586243336066
2014-11-25,756.8586098008334
2014-11-26,748.2633706340791
2014-11-27,751.0660457870845
2014-11-28,752.6866996801792
2014-12-01,763.2104899697957
2014-12-02,775.0642470160539
2014-12-03,788.3505771907259
2014-12-04,780.3262853382578
2014-12-05,789.9017620415771
2014-12-08,782.3539655414742
2014-12-09,771.7337505453756
2014-12-10,772.1923163912011
2014-12-11,773.369483976565
2014-12-12,768.4185613584374
2014-12-15,766.3614060064244
2014-12-16,753.943649802238
2014-12-17,754.1227605023506
2014-12-18,765.5870286897406
2014-12-19,765.0537974389867
2014-12-22,768.7456719436908
2014-12-23,770.1317513784836
2014-12-24,769.9586077112881
2014-12-25,768.5492276340325
2014-12-26,770.76975611924
2014-12-29,766.2596500985006
2014-12-30,777.0742701825429
2014-12-31,786.2446036489167
2015-01-01,795.0917257867821
2015-01-02,800.3214533327846
2015-01-05,803.2965624737054
2015-01-06,809.6558001507427
2015-01-07,817.103504257308
2015-01-08,822.4512946820777
2015-01-09,826.1668394244937
2015-01-12,825.9140143628919
2015-01-13,830.9553238225924
2015-01-14,829.9977942758217
2015-01-15,846.7662063715552
2015-01-16,852.1087270893017
2015-01-19,831.476110155577
2015-01-20,835.9763486489313
2015-01-21,829.4501862062147
2015-01-22,844.0116281048082
2015-01-23,856.1309587826122
2015-01-26,851.7630072536999
2015-01-27,842.5311774478599
2015-01-28,845.5618055051258
2015-01-29,847.4214022109918
2015-01-30,849.6288915873396
2015-02-02,831.247528317643
2015-02-03,826.0490568084591
2015-02-04,827.9843740298035
2015-02-05,829.6018430019276
2015-02-06,839.7207397718165
2015-02-09,840.8297433552909
2015-02-10,849.7023376042898
2015-02-11,856.4858477774745
2015-02-12,851.2026363893305
2015-02-13,849.5935170539177
2015-02-16,840.4440311227814
2015-02-17,845.8370228106182
2015-02-18,850.5341071717202
2015-02-19,849.1924961184144
2015-02-20,851.2199778298282
2015-02-23,853.4698623556377
2015-02-24,853.310212410753
2015-02-25,846.514539130616
2015-02-26,858.1256349981888
2015-02-27,857.2739569051728
2015-03-02,852.4016476435746
2015-03-03,852.6811117737684
2015-03-04,861.4705068309801
2015-03-05,861.9163182740472
2015-03-06,875.9263057124977
2015-03-09,867.3464073747172
2015-03-10,876.5320940230973
2015-03-11,878.5693484965398
2015-03-12,869.9747308442393
2015-03-13,879.7108340061066
2015-03-16,865.6704383926831
2015-03-17,863.7118823252332
2015-03-18,853.3030540590972
2015-03-19,855.3905198468523
2015-03-20,845.2374133304061
2015-03-23,835.3081579072233
2015-03-24,829.6657698875724
2015-03-25,820.6682148016101
2015-03-26,819.8463606010914
2015-03-27,816.6421355185364
2015-03-30,809.827137784128
2015-03-31,829.7940706197842
2015-04-01,828.280655697743
2015-04-02,825.1878507286655
2015-04-03,829.7586735285527
2015-04-06,810.580614095282
2015-04-07,816.9174272308608
2015-04-08,823.4341302602563
2015-04-09,831.500701957048
2015-04-10,839.6951843539412
2015-04-13,836.6919226478902
2015-04-14,826.7314580526216
2015-04-15,844.7305354979197
2015-04-16,847.4680667932187
2015-04-17,847.0936155175715
2015-04-20,842.1980859810409
2015-04-21,837.0964127756235
2015-04-22,839.2486436423071
2015-04-23,828.1569864333468
2015-04-24,826.7436788628697
2015-04-27,815.3045932441662
2015-04-28,806.7073266195298
2015-04-29,794.3249866360918
2015-04-30,788.4052222731173
2015-05-01,787.2109350128238
2015-05-04,780.2752700340167
2015-05-05,784.037280200453
2015-05-06,777.7283570646281
2015-05-07,788.2198402918012
2015-05-08,790.4911146300266
2015-05-11,813.8763729897473
2015-05-12,809.1036990684345
2015-05-13,801.5729730416115
2015-05-14,797.5062209020332
2015-05-15,791.3747359452127
2015-05-18,805.1047146383722
2015-05-19,826.7591600629445
2015-05-20,830.6287083637147
2015-05-21,836.578894377799
2015-05-22,843.5624097811503
2015-05-25,861.2258106524603
2015-05-26,869.1534211653454
2015-05-27,873.1571023577043
2015-05-28,862.5961147943547
2015-05-29,860.2888485820256
2015-06-01,877.116635148314
2015-06-02,856.077531560745
2015-06-03,845.4090123936336
2015-06-04,845.4037397990816
2015-06-05,859.8282596125234
2015-06-08,848.6586472144311
2015-06-09,845.8413631771537
2015-06-10,843.9320038292112
2015-06-11,845.4410340791238
2015-06-12,844.8781558007421
2015-06-15,844.4170331425718
2015-06-16,845.028933328028
2015-06-17,846.4661430426027
2015-06-18,834.8122502493245
2015-06-19,838.8796990598273
2015-06-22,832.8521479418864
2015-06-23,847.3999430583677
2015-06-24,846.2511267847916
2015-06-25,842.5789519223216
2015-06-26,844.2645246825126
2015-06-29,854.2144967276379
2015-06-30,858.0724815908317
2015-07-01,864.7400291898125
2015-07-02,867.6107059285309
2015-07-03,871.7878173263439
2015-07-06,874.2963363104441
2015-07-07,890.7635535626905
2015-07-08,878.2327413992177
2015-07-09,881.5650724770745
2015-07-10,872.3031186756042
2015-07-13,893.4486623206981
2015-07-14,900.092548483737
2015-07-15,904.580215963009
2015-07-16,910.4264807474182
2015-07-17,915.8641687460456
2015-07-20,913.5643135081433
2015-07-21,913.845801702821
2015-07-22,922.0415592881038
2015-07-23,918.7566646382405
2015-07-24,919.8693870299045
2015-07-27,903.0303469050375
2015-07-28,910.5083349057843
2015-07-29,908.8747077959721
2015-07-30,920.9301925856481
2015-07-31,909.5553264305258
2015-08-03,920.3377810295955
2015-08-04,921.7140519647262
2015-08-05,935.7756861479521
2015-08-06,931.1320009612139
2015-08-07,930.9223276807402
2015-08-10,921.8537621026663
2015-08-11,914.810457245089
2015-08-12,900.1913132629078
2015-08-13,899.063902535694
2015-08-14,900.3759888633
2015-08-17,897.5255366545754
2015-08-18,905.8860740202823
2015-08-19,900.8280781637137
2015-08-20,887.6478909354918
2015-08-21,871.9588447421729
2015-08-24,826.1544570444648
2015-08-25,842.4523906477546
2015-08-26,845.2863127940454
2015-08-27,864.4934131464881
2015-08-28,871.2910963078616
2015-08-31,863.5979788847246
2015-09-01,852.8694617445668
2015-09-02,858.0528193766614
2015-09-03,867.4410700950083
2015-09-04,859.1012335206183
2015-09-07,851.7519236775086
2015-09-08,852.9516791758647
2015-09-09,852.9765800131354
2015-09-10,849.2420367358834
2015-09-11,842.6172781974265
2015-09-14,836.9867630201189
2015-09-15,839.2931751984464
2015-09-16,838.9549489586694
2015-09-17,840.9833948205269
2015-09-18,836.0760282750605
2015-09-21,855.159814112396
2015-09-22,862.5263916088578
2015-09-23,862.5446306448772
2015-09-24,850.8444591374915
2015-09-25,859.0030427360408
2015-09-28,855.6627618917917
2015-09-29,850.208499669286
2015-09-30,855.164820654747
2015-10-01,856.0655965364887
2015-10-02,852.046348288098
2015-10-05,857.9562648742125
2015-10-06,859.9287089378629
2015-10-07,860.473068613293
2015-10-08,862.5518853555095
2015-10-09,859.7018591956913
2015-10-12,858.3932044842801
2015-10-13,857.2619204872096
2015-10-14,844.0610565721453
2015-10-15,846.8729726871816
2015-10-16,847.5307906035191
2015-10-19,848.7455247629537
2015-10-20,843.7375049811427
2015-10-21,841.2988430699533
2015-10-22,858.3478288244276
2015-10-23,869.0068978768348
2015-10-26,865.067322100485
2015-10-27,858.6829390533177
2015-10-28,858.1854456404053
2015-10-29,865.5593652076473
2015-10-30,858.1446776082377
2015-11-02,853.7993669062079
2015-11-03,864.3735503947196
2015-11-04,864.3734018580678
2015-11-05,862.9696641981251
2015-11-06,872.0184712095236
2015-11-09,862.7861148124467
2015-11-10,865.1907444079739
2015-11-11,859.7185106191056
2015-11-12,867.1884737221349
2015-11-13,869.5843698131454
2015-11-16,873.1032146766142
2015-11-17,879.5202365822414
2015-11-18,879.6532837926236
2015-11-19,876.3426015484276
2015-11-20,881.5542609197717
2015-11-23,890.0649998571299
2015-11-24,883.8951503231666
2015-11-25,885.3049057872655
2015-11-26,886.0719271259969
2015-11-27,885.5323617255427
2015-11-30,878.2538993630286
2015-12-01,873.7445281932186
2015-12-02,882.22403439404
2015-12-03,862.5726853992297
2015-12-04,862.321710878
2015-12-07,863.8543908231138
2015-12-08,864.8052718295546
2015-12-09,857.1209017788672
2015-12-10,858.434314990799
2015-12-11,851.9915540431059
2015-12-14,841.6732479980346
2015-12-15,847.8155962308584
2015-12-16,846.5893313276695
2015-12-17,860.2765591016088
2015-12-18,855.4551764855962
2015-12-21,855.5042357181102
2015-12-22,852.9308163070549
2015-12-23,858.5276318629128
2015-12-24,853.6264636645111
2015-12-25,853.1196863593245
2015-12-28,851.1055932302481
2015-12-29,856.1240768157732
2015-12-30,856.7690410118054
2015-12-31,864.334188407605
2016-01-01,868.0249067107861
2016-01-04,868.8534473176605
2016-01-05,876.7875593104977
2016-01-06,880.0368080622341
2016-01-07,869.2916727843665
2016-01-08,861.0486938338258
2016-01-11,861.7202036370854
2016-01-12,861.0246798558359
2016-01-13,859.2254438549538
2016-01-14,851.512548261725
2016-01-15,837.7353072668099
2016-01-18,833.3870137609522
2016-01-19,836.1118973536089
2016-01-20,830.8333915338249
2016-01-21,834.0604550759522
2016-01-22,837.5798289921804
2016-01-25,842.1956581622604
2016-01-26,839.3057711589978
2016-01-27,838.8291756238553
2016-01-28,830.9962986964985
2016-01-29,843.0066453055975
2016-02-01,840.1792907334462
2016-02-02,843.5787044090133
2016-02-03,832.6289964711304
2016-02-04,827.8691794658519
2016-02-05,830.5433043676569
2016-02-08,830.2810780168317
2016-02-09,815.1145966390724
2016-02-10,821.1470341320613
2016-02-11,807.7741602989664
2016-02-12,812.7622289529692
2016-02-15,820.2641131016785
2016-02-16,816.8402265682828
2016-02-17,815.3100922162369
2016-02-18,816.4877190879761
2016-02-19,816.712449963127
2016-02-22,816.5379595482807
2016-02-23,819.6902984746913
2016-02-24,824.2419186011881
2016-02-25,821.6848278120173
2016-02-26,832.3429737401068
2016-02-29,831.4732321501591
2016-03-01,832.5361345196819
2016-03-02,838.1488283159387
2016-03-03,831.6943683788114
2016-03-04,828.2909529192484
2016-03-07,833.437454416819
2016-03-08,824.9514832811874
2016-03-09,826.0564083850235
2016-03-10,821.0279827059386
2016-03-11,820.1907608414865
2016-03-14,824.2373241490914
2016-03-15,821.6574252720271
2016-03-16,823.9302448459099
2016-03-17,807.9454800566044
2016-03-18,810.130590095451
2016-03-21,811.4566523978516
2016-03-22,809.5123301909937
2016-03-23,811.7623601896981
2016-03-24,809.8032812572894
2016-03-25,809.7426182258152
2016-03-28,800.0532758896335
2016-03-29,801.1307780794777
2016-03-30,793.2468986476658
2016-03-31,794.2368107479721
2016-04-01,799.8267633913797
