Date,DENMARK SMALL CAP
2010-05-17,274.8778237867725
2010-05-18,278.4160750916581
2010-05-19,270.22100634609325
2010-05-20,260.9764898109993
2010-05-21,266.41746954855796
2010-05-24,262.63530840254083
2010-05-25,250.88755864690367
2010-05-26,259.6341310918879
2010-05-27,267.55238961955513
2010-05-28,266.3744927431816
2010-05-31,267.1545015278037
2010-06-01,266.0832932821484
2010-06-02,263.7690631061701
2010-06-03,269.96685804128515
2010-06-04,263.4314387303575
2010-06-07,259.24720994556304
2010-06-08,258.0937499531937
2010-06-09,264.99726363084426
2010-06-10,271.2183669729593
2010-06-11,271.0804350182193
2010-06-14,281.53302197938035
2010-06-15,281.9064772283196
2010-06-16,281.28930875724507
2010-06-17,280.3337871777783
2010-06-18,282.56785200351993
2010-06-21,284.3792393826869
2010-06-22,281.9260697598654
2010-06-23,279.6899421072055
2010-06-24,275.56048571122466
2010-06-25,271.9293236550563
2010-06-28,272.976817726845
2010-06-29,259.3750246668873
2010-06-30,261.2855086398689
2010-07-01,258.4600456483766
2010-07-02,266.2421534145771
2010-07-05,264.6771977866585
2010-07-06,275.85333624459923
2010-07-07,277.0280218487646
2010-07-08,280.1348410744449
2010-07-09,278.8442437462239
2010-07-12,278.143097085257
2010-07-13,283.2935302134948
2010-07-14,284.80091018821815
2010-07-15,288.3950644308808
2010-07-16,285.2260136771536
2010-07-19,281.5570819436079
2010-07-20,276.96285768943716
2010-07-21,278.976844976908
2010-07-22,285.49252129412037
2010-07-23,283.50284920478504
2010-07-26,286.86372085426586
2010-07-27,290.6062750793333
2010-07-28,290.43449366460186
2010-07-29,294.7257923592968
2010-07-30,291.8892273822548
2010-08-02,302.2208559783861
2010-08-03,305.2070507818086
2010-08-04,303.32104612284667
2010-08-05,305.7546380513843
2010-08-06,305.59388930632207
2010-08-09,307.98999486833003
2010-08-10,300.50326280973997
2010-08-11,290.66178079337357
2010-08-12,286.7222927969059
2010-08-13,283.91202892285816
2010-08-16,285.79144736820035
2010-08-17,288.72882260744933
2010-08-18,284.08936519701274
2010-08-19,281.7161270933217
2010-08-20,271.81245522344705
2010-08-23,272.13705113178474
2010-08-24,262.82305477043724
2010-08-25,257.9187190028957
2010-08-26,265.673046347695
2010-08-27,265.0095566684191
2010-08-30,262.8461263296619
2010-08-31,265.0416241048343
2010-09-01,274.93181817287297
2010-09-02,276.52362842762363
2010-09-03,284.8267257672546
2010-09-06,289.91688407865024
2010-09-07,282.5246032876767
2010-09-08,282.4037691131245
2010-09-09,284.36269733389605
2010-09-10,285.87086360647265
2010-09-13,293.30512476404647
2010-09-14,295.37157479183713
2010-09-15,295.8052517564874
2010-09-16,294.32942290962416
2010-09-17,294.4045518485972
2010-09-20,296.97714206825196
2010-09-21,300.69342769288795
2010-09-22,309.23301816682886
2010-09-23,306.2390819952509
2010-09-24,312.5848397699582
2010-09-27,311.18280095409614
2010-09-28,310.90774658087565
2010-09-29,312.1187934213179
2010-09-30,314.1651859518952
2010-10-01,313.9014652938866
2010-10-04,308.9700379762099
2010-10-05,314.4946053002816
2010-10-06,318.49261186205706
2010-10-07,319.8232521459136
2010-10-08,316.64128055518205
2010-10-11,318.7472455262818
2010-10-12,317.18840101801504
2010-10-13,326.6364966865493
2010-10-14,329.59168079422255
2010-10-15,326.8218752697503
2010-10-18,325.5696940561879
2010-10-19,322.5754748774784
2010-10-20,328.45876639102966
2010-10-21,334.31020493838514
2010-10-22,331.55417460051603
2010-10-25,335.29043599846057
2010-10-26,330.46472926381983
2010-10-27,325.71314769080004
2010-10-28,327.0800841062607
2010-10-29,326.3672703587779
2010-11-01,327.5425739552864
2010-11-02,329.1747369001254
2010-11-03,326.4914165741513
2010-11-04,337.31536720757265
2010-11-05,335.37349680255244
2010-11-08,331.6040534084718
2010-11-09,335.23771623922636
2010-11-10,328.8602624917281
2010-11-11,328.0869125856316
2010-11-12,327.80280469928863
2010-11-15,329.55301811528903
2010-11-16,321.886533636799
2010-11-17,318.95175808663737
2010-11-18,329.27755116700206
2010-11-19,331.71830095050893
2010-11-22,332.06224401846094
2010-11-23,324.7777374571209
2010-11-24,325.1250442649946
2010-11-25,324.18523385781685
2010-11-26,319.8191844683368
2010-11-29,313.21963608778304
2010-11-30,311.0223190083237
2010-12-01,320.4103973018084
2010-12-02,330.58000600717804
2010-12-03,333.7503170707646
2010-12-06,332.47776492771936
2010-12-07,339.3125586765259
2010-12-08,334.7129647173378
2010-12-09,331.16564857388323
2010-12-10,334.187386850305
2010-12-13,342.4591866004741
2010-12-14,344.35863298556353
2010-12-15,341.27299446862486
2010-12-16,336.44985393326124
2010-12-17,340.6360072163683
2010-12-20,339.23343721354377
2010-12-21,339.3676571184107
2010-12-22,337.12410171680403
2010-12-23,337.7905239034179
2010-12-24,339.1313990192076
2010-12-27,339.00525984360837
2010-12-28,340.18312384348616
2010-12-29,342.12451483151153
2010-12-30,348.03167284753476
2010-12-31,351.6561869701897
2011-01-03,353.81202651725164
2011-01-04,353.17989726084517
2011-01-05,345.0032818639217
2011-01-06,342.95395091528343
2011-01-07,338.09330224716086
2011-01-10,349.40441206837653
2011-01-11,352.4273327248095
2011-01-12,356.9894985727018
2011-01-13,359.69107084122186
2011-01-14,363.4919875941047
2011-01-17,360.8196447995259
2011-01-18,365.9511438163842
2011-01-19,368.5764789030604
2011-01-20,363.4042683539033
2011-01-21,368.87605073613986
2011-01-24,369.2886173438964
2011-01-25,366.0483570747336
2011-01-26,368.5748150732138
2011-01-27,372.65394298240597
2011-01-28,369.5969767950992
2011-01-31,368.2676208538873
2011-02-01,373.52519686452445
2011-02-02,370.0234211117871
2011-02-03,365.1624792861403
2011-02-04,364.85484973568816
2011-02-07,364.7498550821288
2011-02-08,369.6258421267686
2011-02-09,370.44673677442034
2011-02-10,364.0793732480425
2011-02-11,362.4970475018771
2011-02-14,361.7311528755419
2011-02-15,360.4273592343641
2011-02-16,360.49425057795884
2011-02-17,361.8068174075597
2011-02-18,362.7626807419282
2011-02-21,359.4018341506717
2011-02-22,360.7538552361523
2011-02-23,361.55647264695347
2011-02-24,359.9572233661226
2011-02-25,364.2056844506806
2011-02-28,365.6379145731939
2011-03-01,364.23812577729274
2011-03-02,364.10663127742527
2011-03-03,366.85135866224255
2011-03-04,368.69075320615696
2011-03-07,368.9308170274421
2011-03-08,367.3520503950277
2011-03-09,368.1367039526124
2011-03-10,357.74697484241864
2011-03-11,354.4777282897248
2011-03-14,354.9669698595573
2011-03-15,349.5355132906727
2011-03-16,347.96379781760385
2011-03-17,351.59022788991115
2011-03-18,361.52755484264446
2011-03-21,368.105821284845
2011-03-22,367.11525823041
2011-03-23,362.23792992248156
2011-03-24,364.01979366365237
2011-03-25,366.4318313460285
2011-03-28,364.81626811625694
2011-03-29,364.8202625958335
2011-03-30,365.6875549080778
2011-03-31,367.58485726091266
2011-04-01,368.38379926016194
2011-04-04,370.6445446951854
2011-04-05,369.30967173791856
2011-04-06,374.0699053207579
2011-04-07,371.87718551795297
2011-04-08,378.3547056286561
2011-04-11,379.22863921388534
2011-04-12,377.0967558993025
2011-04-13,379.89895320622077
2011-04-14,378.51088540147373
2011-04-15,376.8426870748285
2011-04-18,367.4613372240434
2011-04-19,370.9806440031358
2011-04-20,381.94060691231977
2011-04-21,383.5338762155853
2011-04-22,383.5338762155853
2011-04-25,383.25680776398224
2011-04-26,386.36822191322426
2011-04-27,385.75405841259965
2011-04-28,390.41949593126503
2011-04-29,393.8002376705201
2011-05-02,400.07993562186505
2011-05-03,396.92449561798867
2011-05-04,393.9320549020396
2011-05-05,385.1086544771671
2011-05-06,384.3527690115888
2011-05-09,377.41016365323543
2011-05-10,382.11013023494394
2011-05-11,379.72257515929766
2011-05-12,377.3038122039489
2011-05-13,378.8957142190475
2011-05-16,383.95785934940864
2011-05-17,379.2868492910446
2011-05-18,379.24086434645494
2011-05-19,381.6801119948419
2011-05-20,379.08670400641665
2011-05-23,370.2752731745406
2011-05-24,370.7147254242482
2011-05-25,369.53210661875545
2011-05-26,368.3127646872269
2011-05-27,375.66891192318565
2011-05-30,377.89422759612233
2011-05-31,381.62714361000604
2011-06-01,382.6479363401047
2011-06-02,383.0036741903172
2011-06-03,386.3711670760686
2011-06-06,382.9266081068271
2011-06-07,384.8893828031552
2011-06-08,375.3566519543125
2011-06-09,375.4379729478673
2011-06-10,367.64309884642563
2011-06-13,368.071793771262
2011-06-14,371.36992592123477
2011-06-15,360.8291208561412
2011-06-16,350.8983074026161
2011-06-17,355.70076712807736
2011-06-20,348.9033097248064
2011-06-21,355.7888932794442
2011-06-22,356.68015717179827
2011-06-23,343.9734945527868
2011-06-24,343.4256379910558
2011-06-27,344.6476854873516
2011-06-28,349.67496568151546
2011-06-29,358.0365720511102
2011-06-30,366.6618493446603
2011-07-01,371.12983185950515
2011-07-04,374.70254703698004
2011-07-05,371.77875115425877
2011-07-06,366.4894249197961
2011-07-07,370.5659109286591
2011-07-08,364.6439468164092
2011-07-11,350.5168431314732
2011-07-12,347.0428430603721
2011-07-13,355.9555520844674
2011-07-14,352.2824473429465
2011-07-15,350.52933954014355
2011-07-18,342.2725380877701
2011-07-19,351.1261843044892
2011-07-20,356.1717346426507
2011-07-21,367.073899923113
2011-07-22,368.37424647957494
2011-07-25,364.88073236953267
2011-07-26,368.07011685148973
2011-07-27,359.4246415200782
2011-07-28,354.8615210580735
2011-07-29,353.72332605546234
2011-08-01,348.53207488676054
2011-08-02,335.51546271016343
2011-08-03,332.95561603038016
2011-08-04,317.83642669106735
2011-08-05,314.4408788689339
2011-08-08,296.6517345813168
2011-08-09,298.8707033663562
2011-08-10,293.13785848278695
2011-08-11,296.733234907544
2011-08-12,304.4547522963112
2011-08-15,316.48086326744254
2011-08-16,305.18962931795926
2011-08-17,307.3471867681134
2011-08-18,286.6801377872133
2011-08-19,282.6149869182259
2011-08-22,279.65256434530073
2011-08-23,278.53330897869955
2011-08-24,279.3060475782273
2011-08-25,278.6897823294139
2011-08-26,277.1285157781895
2011-08-29,290.04377001731075
