Date,MALAYSIA IMI VALUE WEIGHTED
2014-05-02,8488.568697851195
2014-05-05,8460.066003184775
2014-05-06,8438.536164944497
2014-05-07,8442.153475764055
2014-05-08,8531.62553725002
2014-05-09,8634.547661982786
2014-05-12,8613.595311822299
2014-05-13,8644.388451593888
2014-05-14,8755.696595366804
2014-05-15,8729.16018326154
2014-05-16,8724.827579665203
2014-05-19,8794.879903275427
2014-05-20,8770.608154954905
2014-05-21,8796.522098789423
2014-05-22,8813.439229681895
2014-05-23,8809.18946014619
2014-05-26,8771.152911337398
2014-05-27,8793.30345829428
2014-05-28,8805.798962575167
2014-05-29,8839.007533720369
2014-05-30,8776.022175725291
2014-06-02,8734.261282383159
2014-06-03,8759.400411015586
2014-06-04,8707.986595579077
2014-06-05,8756.41254560623
2014-06-06,8750.669539246497
2014-06-09,8813.599737866443
2014-06-10,8864.39631316026
2014-06-11,8870.52775263836
2014-06-12,8850.369086406552
2014-06-13,8843.726763464654
2014-06-16,8781.141254528993
2014-06-17,8821.384166334328
2014-06-18,8786.767153311675
2014-06-19,8820.918619234686
2014-06-20,8839.91603326703
2014-06-23,8832.818336877212
2014-06-24,8880.131494687692
2014-06-25,8810.715059058246
2014-06-26,8868.154246916238
2014-06-27,8821.73312193597
2014-06-30,8799.208859098833
2014-07-01,8805.739796459568
2014-07-02,8865.315331041116
2014-07-03,8925.491141106275
2014-07-04,8955.815165743817
2014-07-07,8992.95404880911
2014-07-08,9035.429733906854
2014-07-09,9014.059253331365
2014-07-10,9042.142585633484
2014-07-11,8985.376936158274
2014-07-14,8988.415627515318
2014-07-15,9026.503537798095
2014-07-16,9059.168727463462
2014-07-17,9087.09596782677
2014-07-18,9011.551220914433
2014-07-21,9025.411305638343
2014-07-22,9063.612064289659
2014-07-23,9102.798842965381
2014-07-24,9095.935686414017
2014-07-25,9126.182706602225
2014-07-28,9121.768837961805
2014-07-29,9141.153702019807
2014-07-30,9154.240215547266
2014-07-31,9083.45635359116
2014-08-01,8971.310038077572
2014-08-04,9076.778010732352
2014-08-05,9153.217311534398
2014-08-06,9102.945721729664
2014-08-07,9065.186039507897
2014-08-08,8922.623912201427
2014-08-11,9014.675141974709
2014-08-12,9042.55773682556
2014-08-13,9074.052273130479
2014-08-14,9117.502765452557
2014-08-15,9206.590868166837
2014-08-18,9202.73520429272
2014-08-19,9275.339572892717
2014-08-20,9281.58363729771
2014-08-21,9253.507594011011
2014-08-22,9314.676771028951
