Date,HUNGARY IMI
2014-10-20,439.89742116678525
2014-10-21,444.74253570264625
2014-10-22,439.9726657226928
2014-10-23,437.7750537793312
2014-10-24,437.5197051205052
2014-10-27,432.6063087703757
2014-10-28,431.0450051116801
2014-10-29,426.2879440597684
2014-10-30,434.8195010864048
2014-10-31,438.7164294646488
2014-11-03,437.32328274377426
2014-11-04,432.1030480138903
2014-11-05,432.27737677327076
2014-11-06,430.3580514683595
2014-11-07,429.7538924375149
2014-11-10,447.0788283735939
2014-11-11,440.2287824385875
2014-11-12,443.36202471878596
2014-11-13,445.56348607796355
2014-11-14,442.7163090507035
2014-11-17,440.2400593519843
2014-11-18,444.290274100448
2014-11-19,448.01623856816025
2014-11-20,446.4252588275646
2014-11-21,446.1656408216947
2014-11-24,441.7122766488213
2014-11-25,446.91774125692393
2014-11-26,444.1451428919979
2014-11-27,442.57757223549856
2014-11-28,440.9611565371791
2014-12-01,433.92409906426155
2014-12-02,434.81823982748693
2014-12-03,438.0399095699042
2014-12-04,441.5587310398978
2014-12-05,450.65255372064564
2014-12-08,451.4772629976302
2014-12-09,448.1107443603582
2014-12-10,448.5158412955262
2014-12-11,443.23928354924374
2014-12-12,438.331625564103
2014-12-15,428.99385718983257
2014-12-16,399.3828546885748
2014-12-17,401.9672050354953
2014-12-18,399.5043544170667
2014-12-19,400.8854422191129
2014-12-22,408.7630651446073
2014-12-23,406.0347804379715
2014-12-24,404.5873990615926
2014-12-25,404.5873990615925
2014-12-26,404.3131513820255
2014-12-29,406.8472189680684
2014-12-30,409.95864436811746
2014-12-31,408.91996833565025
2015-01-01,408.9199683356502
2015-01-02,406.0522216854695
2015-01-05,400.51839937104404
2015-01-06,392.67173325038476
2015-01-07,392.1519769107446
2015-01-08,401.854996780508
2015-01-09,395.6474867021944
2015-01-12,390.91872455697495
2015-01-13,391.0528615823061
2015-01-14,387.99155741842543
2015-01-15,376.9519578779844
2015-01-16,381.53136531887907
2015-01-19,382.396627109494
2015-01-20,396.95408792796053
2015-01-21,404.8366399935371
2015-01-22,417.3237975253395
2015-01-23,420.15294836498424
2015-01-26,422.80315412948715
2015-01-27,423.09537523610845
2015-01-28,419.7108993338961
2015-01-29,415.2796475214304
2015-01-30,411.3695108827029
2015-02-02,415.0759567405926
2015-02-03,432.9202721930608
2015-02-04,437.4005278596175
2015-02-05,434.7395257195743
2015-02-06,440.28048751139966
2015-02-09,447.6344935350539
2015-02-10,454.38174929573864
2015-02-11,448.81805859440163
2015-02-12,464.7335295489843
2015-02-13,463.7370188158069
2015-02-16,456.6329302854643
2015-02-17,455.4328605320969
2015-02-18,461.7572548191198
2015-02-19,463.57351757482456
2015-02-20,461.0108209321173
2015-02-23,466.49821445585854
2015-02-24,474.41026263056386
2015-02-25,477.1378519743964
2015-02-26,477.1601154394968
2015-02-27,469.1652630525514
2015-03-02,461.0220350393104
2015-03-03,451.55045774491225
2015-03-04,452.594630235871
2015-03-05,456.15956990268063
2015-03-06,467.30129175324515
2015-03-09,472.04921987444396
2015-03-10,469.68745402465566
2015-03-11,485.9049675675274
2015-03-12,488.5567423517234
2015-03-13,481.8134633659926
2015-03-16,485.52772111374037
2015-03-17,483.1743577744873
2015-03-18,480.5641891450972
2015-03-19,494.32667590263
2015-03-20,503.447082289729
2015-03-23,508.1103206090632
2015-03-24,518.4069334547838
2015-03-25,539.1514836966884
2015-03-26,538.2525740046053
2015-03-27,531.6227858991072
2015-03-30,536.3169369820667
2015-03-31,525.2569121110981
2015-04-01,525.8206551842525
2015-04-02,532.5251112014265
2015-04-03,532.5251112014266
2015-04-06,534.3436602213667
2015-04-07,546.958650132167
2015-04-08,556.3348447372584
2015-04-09,555.7451863066171
2015-04-10,568.5497176361561
2015-04-13,600.9124065391491
2015-04-14,593.8223127852557
2015-04-15,590.9611947013486
2015-04-16,580.5125158017458
2015-04-17,565.7969569112354
2015-04-20,576.7314137791192
2015-04-21,588.2222687584389
