Date,AC ASIA PACIFIC EQUAL WEIGHTED
2021-11-29,6775.245397
2021-11-30,6745.522585
2021-12-01,6765.345721
2021-12-02,6763.958938
2021-12-03,6786.113296
2021-12-06,6737.665489
2021-12-07,6823.07005047844
2021-12-08,6898.340134783716
2021-12-09,6932.163723521415
2021-12-10,6893.896277388926
2021-12-13,6880.843822018856
2021-12-14,6830.107526989886
2021-12-15,6794.584637637886
2021-12-16,6851.836432588907
2021-12-17,6794.714948820378
2021-12-20,6663.331069970452
2021-12-21,6738.441776339384
2021-12-22,6757.386541687476
2021-12-23,6803.292160285812
2021-12-24,6791.859683481753
2021-12-27,6788.244273227555
2021-12-28,6833.106735199055
2021-12-29,6803.035926736543
2021-12-30,6813.361251591471
2021-12-31,6855.6602781732445
2022-01-03,6847.248830971904
2022-01-04,6847.156228725125
2022-01-05,6804.073280373001
2022-01-06,6732.512274176939
2022-01-07,6747.074614522844
2022-01-10,6787.132256010218
2022-01-11,6770.326920904434
2022-01-12,6860.460898699317
2022-01-13,6820.081303481202
2022-01-14,6776.597907129547
2022-01-17,6772.379607324669
2022-01-18,6762.231861840596
2022-01-19,6717.787650203894
2022-01-20,6756.086480066761
2022-01-21,6704.2106375492785
2022-01-24,6661.335890307892
2022-01-25,6533.242215037706
2022-01-26,6534.196460886062
2022-01-27,6366.842522626368
2022-01-28,6371.769878874091
2022-01-31,6411.747894345329
2022-02-01,6431.157304905959
2022-02-02,6463.123860952206
2022-02-03,6457.425948101261
2022-02-04,6492.721808956283
2022-02-07,6522.391733047741
2022-02-08,6537.499745099811
2022-02-09,6628.080269669695
2022-02-10,6662.08572827421
2022-02-11,6603.380555131756
2022-02-14,6523.322373448678
2022-02-15,6562.700692645083
2022-02-16,6625.777766717972
2022-02-17,6634.7231316980715
2022-02-18,6640.739733342935
2022-02-21,6632.62047149375
2022-02-22,6549.353088843044
2022-02-23,6590.968420592133
2022-02-24,6421.110681072939
2022-02-25,6483.538071647218
2022-02-28,6513.16557226981
2022-03-01,6542.9868773515445
2022-03-02,6467.075731638626
2022-03-03,6475.744225055481
2022-03-04,6387.8275668685665
2022-03-07,6210.8338944258185
2022-03-08,6075.844193072956
2022-03-09,6064.075987498649
2022-03-10,6180.007533784158
2022-03-11,6116.550671549786
2022-03-14,5974.055871964174
2022-03-15,5815.161603232774
2022-03-16,6032.014146417373
2022-03-17,6211.765077381657
2022-03-18,6241.2550297230855
2022-03-21,6216.2467602375345
2022-03-22,6240.414002623871
2022-03-23,6287.035926279447
2022-03-24,6267.409796812398
2022-03-25,6203.141025823348
2022-03-28,6169.808718463076
2022-03-29,6200.2743807719835
2022-03-30,6296.268997789162
2022-03-31,6247.407377221146
2022-04-01,6255.466750158332
2022-04-04,6311.627554913896
2022-04-05,6307.192177605103
2022-04-06,6252.662594993099
2022-04-07,6146.40506277106
2022-04-08,6161.577466175016
2022-04-11,6039.322305419281
2022-04-12,6041.543702113022
2022-04-13,6048.180837052018
2022-04-14,6093.69005314984
2022-04-15,6071.092148015348
2022-04-18,6039.585341156416
2022-04-19,5990.607795852706
2022-04-20,5968.9623637891755
2022-04-21,5902.185232968803
2022-04-22,5854.970274565951
2022-04-25,5649.780675446259
2022-04-26,5635.876584450675
2022-04-27,5662.258884922531
2022-04-28,5676.074070067258
2022-04-29,5785.316123165035
2022-05-02,5762.036153564026
2022-05-03,5766.815713490178
2022-05-04,5749.9451722495205
2022-05-05,5745.4605141920665
2022-05-06,5631.625389311401
2022-05-09,5545.423205472649
2022-05-10,5554.372656476119
2022-05-11,5577.613840321642
2022-05-12,5503.119789020712
2022-05-13,5572.6532309221375
2022-05-16,5579.572214099282
2022-05-17,5658.680535739037
2022-05-18,5686.845150999924
2022-05-19,5665.92408232652
2022-05-20,5752.410015636099
2022-05-23,5774.496279144862
2022-05-24,5672.979604403595
2022-05-25,5685.976854820375
2022-05-26,5696.396653527951
2022-05-27,5753.139381231901
2022-05-30,5842.156047308766
2022-05-31,5892.793704372841
2022-06-01,5874.327239239414
2022-06-02,5868.895346610339
2022-06-03,5873.332607833802
2022-06-06,5930.610388370069
2022-06-07,5898.294723924702
2022-06-08,5934.583387272883
2022-06-09,5879.77054843967
2022-06-10,5860.659989867302
2022-06-13,5733.484325121341
2022-06-14,5732.024728280305
2022-06-15,5732.305309077409
2022-06-16,5716.85564774817
2022-06-17,5695.108466222544
2022-06-20,5705.702574239668
2022-06-21,5754.621642940855
2022-06-22,5656.89004912146
2022-06-23,5717.881318355148
2022-06-24,5797.398375026615
2022-06-27,5873.660184806782
2022-06-28,5911.936172278304
2022-06-29,5826.172827376094
2022-06-30,5825.874475886846
2022-07-01,5798.179417277211
2022-07-04,5837.949107278549
2022-07-05,5832.443209692724
2022-07-06,5767.771180430204
2022-07-07,5821.280072575824
2022-07-08,5829.04626576801
2022-07-11,5746.029367646626
2022-07-12,5678.497556287822
2022-07-13,5695.280384299931
2022-07-14,5672.013635676817
2022-07-15,5622.134175878334
2022-07-18,5705.4355148291
2022-07-19,5709.004601185622
2022-07-20,5763.742202654969
2022-07-21,5751.581070568921
2022-07-22,5754.047776860438
2022-07-25,5727.276939746872
2022-07-26,5744.895603591187
2022-07-27,5740.386411355209
2022-07-28,5792.870309094462
2022-07-29,5769.33374954497
2022-08-01,5811.407621340841
2022-08-02,5727.201255994086
2022-08-03,5694.430052115885
2022-08-04,5738.434994902508
2022-08-05,5791.877678766127
2022-08-08,5801.168102761296
2022-08-09,5808.603553130213
2022-08-10,5802.080122436308
2022-08-11,5885.320522236012
2022-08-12,5895.41635133572
2022-08-15,5885.874304489448
2022-08-16,5876.696022407853
2022-08-17,5894.825400935101
2022-08-18,5857.190962745343
2022-08-19,5798.703528590534
2022-08-22,5776.490256395317
2022-08-23,5758.98248394844
2022-08-24,5690.540296107651
2022-08-25,5756.085493238322
2022-08-26,5752.365476390048
2022-08-29,5659.471742267553
2022-08-30,5678.414093402503
2022-08-31,5673.9469403543435
2022-09-01,5582.727658011007
2022-09-02,5558.509809351599
2022-09-05,5536.36704839825
2022-09-06,5539.976993288674
2022-09-07,5506.170153697594
2022-09-08,5532.132062432447
2022-09-09,5609.083012692506
2022-09-12,5642.554487072536
2022-09-13,5628.481281
2022-09-14,5554.397119
2022-09-15,5501.468011
2022-09-16,5409.584392
2022-09-19,5375.945543
2022-09-20,5401.539092
2022-09-21,5329.432108
2022-09-22,5296.353407905001
2022-09-23,5206.342284900994
2022-09-26,5096.881921341884
2022-09-27,5131.173930350734
2022-09-28,5023.469253151372
2022-09-29,5047.915852962811
2022-09-30,5024.27337171746
2022-10-03,5016.816833601368
2022-10-04,5105.617978410922
2022-10-05,5142.515133374747
2022-10-06,5146.382463740616
2022-10-07,5088.416815494492
2022-10-10,5001.437366228926
2022-10-11,4939.210408496166
2022-10-12,4962.14222998135
2022-10-13,4912.707982934454
2022-10-14,4999.107435626333
2022-10-17,5001.03233258516
2022-10-18,5049.006961233961
2022-10-19,4991.72285873746
2022-10-20,4990.09028576313
2022-10-21,4960.892468905396
2022-10-24,4882.60595975518
2022-10-25,4900.8587392828595
2022-10-26,4993.312805644961
2022-10-27,5006.056366977595
2022-10-28,4908.608882079227
2022-10-31,4887.338729210454
2022-11-01,4996.661578923619
2022-11-02,5046.328295215216
2022-11-03,4991.685016814363
2022-11-04,5124.17853036964
2022-11-07,5176.4274643467525
2022-11-08,5198.951409838477
