Date,WORLD ex USA IMI HIGH DIVIDEND YIELD
2012-09-13,1353.8959806627856
2012-09-14,1379.5353232292362
2012-09-17,1373.4833133603956
2012-09-18,1367.5721433351096
2012-09-19,1372.253672467999
2012-09-20,1362.3686666192468
2012-09-21,1372.0149067345214
2012-09-24,1364.6542985771496
2012-09-25,1372.9253002270316
2012-09-26,1344.9103585293512
2012-09-27,1350.4046934181365
2012-09-28,1335.849749778886
2012-10-01,1350.325180197194
2012-10-02,1351.2338732619942
2012-10-03,1345.7787040299697
2012-10-04,1354.930680157071
2012-10-05,1368.583391936122
2012-10-08,1352.7775054616764
2012-10-09,1340.513059902591
2012-10-10,1333.0060092773595
2012-10-11,1339.9015443791338
2012-10-12,1337.66558219776
2012-10-15,1340.6075848708892
2012-10-16,1360.2909134401193
2012-10-17,1373.1762949071674
2012-10-18,1375.1184878051722
2012-10-19,1363.132267267022
2012-10-22,1359.8879050971645
2012-10-23,1331.5961990341532
2012-10-24,1332.951121300809
2012-10-25,1335.4312728303996
2012-10-26,1335.7232129201327
2012-10-29,1326.1750107755174
2012-10-30,1339.8713522541798
2012-10-31,1334.66043489404
2012-11-01,1344.0965118205768
2012-11-02,1338.14623886164
2012-11-05,1328.3131355150447
2012-11-06,1335.6659917380139
2012-11-07,1320.001537529346
2012-11-08,1313.770197823144
2012-11-09,1311.0494971065502
2012-11-12,1307.4477286853623
2012-11-13,1308.833755912851
2012-11-14,1299.6480825341257
2012-11-15,1291.7531648498652
2012-11-16,1277.248958331844
2012-11-19,1307.8584633944763
2012-11-20,1308.4710967887047
2012-11-21,1313.3235361660506
2012-11-22,1323.5040480508596
2012-11-23,1336.7369558606451
2012-11-26,1334.0757101304366
2012-11-27,1332.8811085876405
2012-11-28,1334.3554720328125
2012-11-29,1351.1315069702018
2012-11-30,1351.0168701296848
2012-12-03,1357.1325809018008
2012-12-04,1358.9736059805352
2012-12-05,1360.7686100821484
2012-12-06,1360.4816221832778
2012-12-07,1358.717855966674
2012-12-10,1364.1069028769393
2012-12-11,1374.3467817345397
2012-12-12,1380.5280600727788
2012-12-13,1380.4315079754233
2012-12-14,1378.5634429036404
2012-12-17,1381.5139898157015
2012-12-18,1389.7924865045059
2012-12-19,1396.5066648250986
2012-12-20,1393.3970976975029
2012-12-21,1388.6967913619658
2012-12-24,1387.2366382272896
2012-12-25,1387.1838675183433
2012-12-26,1387.7373953803203
2012-12-27,1387.874083077641
2012-12-28,1380.7707943200724
2012-12-31,1380.9965762773156
2013-01-01,1381.1466240675252
2013-01-02,1404.17093150259
2013-01-03,1401.3090591958066
2013-01-04,1403.508019509279
2013-01-07,1402.2101833345516
2013-01-08,1401.4880480873167
2013-01-09,1406.8600211870864
2013-01-10,1417.96087848003
2013-01-11,1426.8760105105994
2013-01-14,1424.0054668417956
2013-01-15,1423.8007952246987
2013-01-16,1417.055730085013
2013-01-17,1427.821809988051
2013-01-18,1419.6984903115783
2013-01-21,1426.3776051729183
2013-01-22,1424.7304701623343
2013-01-23,1426.867889328346
2013-01-24,1437.3945018527377
2013-01-25,1447.7227696648868
2013-01-28,1445.217231926393
2013-01-29,1456.3638808269302
2013-01-30,1458.1721498398954
2013-01-31,1452.713006706617
2013-02-01,1460.7618436758755
2013-02-04,1435.9257686745411
2013-02-05,1437.5774257085823
2013-02-06,1435.2721548528277
2013-02-07,1420.1061628107134
2013-02-08,1430.8694571286157
2013-02-11,1427.3612014036585
2013-02-12,1438.1735916604812
2013-02-13,1440.217004698721
2013-02-14,1429.4118890341044
2013-02-15,1424.989031501578
2013-02-18,1426.6692163231944
2013-02-19,1441.692502003685
2013-02-20,1442.348444359332
2013-02-21,1414.2734622522103
2013-02-22,1427.7466234744309
2013-02-25,1430.2359765021135
2013-02-26,1405.37322142796
2013-02-27,1417.3415056595027
2013-02-28,1428.1879608163265
2013-03-01,1420.029516241294
2013-03-04,1424.510377263308
2013-03-05,1444.641712308463
2013-03-06,1445.124639486231
2013-03-07,1449.8947175191709
2013-03-08,1449.000134601692
2013-03-11,1454.2373940170473
2013-03-12,1456.4625632277011
2013-03-13,1447.1521428498625
2013-03-14,1462.451242263716
2013-03-15,1472.635017183407
2013-03-18,1459.3295640168042
2013-03-19,1456.9279340889093
2013-03-20,1465.9139249068596
2013-03-21,1459.8558166409193
2013-03-22,1467.0564317927767
2013-03-25,1458.2946035237114
2013-03-26,1459.6481517149723
2013-03-27,1448.7388629770876
2013-03-28,1457.954997172575
2013-03-29,1457.4379792861253
2013-04-01,1456.7469321993708
2013-04-02,1471.594659010658
2013-04-03,1462.855306672391
2013-04-04,1450.8312749948916
2013-04-05,1447.414826679962
2013-04-08,1450.6677640000626
2013-04-09,1461.4099424573963
2013-04-10,1482.6658756222787
2013-04-11,1495.974971222373
2013-04-12,1489.89804080466
2013-04-15,1486.2982648822554
2013-04-16,1477.5275853800488
2013-04-17,1456.5799129369716
2013-04-18,1462.3488438116804
2013-04-19,1465.0941605186174
2013-04-22,1465.8183106753652
2013-04-23,1488.7753076368886
2013-04-24,1498.605104402843
2013-04-25,1513.0605442811582
2013-04-26,1513.595099183373
2013-04-29,1527.5155674691043
2013-04-30,1536.7207275560868
2013-05-01,1534.5698977926645
2013-05-02,1525.612104607568
2013-05-03,1538.1407165526296
2013-05-06,1532.040231910738
2013-05-07,1535.063359644357
2013-05-08,1553.9667086815105
2013-05-09,1546.2155040460261
2013-05-10,1536.6396232101267
2013-05-13,1536.1007000952275
2013-05-14,1537.624642151931
2013-05-15,1532.889821844641
2013-05-16,1536.958370730101
2013-05-17,1527.7613783058803
2013-05-20,1536.198505009626
2013-05-21,1543.8771955740433
2013-05-22,1543.0504356467336
2013-05-23,1520.3840446975191
2013-05-24,1522.4304061575554
2013-05-27,1523.1000972744582
2013-05-28,1527.8169021399037
2013-05-29,1511.7956477622663
2013-05-30,1517.7583599346096
2013-05-31,1495.0788900134587
2013-06-03,1490.1399770561648
2013-06-04,1496.4077111735287
2013-06-05,1473.9656765796542
2013-06-06,1468.7179408833672
2013-06-07,1485.685668516867
2013-06-10,1486.9180088731748
2013-06-11,1483.0775896773223
2013-06-12,1486.341580150423
2013-06-13,1482.3246512813807
2013-06-14,1488.5128759320587
2013-06-17,1503.6661335021956
2013-06-18,1502.1653683203922
2013-06-19,1504.7256354630947
2013-06-20,1437.3704753413706
2013-06-21,1423.5796910537929
2013-06-24,1401.5848489433743
2013-06-25,1415.0792237718679
2013-06-26,1432.839304469565
2013-06-27,1444.1361872613354
2013-06-28,1441.4490719429655
2013-07-01,1452.4497776715787
2013-07-02,1451.7010585193723
2013-07-03,1438.1117024357077
2013-07-04,1456.912222517672
2013-07-05,1436.622392136474
2013-07-08,1454.9879477302175
2013-07-09,1459.1084868498017
2013-07-10,1468.5941004470892
2013-07-11,1493.4561315516755
2013-07-12,1493.9928910851877
2013-07-15,1497.5722524773134
2013-07-16,1497.5476120275466
2013-07-17,1500.6545851512965
2013-07-18,1509.397059984687
2013-07-19,1513.8722934835048
2013-07-22,1523.476575064232
2013-07-23,1520.8315916153153
2013-07-24,1526.4984877360191
2013-07-25,1519.453587514012
2013-07-26,1517.7459309105657
2013-07-29,1518.4227385947768
2013-07-30,1516.4060117909605
2013-07-31,1514.9583091692566
2013-08-01,1516.744081207516
2013-08-02,1526.9474108757472
2013-08-05,1524.7082627703737
2013-08-06,1526.7298210086408
2013-08-07,1523.3558995029257
2013-08-08,1534.6286675638262
2013-08-09,1537.368631310105
2013-08-12,1533.0896162338086
2013-08-13,1535.9488111674477
2013-08-14,1541.735291176032
2013-08-15,1526.526080888645
2013-08-16,1534.9919886969174
2013-08-19,1532.67892367814
2013-08-20,1531.9418999608085
2013-08-21,1519.3009053320072
2013-08-22,1521.555403726664
2013-08-23,1533.9913553470974
2013-08-26,1533.8117485216455
2013-08-27,1521.2997698460913
2013-08-28,1513.8447774052338
2013-08-29,1514.392987442046
2013-08-30,1501.6327397078066
2013-09-02,1524.557661611699
2013-09-03,1515.767997021474
2013-09-04,1524.730991494459
2013-09-05,1524.331148771545
2013-09-06,1535.6695312589886
2013-09-09,1543.690651947116
2013-09-10,1554.5960989314249
2013-09-11,1564.7060538903997
2013-09-12,1563.5066611243074
2013-09-13,1561.1983102360862
2013-09-16,1579.4497168681346
2013-09-17,1574.8716596672314
2013-09-18,1577.701949919712
2013-09-19,1601.6826308266086
2013-09-20,1595.9206342140124
2013-09-23,1593.1335166325855
2013-09-24,1596.9524550187136
2013-09-25,1599.0300713574923
2013-09-26,1600.101445430755
2013-09-27,1604.2642634399576
2013-09-30,1596.2011467285085
2013-10-01,1599.9009727609687
2013-10-02,1595.978688691075
2013-10-03,1595.5471078383825
2013-10-04,1591.7113694572242
2013-10-07,1584.5976927822276
