Date,UNITED ARAB EMIRATES DOMESTIC
2008-10-02,555.1573554890728
2008-10-03,552.0153328828674
2008-10-06,472.7584788648022
2008-10-07,444.332056010533
2008-10-08,405.9668824219071
2008-10-09,413.4223686411687
2008-10-10,411.35207596672944
2008-10-13,435.7882860698625
2008-10-14,481.8141869290022
2008-10-15,457.7746186078267
2008-10-16,425.85255537411274
2008-10-17,426.2665985448563
2008-10-20,448.3999047939212
2008-10-21,462.49031444263306
2008-10-22,447.8255070667275
2008-10-23,442.5776797852443
2008-10-24,441.777903731146
2008-10-27,397.3476951130503
2008-10-28,396.22469419302723
2008-10-29,402.7171900147276
2008-10-30,400.89133258767214
2008-10-31,401.64000114033746
2008-11-03,402.8111432969127
2008-11-04,408.88082474507695
2008-11-05,413.03719625398264
2008-11-06,393.2014309316402
2008-11-07,393.1754886922249
2008-11-10,358.1399015383876
2008-11-11,331.40020150017205
2008-11-12,310.1490861813827
2008-11-13,302.17837133877805
2008-11-14,302.89254456492625
2008-11-17,312.7647907914966
2008-11-18,310.5929368261989
2008-11-19,313.10195026566623
2008-11-20,306.7752265918244
2008-11-21,306.422104092895
2008-11-24,279.24204325906965
2008-11-25,285.7273582115702
2008-11-26,279.5305647839971
2008-11-27,289.37401441416074
2008-11-28,288.64422132584315
2008-12-01,296.22290572847044
2008-12-02,296.2306293457392
2008-12-03,296.22290572847044
2008-12-04,295.4933091430501
2008-12-05,295.8619692443947
2008-12-08,295.8542456271259
2008-12-09,295.8542456271259
2008-12-10,295.8542456271259
2008-12-11,296.3339678139563
2008-12-12,296.3339678139563
2008-12-15,290.0052460110183
2008-12-16,288.6077300015207
2008-12-17,289.68918619365286
2008-12-18,286.956040415703
2008-12-19,286.963511736067
2008-12-22,256.88226954599577
2008-12-23,246.8619855709951
2008-12-24,235.26536886812352
2008-12-25,231.13718364045465
2008-12-26,231.13718364045465
2008-12-29,239.89118514361544
2008-12-30,245.28646061968345
2008-12-31,248.03803520130216
2009-01-01,248.03803520130216
2009-01-02,248.7753554039913
2009-01-05,269.5395894445981
2009-01-06,272.38772092975756
2009-01-07,273.7065908614978
2009-01-08,268.31989283035665
2009-01-09,268.31989283035665
2009-01-12,264.57758021088785
2009-01-13,259.39751650832306
2009-01-14,254.1741634507828
2009-01-15,243.7459155947485
