Date,SWEDEN VALUE WEIGHTED
2001-11-23,1447.1039594760337
2001-11-26,1460.1262484797692
2001-11-27,1450.3001511713198
2001-11-28,1428.1693369755196
2001-11-29,1420.8211195902743
2001-11-30,1419.2005393452212
2001-12-03,1414.0623800802025
2001-12-04,1445.6989826666256
2001-12-05,1514.2029842123793
2001-12-06,1513.0518416279247
2001-12-07,1514.6549688552764
2001-12-10,1488.8912820853136
2001-12-11,1487.4977932161473
2001-12-12,1468.8771211619724
2001-12-13,1447.8983466801155
2001-12-14,1413.2972119856709
2001-12-17,1437.2963698225549
2001-12-18,1448.0930863795045
2001-12-19,1424.9796658233538
2001-12-20,1399.4589747056727
2001-12-21,1422.969284386732
2001-12-24,1418.3160817416933
2001-12-25,1418.3160817416933
2001-12-26,1412.2877106064766
2001-12-27,1447.992014363234
2001-12-28,1483.6807144077416
2001-12-31,1481.2919052981022
2002-01-01,1481.2919052981022
2002-01-02,1471.4769015266559
2002-01-03,1539.589157787885
2002-01-04,1551.7848673694848
2002-01-07,1548.6166133975432
2002-01-08,1506.0412816815176
2002-01-09,1516.5232067718239
2002-01-10,1503.5927107103053
2002-01-11,1522.5063146408884
2002-01-14,1460.8548716853095
2002-01-15,1456.2924178324606
2002-01-16,1421.7573708817745
2002-01-17,1440.2007032290362
2002-01-18,1443.933729645712
2002-01-21,1432.9841775853074
2002-01-22,1433.076387609595
2002-01-23,1435.6350789885166
2002-01-24,1447.9915082297132
2002-01-25,1437.2166618965314
2002-01-28,1430.7779646064998
2002-01-29,1413.777253135672
2002-01-30,1391.9796751689146
2002-01-31,1437.6194184105452
2002-02-01,1444.4264657594406
2002-02-04,1438.751077390404
2002-02-05,1425.346643952152
2002-02-06,1417.4175119195118
2002-02-07,1416.6919940754556
2002-02-08,1424.133654006389
2002-02-11,1447.5060950100374
2002-02-12,1443.537288806027
2002-02-13,1447.3527183287654
2002-02-14,1459.0441887198183
2002-02-15,1440.663460552507
2002-02-18,1421.915180952258
2002-02-19,1407.509084288368
2002-02-20,1402.7848127774112
2002-02-21,1434.194099384785
2002-02-22,1419.2407503878758
2002-02-25,1451.5653566442393
2002-02-26,1465.0772097369102
2002-02-27,1505.3679688594225
2002-02-28,1509.4562134142209
2002-03-01,1517.1482323497
2002-03-04,1580.9004983108211
2002-03-05,1584.314663698496
2002-03-06,1567.268210531857
2002-03-07,1579.100927152486
2002-03-08,1591.4334271434484
2002-03-11,1584.8148809751922
2002-03-12,1569.1290195719646
2002-03-13,1567.3410518310425
2002-03-14,1555.2937032443383
2002-03-15,1556.0304630509968
2002-03-18,1562.147207881582
2002-03-19,1556.6561509286416
2002-03-20,1556.2920553087874
2002-03-21,1562.6248415399004
2002-03-22,1582.5973261592806
2002-03-25,1560.196392439653
2002-03-26,1549.899215166747
2002-03-27,1544.8792957707615
2002-03-28,1557.3155340617518
2002-03-29,1557.3155340617518
2002-04-01,1559.9037189215437
2002-04-02,1551.1609144727968
2002-04-03,1530.683141478975
2002-04-04,1522.0293006135012
2002-04-05,1538.270958980881
2002-04-08,1515.8035560175222
2002-04-09,1514.10603585807
2002-04-10,1517.3253376160412
