Date,ACWI ex NEW ZEALAND
2020-10-30,3027.7487897776386
2020-11-02,3065.3945149373008
2020-11-03,3121.7729292924073
2020-11-04,3181.3580111761976
2020-11-05,3250.136636839775
2020-11-06,3257.9014395648105
2020-11-09,3300.600851426351
2020-11-10,3302.238427203825
2020-11-11,3326.193505293911
2020-11-12,3306.0770592271365
2020-11-13,3331.4890280466784
2020-11-16,3373.803826243732
2020-11-17,3369.9156245652725
2020-11-18,3355.038679380345
2020-11-19,3356.0724903588784
2020-11-20,3352.0459633872265
2020-11-23,3364.180332680876
2020-11-24,3412.56913091891
2020-11-25,3412.701344835516
2020-11-26,3417.4393272041316
2020-11-27,3431.000643754007
2020-11-30,3400.945289519954
2020-12-01,3437.832823056872
2020-12-02,3445.3789422473
2020-12-03,3458.0880079342173
2020-12-04,3483.54762115658
2020-12-07,3480.111367347629
2020-12-08,3487.5637595074163
2020-12-09,3471.5771038113367
2020-12-10,3472.6142253163152
2020-12-11,3465.9477749640373
2020-12-14,3460.792809831466
2020-12-15,3488.633231177407
2020-12-16,3506.296203762296
2020-12-17,3533.054320758983
2020-12-18,3521.773827353422
2020-12-21,3493.264730699289
2020-12-22,3488.083024430112
2020-12-23,3501.119358483923
2020-12-24,3508.355511585306
2020-12-25,3509.2342186949845
2020-12-28,3528.3064753894837
2020-12-29,3540.495538723609
2020-12-30,3553.4535466750644
2020-12-31,3558.987746189174
2021-01-01,3559.167371595909
2021-01-04,3541.0862267476386
2021-01-05,3563.0786037124744
2021-01-06,3579.0056100789584
2021-01-07,3621.7371143734063
2021-01-08,3655.2882441555025
2021-01-11,3627.2306918771565
2021-01-12,3633.720669531374
2021-01-13,3643.8799223647156
2021-01-14,3644.4677110505636
2021-01-15,3613.1630343718416
2021-01-18,3612.1334838953153
2021-01-19,3642.1744132983376
2021-01-20,3682.6210767404223
2021-01-21,3689.257335060114
2021-01-22,3673.00528527326
2021-01-25,3680.750766212252
2021-01-26,3669.789418238104
2021-01-27,3594.844540343758
2021-01-28,3606.098071361482
2021-01-29,3542.751078132866
2021-02-01,3595.9595675253527
2021-02-02,3642.5091287497567
2021-02-03,3653.541124658006
2021-02-04,3674.728664903848
2021-02-05,3695.885968910201
2021-02-08,3723.3413053363847
2021-02-09,3730.111247801058
2021-02-10,3737.6679710394624
2021-02-11,3747.314734574698
2021-02-12,3761.288532366902
2021-02-15,3777.0293009867946
2021-02-16,3777.229807255565
2021-02-17,3764.45710369556
2021-02-18,3742.570594946431
2021-02-19,3748.528528555959
2021-02-22,3715.7702642600852
2021-02-23,3717.354144069374
2021-02-24,3724.8273231759376
2021-02-25,3679.56611793055
2021-02-26,3625.1915768011963
2021-03-01,3699.181761251765
2021-03-02,3680.4245102253685
2021-03-03,3656.797027601052
2021-03-04,3606.054520910343
2021-03-05,3629.1755098345475
2021-03-08,3610.976534984729
2021-03-09,3659.919569159377
2021-03-10,3678.1919194957622
2021-03-11,3725.8725709017162
2021-03-12,3724.1018462991346
2021-03-15,3738.0560489186414
2021-03-16,3743.453106548661
2021-03-17,3744.944867133799
2021-03-18,3718.942588603962
2021-03-19,3708.1692274095035
2021-03-22,3723.6092141336953
2021-03-23,3694.185666358835
2021-03-24,3661.1743166650576
2021-03-25,3666.989199532686
2021-03-26,3720.014355609902
2021-03-29,3717.2369276543855
2021-03-30,3715.4500715126114
2021-03-31,3722.11805008977
2021-04-01,3762.127610751087
2021-04-02,3765.191016639112
2021-04-05,3801.43051741697
2021-04-06,3808.4738656399945
2021-04-07,3811.186651770389
2021-04-08,3830.0377188185425
2021-04-09,3842.1492716459416
2021-04-12,3835.9681817386167
2021-04-13,3849.2161064319334
2021-04-14,3848.7161773333555
2021-04-15,3883.1734269134568
2021-04-16,3899.486464804541
2021-04-19,3889.2178729114316
2021-04-20,3856.5547796504934
2021-04-21,3872.5547621524843
2021-04-22,3864.13296797386
2021-04-23,3894.092525004779
2021-04-26,3908.513963577922
2021-04-27,3904.42054407909
2021-04-28,3905.610753219531
2021-04-29,3918.980763141398
2021-04-30,3884.872234895449
2021-05-03,3893.178687714794
2021-05-04,3861.662316658683
2021-05-05,3873.129066914639
2021-05-06,3898.973608218962
2021-05-07,3934.047400214295
2021-05-10,3913.1534159153684
2021-05-11,3868.6093782344046
2021-05-12,3804.2885194134856
2021-05-13,3814.9444854922267
2021-05-14,3873.846740151952
2021-05-17,3870.3544373925074
2021-05-18,3872.3884990777806
2021-05-19,3850.1342208746873
2021-05-20,3887.466026708528
2021-05-21,3888.918258284401
2021-05-24,3915.159191605736
2021-05-25,3921.34133018452
2021-05-26,3928.4138762224206
2021-05-27,3931.0205105868836
2021-05-28,3943.8171614729904
2021-05-31,3945.5889144438393
2021-06-01,3958.429457085317
2021-06-02,3962.4434804807006
2021-06-03,3945.9857258567445
2021-06-04,3973.553286134965
2021-06-07,3977.431298399213
2021-06-08,3977.340847624548
2021-06-09,3969.789285285319
2021-06-10,3984.6976381784116
2021-06-11,3992.012965582613
2021-06-14,4001.2012161105736
2021-06-15,3996.443782853633
2021-06-16,3983.277242633125
2021-06-17,3967.078829722841
2021-06-18,3917.7846177652377
2021-06-21,3946.1369486469134
2021-06-22,3966.727833889632
2021-06-23,3968.3257765832213
2021-06-24,3989.182154786691
2021-06-25,4007.193656578928
2021-06-28,4008.169013866308
2021-06-29,4006.6015260568065
2021-06-30,3997.624599891694
2021-07-01,4008.0703499697784
2021-07-02,4024.1762916060748
2021-07-05,4028.332665856594
2021-07-06,4017.284133757639
2021-07-07,4023.555701567124
2021-07-08,3983.245100651381
2021-07-09,4019.7177276180323
2021-07-12,4040.4581584588127
2021-07-13,4034.9167726455166
2021-07-14,4033.914854271744
2021-07-15,4020.565135559057
2021-07-16,3995.6278591315063
2021-07-19,3930.4701369027607
2021-07-20,3963.2308838725794
2021-07-21,3999.2893927216537
2021-07-22,4016.3441919220977
2021-07-23,4040.6337475290234
2021-07-26,4038.2800021285025
2021-07-27,4014.6399963066037
2021-07-28,4021.3882618539433
2021-07-29,4055.3372250651923
2021-07-30,4025.200750036022
2021-08-02,4040.1011955648614
2021-08-03,4058.2791204840933
2021-08-04,4054.2813759744918
2021-08-05,4072.125692325663
2021-08-06,4064.7125239364977
2021-08-09,4064.356690641818
2021-08-10,4069.5256871261436
2021-08-11,4080.7413870173355
2021-08-12,4086.394008876532
2021-08-13,4093.6296104654457
2021-08-16,4087.00202480798
2021-08-17,4056.0498730801137
2021-08-18,4033.00300621696
2021-08-19,4005.517997218596
2021-08-20,4020.6846198917956
2021-08-23,4064.8180009231296
2021-08-24,4088.0253855517153
2021-08-25,4094.5668400212226
2021-08-26,4073.430864586878
2021-08-27,4103.019113492338
2021-08-30,4123.007169890911
2021-08-31,4125.903248138256
2021-09-01,4139.4415878617965
2021-09-02,4151.6620246573675
2021-09-03,4156.169607798023
2021-09-06,4166.160842441287
2021-09-07,4154.3992894673665
2021-09-08,4136.19401776507
2021-09-09,4118.699816270622
2021-09-10,4106.031663529131
2021-09-13,4107.945726697297
2021-09-14,4094.8354501024232
2021-09-15,4105.6142824037415
2021-09-16,4095.4272260511666
2021-09-17,4066.324742521421
2021-09-20,4000.086040266158
2021-09-21,4005.213226300659
2021-09-22,4034.318424967751
2021-09-23,4075.5706911475486
2021-09-24,4069.524287513425
2021-09-27,4061.226124624739
2021-09-28,3986.3312565601377
2021-09-29,3980.185545110661
2021-09-30,3955.4086394079814
2021-10-01,3971.7942487557093
2021-10-04,3933.6053144087987
2021-10-05,3960.8778625455197
2021-10-06,3957.0869986896414
2021-10-07,4002.9454101549613
2021-10-08,4001.1951531911927
2021-10-11,3990.371562939699
2021-10-12,3977.88908692309
2021-10-13,3997.000395140005
2021-10-14,4052.461165562106
2021-10-15,4087.736573644279
2021-10-18,4092.9018556744104
2021-10-19,4122.961571739009
2021-10-20,4138.776829344833
2021-10-21,4141.255707527273
2021-10-22,4139.997120330753
2021-10-25,4151.749248200448
2021-10-26,4160.113015174325
2021-10-27,4137.362375003947
2021-10-28,4166.721822103149
2021-10-29,4157.382627914886
2021-11-01,4175.681915380421
2021-11-02,4181.482453906204
2021-11-03,4200.262306989411
2021-11-04,4217.132758875644
2021-11-05,4224.575497582137
2021-11-08,4232.855925897436
2021-11-09,4223.129370450616
2021-11-10,4193.688791631264
2021-11-11,4197.058266553575
2021-11-12,4224.231040237175
2021-11-15,4227.985938814032
2021-11-16,4235.954103850742
2021-11-17,4222.269856887315
2021-11-18,4223.829175198204
2021-11-19,4214.643399656542
2021-11-22,4190.79093445559
2021-11-23,4183.147791987873
2021-11-24,4183.822607239456
2021-11-25,4189.5493027134235
2021-11-26,4095.956399784449
2021-11-29,4122.146707474468
2021-11-30,4057.3590281012544
2021-12-01,4047.0133373892604
2021-12-02,4078.180520763622
2021-12-03,4045.207104943842
2021-12-06,4076.993682162792
2021-12-07,4162.84160091412
2021-12-08,4179.118947757569
2021-12-09,4154.265390010986
2021-12-10,4169.044421945262
2021-12-13,4135.654869126599
2021-12-14,4104.950402651555
2021-12-15,4145.0681625999705
2021-12-16,4139.882570061706
2021-12-17,4105.161304477061
2021-12-20,4049.7329801359
2021-12-21,4115.153512800853
2021-12-22,4154.037599354183
2021-12-23,4183.960350231373
2021-12-24,4185.268693282732
2021-12-27,4221.5768527660175
2021-12-28,4225.478087695832
2021-12-29,4228.021094827834
2021-12-30,4222.258802538353
2021-12-31,4219.740286635466
2022-01-03,4231.695576017393
2022-01-04,4240.124327136007
2022-01-05,4183.236434710601
2022-01-06,4159.9421612035085
2022-01-07,4155.56601632381
2022-01-10,4144.719273953156
2022-01-11,4180.479309584077
2022-01-12,4213.989600669705
2022-01-13,4175.462684013504
2022-01-14,4162.850087885014
2022-01-17,4165.2544687477985
2022-01-18,4100.038352558956
2022-01-19,4069.742992054367
2022-01-20,4057.0280631949113
2022-01-21,3986.3644905702113
2022-01-24,3955.282499329648
2022-01-25,3916.015394812611
2022-01-26,3921.30027034509
2022-01-27,3885.7648824945286
2022-01-28,3944.086271010821
2022-01-31,4012.713948322626
2022-02-01,4046.8886686475566
2022-02-02,4078.163573927916
2022-02-03,4005.9054972782137
2022-02-04,4020.8302323054527
2022-02-07,4017.828415249375
2022-02-08,4038.56358723703
2022-02-09,4101.895913024685
2022-02-10,4063.5885007697157
2022-02-11,4003.154730961178
2022-02-14,3963.6201092179954
2022-02-15,4016.8688650327745
2022-02-16,4030.0068154649266
2022-02-17,3970.471290664384
2022-02-18,3936.847864072186
2022-02-21,3923.2512676315796
2022-02-22,3887.8892651377378
2022-02-23,3841.1800756563603
2022-02-24,3818.4656082370184
2022-02-25,3911.5407253064654
2022-02-28,3908.9287636538916
2022-03-01,3856.1283979317127
2022-03-02,3892.078716927052
2022-03-03,3868.695263135684
2022-03-04,3804.835175663531
2022-03-07,3701.0503969711694
2022-03-08,3671.706515944217
2022-03-09,3767.90283288314
2022-03-10,3761.5209488344226
2022-03-11,3718.5480628535825
2022-03-14,3691.3866320598327
2022-03-15,3726.36170699876
2022-03-16,3829.5637385367145
2022-03-17,3897.9373721283637
2022-03-18,3932.7867111221826
2022-03-21,3929.3499364692498
2022-03-22,3970.9073687046593
2022-03-23,3942.697551637559
2022-03-24,3974.990809773934
2022-03-25,3979.577394858684
2022-03-28,3994.256386252453
2022-03-29,4056.0259086431515
2022-03-30,4046.973420429501
2022-03-31,3993.6000249679223
2022-04-01,3999.8834275727922
2022-04-04,4034.3586098724913
2022-04-05,3995.508835263702
2022-04-06,3946.9323133789567
2022-04-07,3943.3468117310595
2022-04-08,3942.2312545662
2022-04-11,3890.060252301167
2022-04-12,3874.981583540451
2022-04-13,3908.2778714162278
2022-04-14,3879.4981304555654
2022-04-15,3876.64271486599
2022-04-18,3867.8644381224817
2022-04-19,3899.789582192532
2022-04-20,3911.232643797174
2022-04-21,3867.788501010512
2022-04-22,3773.3468490664904
2022-04-25,3756.5743273141256
2022-04-26,3680.4561558890646
2022-04-27,3674.514972318872
2022-04-28,3741.823475844378
2022-04-29,3673.973773634465
2022-05-02,3674.0562818558133
2022-05-03,3688.7110761262684
2022-05-04,3750.3847557419413
2022-05-05,3655.2177423129347
2022-05-06,3619.8009823948582
2022-05-09,3508.3244267822843
2022-05-10,3511.902735517662
2022-05-11,3485.0140963577137
2022-05-12,3461.9160741352466
2022-05-13,3540.634879651571
2022-05-16,3533.508555960536
2022-05-17,3604.5163147032326
2022-05-18,3510.337220860487
2022-05-19,3488.318434901335
2022-05-20,3501.5005355031212
2022-05-23,3556.0251123179855
2022-05-24,3524.4645389111893
2022-05-25,3548.5338381769075
2022-05-26,3601.2856247373215
2022-05-27,3677.9662652977663
2022-05-30,3700.8554807736496
2022-05-31,3678.3072234266983
2022-06-01,3650.9518390189414
2022-06-02,3699.635996836456
2022-06-03,3658.7537606028254
2022-06-06,3675.587641682928
2022-06-07,3689.8272953174537
2022-06-08,3669.2402863056823
2022-06-09,3595.2137840616683
2022-06-10,3496.870710430965
2022-06-13,3369.1303329965385
2022-06-14,3347.8878273845285
2022-06-15,3384.849405845396
2022-06-16,3303.339235265597
2022-06-17,3296.5216750993427
2022-06-20,3305.7258415335614
2022-06-21,3368.9476960121574
2022-06-22,3352.7547698587578
2022-06-23,3367.586236324047
2022-06-24,3456.130616612846
2022-06-27,3467.079570416024
2022-06-28,3422.6775376864566
2022-06-29,3405.830082864636
2022-06-30,3368.209237413742
2022-07-01,3381.2746054928466
2022-07-04,3390.982655239645
2022-07-05,3374.6406418302995
2022-07-06,3379.134942277232
2022-07-07,3432.766204392779
2022-07-08,3436.830122408884
2022-07-11,3393.0763163613487
2022-07-12,3366.4978653205276
2022-07-13,3356.6703833351257
2022-07-14,3327.2412518917386
2022-07-15,3381.6796490051884
2022-07-18,3388.0124079626694
2022-07-19,3458.7806868778994
2022-07-20,3479.671132100996
2022-07-21,3504.737160589626
2022-07-22,3489.4149343331974
2022-07-25,3488.6953779068353
2022-07-26,3458.665108880367
2022-07-27,3517.8934874426727
2022-07-28,3561.8169165633326
2022-07-29,3603.4242966268935
