Date,ACWI FM ex USA
2021-06-29,1495.110539587094
2021-06-30,1485.9860307717365
2021-07-01,1485.5824671093596
2021-07-02,1484.2895718101079
2021-07-05,1488.0204799007693
2021-07-06,1480.4582448255717
2021-07-07,1480.2125329180913
2021-07-08,1462.3451004236927
2021-07-09,1470.9754012683602
2021-07-12,1483.4410262940253
2021-07-13,1486.8880887870255
2021-07-14,1485.2106673533247
2021-07-15,1479.9976535366454
2021-07-16,1472.1368471118433
2021-07-19,1445.0315089371302
2021-07-20,1441.6010421819494
2021-07-21,1456.7092961327292
2021-07-22,1466.8491854695646
2021-07-23,1465.7278658063851
2021-07-26,1459.7984533779668
2021-07-27,1449.51124108005
2021-07-28,1454.3859688917532
2021-07-29,1476.1783139710674
2021-07-30,1461.5615259342876
2021-08-02,1478.0248804761293
2021-08-03,1477.8217303194128
2021-08-04,1482.4864396275968
2021-08-05,1484.9748996467195
2021-08-06,1476.7359599761292
2021-08-09,1477.5431301560975
2021-08-10,1481.5242651105261
2021-08-11,1487.1985699715544
2021-08-12,1485.186669112616
2021-08-13,1488.4190281040478
2021-08-16,1478.4973579231223
2021-08-17,1465.8206679249238
2021-08-18,1467.8819573615172
2021-08-19,1441.346598018786
2021-08-20,1436.8367722694197
2021-08-23,1456.997075234223
2021-08-24,1473.262941936556
2021-08-25,1473.9391483501806
2021-08-26,1467.732921356479
2021-08-27,1474.8309028013387
2021-08-30,1482.8020002780675
2021-08-31,1489.3718359728653
2021-09-01,1499.9347333145497
2021-09-02,1504.3725703034033
2021-09-03,1508.091629152267
2021-09-06,1517.0660923536764
2021-09-07,1514.320900367231
2021-09-08,1501.9150130781825
2021-09-09,1495.558648579459
2021-09-10,1501.1761594926386
2021-09-13,1499.2445026880414
2021-09-14,1499.546830609938
2021-09-15,1490.95025749381
2021-09-16,1483.7888214869224
2021-09-17,1476.58091113514
2021-09-20,1455.1781855140694
2021-09-21,1460.0367814519248
2021-09-22,1465.6778530547108
2021-09-23,1477.2297747495022
2021-09-24,1469.4116774422916
2021-09-27,1469.6661957796705
2021-09-28,1448.9132323600409
2021-09-29,1441.1305309829263
2021-09-30,1441.905017652912
2021-10-01,1433.189060869746
2021-10-04,1428.864276616053
2021-10-05,1430.5018855991684
2021-10-06,1417.522233773526
2021-10-07,1439.3596934668356
2021-10-08,1442.8861171810067
2021-10-11,1447.9280549077544
2021-10-12,1440.0709701775395
2021-10-13,1448.1981582711194
2021-10-14,1461.5651853729694
2021-10-15,1477.53592773506
2021-10-18,1473.713335057704
2021-10-19,1484.301340271265
