Date,EM ASIA MINIMUM VOLATILITY (USD)
2012-06-11,4406.65537054365
2012-06-12,4392.706685293678
2012-06-13,4415.687355086834
2012-06-14,4397.481371701195
2012-06-15,4416.912860459647
2012-06-18,4474.056805345251
2012-06-19,4486.355342084074
2012-06-20,4510.2268385290745
2012-06-21,4470.705274695132
2012-06-22,4418.644808671556
2012-06-25,4398.093580405096
2012-06-26,4400.625644345551
2012-06-27,4436.478968750958
2012-06-28,4427.76550256545
2012-06-29,4504.325383592451
2012-07-02,4517.133165430797
2012-07-03,4571.821522290042
2012-07-04,4568.316041010899
2012-07-05,4571.9036527221615
2012-07-06,4556.5851810669155
2012-07-09,4517.4330641173665
2012-07-10,4530.393818881201
2012-07-11,4536.398091708162
2012-07-12,4458.796636385212
2012-07-13,4491.353223352781
2012-07-16,4505.995081226218
2012-07-17,4535.98276869294
2012-07-18,4511.399746135408
2012-07-19,4548.391586237632
2012-07-20,4547.756554711192
2012-07-23,4474.130251380026
2012-07-24,4469.916177223468
2012-07-25,4442.961497101016
2012-07-26,4438.144104044461
2012-07-27,4530.954519166815
2012-07-30,4558.897070135178
2012-07-31,4625.124376768634
2012-08-01,4645.2869109845815
2012-08-02,4628.35496411696
2012-08-03,4617.2051681746025
2012-08-06,4648.486439396509
2012-08-07,4636.146606567931
2012-08-08,4643.675157254144
2012-08-09,4691.282845947776
2012-08-10,4681.03313250218
2012-08-13,4669.841227876274
2012-08-14,4713.832958116532
2012-08-15,4700.877311887177
2012-08-16,4698.255246260922
2012-08-17,4681.583773364017
2012-08-20,4684.945726945239
2012-08-21,4714.111838658496
2012-08-22,4700.140097447875
2012-08-23,4744.36043106756
2012-08-24,4703.192469441476
2012-08-27,4692.371328733816
2012-08-28,4678.3378487601785
2012-08-29,4681.19318230905
2012-08-30,4664.046053944978
2012-08-31,4679.569726126775
2012-09-03,4700.100814707849
2012-09-04,4686.689353063737
2012-09-05,4632.684587216962
2012-09-06,4652.837660403784
2012-09-07,4714.739230121849
2012-09-10,4721.518834062616
2012-09-11,4726.857788421685
2012-09-12,4771.498681730477
2012-09-13,4771.900015473375
2012-09-14,4876.087943216399
2012-09-17,4844.841107485011
2012-09-18,4816.833255327873
2012-09-19,4855.626195384167
2012-09-20,4816.243054753969
2012-09-21,4859.040473858888
2012-09-24,4848.320445116127
2012-09-25,4847.131641867461
2012-09-26,4812.072771374171
2012-09-27,4837.676528115697
2012-09-28,4909.341436143536
2012-10-01,4885.527840429511
2012-10-02,4895.845435277949
2012-10-03,4902.278841728668
2012-10-04,4929.873812311794
2012-10-05,4935.866892202304
2012-10-08,4907.392145335981
2012-10-09,4915.254766637633
2012-10-10,4897.446837508999
2012-10-11,4884.208207575638
2012-10-12,4906.114521638979
2012-10-15,4901.938547336801
2012-10-16,4912.333021586092
2012-10-17,4928.5958292316045
2012-10-18,4927.666841306167
2012-10-19,4906.510851335452
2012-10-22,4912.035578884075
2012-10-23,4907.29573472815
2012-10-24,4896.71315902281
2012-10-25,4923.0280996787515
2012-10-26,4881.040199764717
2012-10-29,4878.163286839203
2012-10-30,4903.288502081581
2012-10-31,4911.701713916911
2012-11-01,4928.471678987036
2012-11-02,4937.295662419819
2012-11-05,4932.278499421066
2012-11-06,4941.311082540948
2012-11-07,4957.921370827051
2012-11-08,4912.083740024041
2012-11-09,4911.081452850011
2012-11-12,4915.700937451616
2012-11-13,4885.239036604132
2012-11-14,4897.199698078275
2012-11-15,4863.454464856801
2012-11-16,4847.668650680585
2012-11-19,4867.971869445608
2012-11-20,4890.307355931518
2012-11-21,4901.382909285633
2012-11-22,4918.445760195388
2012-11-23,4954.8497940799825
2012-11-26,4971.301736249972
2012-11-27,4964.67219711129
2012-11-28,4953.054951775854
2012-11-29,4994.933729435303
2012-11-30,5027.222054186041
2012-12-03,5027.017232491041
2012-12-04,5019.626859597485
2012-12-05,5051.524875060932
2012-12-06,5043.711627551601
2012-12-07,5048.769919059336
2012-12-10,5052.470705098332
2012-12-11,5067.19166191475
2012-12-12,5091.085144555161
2012-12-13,5093.550098164633
2012-12-14,5089.0905991664495
2012-12-17,5073.181819330417
2012-12-18,5093.557684387302
2012-12-19,5116.708675294889
2012-12-20,5101.473614544954
2012-12-21,5065.205685475785
2012-12-24,5078.83401341833
2012-12-25,5087.981617340527
2012-12-26,5094.623181816938
2012-12-27,5098.351539773937
2012-12-28,5117.3586802401815
2012-12-31,5121.902773544114
2013-01-01,5123.143535215097
2013-01-02,5191.525873420925
2013-01-03,5202.928683672327
2013-01-04,5200.337638102174
2013-01-07,5207.484840784322
2013-01-08,5199.76737962503
2013-01-09,5203.0066731865845
2013-01-10,5210.664458724508
2013-01-11,5215.160427064577
2013-01-14,5248.727134408041
2013-01-15,5244.403043229098
2013-01-16,5220.347412886877
2013-01-17,5228.875991821733
2013-01-18,5285.2745908992665
2013-01-21,5269.76400193839
2013-01-22,5271.216234880575
2013-01-23,5261.244460372974
2013-01-24,5248.240924341796
2013-01-25,5243.697732419574
2013-01-28,5226.468907692824
2013-01-29,5249.034652169227
2013-01-30,5263.445228150227
2013-01-31,5252.573562098029
2013-02-01,5264.810352699624
2013-02-04,5314.867609959962
2013-02-05,5288.671296334423
2013-02-06,5283.704942198362
2013-02-07,5275.981147550554
2013-02-08,5257.4699009636515
2013-02-11,5254.597698428144
2013-02-12,5255.063114182942
2013-02-13,5292.436069489796
2013-02-14,5304.302263777282
2013-02-15,5310.129240234092
2013-02-18,5316.314144793008
2013-02-19,5299.982579559318
2013-02-20,5355.66599298839
2013-02-21,5295.820968270221
2013-02-22,5315.075506453508
2013-02-25,5319.13289421297
2013-02-26,5268.63571625792
2013-02-27,5283.188592291581
2013-02-28,5340.46931120416
2013-03-01,5347.723661384867
2013-03-04,5317.951658611756
2013-03-05,5352.30550274726
2013-03-06,5386.761464126974
2013-03-07,5366.870376968382
2013-03-08,5399.821837657083
2013-03-11,5377.517348971552
2013-03-12,5354.186613346057
2013-03-13,5342.861914429822
2013-03-14,5333.997691519193
2013-03-15,5305.909932280591
2013-03-18,5264.453513222413
2013-03-19,5272.37392759544
2013-03-20,5264.5039648539405
2013-03-21,5253.717027372365
2013-03-22,5234.685364801391
2013-03-25,5291.469963070372
2013-03-26,5306.133663756533
2013-03-27,5340.648080291139
2013-03-28,5325.64909268627
2013-03-29,5344.73025629276
2013-04-01,5332.921750180115
2013-04-02,5344.872231454196
2013-04-03,5345.480627856143
2013-04-04,5323.736366638957
2013-04-05,5268.536834349789
2013-04-08,5223.506400197378
2013-04-09,5237.707642786863
2013-04-10,5272.9598058891925
2013-04-11,5327.080896858042
2013-04-12,5321.228409603551
2013-04-15,5286.589597042852
2013-04-16,5318.146074480372
2013-04-17,5323.453648041591
2013-04-18,5301.8540453554715
2013-04-19,5359.367413705137
2013-04-22,5373.732115445755
2013-04-23,5341.780082731061
2013-04-24,5387.4682027819945
2013-04-25,5417.402271787751
2013-04-26,5415.712610746472
2013-04-29,5441.184698822943
2013-04-30,5494.862399025334
2013-05-01,5493.248930293574
2013-05-02,5489.25114118593
2013-05-03,5508.498276487527
2013-05-06,5551.293402538483
2013-05-07,5573.496651557597
2013-05-08,5626.004124602677
2013-05-09,5624.0242036578275
2013-05-10,5569.523051413014
2013-05-13,5544.6909812900185
2013-05-14,5549.588486622749
2013-05-15,5569.44490649895
2013-05-16,5585.37600716309
2013-05-17,5592.47531136645
2013-05-20,5600.490909323354
2013-05-21,5602.317868441152
2013-05-22,5575.781307100872
2013-05-23,5480.256219073917
2013-05-24,5482.124145734242
2013-05-27,5488.450982472537
2013-05-28,5521.359950580103
2013-05-29,5510.224771737626
2013-05-30,5463.84290836921
2013-05-31,5425.894233718507
2013-06-03,5376.912620282259
2013-06-04,5397.626890198088
2013-06-05,5385.704314423243
2013-06-06,5363.589973894741
2013-06-07,5351.195419597598
2013-06-10,5330.307544798914
2013-06-11,5244.339547179285
2013-06-12,5255.2640129169895
2013-06-13,5143.378419617729
2013-06-14,5212.781438587164
2013-06-17,5240.704863222167
2013-06-18,5228.884442690113
2013-06-19,5210.13544159432
2013-06-20,5078.964791116056
2013-06-21,5023.828598893074
2013-06-24,4944.16208750377
2013-06-25,4924.8387931504685
2013-06-26,5030.96918097109
2013-06-27,5114.999474817747
2013-06-28,5249.475538810917
2013-07-01,5244.633741047284
2013-07-02,5222.6250414293
2013-07-03,5142.699763537178
2013-07-04,5170.600827476375
2013-07-05,5204.3708810640865
2013-07-08,5114.437015290352
2013-07-09,5162.39768344304
2013-07-10,5198.258347423396
