Date,EM EASTERN EUROPE ex RUSSIA IMI
2010-04-29,785.1190877946973
2010-04-30,785.2790178549839
2010-05-03,783.3500073825369
2010-05-04,744.3399392213466
2010-05-05,714.8726564645723
2010-05-06,700.7621891443436
2010-05-07,675.3582386457049
2010-05-10,742.7719145966048
2010-05-11,731.6175866780725
2010-05-12,746.0715186860587
2010-05-13,749.6138651064302
2010-05-14,721.8444113473283
2010-05-17,725.5266349594464
2010-05-18,732.6393264326204
2010-05-19,696.0778388705484
2010-05-20,671.8476221219257
2010-05-21,678.7310943324177
2010-05-24,686.6170138055192
2010-05-25,654.3545817007218
2010-05-26,684.805700146307
2010-05-27,698.1693334568564
2010-05-28,705.8703296206937
2010-05-31,711.114852865792
2010-06-01,696.0280120787436
2010-06-02,699.5407367099734
2010-06-03,700.775442082829
2010-06-04,670.1148694015708
2010-06-07,665.3004075410603
2010-06-08,666.456284567823
2010-06-09,671.937225104126
2010-06-10,685.2677664294669
2010-06-11,683.8498469924051
2010-06-14,694.3665489521217
2010-06-15,696.6955110358275
2010-06-16,694.4594869403256
2010-06-17,689.3403496488445
2010-06-18,694.7122896710792
2010-06-21,706.9847904451069
2010-06-22,700.1481460569272
2010-06-23,687.8609569008393
2010-06-24,678.4710910689456
2010-06-25,675.5898428215983
2010-06-28,673.3777633355458
2010-06-29,657.8786254228617
2010-06-30,661.2195626868921
2010-07-01,655.070388233255
2010-07-02,666.9300965298271
2010-07-05,670.1263611098163
2010-07-06,682.4839159396613
2010-07-07,683.5557496686301
2010-07-08,693.4394929566603
2010-07-09,696.0101795176282
2010-07-12,701.2027106390427
2010-07-13,707.5194458017049
2010-07-14,710.4546655804243
2010-07-15,710.3188304020849
2010-07-16,698.0349927783309
2010-07-19,688.0332009795025
2010-07-20,687.0484911981303
2010-07-21,704.7455031654104
2010-07-22,714.3269879237238
2010-07-23,713.7522926711105
2010-07-26,727.2926810389029
2010-07-27,733.7650619371744
2010-07-28,731.5069602465562
2010-07-29,735.700947258693
2010-07-30,730.4960834213854
2010-08-02,753.9760487276453
2010-08-03,751.1721600771193
2010-08-04,757.9355351227099
2010-08-05,753.4601429799106
2010-08-06,753.0507849706503
2010-08-09,753.0295136772962
2010-08-10,742.279797110249
2010-08-11,727.832002243218
2010-08-12,730.2186865891364
2010-08-13,724.9945132493162
2010-08-16,737.7698289970975
2010-08-17,744.1127464959854
2010-08-18,742.793405768296
2010-08-19,737.3637130109815
2010-08-20,729.417414688871
2010-08-23,728.5054615198161
2010-08-24,712.5325455772096
2010-08-25,708.7587700738221
2010-08-26,715.6563912199985
2010-08-27,722.5471352203092
2010-08-30,720.2009463092309
2010-08-31,722.1747550799348
2010-09-01,734.7452139960452
2010-09-02,737.346830347377
2010-09-03,743.4269950758545
2010-09-06,749.0110081554261
2010-09-07,742.1366491497328
2010-09-08,753.8122157680389
2010-09-09,755.6585634925358
2010-09-10,752.7345834881392
2010-09-13,764.401731506255
2010-09-14,765.4589964268689
2010-09-15,765.1255783821614
2010-09-16,758.887350631814
2010-09-17,757.1584796498327
2010-09-20,763.6657962797085
2010-09-21,768.820045020902
2010-09-22,767.9071044802299
2010-09-23,760.846331294019
2010-09-24,773.1946605641583
2010-09-27,772.3216093751699
2010-09-28,764.7386599900112
2010-09-29,765.1139813229817
2010-09-30,775.1736958619496
2010-10-01,780.427791296508
2010-10-04,782.2310466042452
2010-10-05,790.1519731481844
2010-10-06,793.2854156932653
2010-10-07,783.5226928985087
2010-10-08,776.1419405366139
2010-10-11,785.0157510440206
2010-10-12,782.5561319894952
2010-10-13,801.575173956548
2010-10-14,800.4898670375119
2010-10-15,792.9881433288139
2010-10-18,791.6797597319805
2010-10-19,779.1500418702474
2010-10-20,781.8948620188786
2010-10-21,789.5642452673694
2010-10-22,783.359069973566
2010-10-25,792.1821874503755
2010-10-26,788.7537479740743
2010-10-27,787.138053578191
2010-10-28,787.6937769130495
2010-10-29,792.4370235479469
2010-11-01,793.3422908724039
2010-11-02,800.3100428415697
2010-11-03,801.1379657630337
2010-11-04,815.7454857121355
2010-11-05,813.4960589465833
2010-11-08,809.6783815295853
2010-11-09,826.3518474028299
2010-11-10,810.3760491772516
2010-11-11,799.4913281107148
2010-11-12,805.5700534945028
2010-11-15,801.7504314521157
2010-11-16,787.3994676188058
2010-11-17,785.9447815852906
2010-11-18,792.0445599390887
2010-11-19,785.4179859101146
2010-11-22,779.9680890463005
2010-11-23,774.5507517380677
2010-11-24,779.4863524683761
2010-11-25,773.1966946744383
2010-11-26,756.7650662023875
2010-11-29,737.8862511107404
2010-11-30,747.4076498806262
2010-12-01,766.6779471477496
2010-12-02,774.3039679850162
2010-12-03,784.6408303914594
2010-12-06,784.0688802222265
2010-12-07,788.0312147620562
2010-12-08,784.3598841489854
2010-12-09,783.4562611105139
2010-12-10,784.2186971311528
2010-12-13,791.6706644717927
2010-12-14,793.8476790316819
