Date,EM LATIN AMERICA SMALL GROWTH
2002-09-04,194.61257720865092
2002-09-05,192.7486826787099
2002-09-06,194.61854837055662
2002-09-09,197.42753186511038
2002-09-10,199.97190569544614
2002-09-11,201.86014039792627
2002-09-12,199.47088317590098
2002-09-13,198.3570534291537
2002-09-16,197.2893274274269
2002-09-17,193.9288682343106
2002-09-18,187.49888395380535
2002-09-19,181.1576151331521
2002-09-20,178.1310002953007
2002-09-23,173.5907062294687
2002-09-24,173.57815915585084
2002-09-25,172.95024574071053
2002-09-26,176.72571956645996
2002-09-27,173.28909296152378
2002-09-30,168.9271310162214
2002-10-01,173.51458638457615
2002-10-02,174.14959426936926
2002-10-03,172.68094578818426
2002-10-04,174.1451337670086
2002-10-07,172.1809305844881
2002-10-08,172.88271145961573
2002-10-09,167.86625312542634
2002-10-10,169.007798245542
2002-10-11,171.30903135052907
2002-10-14,171.3294433265306
2002-10-15,175.36767158507
2002-10-16,173.11405415813917
2002-10-17,176.35832078366636
2002-10-18,179.64570025664693
2002-10-21,180.71676449967887
2002-10-22,179.95983438585478
2002-10-23,182.75585695692783
2002-10-24,181.6525957047466
2002-10-25,182.2542601756488
2002-10-28,180.07821755906372
2002-10-29,175.94517255858005
2002-10-30,180.36215792573933
2002-10-31,181.80264956266896
2002-11-01,181.79080431282543
2002-11-04,183.78298558641094
2002-11-05,181.41765133851348
2002-11-06,182.4540003037312
2002-11-07,179.5086350060601
2002-11-08,180.60251235649503
2002-11-11,180.25066291229246
2002-11-12,178.5783444068934
2002-11-13,177.32831089099776
2002-11-14,178.59072509633097
2002-11-15,177.4494418903054
2002-11-18,178.65868540154202
2002-11-19,176.89733302765924
2002-11-20,179.50716046471615
2002-11-21,182.44157416375685
2002-11-22,181.74850298743786
2002-11-25,184.0235184350803
2002-11-26,182.1118600534122
2002-11-27,186.26299131026485
2002-11-28,187.71198618008574
2002-11-29,187.80618853556211
2002-12-02,189.23599948533035
2002-12-03,188.23662586655632
2002-12-04,185.62026696220522
2002-12-05,185.150847886543
2002-12-06,184.7714188191589
2002-12-09,183.36485347512252
2002-12-10,183.66132806053716
2002-12-11,185.40137778620317
2002-12-12,185.8478596151401
2002-12-13,183.54278270462288
2002-12-16,185.68789430202537
2002-12-17,184.54993805320123
2002-12-18,186.52977915620795
2002-12-19,189.3808450110597
2002-12-20,189.86340010478384
2002-12-23,187.15031869339262
2002-12-24,186.44586222913097
2002-12-25,186.36474813610153
2002-12-26,184.89447435925638
2002-12-27,182.10402167247585
2002-12-30,180.83035070527583
2002-12-31,179.72440636610872
2003-01-01,179.72879817288916
2003-01-02,183.76042214918982
2003-01-03,184.7783719382723
2003-01-06,187.28709133333032
2003-01-07,188.10353190090885
2003-01-08,188.85351011258285
2003-01-09,188.63474730286333
2003-01-10,188.05456960137593
2003-01-13,186.02039030201163
2003-01-14,186.49654092567403
2003-01-15,185.25759885384338
2003-01-16,185.90758620084634
2003-01-17,180.34638721388833
2003-01-20,179.50475840923198
2003-01-21,177.65349407859324
2003-01-22,175.81746528296782
2003-01-23,174.5946891755767
2003-01-24,169.57770519409462
2003-01-27,166.09195338870808
2003-01-28,165.329982411466
2003-01-29,165.3390940927161
2003-01-30,169.12998627172712
2003-01-31,171.54890662404298
2003-02-03,172.31664343651005
2003-02-04,167.72969231742505
2003-02-05,168.53834621200548
2003-02-06,168.38112421009527
2003-02-07,169.34200064684205
2003-02-10,169.67613640670842
2003-02-11,171.98387596794538
2003-02-12,170.85093843084402
2003-02-13,167.16745592398956
2003-02-14,167.43964848406438
2003-02-17,170.18157729695602
2003-02-18,173.13784612016408
2003-02-19,170.09479493784144
2003-02-20,168.36536139646665
2003-02-21,168.74153622627315
2003-02-24,169.0613332844776
2003-02-25,168.76850228954368
2003-02-26,167.8795450183011
2003-02-27,169.67685764431283
2003-02-28,170.6865880773726
2003-03-03,169.90500495636516
2003-03-04,167.79911932405776
2003-03-05,165.95588799733244
2003-03-06,166.70144283901715
2003-03-07,167.29829506785464
2003-03-10,163.62738808579786
2003-03-11,163.55742306879645
2003-03-12,166.73290548302313
2003-03-13,172.36111287536755
2003-03-14,175.3349801170759
2003-03-17,175.76352974464447
2003-03-18,177.48455575833262
2003-03-19,176.92364212953208
2003-03-20,176.97547110742653
2003-03-21,181.23271598259578
2003-03-24,177.62005505748792
2003-03-25,178.96170794240328
2003-03-26,179.31551822016027
2003-03-27,178.45775924292016
2003-03-28,179.03821326638513
2003-03-31,175.47060792493684
2003-04-01,176.5488181292518
2003-04-02,182.2063202593807
2003-04-03,185.05385984855982
2003-04-04,187.35624131304436
2003-04-07,190.40044600782167
2003-04-08,188.18266048494553
2003-04-09,187.25398574133374
2003-04-10,184.6094810245802
2003-04-11,186.63622578421308
2003-04-14,189.37527024909144
2003-04-15,193.64387197754476
2003-04-16,194.14930830874738
2003-04-17,196.629911435467
2003-04-18,196.6801794085299
2003-04-21,198.91283871111133
2003-04-22,196.66898267678422
2003-04-23,199.9866050612127
2003-04-24,197.8427368048135
2003-04-25,198.08681841234235
2003-04-28,199.6718460013507
2003-04-29,203.63035684070056
2003-04-30,205.30934814675155
2003-05-01,203.33491939809414
2003-05-02,206.82443037541
2003-05-05,203.73152499166414
2003-05-06,199.7140338011704
2003-05-07,203.34970060681707
2003-05-08,202.36772185991705
2003-05-09,205.52026168126045
