Date,EM EMEA VALUE WEIGHTED
1998-12-21,628.6634986589954
1998-12-22,629.691000971017
1998-12-23,633.7496474954393
1998-12-24,638.8880219453737
1998-12-25,640.5445575353004
1998-12-28,648.6687454345688
1998-12-29,652.0012202925593
1998-12-30,654.906628239441
1998-12-31,654.1619076885733
1999-01-01,654.1619076885733
1999-01-04,668.2341544751067
1999-01-05,681.2586423537265
1999-01-06,707.4379658895235
1999-01-07,703.5379643145906
1999-01-08,710.9740485005706
1999-01-11,704.0725955923022
1999-01-12,697.5796799151426
1999-01-13,654.1450539001461
1999-01-14,658.6420126281572
1999-01-15,653.2351092213646
1999-01-18,676.1688767987117
1999-01-19,674.7926110242579
1999-01-20,678.4847744799407
1999-01-21,672.0536720687893
1999-01-22,662.763757136004
1999-01-25,653.5254611627781
1999-01-26,660.646821957025
1999-01-27,668.6551149981519
1999-01-28,667.5112014365427
1999-01-29,671.3601603981635
1999-02-01,676.6906126283859
1999-02-02,674.9470131199305
1999-02-03,672.5413712371694
1999-02-04,677.7647762236585
1999-02-05,680.6218932770237
1999-02-08,684.899597122841
1999-02-09,674.9623967473642
1999-02-10,676.7606486704618
1999-02-11,688.9835928353912
1999-02-12,691.9689657035168
1999-02-15,689.4184035553444
1999-02-16,697.2132172516725
1999-02-17,699.4863663251261
1999-02-18,699.6839102711673
1999-02-19,695.4014113339366
1999-02-22,704.1572217007985
1999-02-23,694.0914658772502
1999-02-24,704.5986934738204
1999-02-25,704.1696373524061
1999-02-26,701.0658259561
1999-03-01,706.0284361603055
1999-03-02,705.7019905871025
1999-03-03,711.5719274690309
1999-03-04,707.0817259988509
1999-03-05,719.8748903704578
1999-03-08,732.369139071855
1999-03-09,741.1081964995024
1999-03-10,745.3410861614946
1999-03-11,762.5129925582723
1999-03-12,770.2424727614041
1999-03-15,768.3353226454379
1999-03-16,772.200280728189
1999-03-17,782.674163175965
1999-03-18,777.3155058640756
1999-03-19,792.7163126179213
1999-03-22,787.9494162915934
1999-03-23,778.2652481556578
1999-03-24,757.7357770798678
1999-03-25,772.056301306745
1999-03-26,768.9759008387914
1999-03-29,770.2106573187548
1999-03-30,777.9951819453262
1999-03-31,772.490283806676
1999-04-01,765.5355893052629
1999-04-02,771.3460966077544
1999-04-05,772.0430581375599
1999-04-06,774.8316583820867
1999-04-07,780.7450804794038
1999-04-08,778.8885834480058
1999-04-09,778.9111061674563
1999-04-12,778.2245128218395
1999-04-13,785.1974112389529
1999-04-14,804.6560939215947
1999-04-15,810.0943569695156
1999-04-16,826.7907076983641
1999-04-19,837.5719559142942
1999-04-20,834.3805961290597
1999-04-21,822.0007389198438
1999-04-22,825.4688887584832
1999-04-23,831.3716585817958
1999-04-26,834.3647503871463
1999-04-27,836.9744301657058
1999-04-28,844.5604874893936
1999-04-29,848.9211453430133
1999-04-30,862.2042066559
1999-05-03,870.2732129498187
1999-05-04,876.8351614282221
1999-05-05,881.7155089773097
1999-05-06,899.4702700302598
1999-05-07,888.5848591491952
1999-05-10,883.8372630690594
1999-05-11,885.8637417452726
1999-05-12,851.3577360395849
1999-05-13,853.734143783851
1999-05-14,857.6784032830886
1999-05-17,862.1283922931224
1999-05-18,879.4344179512126
1999-05-19,875.8281646649367
1999-05-20,871.3646122066563
1999-05-21,876.3419587604026
1999-05-24,871.0643354429851
1999-05-25,855.5184629425257
1999-05-26,845.0855945112323
1999-05-27,840.7736783369621
1999-05-28,838.3640339188822
1999-05-31,838.8764334418199
1999-06-01,854.7975151692505
1999-06-02,845.5763754336784
1999-06-03,860.624934187185
1999-06-04,866.3476363039061
1999-06-07,882.5309115459354
1999-06-08,889.6603824176456
1999-06-09,893.2228948959535
1999-06-10,896.3394289731732
1999-06-11,911.0719341644221
1999-06-14,912.4367632162067
1999-06-15,907.8655313083594
1999-06-16,915.0982029055402
1999-06-17,923.214282988353
1999-06-18,938.9113209046891
1999-06-21,955.007586385883
1999-06-22,950.0297121149189
1999-06-23,936.2994466532699
1999-06-24,933.1005508775686
1999-06-25,930.6612062617359
1999-06-28,931.7137170455587
1999-06-29,932.8414144659195
1999-06-30,940.7692863139255
1999-07-01,964.696434267846
1999-07-02,968.4763958507784
1999-07-05,989.0630393245763
1999-07-06,990.7468998871827
1999-07-07,982.2786599036015
1999-07-08,983.5039717403525
1999-07-09,983.5267584163709
1999-07-12,991.9092248324339
1999-07-13,967.4636277292467
1999-07-14,981.9698990679432
1999-07-15,988.4273450626044
1999-07-16,980.759807147765
1999-07-19,981.4145461304724
1999-07-20,977.3821280938635
1999-07-21,970.7666283829827
1999-07-22,975.5216287292963
1999-07-23,971.2597682054646
1999-07-26,962.7622792896834
1999-07-27,958.491003349398
1999-07-28,957.4946445264497
1999-07-29,938.3734255089121
1999-07-30,945.8897943085076
1999-08-02,934.3457977170245
1999-08-03,938.7841698757095
1999-08-04,936.2962352610183
1999-08-05,923.735734136188
1999-08-06,921.359032521529
1999-08-09,922.8378448041241
1999-08-10,917.3134480319266
1999-08-11,919.8453778973034
1999-08-12,935.0135583730571
1999-08-13,936.0208552804289
1999-08-16,938.7081541688921
1999-08-17,931.7447423989659
1999-08-18,934.5916368291232
1999-08-19,931.6246485160116
1999-08-20,932.1691308100178
1999-08-23,950.829285977313
1999-08-24,945.805502493836
1999-08-25,945.0605120061407
1999-08-26,929.3528873737899
1999-08-27,923.3875002810067
1999-08-30,920.9630403091285
1999-08-31,911.5845220049029
1999-09-01,924.6376081574851
1999-09-02,920.1920419092509
1999-09-03,923.8424849139908
1999-09-06,936.2649382868649
1999-09-07,931.6457500570398
1999-09-08,921.0782035978033
1999-09-09,917.9798169956861
1999-09-10,921.2026320801225
1999-09-13,915.2179514964043
1999-09-14,925.5388151253218
1999-09-15,919.857918333649
1999-09-16,904.1521550121397
1999-09-17,901.2281193264571
1999-09-20,897.9748543313325
1999-09-21,883.728967096988
1999-09-22,883.5717033230939
1999-09-23,884.5921796905
1999-09-24,873.8135231754833
1999-09-27,880.9908708265241
1999-09-28,895.9015868648119
1999-09-29,894.8844669568816
1999-09-30,897.1590044688958
1999-10-01,900.3478225036553
1999-10-04,918.6110237081793
1999-10-05,928.8655524737123
1999-10-06,926.6755082060877
1999-10-07,939.054544842698
1999-10-08,948.1534946508951
1999-10-11,954.4615172424315
1999-10-12,951.5781656528497
1999-10-13,938.4827967629004
1999-10-14,933.7089591993831
1999-10-15,909.7567095858807
1999-10-18,893.9588271646763
1999-10-19,906.1391331095508
1999-10-20,914.8702338535728
1999-10-21,899.9450370996155
1999-10-22,911.3379914755931
1999-10-25,912.2839935088174
1999-10-26,913.2282261295805
1999-10-27,904.8776757737699
1999-10-28,912.2178279416181
1999-10-29,918.4175945790195
1999-11-01,923.1088940376967
1999-11-02,924.1660418915803
1999-11-03,921.9185174160737
1999-11-04,932.403117807786
1999-11-05,939.3948433791616
1999-11-08,940.0185139258635
1999-11-09,960.5330546070301
1999-11-10,962.6778953129873
1999-11-11,967.3344325339668
1999-11-12,964.5400642381253
1999-11-15,971.4495751085141
1999-11-16,979.631899161624
1999-11-17,981.9082641576209
1999-11-18,977.6421528005363
1999-11-19,990.7366931938406
1999-11-22,998.76181367221
1999-11-23,998.8864721239433
1999-11-24,985.3653264985905
1999-11-25,991.2512979737334
1999-11-26,993.7934090277134
1999-11-29,988.1867969580729
1999-11-30,982.636504960371
1999-12-01,992.5251127775981
1999-12-02,1001.5154027729411
1999-12-03,1006.5335631424869
1999-12-06,1018.4502658341039
1999-12-07,1015.5193584334274
1999-12-08,1019.4031257370942
1999-12-09,1036.8455768827835
1999-12-10,1051.9813180324722
1999-12-13,1071.9384963309078
1999-12-14,1061.2787222803775
1999-12-15,1062.2766428299544
1999-12-16,1061.885331984376
1999-12-17,1072.5689456754324
1999-12-20,1093.9835033653678
1999-12-21,1097.1772082530365
1999-12-22,1105.7921129007307
1999-12-23,1104.1556982505285
1999-12-24,1113.1996963359156
1999-12-27,1137.280675027555
1999-12-28,1132.5485742676378
1999-12-29,1136.1385165054123
1999-12-30,1145.3531718480353
1999-12-31,1161.4085228040494
2000-01-03,1181.4348521217305
2000-01-04,1183.9943504061785
2000-01-05,1165.1389958447344
2000-01-06,1161.7812119148457
2000-01-07,1182.0754926598117
2000-01-10,1226.7966663838172
2000-01-11,1228.4273654325382
2000-01-12,1227.6325293802834
2000-01-13,1249.1091527978933
2000-01-14,1268.097593252817
2000-01-17,1277.525380924588
2000-01-18,1275.3982836772634
2000-01-19,1253.476553218061
2000-01-20,1268.0386715632126
2000-01-21,1259.8568630464738
2000-01-24,1252.1693135611754
2000-01-25,1214.1956609293125
2000-01-26,1208.1945494754777
2000-01-27,1204.6268169583898
2000-01-28,1176.526819647419
2000-01-31,1147.406928778388
2000-02-01,1173.7833512444263
2000-02-02,1176.4301556957632
2000-02-03,1196.5628061939751
2000-02-04,1196.713056693155
2000-02-07,1212.000537378816
2000-02-08,1226.5177421845667
2000-02-09,1229.7506647311475
2000-02-10,1216.7222281104155
2000-02-11,1208.9822233553916
2000-02-14,1195.0288249664516
2000-02-15,1191.889179069462
2000-02-16,1188.0762662340758
2000-02-17,1195.0088262593686
2000-02-18,1192.5565572314604
2000-02-21,1178.3243087939125
2000-02-22,1170.6379709121
2000-02-23,1177.751804169982
2000-02-24,1190.312653102595
2000-02-25,1176.0407038044239
2000-02-28,1138.3564685769481
2000-02-29,1150.9036719407022
2000-03-01,1179.3412218335457
2000-03-02,1172.088905087309
2000-03-03,1161.9817935436859
2000-03-06,1170.4108894385306
2000-03-07,1175.6337407845213
2000-03-08,1174.1127932277066
2000-03-09,1197.2401498394845
2000-03-10,1203.124625749118
2000-03-13,1167.1268569152264
2000-03-14,1177.5379239897213
2000-03-15,1168.4260059138091
2000-03-16,1182.786205170591
2000-03-17,1188.5654985880856
2000-03-20,1175.8001307422614
2000-03-21,1174.9518750978582
2000-03-22,1178.1370477380924
2000-03-23,1187.9632519555755
2000-03-24,1206.0746731121724
2000-03-27,1208.4320027031417
2000-03-28,1191.218323900227
2000-03-29,1177.7964688358338
2000-03-30,1140.916169337498
2000-03-31,1149.213029236235
2000-04-03,1139.5018629505091
2000-04-04,1145.2655583081582
2000-04-05,1110.3266867491739
2000-04-06,1137.6304073842896
2000-04-07,1139.483758787659
2000-04-10,1153.1570495540136
2000-04-11,1126.6791781912511
2000-04-12,1129.7343212185808
2000-04-13,1113.0134484181012
2000-04-14,1095.3018355634715
2000-04-17,1012.7302399903292
2000-04-18,1023.4634995703373
2000-04-19,1042.8028857306215
2000-04-20,1054.8384613327767
2000-04-21,1061.0568540301203
2000-04-24,1054.2698959929955
2000-04-25,1071.3689893584494
2000-04-26,1081.740337148939
2000-04-27,1074.541758889694
2000-04-28,1090.2781866061923
2000-05-01,1087.5977821496147
2000-05-02,1091.7373573251682
2000-05-03,1081.5557995498298
2000-05-04,1066.232115801323
2000-05-05,1056.6620498146337
2000-05-08,1062.5805051481723
2000-05-09,1068.4295885692761
2000-05-10,1065.6249310069786
2000-05-11,1065.5268143624965
2000-05-12,1054.5676201594156
2000-05-15,1056.0719817443294
2000-05-16,1066.9224638328544
2000-05-17,1043.0282143929958
2000-05-18,1034.245942711277
2000-05-19,1009.0372389971255
2000-05-22,999.3970651530802
2000-05-23,989.0915982019834
2000-05-24,973.6311549164608
2000-05-25,1000.3906736974207
2000-05-26,1007.1007421736184
2000-05-29,1020.2897028175481
2000-05-30,1037.1774669167746
2000-05-31,1047.5859139037843
2000-06-01,1055.1513443999422
