Date,EM EUROPE & MIDDLE EAST
2002-06-14,78.59918752333235
2002-06-17,78.94196011210211
2002-06-18,78.3001275666685
2002-06-19,76.25191495464104
2002-06-20,73.62060840507509
2002-06-21,73.61273411175395
2002-06-24,71.03560690918243
2002-06-25,72.09759723723357
2002-06-26,68.47886060871328
2002-06-27,71.66454257015404
2002-06-28,71.64195475077022
2002-07-01,72.43856211353655
2002-07-02,70.90114428189362
2002-07-03,71.67227020767544
2002-07-04,72.23197879235617
2002-07-05,74.19868234119852
2002-07-08,72.74789082293944
2002-07-09,72.82355120754731
2002-07-10,73.78382647150346
2002-07-11,71.46353590988348
2002-07-12,71.91844801383483
2002-07-15,70.85176205490107
2002-07-16,70.23380752518585
2002-07-17,72.99973607359333
2002-07-18,72.59324215939077
2002-07-19,71.06562271118331
2002-07-22,69.66808006224011
2002-07-23,69.50989956992136
2002-07-24,66.24165561946319
2002-07-25,65.34785903073791
2002-07-26,66.68174163799057
2002-07-29,69.81755983122163
2002-07-30,69.27085336864725
2002-07-31,69.21343524832409
2002-08-01,69.81259080387377
2002-08-02,69.39180413850067
2002-08-05,67.33819893077556
2002-08-06,69.1860353617027
2002-08-07,69.7238258681115
2002-08-08,70.73172061140151
2002-08-09,69.97046948302437
2002-08-12,69.20639820518197
2002-08-13,69.92139070684313
2002-08-14,69.98808759212562
2002-08-15,70.85211096715763
2002-08-16,70.8612796193403
2002-08-19,72.59222561016175
2002-08-20,72.32841925138125
2002-08-21,72.96671212553258
2002-08-22,73.61305985496966
2002-08-23,73.05938490783603
2002-08-26,73.09057996094802
2002-08-27,73.34966780094855
2002-08-28,72.22204530428029
2002-08-29,70.57962534805444
2002-08-30,70.77875800974603
2002-09-02,70.11632441041345
2002-09-03,68.34574144718803
2002-09-04,69.10666746860831
2002-09-05,68.58864680295427
2002-09-06,70.00601660811823
2002-09-09,70.29402954327264
2002-09-10,71.76532114309441
2002-09-11,72.90337612605255
2002-09-12,71.44325880593145
2002-09-13,70.48681272284111
2002-09-16,70.57576658859404
2002-09-17,71.70656040047771
2002-09-18,69.68223419140561
2002-09-19,68.40781062702236
2002-09-20,69.17039890613141
2002-09-23,68.611324163043
2002-09-24,68.58123815074005
2002-09-25,69.95507034496961
2002-09-26,70.25119306239505
2002-09-27,69.35563938945883
2002-09-30,66.98377130080743
2002-10-01,67.61988634727592
2002-10-02,68.04866438211648
2002-10-03,68.02142014682522
2002-10-04,68.72441461622775
2002-10-07,68.07909442026727
2002-10-08,68.01643744617655
2002-10-09,67.05141696314658
2002-10-10,67.40396251706392
2002-10-11,67.97060472002089
2002-10-14,67.29478780952873
2002-10-15,69.59000582546851
2002-10-16,69.15767235531521
2002-10-17,71.45415071576826
2002-10-18,70.95776114128873
2002-10-21,71.54746096598002
2002-10-22,71.21759362437363
2002-10-23,71.24483530374134
2002-10-24,70.9263692408013
2002-10-25,70.76166873599183
2002-10-28,70.978891370058
2002-10-29,70.24395460763117
2002-10-30,71.56391158679634
2002-10-31,71.6939788226376
2002-11-01,71.58188979861332
2002-11-04,72.84701765582815
2002-11-05,72.79496198062097
2002-11-06,72.88543339298332
2002-11-07,73.22157800099792
2002-11-08,72.8611158920494
2002-11-11,72.4482979227372
2002-11-12,72.36823575980367
2002-11-13,72.77976228273616
2002-11-14,74.11016887780038
2002-11-15,74.6197131614228
2002-11-18,75.7419981158924
2002-11-19,74.24925979109113
2002-11-20,74.75933977076664
2002-11-21,77.01214454084902
2002-11-22,76.62528929532297
2002-11-25,77.3214714453551
2002-11-26,76.81404446646518
2002-11-27,77.70311810227781
2002-11-28,77.58041014595308
2002-11-29,77.94885811495932
2002-12-02,78.75518656135097
2002-12-03,76.93654033823061
2002-12-04,75.77723919439367
2002-12-05,75.96812835594503
2002-12-06,74.92450305706107
2002-12-09,74.37715489263739
2002-12-10,74.52310207622543
2002-12-11,73.62455277895789
2002-12-12,73.83710494571731
2002-12-13,73.43144796361938
2002-12-16,72.92732478707575
2002-12-17,71.77787861145381
2002-12-18,70.9846406527565
2002-12-19,70.79658834324489
2002-12-20,70.96178118272822
2002-12-23,70.17965780623084
2002-12-24,69.4126923725447
2002-12-25,69.52781611131805
2002-12-26,69.49450287066648
2002-12-27,69.32734716518237
2002-12-30,68.92894228712488
2002-12-31,68.82989007809812
2003-01-01,68.9716425419322
2003-01-02,70.18792820300905
2003-01-03,70.56217877610693
2003-01-06,70.1250862653465
2003-01-07,69.70001751507507
2003-01-08,69.54551429182017
2003-01-09,69.48917679982327
2003-01-10,69.34477715424597
2003-01-13,69.41729238261844
2003-01-14,68.95455578755693
2003-01-15,69.16629389596304
2003-01-16,69.23447194813131
2003-01-17,67.66149740327442
2003-01-20,67.6258639759718
2003-01-21,66.2389912243957
2003-01-22,65.53945143661699
2003-01-23,65.85510083349487
2003-01-24,65.28177687043306
2003-01-27,64.58214785024761
2003-01-28,65.08015246881283
2003-01-29,65.36666694812125
2003-01-30,66.23258839037324
2003-01-31,65.83705706881857
2003-02-03,66.14259003631798
2003-02-04,64.44752563077037
2003-02-05,64.42319311069136
2003-02-06,64.06957126255911
2003-02-07,64.82878926000892
2003-02-10,65.40723626767432
2003-02-11,66.93809090047799
2003-02-12,66.63504014351611
2003-02-13,65.75272636102237
2003-02-14,66.02867733107604
2003-02-17,67.61560691931619
2003-02-18,68.71959972289574
2003-02-19,67.56582052382737
2003-02-20,67.29118381044161
2003-02-21,67.5556770262349
2003-02-24,67.44959062578178
2003-02-25,67.32584552137985
2003-02-26,67.20628806803906
2003-02-27,68.15868489501202
2003-02-28,68.36891103916224
2003-03-03,67.42088390871545
2003-03-04,66.81713141270654
2003-03-05,67.04404948449147
2003-03-06,67.30337777806085
2003-03-07,66.68020767487751
2003-03-10,66.59008208230041
2003-03-11,66.00478219494127
2003-03-12,65.52078542224521
2003-03-13,66.96755111899334
2003-03-14,67.03884164886652
2003-03-17,66.0970890279738
2003-03-18,67.02175790827145
2003-03-19,67.27082512570925
2003-03-20,67.05694785219771
2003-03-21,67.80066405429368
2003-03-24,66.30102635354494
2003-03-25,66.72895779412707
2003-03-26,67.68367857532219
2003-03-27,67.42331347012426
2003-03-28,67.19541634380592
2003-03-31,65.36277460815089
2003-04-01,66.09648075857166
2003-04-02,67.77940899027752
2003-04-03,68.7680253549306
2003-04-04,69.24821066948236
2003-04-07,70.96797194195936
2003-04-08,70.64958447151199
2003-04-09,71.24312521949828
2003-04-10,69.8618071559231
2003-04-11,70.618841439347
2003-04-14,71.62609686533045
2003-04-15,72.86076995191165
2003-04-16,72.66541512505967
2003-04-17,72.75970784921762
2003-04-18,73.67334231887357
2003-04-21,76.03232611884978
2003-04-22,74.8484501847268
2003-04-23,75.87759216667213
2003-04-24,74.6193647316318
2003-04-25,75.70375003249121
2003-04-28,77.33885915897405
2003-04-29,76.75412674437753
2003-04-30,75.37578658231598
2003-05-01,74.96865246679586
2003-05-02,75.66389207462967
2003-05-05,76.57344538037715
2003-05-06,75.74343931280903
2003-05-07,74.96560966864598
2003-05-08,74.12350657514403
2003-05-09,74.08384475518743
2003-05-12,74.90179114677773
2003-05-13,75.45441434023012
2003-05-14,76.02715241515145
2003-05-15,76.26754357903025
