Date,WORLD ex EMU HIGH DIVIDEND YIELD
2008-01-08,1472.4673628377375
2008-01-09,1475.6550729228484
2008-01-10,1473.283859714946
2008-01-11,1457.025104720538
2008-01-14,1455.190191861855
2008-01-15,1424.0909319129692
2008-01-16,1427.920359485576
2008-01-17,1405.5829667548003
2008-01-18,1393.1988241295094
2008-01-21,1367.4008744464657
2008-01-22,1365.9025583210475
2008-01-23,1386.7676396663035
2008-01-24,1406.4823362694171
2008-01-25,1403.6605756080332
2008-01-28,1404.666755029793
2008-01-29,1420.3437741116543
2008-01-30,1408.2228834631082
2008-01-31,1420.5518828505355
2008-02-01,1437.6881021025295
2008-02-04,1430.4894094470874
2008-02-05,1401.8088981052929
2008-02-06,1394.008100851878
2008-02-07,1395.907310121124
2008-02-08,1392.4324457752698
2008-02-11,1384.6228725427563
2008-02-12,1405.9300536188662
2008-02-13,1411.4875344529166
2008-02-14,1399.7910688172856
2008-02-15,1384.8140526029063
2008-02-18,1396.8570030332266
2008-02-19,1387.7456330516745
2008-02-20,1385.7681157639406
2008-02-21,1374.5711849308975
2008-02-22,1376.6438096227669
2008-02-25,1397.9550602749923
2008-02-26,1406.5619304751845
2008-02-27,1393.1032086350895
2008-02-28,1365.869630382789
2008-02-29,1335.6270307468249
2008-03-03,1320.2887197310881
2008-03-04,1308.552008911904
2008-03-05,1314.634425775208
2008-03-06,1286.8571446059887
2008-03-07,1275.2290535239583
2008-03-10,1258.7051742840795
2008-03-11,1298.4068129546708
2008-03-12,1293.3526635100416
2008-03-13,1279.1382236175757
2008-03-14,1254.3221109062476
2008-03-17,1217.4254138156618
2008-03-18,1265.9072487066614
2008-03-19,1261.5502611991515
2008-03-20,1294.281283538498
2008-03-21,1294.5439553805043
2008-03-24,1305.9435202918369
2008-03-25,1314.576535775658
2008-03-26,1290.1576772488868
2008-03-27,1288.5239578694593
2008-03-28,1277.5987563874494
2008-03-31,1274.2583390215614
2008-04-01,1331.0953474123553
2008-04-02,1340.4081387984959
2008-04-03,1340.4804508050968
2008-04-04,1330.772936698457
2008-04-07,1337.7406219013349
2008-04-08,1323.3358169042313
2008-04-09,1307.618094328599
2008-04-10,1307.6353906992697
2008-04-11,1280.476194682495
2008-04-14,1265.270618699253
2008-04-15,1272.1679659744736
2008-04-16,1289.0030805828292
2008-04-17,1291.1005022850761
2008-04-18,1321.271871058891
2008-04-21,1302.5524033613726
2008-04-22,1294.372341012712
2008-04-23,1302.983781812387
2008-04-24,1321.0732078335377
2008-04-25,1339.1525044778673
2008-04-28,1344.0822791713367
2008-04-29,1340.3911226264754
2008-04-30,1346.4437352008385
2008-05-01,1367.0454954765348
2008-05-02,1387.9185406272222
2008-05-05,1375.0061041975212
2008-05-06,1367.0328083916593
2008-05-07,1364.9990172781813
2008-05-08,1362.9077100786592
2008-05-09,1351.8612143754588
2008-05-12,1359.8350206350278
2008-05-13,1353.9154690671091
2008-05-14,1359.2051404791357
2008-05-15,1365.7074032749085
2008-05-16,1365.347725143245
2008-05-19,1375.1171222996559
2008-05-20,1347.5915323943877
2008-05-21,1325.0229965971798
2008-05-22,1334.3001283728536
2008-05-23,1314.1887389356837
2008-05-26,1310.5550790812886
2008-05-27,1312.2272575387244
2008-05-28,1320.6851764088663
2008-05-29,1335.8569796033978
2008-05-30,1332.2349718411629
2008-06-02,1316.258289829907
2008-06-03,1317.651005950818
2008-06-04,1309.547343015387
2008-06-05,1316.4676830186381
2008-06-06,1278.0317307635644
2008-06-09,1268.0293824152686
2008-06-10,1274.1476174039865
2008-06-11,1255.4680190767924
2008-06-12,1259.6151624907675
2008-06-13,1273.4904211526093
2008-06-16,1265.9327775107695
2008-06-17,1258.6088851732413
2008-06-18,1241.7658083482895
2008-06-19,1238.1709944941442
2008-06-20,1208.7637162793553
2008-06-23,1215.4325720481695
2008-06-24,1209.6326307583902
2008-06-25,1222.2822399871543
2008-06-26,1184.9710263520599
2008-06-27,1176.9046321331864
2008-06-30,1183.4003171829443
2008-07-01,1173.6466940178448
2008-07-02,1157.7355248202282
2008-07-03,1173.6035922054327
2008-07-04,1172.3327181146772
2008-07-07,1169.2143981669742
2008-07-08,1179.4563780048732
2008-07-09,1172.9390590590467
2008-07-10,1161.6144610892175
2008-07-11,1135.8560222097692
2008-07-14,1126.7061068113076
2008-07-15,1105.8452769253543
2008-07-16,1140.5725891523364
2008-07-17,1167.9808423664992
2008-07-18,1178.06666053931
2008-07-21,1178.9869686287911
2008-07-22,1191.5846707850096
2008-07-23,1222.62585250155
2008-07-24,1201.7293452502727
2008-07-25,1193.0453602212265
2008-07-28,1166.0371252762639
2008-07-29,1189.9286622076816
2008-07-30,1211.1333072105847
2008-07-31,1201.6565727274722
2008-08-01,1199.0011008925003
2008-08-04,1191.9992715586138
2008-08-05,1229.3605430656323
2008-08-06,1239.669593960721
2008-08-07,1226.0888119305253
2008-08-08,1263.3556939500281
2008-08-11,1284.759582845614
2008-08-12,1275.1859288715702
2008-08-13,1251.3936859042767
2008-08-14,1258.4906857556857
2008-08-15,1275.749744908816
2008-08-18,1264.0290784156625
2008-08-19,1237.4548878070004
2008-08-20,1242.4957603963585
2008-08-21,1231.075481244779
2008-08-22,1253.4376846454138
2008-08-25,1242.6342740771681
2008-08-26,1246.300400358667
2008-08-27,1251.5058043362471
2008-08-28,1272.0784436188242
2008-08-29,1266.0978113557005
2008-09-01,1269.9763062755394
2008-09-02,1284.0756342544264
2008-09-03,1284.3152108509926
2008-09-04,1257.2656383071214
2008-09-05,1259.263799506675
2008-09-08,1310.2444758192453
2008-09-09,1293.0347625847903
2008-09-10,1292.6630733510613
2008-09-11,1302.3916081035588
2008-09-12,1296.2332431938305
2008-09-15,1241.5851379126602
2008-09-16,1240.8770790775175
2008-09-17,1195.1426081112577
2008-09-18,1219.3820997152209
2008-09-19,1300.8229270360848
2008-09-22,1248.779070566496
2008-09-23,1223.841742402879
2008-09-24,1226.570882110732
2008-09-25,1252.7056790642903
2008-09-26,1255.5048436820725
2008-09-29,1176.0173802801146
2008-09-30,1237.5471611731555
2008-10-01,1255.494504014814
2008-10-02,1246.2305293667282
2008-10-03,1245.9388704667967
2008-10-06,1196.8065925398455
2008-10-07,1144.404841654079
2008-10-08,1097.6128224973356
2008-10-09,1034.4148327430403
2008-10-10,1001.3147555089521
2008-10-13,1080.8041128670038
2008-10-14,1115.955174750303
2008-10-15,1053.063916416015
2008-10-16,1059.3564734467948
2008-10-17,1068.0969397403824
2008-10-20,1127.457073098091
2008-10-21,1116.3432858794347
2008-10-22,1072.5578495249017
2008-10-23,1082.656709829555
2008-10-24,1041.7222403413919
2008-10-27,1037.6029445722352
2008-10-28,1108.5619034576084
2008-10-29,1106.2023194089952
2008-10-30,1125.5803157389892
