Date,MSCI USA Small Cap Momentum Index
2015-09-30,4309.318422922593
2015-10-01,4298.942924439688
2015-10-02,4321.487592484269
2015-10-05,4407.014485983497
2015-10-06,4325.054898366163
2015-10-07,4386.483446280195
2015-10-08,4380.839195049554
2015-10-09,4368.9080514305515
2015-10-12,4376.8632830897905
2015-10-13,4315.931929139144
2015-10-14,4236.799336513544
2015-10-15,4346.489491448024
2015-10-16,4360.195763164757
2015-10-19,4406.011724112959
2015-10-20,4366.031960648183
2015-10-21,4309.44615845432
2015-10-22,4385.856534152529
2015-10-23,4468.085467589439
2015-10-26,4457.442076417624
2015-10-27,4427.704467323991
2015-10-28,4538.640495534076
2015-10-29,4527.682148462074
2015-10-30,4470.634278418537
2015-11-02,4561.5429647836845
2015-11-03,4608.742702200955
2015-11-04,4645.438622204642
2015-11-05,4642.178025685503
2015-11-06,4739.910173551922
2015-11-09,4696.328999826489
2015-11-10,4739.388804629929
2015-11-11,4683.56087798591
2015-11-12,4588.998554493111
2015-11-13,4575.498546450438
2015-11-16,4609.710414656173
2015-11-17,4642.344012383202
2015-11-18,4718.461048049783
2015-11-19,4651.96043118157
2015-11-20,4712.395527682424
2015-11-23,4770.801669544553
2015-11-24,4779.475654540409
2015-11-25,4829.476035420407
2015-11-26,4821.744507724565
2015-11-27,4855.215905070433
2015-11-30,4828.484486700877
2015-12-01,4829.768189498209
2015-12-02,4808.422401885119
2015-12-03,4611.335235592937
2015-12-04,4671.315881022602
2015-12-07,4628.391003767846
2015-12-08,4621.791585850511
2015-12-09,4507.860030833237
2015-12-10,4531.951478545482
2015-12-11,4421.3912238014
2015-12-14,4401.884279353186
2015-12-15,4499.971848980916
2015-12-16,4548.588721166773
2015-12-17,4540.029106736477
2015-12-18,4468.756324321364
2015-12-21,4459.3943997123015
2015-12-22,4461.296780744595
2015-12-23,4532.824119775767
2015-12-24,4510.607339019695
2015-12-25,4510.607339019695
2015-12-28,4502.352864308746
2015-12-29,4581.409101575404
2015-12-30,4545.241661130434
2015-12-31,4507.040554074241
2016-01-01,4507.040554074241
2016-01-04,4414.056802295731
2016-01-05,4468.79360522874
2016-01-06,4417.7860633115815
2016-01-07,4285.703131270028
2016-01-08,4195.4577420448295
2016-01-11,4193.734062751522
2016-01-12,4238.957377227924
2016-01-13,4093.313009074993
2016-01-14,4162.065743375581
2016-01-15,4060.0680488754165
2016-01-18,4088.627214498972
2016-01-19,4049.4175686433655
2016-01-20,4051.931079088072
2016-01-21,4051.598326519052
2016-01-22,4142.6255890218545
2016-01-25,4065.498318926429
2016-01-26,4116.199869162295
2016-01-27,4054.02835066722
2016-01-28,4031.3005289279677
2016-01-29,4190.568092748474
2016-02-01,4158.838500857293
2016-02-02,4068.9985331728685
2016-02-03,4004.696563975645
2016-02-04,3950.3076823417814
2016-02-05,3837.5165054107297
2016-02-08,3753.5934283755482
2016-02-09,3700.1359835900307
2016-02-10,3753.309249516267
2016-02-11,3675.0887296225565
2016-02-12,3769.6795833700257
2016-02-15,3803.335926727316
2016-02-16,3879.2414654448125
2016-02-17,3929.5545490294244
2016-02-18,3917.72127562552
2016-02-19,3953.2109500678416
2016-02-22,4018.782878425186
2016-02-23,3985.5682319027915
2016-02-24,4019.449517665239
2016-02-25,4055.087635605004
2016-02-26,4109.543425799441
2016-02-29,4092.83994057222
2016-03-01,4187.11755493815
2016-03-02,4222.490235536622
2016-03-03,4201.331914679194
2016-03-04,4196.29437414556
2016-03-07,4219.477738312561
2016-03-08,4128.543016670078
2016-03-09,4154.21131931153
2016-03-10,4073.7629633375764
2016-03-11,4144.6462710332935
2016-03-14,4155.569446548171
2016-03-15,4106.914399898347
2016-03-16,4135.909462429797
2016-03-17,4079.152898753478
2016-03-18,4122.07423796858
2016-03-21,4125.228022560698
2016-03-22,4150.886222689801
2016-03-23,4115.521053743203
2016-03-24,4119.371063395608
2016-03-25,4119.371063395608
2016-03-28,4114.129042067155
2016-03-29,4218.749050290873
2016-03-30,4166.454926318977
2016-03-31,4155.327418184855
2016-04-01,4212.607232490131
2016-04-04,4176.148781346571
2016-04-05,4130.474286260253
2016-04-06,4187.868214460288
2016-04-07,4124.891025458895
2016-04-08,4126.568635520624
2016-04-11,4088.527125304471
2016-04-12,4141.793992992355
2016-04-13,4255.155702661255
2016-04-14,4260.595089679466
2016-04-15,4256.324611327882
2016-04-18,4278.080040814888
2016-04-19,4260.490719242557
2016-04-20,4291.962323100206
2016-04-21,4281.544250398516
2016-04-22,4327.993437367619
2016-04-25,4298.643843923154
2016-04-26,4311.371630625889
2016-04-27,4310.27731460436
2016-04-28,4261.413115365579
2016-04-29,4183.964178520118
2016-05-02,4211.426292127675
2016-05-03,4149.827051204254
2016-05-04,4123.182214860592
2016-05-05,4151.222647531513
2016-05-06,4159.455091325781
2016-05-09,4195.804313960368
2016-05-10,4235.557335433152
2016-05-11,4181.380546929775
2016-05-12,4186.3621715424015
2016-05-13,4206.15780791706
2016-05-16,4251.55618222643
2016-05-17,4181.9343680573065
2016-05-18,4252.493331442788
2016-05-19,4249.186914254803
2016-05-20,4301.614443631946
2016-05-23,4303.009560320215
2016-05-24,4412.315504595106
2016-05-25,4429.831824699849
2016-05-26,4409.548137408328
2016-05-27,4464.803604795987
2016-05-30,4462.198000250182
2016-05-31,4472.209524257084
2016-06-01,4478.644452370146
2016-06-02,4502.506210744804
2016-06-03,4432.228128216767
2016-06-06,4433.735078551694
2016-06-07,4452.84259751309
2016-06-08,4474.620719458639
2016-06-09,4505.341641543812
2016-06-10,4474.225561771088
2016-06-13,4436.595211338327
2016-06-14,4468.345303705392
2016-06-15,4463.36675778938
2016-06-16,4508.026844058574
2016-06-17,4446.434775776574
2016-06-20,4452.117715620732
2016-06-21,4481.67621355197
2016-06-22,4463.643569634233
2016-06-23,4496.399667519886
2016-06-24,4482.971993054099
2016-06-27,4470.530907238261
2016-06-28,4508.68712872874
2016-06-29,4555.353343706915
2016-06-30,4639.031073489461
2016-07-01,4629.437045294174
2016-07-04,4627.150903543412
2016-07-05,4627.221840353812
2016-07-06,4663.48789520165
2016-07-07,4650.293430248849
2016-07-08,4735.954902176129
2016-07-11,4758.082565331687
2016-07-12,4758.26467588615
2016-07-13,4741.2782528229145
2016-07-14,4732.3816602497845
2016-07-15,4748.098666124132
2016-07-18,4755.730325697233
2016-07-19,4771.779222250853
2016-07-20,4782.329056507712
2016-07-21,4764.989350972616
2016-07-22,4817.012007897447
2016-07-25,4807.642279942431
2016-07-26,4814.130600784097
2016-07-27,4803.95993660073
2016-07-28,4782.056085461216
2016-07-29,4758.64527885077
2016-08-01,4767.326534204447
2016-08-02,4688.975691252998
2016-08-03,4707.949064213483
2016-08-04,4727.1708698235925
2016-08-05,4776.547700330455
2016-08-08,4762.706931850952
2016-08-09,4756.3012384365675
2016-08-10,4726.097969092866
2016-08-11,4719.683030573514
2016-08-12,4721.031574717893
2016-08-15,4726.912647847225
2016-08-16,4648.660186220579
2016-08-17,4642.246326103461
2016-08-18,4649.466182059167
2016-08-19,4643.668897477463
2016-08-22,4656.725649069275
2016-08-23,4677.877295513257
2016-08-24,4672.531268023997
2016-08-25,4671.015549605272
2016-08-26,4649.769732449525
2016-08-29,4725.052544822021
2016-08-30,4723.405800866974
2016-08-31,4715.93024332041
2016-09-01,4703.310139938481
2016-09-02,4764.612697922902
2016-09-05,4771.880062856255
2016-09-06,4739.990348621223
2016-09-07,4754.506921626859
2016-09-08,4714.452404164312
2016-09-09,4600.032462064577
2016-09-12,4644.26960834714
2016-09-13,4551.149284848734
2016-09-14,4551.5735753361
2016-09-15,4601.097673473535
2016-09-16,4629.103769742703
2016-09-19,4654.564707082227
2016-09-20,4650.5439253930335
2016-09-21,4726.521969613057
2016-09-22,4743.553983073926
2016-09-23,4723.351623304008
2016-09-26,4676.8980517485
2016-09-27,4711.237018289655
2016-09-28,4739.188327453443
2016-09-29,4661.6081041537855
2016-09-30,4676.970490871221
2016-10-03,4655.196745916939
2016-10-04,4637.049827614783
2016-10-05,4613.988105714051
2016-10-06,4635.487931599858
2016-10-07,4610.180709906715
2016-10-10,4655.349139651148
2016-10-11,4623.60716149293
2016-10-12,4671.733848028129
2016-10-13,4656.339148152425
2016-10-14,4663.080963746601
2016-10-17,4672.509122820455
2016-10-18,4707.925196711682
2016-10-19,4722.020812837857
2016-10-20,4722.55057027403
2016-10-21,4734.7810026042625
2016-10-24,4757.292514493651
2016-10-25,4744.731938370013
2016-10-26,4679.504086243608
2016-10-27,4609.97608317698
2016-10-28,4618.339482346377
2016-10-31,4642.554799614302
2016-11-01,4545.626024578981
2016-11-02,4467.617180338603
2016-11-03,4463.90578916804
2016-11-04,4463.792819314419
2016-11-07,4593.673846509102
2016-11-08,4615.3914532065
2016-11-09,4709.817634167666
2016-11-10,4722.722174488875
2016-11-11,4803.2426046344335
2016-11-14,4916.945915073698
2016-11-15,4937.198973650694
2016-11-16,4975.147821834908
2016-11-17,5001.798902913621
2016-11-18,5063.7561418253
2016-11-21,5063.927180060894
2016-11-22,5128.706338772222
2016-11-23,5167.951302542607
2016-11-24,5152.540646412527
2016-11-25,5161.86929268241
2016-11-28,5141.050244327795
2016-11-29,5144.484180100588
2016-11-30,5092.223890719343
2016-12-01,5072.479678945802
2016-12-02,5058.771272854772
2016-12-05,5103.7973151049055
2016-12-06,5148.128674520351
2016-12-07,5176.737231491525
2016-12-08,5318.192734556896
2016-12-09,5330.971036049578
2016-12-12,5237.967513661617
2016-12-13,5219.731871639653
2016-12-14,5165.641617497132
2016-12-15,5331.474401208835
2016-12-16,5297.868218984103
2016-12-19,5313.588666591389
2016-12-20,5399.878511293788
2016-12-21,5345.005115167184
2016-12-22,5298.201977829972
2016-12-23,5315.999136377785
2016-12-26,5315.999136377785
2016-12-27,5347.652499382179
2016-12-28,5318.183301115277
2016-12-29,5272.975546790469
2016-12-30,5210.410549387692
2017-01-02,5210.410549387692
2017-01-03,5310.400162241399
2017-01-04,5343.853096509402
2017-01-05,5227.56221820286
2017-01-06,5225.349807847036
2017-01-09,5204.663355393183
2017-01-10,5259.881619355888
2017-01-11,5338.397283274803
2017-01-12,5192.566988103517
2017-01-13,5244.3526734810375
2017-01-16,5254.243013270723
2017-01-17,5129.15872017571
2017-01-18,5169.569977820642
2017-01-19,5174.480119404792
2017-01-20,5162.296240485203
2017-01-23,5114.211948798218
2017-01-24,5200.03037768214
2017-01-25,5252.255405533347
2017-01-26,5287.81213316747
2017-01-27,5252.915677112919
2017-01-30,5195.096216180404
2017-01-31,5155.085085425498
2017-02-01,5186.736118797264
2017-02-02,5154.409846228334
2017-02-03,5232.4735032472045
2017-02-06,5235.079027130466
2017-02-07,5242.579044772188
2017-02-08,5242.836234866217
2017-02-09,5333.622559489666
2017-02-10,5382.2410381674
2017-02-13,5427.906809061059
2017-02-14,5459.023190767162
2017-02-15,5477.907443710349
2017-02-16,5421.094105913773
2017-02-17,5447.9401531213325
2017-02-20,5452.300146653159
2017-02-21,5549.826619806328
2017-02-22,5523.445108852928
2017-02-23,5431.670349858287
2017-02-24,5444.973976009129
2017-02-27,5469.405030473245
2017-02-28,5391.1183946375
2017-03-01,5545.19537085425
2017-03-02,5469.551574748501
