Date,EUROPE ex UK ESG LEADERS
2009-10-29,709.5470831020006
2009-10-30,695.4586605338544
2009-11-02,698.0803726469451
2009-11-03,688.8255006391328
2009-11-04,701.6369009830391
2009-11-05,708.9573561314769
2009-11-06,708.677199608736
2009-11-09,723.3392278059072
2009-11-10,721.0004544442367
2009-11-11,726.9243669799264
2009-11-12,726.8364849932623
2009-11-13,728.9543094635364
2009-11-16,738.5980208419367
2009-11-17,733.3324480585973
2009-11-18,733.8798426214596
2009-11-19,720.9468343810464
2009-11-20,716.4778467458915
2009-11-23,732.7937877865854
2009-11-24,728.5958523607188
2009-11-25,731.800740556262
2009-11-26,709.3803590928385
2009-11-27,717.4690413309285
2009-11-30,708.8401906790781
2009-12-01,726.4589711580065
2009-12-02,729.3469987174203
2009-12-03,729.4753876445802
2009-12-04,738.0164569639647
2009-12-07,734.9259590411062
2009-12-08,723.2489773689665
2009-12-09,714.6477419654135
2009-12-10,720.5045499657042
2009-12-11,723.557933446933
2009-12-14,729.5173588555268
2009-12-15,729.8031607384962
2009-12-16,738.6550763420329
2009-12-17,732.0590135216072
2009-12-18,728.5844419268227
2009-12-21,737.1442644755855
2009-12-22,743.1832384045548
2009-12-23,745.0989252414325
2009-12-24,744.7507673266108
2009-12-25,744.7507673266108
2009-12-28,748.8035580477635
2009-12-29,751.4948356750095
2009-12-30,747.1727898460592
2009-12-31,747.5463101913429
2010-01-01,747.5463101913429
2010-01-04,759.79249676708
2010-01-05,759.2728898425219
2010-01-06,761.6988705891504
2010-01-07,761.2509795846229
2010-01-08,763.8379368922874
2010-01-11,764.4899206762236
2010-01-12,754.7976341191841
2010-01-13,757.5539251161827
2010-01-14,762.2807988284729
2010-01-15,753.9527198067464
2010-01-18,758.3591187155325
2010-01-19,763.2961329917233
2010-01-20,748.7657082327275
2010-01-21,740.0123893697776
2010-01-22,733.6909689985977
2010-01-25,727.7998978792236
2010-01-26,730.7889510337287
2010-01-27,723.078968931613
2010-01-28,716.5989946638482
2010-01-29,726.6054182547693
2010-02-01,732.4953569642757
2010-02-02,740.6210472452808
2010-02-03,736.4929279260247
2010-02-04,712.3829455839665
2010-02-05,697.1123800279761
2010-02-08,701.2976837155749
2010-02-09,703.7856253830206
2010-02-10,708.8876818283802
2010-02-11,708.4101369039761
2010-02-12,705.0469464446583
2010-02-15,706.8155504227767
2010-02-16,712.692628989503
2010-02-17,722.8478423844867
2010-02-18,727.251520015342
2010-02-19,732.2273862080505
2010-02-22,729.648610870989
2010-02-23,717.928175693896
2010-02-24,718.1470766098383
2010-02-25,707.6660489109178
2010-02-26,717.3518242068458
2010-03-01,729.0653660560736
2010-03-02,735.4589764475547
2010-03-03,742.0327022009051
2010-03-04,742.8914803687468
2010-03-05,756.1442399669406
2010-03-08,757.5086059941942
2010-03-09,756.3675155354877
2010-03-10,763.0912347917068
2010-03-11,759.9400094549936
2010-03-12,760.847439971002
2010-03-15,755.6513904256874
2010-03-16,762.4537014036938
2010-03-17,768.9919039594212
2010-03-18,765.9935156624584
2010-03-19,765.1231332282357
2010-03-22,762.9263679875695
2010-03-23,769.7430847887055
2010-03-24,768.4924418710771
2010-03-25,776.1570626905731
2010-03-26,773.2893855764175
2010-03-29,773.1756071274621
2010-03-30,771.1084437396884
2010-03-31,770.6946258004494
2010-04-01,782.7412877962742
2010-04-02,782.7412877962742
2010-04-05,781.7201868936309
2010-04-06,785.417901077976
2010-04-07,783.2131486627064
2010-04-08,776.6153562959934
2010-04-09,788.3461810594778
2010-04-12,790.0522018002246
2010-04-13,787.8516529564
2010-04-14,792.6840744592452
2010-04-15,796.1831299451879
2010-04-16,784.4707788399385
2010-04-19,780.330142074487
2010-04-20,791.1661141610018
2010-04-21,786.1095355417369
2010-04-22,774.1040183292141
2010-04-23,782.6077670606353
2010-04-26,788.0193738673423
2010-04-27,764.3836831380229
2010-04-28,750.8351831619218
2010-04-29,765.3098554564002
2010-04-30,762.8625199614768
2010-05-03,764.3977646381921
2010-05-04,738.8694805932453
2010-05-05,727.3864399576773
2010-05-06,715.8450709054474
2010-05-07,689.3223586839999
2010-05-10,746.1721200992239
2010-05-11,742.862556360693
2010-05-12,754.0953594602843
2010-05-13,753.9504802178046
2010-05-14,726.1055910926766
2010-05-17,725.1848562289654
2010-05-18,737.4996119023965
2010-05-19,714.7038898813369
2010-05-20,698.9418723218249
2010-05-21,698.0368037803997
2010-05-24,698.0050669093853
2010-05-25,678.6172263609072
2010-05-26,694.9241906911077
2010-05-27,714.0020716729027
2010-05-28,713.264703578641
2010-05-31,714.41530168124
2010-06-01,714.2503651465831
2010-06-02,716.1579757784561
2010-06-03,726.40698305853
2010-06-04,709.1287517710512
2010-06-07,703.0894472452335
2010-06-08,698.3747839689148
2010-06-09,712.658051622069
2010-06-10,727.4916096393777
2010-06-11,733.3430936898084
2010-06-14,743.1307290773914
2010-06-15,749.6423513371614
2010-06-16,748.6350333810577
2010-06-17,751.2773876064465
2010-06-18,755.9520905549052
2010-06-21,764.1045585199132
2010-06-22,760.1661206385471
2010-06-23,750.9523091596168
2010-06-24,736.6891233024409
2010-06-25,733.6531546043182
2010-06-28,742.8002089594116
2010-06-29,716.7725471431329
2010-06-30,718.3881857688513
2010-07-01,701.847913693193
2010-07-02,704.0205682104254
2010-07-05,701.9150053400779
2010-07-06,720.5639839185019
2010-07-07,731.4941648445307
2010-07-08,736.8014202050584
2010-07-09,743.1847043713286
2010-07-12,744.1464093775461
2010-07-13,758.8680671953758
2010-07-14,759.8652741932135
2010-07-15,752.4957471565526
2010-07-16,737.6315863663634
2010-07-19,732.9496294817824
2010-07-20,731.8886957735772
2010-07-21,737.0992626616754
2010-07-22,754.5473797674529
2010-07-23,756.2420532092842
2010-07-26,759.7946794772784
2010-07-27,760.9817131817983
2010-07-28,758.2951713453003
2010-07-29,756.5020388604469
2010-07-30,752.490515590009
2010-08-02,772.6266629483872
2010-08-03,772.6946304473723
2010-08-04,772.5465947781693
2010-08-05,771.3904143249686
2010-08-06,761.8194818419197
2010-08-09,770.8500543940279
2010-08-10,764.944090836742
2010-08-11,747.006242557676
2010-08-12,746.0533424912496
2010-08-13,743.9278912531951
2010-08-16,744.520532488015
2010-08-17,754.9016950061823
2010-08-18,753.5662183590222
2010-08-19,742.497667373128
2010-08-20,733.8602843006678
2010-08-23,737.6548165997991
2010-08-24,725.1687132996284
2010-08-25,718.7883135741977
2010-08-26,725.9608350475995
2010-08-27,731.4226533999416
2010-08-30,730.1061142619797
2010-08-31,732.1942653521807
2010-09-01,753.9485369812942
2010-09-02,755.0707250393839
2010-09-03,760.9249610950518
2010-09-06,763.7047933639075
2010-09-07,758.9683444161716
2010-09-08,764.8142478296998
2010-09-09,772.8631697597388
2010-09-10,773.8348170053773
2010-09-13,780.3731275990951
2010-09-14,781.6035801620048
2010-09-15,777.0355896375785
2010-09-16,771.838047976565
2010-09-17,771.5129546322987
2010-09-20,782.4942351031799
2010-09-21,781.2445310081124
2010-09-22,770.972871728229
2010-09-23,767.3115718346627
2010-09-24,778.8461588828723
2010-09-27,773.7280790804035
2010-09-28,774.3756007900839
2010-09-29,771.3328785700375
2010-09-30,771.0144521264039
2010-10-01,766.3665604413009
2010-10-04,760.0089019334418
2010-10-05,773.1221644931967
2010-10-06,778.0936219480155
2010-10-07,778.2670823765548
2010-10-08,778.7641988126917
2010-10-11,781.6005960921606
2010-10-12,779.6922671809474
2010-10-13,792.4583591016645
2010-10-14,790.9700837101749
2010-10-15,792.4637790203437
2010-10-18,793.7108459384345
2010-10-19,789.1711477048273
2010-10-20,793.953829649413
2010-10-21,802.7489579777583
2010-10-22,800.4568848640491
2010-10-25,803.5355950353663
2010-10-26,797.5300413990392
2010-10-27,792.6448675502601
2010-10-28,794.0557811950691
2010-10-29,793.0832098964498
2010-11-01,791.3638035529615
2010-11-02,796.86815690605
2010-11-03,789.8278009482401
2010-11-04,802.1804529261742
2010-11-05,801.6306229312792
2010-11-08,801.0780881833988
2010-11-09,807.9602022158712
2010-11-10,800.2757271987708
2010-11-11,796.7542257594334
2010-11-12,794.7094123154685
2010-11-15,802.3081504042897
2010-11-16,786.751627467314
2010-11-17,791.1245395783025
2010-11-18,803.2983237721539
2010-11-19,801.6650867911434
2010-11-22,796.0736387352387
2010-11-23,780.6069485398469
2010-11-24,788.1299110396174
2010-11-25,791.2294464128473
2010-11-26,787.1142810770615
2010-11-29,773.5174433662264
2010-11-30,771.774739691366
2010-12-01,789.8969592805819
2010-12-02,805.6343040307036
2010-12-03,806.9484485755434
2010-12-06,804.8375582190155
2010-12-07,811.2715460874831
2010-12-08,813.0678653559851
2010-12-09,814.5553971382258
2010-12-10,814.9831823984136
2010-12-13,818.6813480191767
2010-12-14,821.7896910797066
2010-12-15,820.0926368608223
2010-12-16,821.4503083710724
2010-12-17,818.242778262445
2010-12-20,822.897893673373
2010-12-21,833.6770796822804
2010-12-22,833.6499414849666
2010-12-23,833.1897947199914
2010-12-24,831.8090723717655
2010-12-27,823.9231600631618
2010-12-28,825.7457933179497
2010-12-29,830.0540072077796
2010-12-30,820.847324290454
2010-12-31,817.9097586816216
2011-01-03,830.1808076626475
2011-01-04,827.773334596173
2011-01-05,822.9214464489115
2011-01-06,823.0065674234776
2011-01-07,818.9886322937842
2011-01-10,809.1668213382026
2011-01-11,820.9206709505281
2011-01-12,835.9950638159198
2011-01-13,835.0717347508186
2011-01-14,834.4910000784176
2011-01-17,833.4871339244297
2011-01-18,841.3640229355484
2011-01-19,831.0873171290705
2011-01-20,824.446202860506
2011-01-21,832.0213821802212
2011-01-24,834.2187174261188
2011-01-25,831.7262857224036
2011-01-26,839.0760228629869
2011-01-27,840.2689782268206
2011-01-28,834.0229673635152
2011-01-31,833.4637534388818
2011-02-01,844.3854562085088
2011-02-02,843.2265281708162
2011-02-03,841.2087184528759
2011-02-04,842.5047275189833
2011-02-07,849.5745513146032
2011-02-08,849.4748850849785
2011-02-09,848.4337392147543
2011-02-10,845.4515322532368
2011-02-11,847.2934118242645
2011-02-14,849.6251550094116
2011-02-15,849.5738586089327
2011-02-16,854.4758694861292
2011-02-17,855.4165285417797
2011-02-18,856.3327694902674
2011-02-21,843.6599086564396
2011-02-22,838.8042354460555
2011-02-23,830.0674633668272
2011-02-24,826.3027265081259
2011-02-25,837.7525407348232
2011-02-28,845.0628336094569
2011-03-01,841.7322112625303
2011-03-02,835.5943648876038
2011-03-03,835.6175521156904
2011-03-04,831.4925558459715
2011-03-07,829.3385808514626
2011-03-08,832.0519116492413
2011-03-09,831.4218351215646
2011-03-10,823.7172191752128
2011-03-11,815.9974596409098
2011-03-14,808.3517036985903
2011-03-15,790.4016331338453
2011-03-16,777.1218074453118
2011-03-17,791.781687290966
2011-03-18,797.0696724874223
2011-03-21,810.0304784444498
2011-03-22,808.4232953960272
2011-03-23,812.3377013822148
2011-03-24,823.9928084369617
2011-03-25,824.0072270012623
2011-03-28,825.1868680186352
2011-03-29,824.4139867069237
2011-03-30,830.0904808988007
2011-03-31,824.7291262826178
2011-04-01,834.5383110043214
2011-04-04,835.325400457308
2011-04-05,835.2076513690021
