Date,FAR EAST ESG LEADERS
2018-05-25,1654.6656794489088
2018-05-28,1658.1199887462426
2018-05-29,1667.129594525185
2018-05-30,1635.102261390327
2018-05-31,1640.5492628937486
2018-06-01,1626.1147473541785
2018-06-04,1640.4584881825708
2018-06-05,1645.7928484382128
2018-06-06,1629.8872373772485
2018-06-07,1635.9826727376637
2018-06-08,1645.1317565100205
2018-06-11,1636.5169970688676
2018-06-12,1639.9651225978746
2018-06-13,1641.1836147059335
2018-06-14,1640.6241320786255
2018-06-15,1648.7922148543742
2018-06-18,1635.4594718444093
2018-06-19,1622.1895560247856
2018-06-20,1626.1267569485017
2018-06-21,1624.0489067907606
2018-06-22,1615.637271030597
2018-06-25,1597.8042953238366
2018-06-26,1602.3326462824534
2018-06-27,1601.2951565794153
2018-06-28,1604.5317805117263
2018-06-29,1589.2217954581156
2018-07-02,1567.62092024889
2018-07-03,1563.55682895061
2018-07-04,1562.3632046952869
2018-07-05,1541.8813215263992
2018-07-06,1548.2403120361153
2018-07-09,1564.800033574374
2018-07-10,1569.8641745508116
2018-07-11,1554.1950527432125
2018-07-12,1551.2968041984927
2018-07-13,1573.4381443988798
2018-07-16,1568.1796231675035
2018-07-17,1575.6563223716448
2018-07-18,1584.5779679277327
2018-07-19,1586.0460412292896
2018-07-20,1584.5782588186817
2018-07-23,1581.7995963256735
2018-07-24,1593.172135752156
2018-07-25,1607.3939102285185
2018-07-26,1615.266151332295
2018-07-27,1626.2754462897888
2018-07-30,1608.3745331779678
2018-07-31,1590.8200791541317
2018-08-01,1607.3379314179097
2018-08-02,1604.8548876737234
2018-08-03,1604.752053019584
2018-08-06,1597.9977139362136
2018-08-07,1611.5085866193665
2018-08-08,1610.5481020419336
2018-08-09,1614.765014479856
2018-08-10,1617.010963209398
2018-08-13,1586.986471862151
2018-08-14,1615.4922895139641
2018-08-15,1619.8585955629533
2018-08-16,1599.0884851341805
2018-08-17,1607.1558611296275
2018-08-20,1606.0457807458256
2018-08-21,1587.7636453452913
2018-08-22,1586.5813148455002
2018-08-23,1582.463375376393
2018-08-24,1582.8354324829902
2018-08-27,1597.8560420704916
2018-08-28,1593.9079952677914
2018-08-29,1594.7745098883158
2018-08-30,1601.7887035727172
2018-08-31,1608.840529099247
2018-09-03,1595.631077934165
2018-09-04,1599.039283553047
2018-09-05,1572.4098078183908
2018-09-06,1570.6877799613058
2018-09-07,1566.753184564366
2018-09-10,1565.3226084353598
2018-09-11,1574.4945517578528
2018-09-12,1566.1404542892462
2018-09-13,1568.147473573071
2018-09-14,1584.5641401561752
2018-09-17,1581.7325704045018
2018-09-18,1600.1867080589036
2018-09-19,1626.926258320537
2018-09-20,1615.1100353955699
2018-09-21,1622.3850805015356
2018-09-24,1615.8661212721863
2018-09-25,1627.2843603065503
2018-09-26,1641.4053595079922
2018-09-27,1632.7489903147716
2018-09-28,1653.7752662059968
2018-10-01,1653.1155577649572
2018-10-02,1661.7119608517269
2018-10-03,1643.153605133025
2018-10-04,1640.7539597951973
2018-10-05,1630.2543965416664
2018-10-08,1642.4616110240318
2018-10-09,1619.8705317930235
2018-10-10,1617.261918086372
2018-10-11,1563.5281720508663
2018-10-12,1566.459761714329
2018-10-15,1545.8263106759096
2018-10-16,1552.456412840988
2018-10-17,1581.3101438399954
2018-10-18,1573.341210801737
2018-10-19,1563.0569358241414
2018-10-22,1566.8211682170052
2018-10-23,1535.33459483648
2018-10-24,1538.6551602277034
2018-10-25,1498.0831693717498
2018-10-26,1506.4815095175727
2018-10-29,1488.4077004721416
2018-10-30,1503.6821497120438
2018-10-31,1540.573951797336
2018-11-01,1523.3945467825492
2018-11-02,1552.966852563008
2018-11-05,1529.135782797127
2018-11-06,1541.640417628493
2018-11-07,1529.6771970029672
2018-11-08,1552.7465245191802
2018-11-09,1549.2215957671272
2018-11-12,1564.097406474763
2018-11-13,1531.399442034306
2018-11-14,1529.620579092183
2018-11-15,1539.7561035144336
2018-11-16,1526.2864845645072
2018-11-19,1532.0364915913751
2018-11-20,1522.1063652995997
2018-11-21,1513.5273824893648
2018-11-22,1523.008505244599
2018-11-23,1533.7185064550674
2018-11-26,1530.6360828032432
2018-11-27,1541.34689629649
2018-11-28,1554.8407599859822
2018-11-29,1550.0617725282175
2018-11-30,1564.9534732724328
2018-12-03,1581.0939065831146
2018-12-04,1554.8102844919451
2018-12-05,1546.2670139331917
2018-12-06,1522.3125867723688
2018-12-07,1527.5137854863005
2018-12-10,1496.0125202824115
2018-12-11,1488.8857019553193
2018-12-12,1513.25878973112
2018-12-13,1520.7621550608615
2018-12-14,1508.237667014395
2018-12-17,1512.6135692980579
2018-12-18,1485.3216162122524
2018-12-19,1477.1691625318542
2018-12-20,1453.3199036412796
2018-12-21,1438.853245934246
2018-12-24,1446.1272732378623
2018-12-25,1385.7383289180268
2018-12-26,1403.429229199114
2018-12-27,1453.6020108797445
2018-12-28,1446.4198081194122
2018-12-31,1455.9109944880374
2019-01-01,1455.9109944880374
2019-01-02,1467.870494393409
2019-01-03,1482.0370135538724
2019-01-04,1451.7817874737464
2019-01-07,1482.8781203622
2019-01-08,1486.589239796252
